Time,PrimT,ChActive,HwTOutlet,ActPow,HwActive,PrimTSet,HwTSet
2017-11-14T00:00:00.797Z,,1,35.3,,0,75,55
2017-11-14T00:00:10.797Z,45,,35.2,,,,55
2017-11-14T00:00:20.800Z,,,35.2,,,,55
2017-11-14T00:00:30.797Z,,,35.2,,,,55
2017-11-14T00:00:40.797Z,,,35.2,,,,55
2017-11-14T00:00:50.798Z,,,35.2,,,,55
2017-11-14T00:01:00.799Z,,,35.1,,,,55
2017-11-14T00:01:10.797Z,,,35.1,,,,55
2017-11-14T00:01:20.797Z,,,35.1,,,,55
2017-11-14T00:01:30.797Z,45,,35.1,,,,55
2017-11-14T00:01:40.797Z,45,,34.9,,,,55
2017-11-14T00:01:50.800Z,44.9,,34.9,,,,55
2017-11-14T00:02:00.797Z,,,34.9,,,,55
2017-11-14T00:02:10.800Z,,,34.9,,,,55
2017-11-14T00:02:20.802Z,,,34.8,,,,55
2017-11-14T00:02:30.797Z,,0,34.8,,0,5,55
2017-11-14T00:02:40.800Z,,,34.8,,,,55
2017-11-14T00:02:50.798Z,,,34.8,,,,55
2017-11-14T00:03:00.798Z,44.8,,34.7,,,,55
2017-11-14T00:03:10.799Z,,,34.7,,,,55
2017-11-14T00:03:20.798Z,,,34.7,,,,55
2017-11-14T00:03:30.798Z,,,34.7,,,,55
2017-11-14T00:03:40.798Z,,,34.7,,,,55
2017-11-14T00:03:50.797Z,,,34.6,,,,55
2017-11-14T00:04:00.798Z,,,34.6,,,,55
2017-11-14T00:04:10.798Z,44.7,,34.6,,,,55
2017-11-14T00:04:20.798Z,,,34.4,,,,55
2017-11-14T00:04:30.798Z,,,34.4,,,,55
2017-11-14T00:04:40.799Z,44.8,1,34.4,79,0,75,55
2017-11-14T00:04:50.798Z,49.2,,34.3,79,,,55
2017-11-14T00:05:00.798Z,47.8,,34.3,49,,,55
2017-11-14T00:05:15.823Z,41.9,,34.3,29,,,55
2017-11-14T00:05:20.808Z,36.5,,34.2,,,,55
2017-11-14T00:05:30.798Z,32.8,,34.2,,,,55
2017-11-14T00:05:40.800Z,31.8,,34.2,,,,55
2017-11-14T00:05:50.799Z,31,,34.2,,,,55
2017-11-14T00:06:00.798Z,32,,34.2,,,,55
2017-11-14T00:06:10.798Z,32.5,,34.1,,,,55
2017-11-14T00:06:20.798Z,33,,34.1,,,,55
2017-11-14T00:06:30.798Z,32.9,,34.1,,,,55
2017-11-14T00:06:40.798Z,,,34,,,,55
2017-11-14T00:06:50.798Z,33,,34,,,,55
2017-11-14T00:07:00.798Z,33.4,,34,,,,55
2017-11-14T00:07:10.798Z,33.6,,34,,,,55
2017-11-14T00:07:20.801Z,33.9,,33.8,,,,55
2017-11-14T00:07:30.798Z,34,,33.8,,,,55
2017-11-14T00:07:40.801Z,34.1,,33.8,,,,55
2017-11-14T00:07:50.801Z,34.4,,33.7,,,,55
2017-11-14T00:08:05.818Z,34.6,,33.7,,,,55
2017-11-14T00:08:10.798Z,35,,33.7,,,,55
2017-11-14T00:08:20.798Z,,,33.6,,,,55
2017-11-14T00:08:30.802Z,35.2,,33.6,,,,55
2017-11-14T00:08:40.798Z,35.5,,33.6,,,,55
2017-11-14T00:08:50.798Z,35.7,,33.5,,,,55
2017-11-14T00:09:00.798Z,36,,33.5,,,,55
2017-11-14T00:09:10.804Z,,,33.5,,,,55
2017-11-14T00:09:20.799Z,36.2,,33.5,,,,55
2017-11-14T00:09:30.837Z,36.5,,33.3,,,,55
