Time,HwActive,ActPow,HwTOutlet,PrimTSet,HwTSet,PrimT,ChActive
2017-11-17T00:00:01.369Z,,,48.3,,55,,
2017-11-17T00:00:11.358Z,,,48.2,,55,60.9,
2017-11-17T00:00:21.358Z,,,48.2,,55,,
2017-11-17T00:00:31.438Z,,,48.2,,55,,
2017-11-17T00:00:41.358Z,,,48.2,,55,,
2017-11-17T00:00:51.358Z,,,48.2,,55,,
2017-11-17T00:01:01.358Z,,,48.2,,55,61,
2017-11-17T00:01:11.362Z,,,48.1,,55,,
2017-11-17T00:01:22.352Z,,,48.1,,55,,
2017-11-17T00:01:31.438Z,,,48.1,,55,,
2017-11-17T00:01:41.358Z,,,48.1,,55,,
2017-11-17T00:01:51.358Z,,,48,,55,,
2017-11-17T00:02:01.360Z,,,48,,55,,
2017-11-17T00:02:11.359Z,,,48,,55,,
2017-11-17T00:02:21.358Z,,,47.8,,55,,
2017-11-17T00:02:31.448Z,,,47.8,,55,,
2017-11-17T00:02:41.366Z,,,47.8,,55,,
2017-11-17T00:02:51.358Z,,,47.7,,55,,
2017-11-17T00:03:01.358Z,,,47.7,,55,,
2017-11-17T00:03:11.359Z,,,47.6,,55,,
2017-11-17T00:03:21.359Z,,,47.6,,55,,
2017-11-17T00:03:31.448Z,,,47.5,,55,,
2017-11-17T00:03:41.360Z,,,47.5,,55,,
2017-11-17T00:03:51.358Z,,,47.5,,55,,
2017-11-17T00:04:01.359Z,,,47.4,,55,,
2017-11-17T00:04:12.356Z,,,47.4,,55,,
2017-11-17T00:04:21.361Z,,,47.3,,55,,
2017-11-17T00:04:32.490Z,,,47.3,,55,,
2017-11-17T00:04:41.358Z,,,47.2,,55,,
2017-11-17T00:04:51.359Z,,,47.2,,55,,
2017-11-17T00:05:01.358Z,,,47,,55,,
2017-11-17T00:05:11.359Z,,,47,,55,60.9,
2017-11-17T00:05:21.358Z,,,46.9,,55,61,
2017-11-17T00:05:31.448Z,,,46.8,,55,60.9,
2017-11-17T00:05:41.358Z,,,46.8,,55,,
2017-11-17T00:05:51.359Z,,,46.8,,55,,
2017-11-17T00:06:01.359Z,,,46.7,,55,,
2017-11-17T00:06:11.359Z,,,46.6,,55,,
2017-11-17T00:06:21.359Z,,,46.6,,55,,
2017-11-17T00:06:31.449Z,,,46.5,,55,,
2017-11-17T00:06:41.360Z,,,46.5,,55,60.8,
2017-11-17T00:06:51.359Z,,,46.4,,55,,
2017-11-17T00:07:06.379Z,,,46.4,,55,,
2017-11-17T00:07:11.359Z,,,46.2,,55,,
2017-11-17T00:07:21.360Z,,,46.2,,55,,
2017-11-17T00:07:31.439Z,,,46.1,,55,,
2017-11-17T00:07:41.359Z,,,46.1,,55,60.7,
2017-11-17T00:07:51.361Z,,,46,,55,,
2017-11-17T00:08:01.362Z,,,45.9,,55,,
2017-11-17T00:08:11.359Z,,,45.9,,55,,
2017-11-17T00:08:21.372Z,,,45.8,,55,,
2017-11-17T00:08:31.469Z,,,45.8,,55,,
2017-11-17T00:08:41.359Z,,,45.7,,55,,
2017-11-17T00:08:51.359Z,,,45.7,,55,60.6,
2017-11-17T00:09:01.359Z,,,45.6,,55,,
2017-11-17T00:09:11.377Z,,,45.6,,55,,
2017-11-17T00:09:21.359Z,,,45.5,,55,,
2017-11-17T00:09:31.443Z,,,45.5,,55,,
2017-11-17T00:09:41.359Z,,,45.3,,55,60.5,
2017-11-17T00:09:56.381Z,,,45.2,,55,,
2017-11-17T00:10:01.360Z,,,45.2,,55,,
2017-11-17T00:10:11.359Z,,,45.1,,55,,
2017-11-17T00:10:21.359Z,,,45.1,,55,,
2017-11-17T00:10:31.449Z,,,45,,55,60.3,
2017-11-17T00:10:41.360Z,,,45,,55,,
2017-11-17T00:10:51.359Z,,,44.9,,55,,
2017-11-17T00:11:01.360Z,,,44.9,,55,,
2017-11-17T00:11:11.359Z,,,44.8,,55,,
2017-11-17T00:11:22.294Z,,,44.7,,55,60.2,
2017-11-17T00:11:31.449Z,,,44.7,,55,,
2017-11-17T00:11:41.359Z,,,44.5,,55,,
2017-11-17T00:11:51.359Z,,,44.5,,55,,
2017-11-17T00:12:01.359Z,,,44.4,,55,,
2017-11-17T00:12:11.363Z,,,44.4,,55,60.1,
2017-11-17T00:12:21.360Z,,,44.3,,55,,
2017-11-17T00:12:31.449Z,,,44.3,,55,,
2017-11-17T00:12:47.398Z,0,79,44.2,,55,60.2,2
2017-11-17T00:12:51.360Z,,79,44.2,,55,65,
2017-11-17T00:13:01.363Z,,46,44.1,,55,67.3,
2017-11-17T00:13:11.360Z,,29,44.1,,55,62.1,
2017-11-17T00:13:21.360Z,0,0,44,5,55,56.4,0
2017-11-17T00:13:31.441Z,,,44,,55,52.3,
2017-11-17T00:13:41.360Z,,,43.9,,55,50.2,
2017-11-17T00:13:51.360Z,,,43.9,,55,49.5,
2017-11-17T00:14:01.361Z,,,43.9,,55,50,
2017-11-17T00:14:11.725Z,,,43.9,,55,50.4,
2017-11-17T00:14:21.360Z,,,43.9,,55,50,
2017-11-17T00:14:31.449Z,,,43.9,,55,49.3,
2017-11-17T00:14:41.360Z,0,124,44,59,55,49,0
2017-11-17T00:14:51.360Z,0,0,36,,55,53.1,0
2017-11-17T00:15:01.360Z,,,36.8,,55,50.3,
2017-11-17T00:15:11.360Z,,,37,,55,50.2,
2017-11-17T00:15:21.362Z,,,37.7,,55,50.4,
2017-11-17T00:15:31.440Z,,,38.1,,55,50.7,
2017-11-17T00:15:41.363Z,,,38.9,,55,50.8,
2017-11-17T00:15:51.360Z,,,39.6,5,55,50.9,
2017-11-17T00:16:01.360Z,,,40.1,,55,,
2017-11-17T00:16:11.365Z,,,40.6,,55,51,
2017-11-17T00:16:21.360Z,,,40.9,,55,,
2017-11-17T00:16:31.442Z,,,41.1,,55,51.1,
2017-11-17T00:16:41.360Z,,,41.4,,55,51.2,
2017-11-17T00:16:51.361Z,,,41.5,,55,,
2017-11-17T00:17:02.354Z,,,41.7,,55,51.3,
2017-11-17T00:17:11.360Z,,,41.8,,55,,
2017-11-17T00:17:21.360Z,,,41.9,,55,,
2017-11-17T00:17:31.450Z,,,42,,55,51.4,
2017-11-17T00:17:41.363Z,,,42,,55,,
2017-11-17T00:17:51.429Z,,,42.2,,55,,
2017-11-17T00:18:01.360Z,,,42.2,,55,51.6,
2017-11-17T00:18:11.360Z,,,42.3,,55,,
2017-11-17T00:18:21.360Z,,,42.3,,55,51.7,
2017-11-17T00:18:31.461Z,0,0,42.4,5,55,51.7,0
2017-11-17T00:18:41.360Z,,,42.4,,55,,
2017-11-17T00:18:51.360Z,,,42.4,,55,,
2017-11-17T00:19:01.360Z,,,42.4,,55,51.8,
2017-11-17T00:19:11.361Z,,,42.4,,55,,
2017-11-17T00:19:21.360Z,,,42.4,,55,,
2017-11-17T00:19:31.450Z,,,42.4,,55,,
2017-11-17T00:19:41.362Z,,,42.4,,55,51.9,
2017-11-17T00:19:52.359Z,,,42.4,,55,,
2017-11-17T00:20:01.360Z,,,42.4,,55,,
2017-11-17T00:20:11.361Z,,,42.4,,55,,
2017-11-17T00:20:21.360Z,,,42.3,,55,,
2017-11-17T00:20:31.462Z,,,42.3,,55,,
2017-11-17T00:20:41.360Z,,,42.3,,55,52,
2017-11-17T00:20:51.362Z,,,42.3,,55,,
2017-11-17T00:21:01.361Z,,,42.3,,55,,
2017-11-17T00:21:11.364Z,,,42.2,,55,,
2017-11-17T00:21:21.361Z,,,42.2,,55,,
2017-11-17T00:21:31.461Z,,,42.2,,55,,
2017-11-17T00:21:41.361Z,,,42,,55,,
2017-11-17T00:21:51.361Z,,,42,,55,,
2017-11-17T00:22:01.361Z,,,42,,55,,
2017-11-17T00:22:11.361Z,,,42,,55,,
2017-11-17T00:22:21.361Z,,,41.9,,55,,
2017-11-17T00:22:31.451Z,,,41.9,,55,,
2017-11-17T00:22:42.365Z,,,41.9,,55,,
2017-11-17T00:22:51.361Z,,,41.8,,55,,
2017-11-17T00:23:01.361Z,,,41.8,,55,,
2017-11-17T00:23:11.361Z,,,41.7,,55,,
2017-11-17T00:23:21.361Z,,,41.7,,55,,
2017-11-17T00:23:31.442Z,,,41.7,,55,,
2017-11-17T00:23:41.361Z,,,41.6,,55,,
2017-11-17T00:23:51.361Z,,,41.6,,55,,
2017-11-17T00:24:01.383Z,,,41.6,,55,,
2017-11-17T00:24:11.361Z,,,41.5,,55,,
2017-11-17T00:24:21.363Z,,,41.5,,55,,
2017-11-17T00:24:31.441Z,,,41.5,,55,,
2017-11-17T00:24:41.361Z,,,41.4,,55,,
2017-11-17T00:24:51.380Z,,,41.4,,55,,
2017-11-17T00:25:01.383Z,,,41.4,,55,51.9,
2017-11-17T00:25:11.361Z,,,41.2,,55,51.9,
2017-11-17T00:25:21.361Z,,,41.2,,55,51.9,
2017-11-17T00:25:36.471Z,,,41.2,,55,,
2017-11-17T00:25:41.361Z,,,41.1,,55,,
2017-11-17T00:25:51.369Z,,,41.1,,55,,
2017-11-17T00:26:01.361Z,,,41,,55,,
2017-11-17T00:26:11.370Z,,,41,,55,,
2017-11-17T00:26:21.362Z,,,41,,55,,
2017-11-17T00:26:31.494Z,,,40.9,,55,,
2017-11-17T00:26:41.380Z,,,40.9,,55,,
2017-11-17T00:26:51.361Z,,,40.9,,55,51.8,
2017-11-17T00:27:01.468Z,,,40.8,,55,,
2017-11-17T00:27:11.361Z,,,40.8,,55,,
2017-11-17T00:27:21.363Z,,,40.8,,55,,
2017-11-17T00:27:31.451Z,,,40.7,,55,,
2017-11-17T00:27:41.361Z,,,40.7,,55,,
2017-11-17T00:27:51.362Z,,,40.6,,55,,
2017-11-17T00:28:01.362Z,,,40.6,,55,,
2017-11-17T00:28:11.363Z,,,40.6,,55,,
2017-11-17T00:28:26.886Z,,,40.5,,55,51.7,
2017-11-17T00:28:31.464Z,,,40.5,,55,,
2017-11-17T00:28:41.363Z,,,40.5,,55,,
2017-11-17T00:28:51.364Z,,,40.3,,55,,
2017-11-17T00:29:01.362Z,,,40.3,,55,,
2017-11-17T00:29:11.367Z,,,40.3,,55,,
2017-11-17T00:29:21.365Z,,,40.2,,55,,
2017-11-17T00:29:31.465Z,,,40.2,,55,,
2017-11-17T00:29:41.362Z,,,40.2,,55,51.6,
2017-11-17T00:29:52.318Z,,,40.1,,55,,
2017-11-17T00:30:01.404Z,,,40.1,,55,,
2017-11-17T00:30:11.387Z,,,40,,55,,
2017-11-17T00:30:21.362Z,,,40,,55,,
2017-11-17T00:30:31.482Z,,,40,,55,,
2017-11-17T00:30:41.362Z,,,40,,55,51.4,
2017-11-17T00:30:51.363Z,,,39.9,,55,,
2017-11-17T00:31:01.363Z,,,39.9,,55,,
2017-11-17T00:31:17.377Z,,,39.8,,55,,
2017-11-17T00:31:21.362Z,,,39.8,,55,,
2017-11-17T00:31:31.442Z,,,39.8,,55,,
2017-11-17T00:31:41.362Z,,,39.6,,55,,
2017-11-17T00:31:51.362Z,,,39.6,,55,51.3,
2017-11-17T00:32:01.362Z,,,39.6,,55,,
2017-11-17T00:32:11.363Z,,,39.5,,55,,
2017-11-17T00:32:21.362Z,,,39.5,,55,,
2017-11-17T00:32:31.463Z,,,39.5,,55,,
2017-11-17T00:32:42.359Z,,,39.4,,55,,
2017-11-17T00:32:51.362Z,,,39.4,,55,,
2017-11-17T00:33:01.368Z,,,39.4,,55,51.2,
2017-11-17T00:33:11.364Z,,,39.3,,55,,
2017-11-17T00:33:21.374Z,,,39.3,,55,,
2017-11-17T00:33:31.465Z,,,39.3,,55,,
2017-11-17T00:33:41.365Z,,,39.1,,55,,
2017-11-17T00:33:51.363Z,,,39.1,,55,51.1,
2017-11-17T00:34:01.373Z,,,39.1,,55,51.2,
2017-11-17T00:34:11.363Z,,,39,,55,51.1,
2017-11-17T00:34:21.362Z,,,39,,55,,
2017-11-17T00:34:31.465Z,,,39,,55,,
2017-11-17T00:34:41.362Z,,,38.9,,55,,
2017-11-17T00:34:52.405Z,,,38.9,,55,,
2017-11-17T00:35:01.363Z,,,38.9,,55,,
2017-11-17T00:35:11.363Z,,,38.8,,55,51,
2017-11-17T00:35:21.363Z,,,38.8,,55,,
2017-11-17T00:35:37.643Z,,,38.8,,55,,
2017-11-17T00:35:41.363Z,,,38.6,,55,,
2017-11-17T00:35:51.363Z,,,38.6,,55,,
2017-11-17T00:36:01.363Z,,,38.6,,55,,
2017-11-17T00:36:11.379Z,,,38.5,,55,50.9,
2017-11-17T00:36:21.388Z,,,38.5,,55,,
2017-11-17T00:36:31.512Z,,,38.5,,55,,
2017-11-17T00:36:41.382Z,,,38.4,,55,,
2017-11-17T00:36:51.377Z,,,38.4,,55,,
2017-11-17T00:37:01.379Z,,,38.4,,55,50.8,
2017-11-17T00:37:11.376Z,,,38.3,,55,,
2017-11-17T00:37:21.380Z,,,38.3,,55,,
2017-11-17T00:37:31.464Z,,,38.3,,55,,
2017-11-17T00:37:41.363Z,,,38.1,,55,,
2017-11-17T00:37:51.363Z,,,38.1,,55,,
2017-11-17T00:38:01.363Z,,,38.1,,55,,
2017-11-17T00:38:11.363Z,,,38,,55,50.7,
2017-11-17T00:38:22.357Z,,,38,,55,,
2017-11-17T00:38:31.444Z,,,38,,55,,
2017-11-17T00:38:41.363Z,,,37.9,,55,,
2017-11-17T00:38:51.363Z,,,37.9,,55,,
2017-11-17T00:39:01.363Z,,,37.9,,55,,
2017-11-17T00:39:11.364Z,,,37.9,,55,,
2017-11-17T00:39:21.367Z,,,37.8,,55,50.6,
2017-11-17T00:39:31.452Z,,,37.8,,55,,
2017-11-17T00:39:41.363Z,,,37.8,,55,,
2017-11-17T00:39:52.373Z,,,37.7,,55,,
2017-11-17T00:40:01.372Z,,,37.7,,55,,
2017-11-17T00:40:11.364Z,,,37.7,,55,50.4,
2017-11-17T00:40:21.363Z,,,37.5,,55,,
2017-11-17T00:40:31.462Z,,,37.5,,55,,
2017-11-17T00:40:41.363Z,,,37.5,,55,,
2017-11-17T00:40:51.364Z,,,37.4,,55,,
2017-11-17T00:41:01.364Z,,,37.4,,55,,
2017-11-17T00:41:16.384Z,,,37.4,,55,,
2017-11-17T00:41:21.364Z,,,37.3,,55,50.3,
2017-11-17T00:41:31.463Z,,,37.3,,55,,
2017-11-17T00:41:41.364Z,,,37.3,,55,,
2017-11-17T00:41:51.364Z,,,37.3,,55,,
2017-11-17T00:42:01.364Z,,,37.2,,55,,
2017-11-17T00:42:11.364Z,,,37.2,,55,50.2,
2017-11-17T00:42:21.364Z,,,37.2,,55,,
2017-11-17T00:42:31.464Z,,,37,,55,,
2017-11-17T00:42:41.365Z,,,37,,55,,
2017-11-17T00:42:51.367Z,,,37,,55,,
2017-11-17T00:43:01.364Z,,,36.9,,55,,
2017-11-17T00:43:11.364Z,,,36.9,,55,,
2017-11-17T00:43:21.364Z,,,36.9,,55,50.1,
2017-11-17T00:43:31.462Z,,,36.8,,55,,
2017-11-17T00:43:41.365Z,,,36.8,,55,,
2017-11-17T00:43:51.367Z,,,36.8,,55,,
2017-11-17T00:44:06.519Z,,,36.8,,55,,
2017-11-17T00:44:11.364Z,,,36.7,,55,,
2017-11-17T00:44:21.365Z,,,36.7,,55,50,
2017-11-17T00:44:31.444Z,,,36.7,,55,,
2017-11-17T00:44:41.365Z,,,36.5,,55,,
2017-11-17T00:44:51.364Z,,,36.5,,55,,
2017-11-17T00:45:01.365Z,,,36.5,,55,,
2017-11-17T00:45:11.364Z,,,36.4,,55,,
2017-11-17T00:45:21.365Z,,,36.4,,55,49.9,
2017-11-17T00:45:32.434Z,,,36.4,,55,,
2017-11-17T00:45:41.383Z,,,36.3,,55,,
2017-11-17T00:45:51.364Z,,,36.3,,55,,
2017-11-17T00:46:01.364Z,,,36.3,,55,,
2017-11-17T00:46:11.381Z,,,36.3,,55,,
2017-11-17T00:46:21.365Z,,,36.2,,55,49.8,
2017-11-17T00:46:31.480Z,,,36.2,,55,,
2017-11-17T00:46:41.365Z,,,36.2,,55,,
2017-11-17T00:46:57.272Z,,,36,,55,,
2017-11-17T00:47:01.369Z,,,36,,55,,
2017-11-17T00:47:11.506Z,,,36,,55,,
2017-11-17T00:47:21.364Z,,,36,,55,49.7,
