Time,ActPow,PrimT,HwTSet,ChActive,HwTOutlet,PrimTSet,HwActive
2017-11-20T00:00:01.925Z,,,55,,63.1,,
2017-11-20T00:00:11.925Z,,78.7,55,,63.1,,
2017-11-20T00:00:21.931Z,,,55,,63.1,,
2017-11-20T00:00:32.922Z,,,55,,63.3,,
2017-11-20T00:00:41.925Z,,78.8,55,,63.3,,
2017-11-20T00:00:51.925Z,,,55,,63.3,,
2017-11-20T00:01:01.925Z,,,55,,63.4,,
2017-11-20T00:01:11.925Z,0,78.9,55,1,63.4,,0
2017-11-20T00:01:21.925Z,,76.8,55,,63.4,,
2017-11-20T00:01:31.926Z,,75.9,55,,63.5,,
2017-11-20T00:01:41.925Z,,75.4,55,,63.5,,
2017-11-20T00:01:51.925Z,,75.2,55,,63.5,,
2017-11-20T00:02:01.933Z,,75.3,55,,63.6,,
2017-11-20T00:02:11.925Z,,75.5,55,,63.6,,
2017-11-20T00:02:21.925Z,,75.8,55,,63.6,,
2017-11-20T00:02:31.935Z,,75.3,55,,63.6,,
2017-11-20T00:02:41.926Z,,74.9,55,,63.6,,
2017-11-20T00:02:51.926Z,,74.6,55,,63.5,,
2017-11-20T00:03:01.926Z,,74.2,55,,63.5,,
2017-11-20T00:03:11.931Z,,73.8,55,,63.5,,
2017-11-20T00:03:21.934Z,,73.6,55,,63.4,,
2017-11-20T00:03:31.929Z,,73.3,55,,63.3,,
2017-11-20T00:03:41.926Z,,72.9,55,,63.3,,
2017-11-20T00:03:51.926Z,,72.7,55,,63.1,,
2017-11-20T00:04:01.926Z,,72.3,55,,63,,
2017-11-20T00:04:11.926Z,,71.9,55,,63,,
2017-11-20T00:04:21.926Z,,71.8,55,,62.9,,
2017-11-20T00:04:31.926Z,,71.4,55,,62.8,,
2017-11-20T00:04:41.940Z,,70.9,55,,62.7,,
2017-11-20T00:04:51.926Z,,,55,,62.6,,
2017-11-20T00:05:01.927Z,,70.6,55,,62.6,,
2017-11-20T00:05:11.926Z,,70.3,55,,62.4,,
2017-11-20T00:05:21.936Z,,69.9,55,,62.3,,
2017-11-20T00:05:31.926Z,,69.7,55,,62.2,,
2017-11-20T00:05:41.926Z,,69.5,55,,62.1,,
2017-11-20T00:05:51.926Z,,69.2,55,,62,,
2017-11-20T00:06:01.930Z,79,69,55,1,61.9,,0
2017-11-20T00:06:11.926Z,76,74.1,55,,61.7,,
2017-11-20T00:06:21.927Z,43,77.2,55,,61.7,,
2017-11-20T00:06:31.931Z,29,76.9,55,,61.6,,
2017-11-20T00:06:41.932Z,,74.9,55,,61.5,,
