Time,PrimT,HwTSet,HwTOutlet,ActPow,ChActive,HwActive,PrimTSet
2017-11-21T00:00:00.112Z,,55,38.1,,,,
2017-11-21T00:00:10.115Z,,55,38.1,,,,
2017-11-21T00:00:20.112Z,,55,38,,,,
2017-11-21T00:00:30.112Z,,55,38,,,,
2017-11-21T00:00:40.202Z,,55,38,,,,
2017-11-21T00:00:50.116Z,,55,37.9,,,,
2017-11-21T00:01:00.112Z,,55,37.9,,,,
2017-11-21T00:01:10.119Z,,55,37.9,,,,
2017-11-21T00:01:20.112Z,,55,37.8,,,,
2017-11-21T00:01:30.112Z,,55,37.8,,,,
2017-11-21T00:01:40.195Z,,55,37.8,,,,
2017-11-21T00:01:50.117Z,,55,37.8,,,,
2017-11-21T00:02:00.112Z,,55,37.7,,,,
2017-11-21T00:02:10.117Z,,55,37.7,,,,
2017-11-21T00:02:20.112Z,,55,37.7,,,,
2017-11-21T00:02:30.352Z,,55,37.5,,,,
2017-11-21T00:02:40.202Z,,55,37.5,,,,
2017-11-21T00:02:50.112Z,,55,37.5,,,,
2017-11-21T00:03:00.112Z,,55,37.4,,,,
2017-11-21T00:03:10.112Z,,55,37.4,,,,
2017-11-21T00:03:20.112Z,,55,37.4,,,,
2017-11-21T00:03:30.112Z,,55,37.4,,,,
2017-11-21T00:03:40.226Z,,55,37.3,,,,
2017-11-21T00:03:50.119Z,,55,37.3,,,,
2017-11-21T00:04:01.107Z,,55,37.3,,,,
2017-11-21T00:04:10.116Z,,55,37.2,,,,
2017-11-21T00:04:20.112Z,,55,37.2,,,,
2017-11-21T00:04:30.117Z,,55,37.2,,,,
2017-11-21T00:04:40.192Z,,55,37,,,,
2017-11-21T00:04:50.115Z,,55,37,,,,
2017-11-21T00:05:00.112Z,45.3,55,37,,,,
2017-11-21T00:05:10.113Z,,55,37,,,,
2017-11-21T00:05:20.113Z,,55,36.9,,,,
2017-11-21T00:05:30.113Z,,55,36.9,,,,
2017-11-21T00:05:40.205Z,,55,36.9,,,,
2017-11-21T00:05:50.117Z,,55,36.9,,,,
2017-11-21T00:06:00.112Z,,55,36.8,,,,
2017-11-21T00:06:10.112Z,,55,36.8,,,,
2017-11-21T00:06:20.112Z,,55,36.8,,,,
2017-11-21T00:06:30.115Z,,55,36.8,,,,
2017-11-21T00:06:40.193Z,,55,36.8,,,,
2017-11-21T00:06:51.111Z,,55,36.7,,,,
2017-11-21T00:07:00.112Z,,55,36.7,,,,
2017-11-21T00:07:10.113Z,,55,36.7,,,,
2017-11-21T00:07:20.113Z,,55,36.5,,,,
2017-11-21T00:07:30.112Z,,55,36.5,,,,
2017-11-21T00:07:40.193Z,,55,36.5,,,,
2017-11-21T00:07:50.113Z,,55,36.5,,,,
2017-11-21T00:08:00.112Z,45.2,55,36.4,,,,
2017-11-21T00:08:10.112Z,,55,36.4,,,,
2017-11-21T00:08:20.112Z,,55,36.4,,,,
2017-11-21T00:08:30.116Z,47.2,55,36.3,79,1,0,
2017-11-21T00:08:40.193Z,53.3,55,36.3,61,,,
2017-11-21T00:08:50.114Z,54.9,55,36.3,29,,,
2017-11-21T00:09:00.113Z,49.8,55,36.3,,,,
2017-11-21T00:09:10.112Z,46.8,55,36.3,,,,
2017-11-21T00:09:20.112Z,44.9,55,36.3,,,,
2017-11-21T00:09:30.117Z,43.9,55,36.2,,,,
2017-11-21T00:09:41.193Z,44,55,36.2,,,,
2017-11-21T00:09:50.113Z,45,55,36.2,,,,
2017-11-21T00:10:00.114Z,45.2,55,36.2,,,,
2017-11-21T00:10:10.113Z,45.4,55,36.2,,,,
2017-11-21T00:10:20.118Z,45.6,55,36,,,,
2017-11-21T00:10:30.114Z,46,55,36,,,,
2017-11-21T00:10:40.193Z,,55,36,,,,
2017-11-21T00:10:50.113Z,46.3,55,36,,,,
2017-11-21T00:11:00.113Z,46.6,55,36.2,,,,
2017-11-21T00:11:10.115Z,46.8,55,36.2,,,,
2017-11-21T00:11:20.115Z,47,55,36.2,,,,
2017-11-21T00:11:30.113Z,47.2,55,36.2,,,,
2017-11-21T00:11:40.193Z,47.4,55,36.2,,,,
2017-11-21T00:11:50.113Z,47.7,55,36.2,,,,
2017-11-21T00:12:00.113Z,48,55,36.3,,,,
2017-11-21T00:12:10.113Z,48.2,55,36.3,,,,
2017-11-21T00:12:20.115Z,48.4,55,36.4,,,,
2017-11-21T00:12:35.133Z,48.7,55,36.4,,,,
2017-11-21T00:12:40.198Z,49,55,36.5,,,,
2017-11-21T00:12:50.114Z,49.2,55,36.7,,,,
2017-11-21T00:13:00.113Z,49.4,55,36.7,,,,
2017-11-21T00:13:10.113Z,49.7,55,36.8,,,,
2017-11-21T00:13:20.113Z,50,55,36.9,,,,
2017-11-21T00:13:30.114Z,50.5,55,37,0,1,0,
2017-11-21T00:13:40.193Z,49.9,55,37,,,,
2017-11-21T00:13:50.114Z,48.9,55,37.2,,,,
2017-11-21T00:14:00.113Z,47.3,55,37.3,,,,
2017-11-21T00:14:10.124Z,46.8,55,37.4,,,,
2017-11-21T00:14:20.118Z,46.7,55,37.5,,,,
2017-11-21T00:14:30.113Z,46.9,55,37.5,,,,
2017-11-21T00:14:40.204Z,47.1,55,37.7,,,,
2017-11-21T00:14:50.119Z,47.3,55,37.8,,,,
2017-11-21T00:15:00.113Z,46.9,55,37.9,,,,
2017-11-21T00:15:10.113Z,46.8,55,37.9,,,,
2017-11-21T00:15:25.133Z,46.6,55,38,,,,
2017-11-21T00:15:30.113Z,46.5,55,38.1,,,,
2017-11-21T00:15:40.223Z,46.4,55,38.1,,,,
2017-11-21T00:15:50.113Z,46.2,55,38.3,,,,
2017-11-21T00:16:00.113Z,46.1,55,38.3,,,,
2017-11-21T00:16:10.118Z,45.9,55,38.3,,,,
2017-11-21T00:16:20.113Z,,55,38.4,,,,
2017-11-21T00:16:30.114Z,45.7,55,38.4,,,,
2017-11-21T00:16:40.204Z,,55,38.4,,,,
2017-11-21T00:16:50.117Z,45.8,55,38.4,,,,
2017-11-21T00:17:00.114Z,46,55,38.4,,,,
2017-11-21T00:17:10.114Z,46.1,55,38.4,,,,
2017-11-21T00:17:20.113Z,46.2,55,38.4,,,,
2017-11-21T00:17:30.113Z,46.4,55,38.4,,,,
2017-11-21T00:17:40.194Z,46.5,55,38.4,,,,
2017-11-21T00:17:50.115Z,49.3,55,38.4,79,1,0,
2017-11-21T00:18:00.114Z,56.3,55,38.4,58,,,
2017-11-21T00:18:15.134Z,58.1,55,38.4,41,,,
2017-11-21T00:18:20.114Z,54.8,55,38.4,29,,,
2017-11-21T00:18:30.118Z,52.7,55,38.4,,,,
2017-11-21T00:18:40.208Z,50.9,55,38.4,,,,
2017-11-21T00:18:50.115Z,49.9,55,38.4,,,,
2017-11-21T00:19:00.114Z,49.4,55,38.4,,,,
2017-11-21T00:19:10.113Z,50.1,55,38.4,,,,
2017-11-21T00:19:20.114Z,50.8,55,38.4,0,1,0,
2017-11-21T00:19:30.118Z,49.8,55,38.4,,,,
2017-11-21T00:19:40.195Z,47.9,55,38.5,,,,
2017-11-21T00:19:50.115Z,47.7,55,38.5,,,,
2017-11-21T00:20:00.114Z,47.2,55,38.6,,,,
2017-11-21T00:20:10.115Z,47.1,55,38.6,,,,
2017-11-21T00:20:20.117Z,47.6,55,38.8,,,,
2017-11-21T00:20:30.117Z,47.8,55,38.8,,,,
2017-11-21T00:20:40.206Z,47.6,55,38.9,,,,
2017-11-21T00:20:50.114Z,47.3,55,39,,,,
2017-11-21T00:21:00.114Z,46.9,55,39,,,,
2017-11-21T00:21:10.114Z,46.8,55,39.1,,,,
2017-11-21T00:21:20.114Z,46.7,55,39.1,,,,
2017-11-21T00:21:30.115Z,46.6,55,39.1,,,,
2017-11-21T00:21:40.206Z,46.5,55,39.1,,,,
2017-11-21T00:21:50.114Z,46.4,55,39.3,,,,
2017-11-21T00:22:00.114Z,46.2,55,39.3,,,,
2017-11-21T00:22:10.114Z,46.1,55,39.3,,,,
2017-11-21T00:22:20.114Z,46,55,39.3,,,,
2017-11-21T00:22:31.106Z,,55,39.3,,,,
2017-11-21T00:22:40.197Z,46.1,55,39.3,,,,
2017-11-21T00:22:50.114Z,46.4,55,39.3,,,,
2017-11-21T00:23:00.119Z,46.5,55,39.3,,,,
2017-11-21T00:23:10.115Z,46.6,55,39.3,,,,
2017-11-21T00:23:20.120Z,,55,39.3,,,,
2017-11-21T00:23:30.114Z,46.7,55,39.3,,,,
2017-11-21T00:23:40.204Z,46.8,55,39.3,,,,
2017-11-21T00:23:50.114Z,46.9,55,39.3,,,,
2017-11-21T00:24:00.114Z,47,55,39.1,,,,
2017-11-21T00:24:10.117Z,,55,39.1,,,,
2017-11-21T00:24:20.114Z,,55,39.1,,,,
2017-11-21T00:24:30.115Z,47.2,55,39.1,,,,
2017-11-21T00:24:40.199Z,,55,39.1,,,,
2017-11-21T00:24:50.120Z,47.3,55,39.1,,,,
2017-11-21T00:25:00.114Z,,55,39,,,,
2017-11-21T00:25:10.115Z,47.4,55,39,,,,
2017-11-21T00:25:20.115Z,,55,39,,,,
2017-11-21T00:25:30.114Z,47.5,55,39,,,,
2017-11-21T00:25:40.247Z,,55,39,,,,
2017-11-21T00:25:50.115Z,47.5,55,38.9,0,1,0,75
2017-11-21T00:26:00.115Z,47.6,55,38.9,,,,
2017-11-21T00:26:10.114Z,,55,38.9,,,,
2017-11-21T00:26:20.115Z,,55,38.9,,,,
2017-11-21T00:26:30.114Z,47.7,55,38.9,,,,
2017-11-21T00:26:40.200Z,,55,38.8,,,,
2017-11-21T00:26:50.115Z,,55,38.8,,,,
2017-11-21T00:27:00.115Z,,55,38.8,,,,
2017-11-21T00:27:10.117Z,47.8,55,38.8,,,,
2017-11-21T00:27:20.114Z,,55,38.6,,,,
2017-11-21T00:27:30.115Z,,55,38.6,,,,
2017-11-21T00:27:40.205Z,,55,38.6,,,,
2017-11-21T00:27:50.115Z,,55,38.6,,,,
2017-11-21T00:28:00.121Z,48,55,38.5,,,,
2017-11-21T00:28:10.115Z,47.8,55,38.5,,,,
2017-11-21T00:28:20.115Z,48,55,38.5,,,,
2017-11-21T00:28:30.115Z,,55,38.4,,,,
2017-11-21T00:28:40.205Z,,55,38.4,,,,
2017-11-21T00:28:50.118Z,,55,38.4,,,,
2017-11-21T00:29:00.115Z,,55,38.4,,,,
2017-11-21T00:29:10.115Z,,55,38.4,,,,
2017-11-21T00:29:20.115Z,,55,38.3,,,,
2017-11-21T00:29:30.115Z,,55,38.3,,,,
2017-11-21T00:29:40.196Z,,55,38.3,,,,
2017-11-21T00:29:50.115Z,,55,38.1,,,,
2017-11-21T00:30:00.115Z,,55,38.1,,,,
2017-11-21T00:30:10.116Z,,55,38.1,,,,
2017-11-21T00:30:20.115Z,,55,38.1,,,,
2017-11-21T00:30:30.115Z,,55,38,,,,
2017-11-21T00:30:40.205Z,,55,38,,,,
2017-11-21T00:30:50.115Z,,55,38,,,,
2017-11-21T00:31:05.135Z,,55,38,,,,
2017-11-21T00:31:10.115Z,,55,37.9,,,,
2017-11-21T00:31:20.115Z,,55,37.9,,,,
2017-11-21T00:31:30.138Z,,55,37.9,,,,
2017-11-21T00:31:40.208Z,,55,37.9,,,,
2017-11-21T00:31:50.115Z,,55,37.8,,,,
2017-11-21T00:32:00.125Z,,55,37.8,,,,
2017-11-21T00:32:10.117Z,,55,37.8,,,,
