Time,ChActive,HwTOutlet,PrimTSet,HwTSet,ActPow,PrimT,HwActive
2017-11-24T00:00:09.680Z,,35.3,,55,,46.7,
2017-11-24T00:00:19.680Z,,35.2,,55,,,
2017-11-24T00:00:29.680Z,,35.2,,55,,,
2017-11-24T00:00:39.680Z,,35.2,,55,,,
2017-11-24T00:00:49.681Z,,35.1,,55,,,
2017-11-24T00:00:59.680Z,,35.1,,55,,,
2017-11-24T00:01:09.682Z,,35.1,,55,,46.6,
2017-11-24T00:01:19.680Z,,35.1,,55,,,
2017-11-24T00:01:29.680Z,,34.9,,55,,,
2017-11-24T00:01:44.701Z,,34.9,,55,,,
2017-11-24T00:01:49.690Z,,34.9,,55,,,
2017-11-24T00:01:59.680Z,,34.9,,55,,46.5,
2017-11-24T00:02:09.683Z,,34.8,,55,,,
2017-11-24T00:02:19.681Z,,34.8,,55,,,
2017-11-24T00:02:29.681Z,,34.8,,55,,,
2017-11-24T00:02:39.681Z,,34.7,,55,,,
2017-11-24T00:02:49.680Z,,34.7,,55,,,
2017-11-24T00:02:59.681Z,,34.7,,55,,46.4,
2017-11-24T00:03:10.006Z,,34.7,,55,,,
2017-11-24T00:03:19.681Z,,34.6,,55,,,
2017-11-24T00:03:29.681Z,,34.6,,55,,,
2017-11-24T00:03:39.682Z,,34.6,,55,,46.2,
2017-11-24T00:03:49.681Z,,34.6,,55,,,
2017-11-24T00:03:59.681Z,,34.4,,55,,,
2017-11-24T00:04:09.681Z,,34.4,,55,,,
2017-11-24T00:04:19.680Z,,34.4,,55,,,
2017-11-24T00:04:29.681Z,,34.3,,55,,,
2017-11-24T00:04:39.681Z,,34.3,,55,,46.1,
2017-11-24T00:04:49.681Z,,34.3,,55,,,
2017-11-24T00:04:59.681Z,,34.2,,55,,,
2017-11-24T00:05:09.681Z,,34.2,,55,,,
2017-11-24T00:05:19.685Z,,34.2,,55,,,
2017-11-24T00:05:29.681Z,,34.2,,55,,46,
2017-11-24T00:05:39.681Z,,34.1,,55,,,
2017-11-24T00:05:49.682Z,,34.1,,55,,,
2017-11-24T00:06:00.677Z,,34,,55,,,
2017-11-24T00:06:09.681Z,,34,,55,,,
2017-11-24T00:06:19.681Z,,34,,55,,45.9,
2017-11-24T00:06:29.682Z,,34,,55,,,
2017-11-24T00:06:39.681Z,,33.8,,55,,,
2017-11-24T00:06:49.681Z,,33.8,,55,,,
2017-11-24T00:06:59.681Z,,33.8,,55,,,
2017-11-24T00:07:09.681Z,,33.8,,55,,45.8,
2017-11-24T00:07:19.681Z,,33.7,,55,,,
2017-11-24T00:07:29.683Z,,33.7,,55,,,
2017-11-24T00:07:39.681Z,,33.7,,55,,,
2017-11-24T00:07:49.681Z,,33.6,,55,,,
2017-11-24T00:07:59.681Z,,33.6,,55,,,
2017-11-24T00:08:09.681Z,,33.6,,55,,45.7,
2017-11-24T00:08:19.681Z,,33.5,,55,,,
2017-11-24T00:08:29.682Z,,33.5,,55,,,
2017-11-24T00:08:39.681Z,,33.5,,55,,,
2017-11-24T00:08:50.685Z,,33.5,,55,,,
2017-11-24T00:08:59.681Z,,33.3,,55,,,
2017-11-24T00:09:09.681Z,,33.3,,55,,45.6,
2017-11-24T00:09:19.682Z,,33.3,,55,,,
2017-11-24T00:09:29.682Z,,33.2,,55,,,
2017-11-24T00:09:39.682Z,,33.2,,55,,,
2017-11-24T00:09:49.683Z,,33.2,,55,,,
2017-11-24T00:09:59.682Z,,33.1,,55,,45.5,
2017-11-24T00:10:09.681Z,,33.1,,55,,,
2017-11-24T00:10:19.682Z,,33.1,,55,,,
2017-11-24T00:10:29.681Z,,33.1,,55,,,
2017-11-24T00:10:39.682Z,,33,,55,,,
2017-11-24T00:10:49.682Z,,33,,55,,45.3,
2017-11-24T00:10:59.682Z,,33,,55,,,
2017-11-24T00:11:09.683Z,,33,,55,,,
2017-11-24T00:11:19.682Z,,32.8,,55,,,
2017-11-24T00:11:29.703Z,,32.8,,55,,,
2017-11-24T00:11:40.676Z,,32.8,,55,,45.2,
2017-11-24T00:11:49.682Z,,32.7,,55,,,
2017-11-24T00:11:59.682Z,,32.7,,55,,,
2017-11-24T00:12:09.685Z,,32.7,,55,,,
2017-11-24T00:12:19.683Z,,32.6,,55,,,
2017-11-24T00:12:29.682Z,,32.6,,55,,,
2017-11-24T00:12:39.682Z,,32.6,,55,,45.1,
2017-11-24T00:12:49.682Z,,32.5,,55,,,
2017-11-24T00:12:59.682Z,,32.5,,55,,,
2017-11-24T00:13:09.696Z,,32.5,,55,,,
2017-11-24T00:13:19.682Z,,32.5,,55,,,
2017-11-24T00:13:29.682Z,,32.3,,55,,45,
2017-11-24T00:13:39.682Z,,32.3,,55,,,
2017-11-24T00:13:49.684Z,,32.3,,55,,,
2017-11-24T00:13:59.682Z,,32.2,,55,,,
2017-11-24T00:14:09.682Z,,32.2,,55,,,
2017-11-24T00:14:19.685Z,,32.2,,55,,,
2017-11-24T00:14:30.680Z,,32.2,,55,,44.9,
