Time,HwActive,PrimTSet,ChActive,HwTOutlet,ActPow,HwTSet,PrimT
2017-11-25T00:00:09.877Z,,,,45.6,,55,
2017-11-25T00:00:19.872Z,,,,45.7,,55,60.6
2017-11-25T00:00:29.875Z,,,,45.8,,55,60.7
2017-11-25T00:00:39.873Z,,,,45.8,,55,
2017-11-25T00:00:49.872Z,,,,45.9,,55,61
2017-11-25T00:00:59.879Z,,,,45.9,,55,
2017-11-25T00:01:09.874Z,,,,46,,55,61.1
2017-11-25T00:01:19.875Z,0,,2,46.1,0,55,60.8
2017-11-25T00:01:29.872Z,,,,46.1,,55,59.8
2017-11-25T00:01:39.874Z,,,,46.2,,55,58.8
2017-11-25T00:01:49.876Z,,,,46.4,,55,57.9
2017-11-25T00:01:59.874Z,,,,46.4,,55,57.7
2017-11-25T00:02:09.877Z,,,,46.5,,55,57.6
2017-11-25T00:02:20.872Z,,,,46.5,,55,58
2017-11-25T00:02:29.884Z,,,,46.6,,55,57.8
2017-11-25T00:02:39.872Z,,,,46.6,,55,57.6
2017-11-25T00:02:49.873Z,,,,46.7,,55,57.4
2017-11-25T00:02:59.878Z,,,,46.7,,55,56.9
2017-11-25T00:03:09.874Z,,,,46.7,,55,56.8
2017-11-25T00:03:19.872Z,,,,46.7,,55,56.6
2017-11-25T00:03:29.873Z,1,0,0,46.7,,55,56.4
2017-11-25T00:03:39.883Z,0,59,0,36.9,0,55,59.3
2017-11-25T00:03:49.872Z,,,,35.1,,55,56.8
2017-11-25T00:03:59.872Z,,,,36.4,,55,55.7
2017-11-25T00:04:09.875Z,,,,37.5,,55,55.5
2017-11-25T00:04:19.873Z,,,,40.1,,55,55.6
2017-11-25T00:04:29.875Z,,,,41.6,,55,55.8
2017-11-25T00:04:39.872Z,0,75,2,42.6,,55,55.9
2017-11-25T00:04:49.872Z,,,,43.4,,55,56
2017-11-25T00:04:59.877Z,,,,44.1,,55,56.1
2017-11-25T00:05:10.866Z,,,,44.5,,55,
2017-11-25T00:05:19.873Z,,,,45,,55,56.2
2017-11-25T00:05:29.876Z,,,,45.3,,55,56.4
2017-11-25T00:05:39.872Z,,,,45.6,,55,56.5
2017-11-25T00:05:49.872Z,0,,2,45.9,,55,
2017-11-25T00:05:59.877Z,,,,46,80,55,61.1
2017-11-25T00:06:09.872Z,,,,46.2,44,55,67.2
2017-11-25T00:06:19.876Z,,,,46.4,29,55,65.8
2017-11-25T00:06:29.873Z,,,,46.5,,55,61.9
2017-11-25T00:06:39.872Z,,,,46.6,,55,59.7
2017-11-25T00:06:49.872Z,,,,46.7,,55,57.9
2017-11-25T00:06:59.872Z,,,,46.8,,55,57.1
2017-11-25T00:07:09.878Z,0,5,0,46.9,0,55,57.4
2017-11-25T00:07:19.873Z,,,,47,,55,56.9
2017-11-25T00:07:29.878Z,,,,47.2,,55,55.9
2017-11-25T00:07:39.873Z,,,,47.3,,55,54.9
2017-11-25T00:07:49.872Z,,,,47.3,,55,54.6
2017-11-25T00:08:00.870Z,,,,47.4,,55,54.5
2017-11-25T00:08:09.877Z,,,,47.5,,55,54.6
