Time,PrimT,PrimTSet,HwActive,HwTOutlet,ChActive,ActPow,HwTSet
2017-11-26T00:00:00.064Z,64.4,,,49.8,,,55
2017-11-26T00:00:11.065Z,64.5,,,49.9,,,55
2017-11-26T00:00:20.065Z,64.6,,,49.9,,,55
2017-11-26T00:00:30.065Z,64.7,,,50,,,55
2017-11-26T00:00:40.066Z,64.9,,,50,,,55
2017-11-26T00:00:50.064Z,,,,50.1,,,55
2017-11-26T00:01:00.064Z,65,,,50.2,,,55
2017-11-26T00:01:10.061Z,65.1,,,50.2,,,55
2017-11-26T00:01:20.061Z,65.3,,,50.3,,,55
2017-11-26T00:01:30.061Z,65.4,,,50.3,,,55
2017-11-26T00:01:40.066Z,65.5,,,50.4,,,55
2017-11-26T00:01:50.066Z,65.6,,,50.6,,,55
2017-11-26T00:02:00.067Z,65.8,,,50.6,,,55
2017-11-26T00:02:10.066Z,65.9,,,50.7,,,55
2017-11-26T00:02:20.066Z,66,,,50.7,,,55
2017-11-26T00:02:30.061Z,,,,50.8,,,55
2017-11-26T00:02:40.065Z,66.2,,,50.8,,,55
2017-11-26T00:02:50.066Z,66.5,,0,50.9,2,0,55
2017-11-26T00:03:02.152Z,64.9,,,51,,,55
2017-11-26T00:03:10.061Z,63.8,,,51,,,55
2017-11-26T00:03:20.067Z,62.8,,,51.1,,,55
2017-11-26T00:03:30.067Z,62.6,,,51.1,,,55
2017-11-26T00:03:40.067Z,62.5,,,51.2,,,55
2017-11-26T00:03:50.061Z,63,,,51.2,,,55
2017-11-26T00:04:00.062Z,62.8,,,51.3,,,55
2017-11-26T00:04:10.062Z,62.6,,,51.3,,,55
2017-11-26T00:04:20.062Z,62.2,,,51.3,,,55
2017-11-26T00:04:30.062Z,61.9,,,51.4,,,55
2017-11-26T00:04:40.061Z,61.6,,,51.4,,,55
2017-11-26T00:04:50.063Z,61.5,,,51.4,,,55
2017-11-26T00:05:00.062Z,61.3,,,51.3,,,55
2017-11-26T00:05:10.062Z,60.9,,,51.3,,,55
2017-11-26T00:05:20.062Z,60.8,,,51.3,,,55
2017-11-26T00:05:30.062Z,60.6,5,0,51.2,0,,55
2017-11-26T00:05:40.063Z,60.3,,,51.2,,,55
2017-11-26T00:05:51.056Z,60.1,,,51.1,,,55
2017-11-26T00:06:00.062Z,,,,51.1,,,55
2017-11-26T00:06:10.064Z,60.3,,,51,,,55
2017-11-26T00:06:20.062Z,60.5,,,51,,,55
2017-11-26T00:06:30.062Z,60.6,,,51,,,55
2017-11-26T00:06:40.062Z,60.7,,,50.9,,,55
2017-11-26T00:06:50.062Z,60.8,,,50.9,,,55
2017-11-26T00:07:00.062Z,,,,50.8,,,55
2017-11-26T00:07:10.062Z,61,,,50.7,,,55
2017-11-26T00:07:20.062Z,,,,50.7,,,55
2017-11-26T00:07:30.066Z,,,,50.7,,,55
2017-11-26T00:07:40.062Z,61.2,,,50.6,,,55
2017-11-26T00:07:50.062Z,,,,50.6,,,55
2017-11-26T00:08:00.062Z,61.3,,,50.4,,,55
2017-11-26T00:08:10.062Z,,,,50.4,,,55
2017-11-26T00:08:20.062Z,61.4,,,50.4,,,55
2017-11-26T00:08:30.062Z,61.5,,,50.3,,,55
2017-11-26T00:08:41.063Z,,,,50.3,,,55
2017-11-26T00:08:50.062Z,,,,50.2,,,55
2017-11-26T00:09:00.062Z,61.6,,,50.2,,,55
2017-11-26T00:09:10.062Z,,,,50.1,,,55
2017-11-26T00:09:20.062Z,,,,50.1,,,55
2017-11-26T00:09:30.062Z,,,,50.1,,,55
2017-11-26T00:09:40.063Z,61.7,,,50,,,55
2017-11-26T00:09:50.062Z,,,,50,,,55
2017-11-26T00:10:00.067Z,,,,49.9,,,55
2017-11-26T00:10:10.063Z,,,,49.9,,,55
2017-11-26T00:10:20.062Z,61.9,,,49.8,,,55
2017-11-26T00:10:30.062Z,,,,49.8,,,55
