Time,HwTOutlet,HwActive,ChActive,PrimT,PrimTSet,ActPow,HwTSet
2017-11-27T00:00:00.263Z,62.8,,,,,,55
2017-11-27T00:00:10.263Z,62.8,,,,,,55
2017-11-27T00:00:20.264Z,62.9,,,78.2,,,55
2017-11-27T00:00:30.263Z,62.9,,,,,,55
2017-11-27T00:00:40.267Z,62.9,,,,,,55
2017-11-27T00:00:51.260Z,62.9,,,78.1,,,55
2017-11-27T00:01:00.263Z,63,,,,,,55
2017-11-27T00:01:10.263Z,63,,,77.9,,,55
2017-11-27T00:01:20.265Z,63,,,77.8,,,55
2017-11-27T00:01:30.263Z,63,,,77.6,,,55
2017-11-27T00:01:40.263Z,63,,,,,,55
2017-11-27T00:01:50.263Z,63,,,77.5,,,55
2017-11-27T00:02:00.263Z,63.1,,,,,,55
2017-11-27T00:02:15.390Z,63.1,,,77.4,,,55
2017-11-27T00:02:20.263Z,63.1,,,77.2,,,55
2017-11-27T00:02:30.263Z,63.1,,,,,,55
2017-11-27T00:02:40.264Z,63.1,,,76.9,,,55
2017-11-27T00:02:50.264Z,63.1,,,,,,55
2017-11-27T00:03:00.264Z,63.1,,,76.8,,,55
2017-11-27T00:03:10.272Z,63.1,,,76.6,,,55
2017-11-27T00:03:20.263Z,63.1,,,,,,55
2017-11-27T00:03:30.264Z,63.1,,,76.5,,,55
2017-11-27T00:03:40.686Z,63.1,,,76.3,,,55
2017-11-27T00:03:50.263Z,63,,,76.2,,,55
2017-11-27T00:04:00.267Z,63,,,,,,55
2017-11-27T00:04:10.264Z,63,,,75.9,,,55
2017-11-27T00:04:20.265Z,63,,,,,,55
2017-11-27T00:04:30.267Z,63,,,,,,55
2017-11-27T00:04:40.264Z,63,,,75.7,,,55
2017-11-27T00:04:50.276Z,63,,,,,,55
2017-11-27T00:05:00.264Z,63,,,,,,55
2017-11-27T00:05:10.265Z,62.9,,,75.6,,,55
2017-11-27T00:05:20.263Z,62.9,,,,,,55
2017-11-27T00:05:30.263Z,62.9,,,,,,55
2017-11-27T00:05:40.266Z,62.9,,,,,,55
2017-11-27T00:05:50.263Z,62.9,,,75.4,,,55
2017-11-27T00:06:00.263Z,62.9,,,,,,55
2017-11-27T00:06:10.263Z,62.9,,,,,,55
2017-11-27T00:06:20.263Z,62.9,,,,,,55
2017-11-27T00:06:31.258Z,62.8,,,,,,55
2017-11-27T00:06:40.263Z,62.8,,,,,,55
2017-11-27T00:06:50.263Z,62.8,,,,,,55
2017-11-27T00:07:00.272Z,62.8,,,75.3,,,55
2017-11-27T00:07:10.264Z,62.8,,,75.4,,,55
2017-11-27T00:07:20.263Z,62.8,,,,,,55
2017-11-27T00:07:30.263Z,62.7,,,75.3,,,55
