Time,HwTSet,ActPow,PrimTSet,HwActive,PrimT,HwTOutlet,ChActive
2017-11-28T00:00:07.440Z,55,,,,66.4,53.6,
2017-11-28T00:00:17.440Z,55,,,,,53.4,
2017-11-28T00:00:27.439Z,55,,,,,53.3,
2017-11-28T00:00:37.444Z,55,,,,,53.3,
2017-11-28T00:00:47.440Z,55,,,,66.2,53.3,
2017-11-28T00:00:57.440Z,55,,,,,53.2,
2017-11-28T00:01:07.440Z,55,,,,,53.1,
2017-11-28T00:01:17.442Z,55,,,,,53,
2017-11-28T00:01:29.508Z,55,,,,,53,
2017-11-28T00:01:37.440Z,55,,,,66.1,52.9,
2017-11-28T00:01:47.440Z,55,,,,,52.9,
2017-11-28T00:01:57.441Z,55,,,,,52.8,
2017-11-28T00:02:07.440Z,55,,,,,52.7,
2017-11-28T00:02:17.443Z,55,,,,66,52.7,
2017-11-28T00:02:27.440Z,55,,,,,52.6,
2017-11-28T00:02:37.445Z,55,,,,,52.6,
2017-11-28T00:02:47.440Z,55,,,,65.9,52.4,
2017-11-28T00:02:57.440Z,55,,,,,52.3,
2017-11-28T00:03:07.440Z,55,,,,,52.3,
2017-11-28T00:03:17.440Z,55,,,,,52.2,
2017-11-28T00:03:27.440Z,55,,,,,52.2,
2017-11-28T00:03:37.440Z,55,,,,65.7,52.1,
2017-11-28T00:03:47.442Z,55,,,,,52,
2017-11-28T00:03:57.440Z,55,,,,,52,
2017-11-28T00:04:07.446Z,55,,,,,51.9,
2017-11-28T00:04:22.815Z,55,,,,65.6,51.8,
2017-11-28T00:04:27.440Z,55,,,,,51.8,
2017-11-28T00:04:37.440Z,55,,,,,51.7,
2017-11-28T00:04:47.440Z,55,,,,65.5,51.7,
2017-11-28T00:04:57.442Z,55,,,,,51.6,
2017-11-28T00:05:07.441Z,55,,,,,51.4,
2017-11-28T00:05:17.440Z,55,,,,,51.4,
2017-11-28T00:05:27.446Z,55,,,,65.4,51.3,
2017-11-28T00:05:37.441Z,55,,,,,51.2,
2017-11-28T00:05:48.436Z,55,,,,,51.2,
2017-11-28T00:05:57.440Z,55,,,,,51.1,
2017-11-28T00:06:07.440Z,55,,,,65.2,51,
2017-11-28T00:06:17.442Z,55,,,,,51,
2017-11-28T00:06:27.441Z,55,,,,,50.9,
