Time,ChActive,PrimT,HwActive,HwTSet,HwTOutlet,PrimTSet,ActPow
2017-11-30T00:00:07.818Z,,58.8,,55,45.5,,
2017-11-30T00:00:17.819Z,,59,,55,45.5,,
2017-11-30T00:00:28.080Z,,59.2,,55,45.6,,
2017-11-30T00:00:37.856Z,,59.3,,55,45.6,,
2017-11-30T00:00:47.820Z,,59.4,,55,45.7,,
2017-11-30T00:00:57.830Z,,59.7,,55,45.8,,
2017-11-30T00:01:07.816Z,,59.8,,55,45.8,,
2017-11-30T00:01:17.817Z,,59.9,,55,45.9,,
2017-11-30T00:01:27.820Z,,60,,55,45.9,,
2017-11-30T00:01:37.896Z,,60.1,,55,46,,
2017-11-30T00:01:47.817Z,,60.4,,55,46.1,,
2017-11-30T00:01:57.820Z,1,60.7,0,55,46.1,,0
2017-11-30T00:02:07.819Z,,59.7,,55,46.2,,
2017-11-30T00:02:17.816Z,,58.2,,55,46.4,,
2017-11-30T00:02:27.823Z,,57.3,,55,46.4,,
2017-11-30T00:02:37.896Z,,57,,55,46.5,,
2017-11-30T00:02:48.818Z,,57.1,,55,46.6,,
2017-11-30T00:02:57.816Z,,57.3,,55,46.6,,
2017-11-30T00:03:07.828Z,,,,55,46.7,,
2017-11-30T00:03:17.816Z,,57,,55,46.7,,
2017-11-30T00:03:27.816Z,,56.7,,,,,
2017-11-30T00:03:37.896Z,,56.5,,55,46.8,,
2017-11-30T00:03:47.816Z,,56.2,,55,46.8,,
2017-11-30T00:03:57.818Z,,56.1,,55,46.8,,
2017-11-30T00:04:07.821Z,,55.9,,55,46.8,,
2017-11-30T00:04:17.816Z,,55.7,,55,46.8,,
2017-11-30T00:04:27.820Z,,55.5,,55,46.8,,
2017-11-30T00:04:37.902Z,,55.2,,55,46.7,,
2017-11-30T00:04:47.835Z,,55.1,,55,46.7,,
2017-11-30T00:04:57.816Z,,54.9,,55,46.7,,
2017-11-30T00:05:07.817Z,,55,,55,46.7,,
2017-11-30T00:05:17.819Z,,55.2,,55,46.6,,
2017-11-30T00:05:27.822Z,,55.3,,55,46.6,,
2017-11-30T00:05:38.898Z,,55.5,,55,46.5,,
2017-11-30T00:05:47.824Z,,55.6,,55,46.5,,
2017-11-30T00:05:57.816Z,,,,55,46.5,,
2017-11-30T00:06:07.817Z,,55.7,,55,46.4,,
2017-11-30T00:06:17.821Z,,55.8,,55,46.4,,
2017-11-30T00:06:27.816Z,,55.9,,55,46.2,,
2017-11-30T00:06:37.900Z,,56,,55,46.2,,
2017-11-30T00:06:47.817Z,,,,55,46.1,,
2017-11-30T00:06:57.821Z,,56.1,,55,46.1,,
2017-11-30T00:07:07.821Z,,,,55,46.1,,
2017-11-30T00:07:17.827Z,,56.2,,55,46,,
2017-11-30T00:07:27.817Z,,,,55,46,,
2017-11-30T00:07:37.897Z,,56.4,,55,45.9,,
2017-11-30T00:07:47.817Z,,,,55,45.9,,
2017-11-30T00:07:57.822Z,,56.5,,55,45.9,,
2017-11-30T00:08:07.817Z,,,,55,45.8,,
2017-11-30T00:08:17.826Z,,,,55,45.8,,
2017-11-30T00:08:32.838Z,,56.6,,55,45.7,,
2017-11-30T00:08:37.938Z,,,,55,45.6,,
2017-11-30T00:08:47.817Z,,,,55,45.6,,
2017-11-30T00:08:57.817Z,,56.7,,55,45.6,,
2017-11-30T00:09:07.817Z,,,,55,45.5,,
2017-11-30T00:09:17.821Z,,,,55,45.5,,
2017-11-30T00:09:27.823Z,,,,55,45.3,,
2017-11-30T00:09:37.907Z,,,,55,45.3,,
2017-11-30T00:09:47.819Z,,,,55,45.2,,
2017-11-30T00:09:57.824Z,,56.8,,55,45.1,,
2017-11-30T00:10:07.817Z,,,,55,45.1,,
2017-11-30T00:10:17.818Z,,,,55,45.1,,
2017-11-30T00:10:27.817Z,,,,55,45,,
2017-11-30T00:10:37.907Z,,,,55,45,,
2017-11-30T00:10:47.817Z,,,,55,44.9,,
2017-11-30T00:10:57.817Z,,,,55,44.9,,
2017-11-30T00:11:07.817Z,,,,55,44.8,,
2017-11-30T00:11:23.831Z,,,,55,44.8,,
2017-11-30T00:11:27.819Z,,,,55,44.7,,
2017-11-30T00:11:37.918Z,,,,55,44.7,,
2017-11-30T00:11:47.830Z,,,,55,44.5,,
2017-11-30T00:11:57.851Z,1,,0,55,44.5,,
2017-11-30T00:12:07.831Z,,61.6,,,,,80
2017-11-30T00:12:17.818Z,,65.7,,55,44.4,,41
2017-11-30T00:12:27.817Z,,62.9,,,,,29
2017-11-30T00:12:37.910Z,,58.1,,55,44.3,,
2017-11-30T00:12:48.823Z,,54.8,,55,44.2,,
2017-11-30T00:12:57.818Z,,53.6,,55,44.2,,
2017-11-30T00:13:07.818Z,,53.4,,55,44.2,,
2017-11-30T00:13:17.825Z,,54.4,,55,44.1,,
2017-11-30T00:13:27.818Z,,55,,,,,
2017-11-30T00:13:37.907Z,,55.1,,55,44.1,,
2017-11-30T00:13:47.819Z,,55.2,,55,44.1,,
2017-11-30T00:13:57.817Z,,55.3,,55,44.1,,
2017-11-30T00:14:07.818Z,,55.6,,55,44.1,,
2017-11-30T00:14:17.823Z,,55.8,,55,44.1,,
2017-11-30T00:14:27.817Z,,56,,55,44.2,,
2017-11-30T00:14:37.903Z,,56.2,,55,44.2,,
2017-11-30T00:14:47.823Z,,56.3,,55,44.2,,
2017-11-30T00:14:57.820Z,,56.5,,55,44.3,,
2017-11-30T00:15:07.817Z,,56.7,,55,44.3,,
2017-11-30T00:15:18.033Z,,57,,55,44.3,,
2017-11-30T00:15:27.818Z,,57.1,,,,,
2017-11-30T00:15:38.993Z,,57.2,,55,44.4,,
2017-11-30T00:15:47.824Z,,57.4,,55,44.4,,
2017-11-30T00:15:57.820Z,,57.6,,55,44.5,,
2017-11-30T00:16:07.822Z,,57.8,,55,44.5,,
2017-11-30T00:16:17.825Z,,58,,55,44.7,,
2017-11-30T00:16:27.818Z,,58.1,,55,44.7,,
2017-11-30T00:16:37.920Z,,58.4,,55,44.8,,
2017-11-30T00:16:47.819Z,,58.5,,55,44.8,,
2017-11-30T00:16:57.817Z,,58.7,,55,44.9,,
2017-11-30T00:17:07.817Z,,58.8,,55,45,,
2017-11-30T00:17:17.823Z,,59.1,,55,45,,
2017-11-30T00:17:27.818Z,,59.2,,55,45.1,,
2017-11-30T00:17:37.914Z,,59.4,,55,45.1,,
2017-11-30T00:17:47.818Z,,59.5,,55,45.2,,
2017-11-30T00:17:57.818Z,,59.7,,55,45.3,,
2017-11-30T00:18:07.840Z,,59.8,,55,45.3,,
2017-11-30T00:18:17.818Z,1,60.1,0,55,45.5,,0
2017-11-30T00:18:28.831Z,,58.9,,,,,
2017-11-30T00:18:38.022Z,,57.4,,55,45.6,,
2017-11-30T00:18:47.818Z,,56.6,,55,45.7,,
2017-11-30T00:18:57.818Z,,56.4,,55,45.8,,
2017-11-30T00:19:07.818Z,,56.5,,55,45.8,,
2017-11-30T00:19:17.820Z,,56.7,,55,45.9,,
2017-11-30T00:19:27.823Z,,,,55,46,,
2017-11-30T00:19:37.921Z,,56.4,,55,46,,
2017-11-30T00:19:47.818Z,,56.1,,55,46.1,,
2017-11-30T00:19:57.820Z,,55.9,,55,46.1,,
2017-11-30T00:20:07.818Z,,55.7,,55,46.1,,
2017-11-30T00:20:17.819Z,,55.5,,55,46.1,,
2017-11-30T00:20:27.825Z,,55.3,,,,,
2017-11-30T00:20:37.902Z,,55.1,,55,46.1,,
2017-11-30T00:20:47.827Z,,54.9,,55,46.1,,
2017-11-30T00:20:57.819Z,,54.8,,55,46.1,,
2017-11-30T00:21:07.824Z,,54.6,,55,46.1,,
2017-11-30T00:21:18.828Z,,54.4,,55,46,,
2017-11-30T00:21:27.829Z,,,,55,46,,
2017-11-30T00:21:37.910Z,,54.7,,55,46,,
2017-11-30T00:21:47.819Z,,54.8,,55,45.9,,
2017-11-30T00:21:57.819Z,,54.9,,55,45.9,,
2017-11-30T00:22:07.824Z,,55,,,,,
2017-11-30T00:22:17.823Z,,55.1,,55,45.8,,
2017-11-30T00:22:27.822Z,,55.2,,55,45.8,,
2017-11-30T00:22:37.900Z,,,,55,45.7,,
2017-11-30T00:22:47.828Z,,55.3,,,,,
2017-11-30T00:22:57.819Z,,55.5,,55,45.7,,
2017-11-30T00:23:07.823Z,,,,55,45.6,,
2017-11-30T00:23:17.821Z,,55.6,,55,45.6,,
2017-11-30T00:23:27.819Z,,55.7,,55,45.6,,
2017-11-30T00:23:37.913Z,,,,55,45.5,,
2017-11-30T00:23:47.821Z,,,,55,45.5,,
2017-11-30T00:23:57.819Z,,55.8,,55,45.3,,
2017-11-30T00:24:13.049Z,,,,55,45.3,,
2017-11-30T00:24:17.818Z,,55.9,,55,45.3,,
2017-11-30T00:24:27.825Z,,,,55,45.2,,
2017-11-30T00:24:37.942Z,,56,,55,45.2,,
2017-11-30T00:24:47.868Z,,,,55,45.1,,
2017-11-30T00:24:57.821Z,,,,55,45.1,,
2017-11-30T00:25:07.825Z,,56.1,,55,45,,
2017-11-30T00:25:17.819Z,,,,55,45,,
2017-11-30T00:25:27.821Z,,,,55,44.9,,
2017-11-30T00:25:37.909Z,,,,55,44.9,,
2017-11-30T00:25:57.821Z,,56.2,,55,44.8,,
2017-11-30T00:26:07.819Z,,,,55,44.7,,
2017-11-30T00:26:27.819Z,,,,55,44.5,,
2017-11-30T00:26:37.910Z,,,,55,44.5,,
2017-11-30T00:26:47.819Z,,,,55,44.5,,
2017-11-30T00:26:59.951Z,,,,55,44.4,,
2017-11-30T00:27:07.819Z,,,,55,44.4,,
2017-11-30T00:27:17.824Z,,,,55,44.3,,
2017-11-30T00:27:27.819Z,,,,55,44.3,,
2017-11-30T00:27:37.913Z,,56.4,,55,44.2,,
2017-11-30T00:27:47.837Z,,,,55,44.2,,
2017-11-30T00:27:57.837Z,,,,55,44.1,,
2017-11-30T00:28:07.819Z,,,,55,44.1,,
2017-11-30T00:28:17.825Z,,,,55,44,,
2017-11-30T00:28:27.819Z,,,,55,44,,
2017-11-30T00:28:37.911Z,,,,55,43.9,,
2017-11-30T00:28:57.830Z,,,,55,43.7,,
2017-11-30T00:29:07.819Z,,,,55,43.7,,
2017-11-30T00:29:17.830Z,,56.2,,,,,
2017-11-30T00:29:27.819Z,,,,55,43.6,,
2017-11-30T00:29:37.913Z,,,,55,43.5,,
2017-11-30T00:29:47.929Z,1,,0,,,,
2017-11-30T00:29:57.822Z,,61,,55,43.5,,80
2017-11-30T00:30:07.824Z,,64.8,,55,43.4,,41
2017-11-30T00:30:17.822Z,,61.9,,55,43.4,,29
2017-11-30T00:30:27.828Z,,56.5,,,,,
2017-11-30T00:30:37.909Z,,53.3,,55,43.3,,
2017-11-30T00:30:47.829Z,,51.8,,55,43.3,,
2017-11-30T00:30:57.820Z,,51.6,,55,43.2,,
2017-11-30T00:31:07.825Z,,52.8,,55,43.2,,
2017-11-30T00:31:18.814Z,,53.3,,,,,
2017-11-30T00:31:27.819Z,,,,55,43.1,,
2017-11-30T00:31:37.911Z,,,,55,43.1,,
2017-11-30T00:31:47.840Z,,53.4,,55,43.1,,
2017-11-30T00:31:57.822Z,,53.6,,55,43.1,,
2017-11-30T00:32:07.822Z,,53.9,,55,43.1,,
2017-11-30T00:32:17.826Z,,54,,55,43.1,,
2017-11-30T00:32:27.820Z,,54.1,,55,43.1,,
2017-11-30T00:32:37.910Z,,54.3,,55,43.2,,
2017-11-30T00:32:57.819Z,,54.4,,55,43.2,,
2017-11-30T00:33:07.822Z,,54.7,,55,43.2,,
2017-11-30T00:33:17.831Z,,54.8,,,,,
2017-11-30T00:33:27.820Z,,,,55,43.3,,
