Time,HwTSet,PrimTSet,PrimT,ChActive,HwTOutlet,ActPow,HwActive
2017-12-02T00:00:06.085Z,55,,,,31.7,,
2017-12-02T00:00:16.086Z,55,,,,31.7,,
2017-12-02T00:00:26.086Z,55,,,,31.6,,
2017-12-02T00:00:36.085Z,55,,50.6,,31.6,,
2017-12-02T00:00:46.195Z,55,,,,31.6,,
2017-12-02T00:00:56.086Z,55,,,,31.6,,
2017-12-02T00:01:06.092Z,55,,,,31.5,,
2017-12-02T00:01:16.085Z,55,,50.4,,31.5,,
2017-12-02T00:01:26.085Z,55,,,,31.5,,
2017-12-02T00:01:41.104Z,55,,,,31.5,,
2017-12-02T00:01:46.184Z,55,,,,31.5,,
2017-12-02T00:01:56.085Z,55,,,,31.4,,
2017-12-02T00:02:06.087Z,55,,50.3,,31.4,,
2017-12-02T00:02:16.089Z,55,,,,31.4,,
2017-12-02T00:02:26.087Z,55,,,,31.4,,
2017-12-02T00:02:36.087Z,55,,,,31.2,,
2017-12-02T00:02:46.165Z,55,,,,31.2,,
2017-12-02T00:02:56.087Z,55,,50.2,,31.2,,
2017-12-02T00:03:06.084Z,55,,,,31.2,,
2017-12-02T00:03:16.084Z,55,,,,31.2,,
2017-12-02T00:03:26.084Z,55,,,,31.1,,
2017-12-02T00:03:36.086Z,55,,,,31.1,,
2017-12-02T00:03:46.167Z,55,,50.1,,31.1,,
2017-12-02T00:03:56.085Z,55,,,,31.1,,
2017-12-02T00:04:06.084Z,55,,,,31,,
2017-12-02T00:04:16.088Z,55,,,,31,,
2017-12-02T00:04:31.111Z,55,,,,31,,
2017-12-02T00:04:36.088Z,55,,50,,31,,
2017-12-02T00:04:46.165Z,55,,,,31,,
2017-12-02T00:04:56.085Z,55,,,,30.9,,
2017-12-02T00:05:06.085Z,55,,,,30.9,,
2017-12-02T00:05:16.088Z,55,,49.9,,30.9,,
2017-12-02T00:05:26.085Z,55,,,,30.9,,
2017-12-02T00:05:36.089Z,55,,,,30.9,,
2017-12-02T00:05:46.166Z,55,,,,30.7,,
2017-12-02T00:05:56.088Z,55,,,,30.7,,
2017-12-02T00:06:06.089Z,55,,,,30.7,,
2017-12-02T00:06:16.088Z,55,,49.8,,30.7,,
2017-12-02T00:06:26.089Z,55,,,,30.7,,
2017-12-02T00:06:36.089Z,55,,,,30.6,,
2017-12-02T00:06:46.228Z,55,,,,30.6,,
2017-12-02T00:06:56.087Z,55,,,,30.6,,
2017-12-02T00:07:06.085Z,55,,49.7,,30.6,,
2017-12-02T00:07:22.099Z,55,,,,30.6,,
2017-12-02T00:07:26.085Z,55,,,,30.5,,
2017-12-02T00:07:36.085Z,55,,,,30.5,,
2017-12-02T00:07:46.175Z,55,,,,30.5,,
2017-12-02T00:07:56.086Z,55,,49.5,,30.5,,
2017-12-02T00:08:06.086Z,55,,,,30.5,,
2017-12-02T00:08:16.085Z,55,,,,30.4,,
2017-12-02T00:08:26.085Z,55,,,,30.4,,
2017-12-02T00:08:36.085Z,55,,,,30.4,,
2017-12-02T00:08:46.165Z,55,,49.4,,30.4,,
2017-12-02T00:08:56.086Z,55,,,,30.4,,
2017-12-02T00:09:06.091Z,55,,,,30.2,,
2017-12-02T00:09:16.087Z,55,,,,30.2,,
2017-12-02T00:09:26.090Z,55,,,,30.2,,
2017-12-02T00:09:36.085Z,55,,,,30.2,,
2017-12-02T00:09:46.167Z,55,,49.3,,30.2,,
2017-12-02T00:09:56.086Z,55,,,,30.1,,
2017-12-02T00:10:06.092Z,55,,,,30.1,,
