Time,PrimT,HwTSet,ActPow,HwTOutlet,PrimTSet,ChActive,HwActive
2017-12-03T00:00:06.272Z,37.8,55,,31.6,,,
2017-12-03T00:00:16.270Z,34.7,55,,31.6,,,
2017-12-03T00:00:26.272Z,33.9,55,,31.5,,,
2017-12-03T00:00:36.270Z,34,55,,31.5,,,
2017-12-03T00:00:46.368Z,36,55,,31.5,,,
2017-12-03T00:00:56.273Z,36.2,55,,31.5,,,
2017-12-03T00:01:06.276Z,,55,,31.5,,,
2017-12-03T00:01:16.270Z,36,55,,31.5,,,
2017-12-03T00:01:26.274Z,35.9,55,,31.4,,,
2017-12-03T00:01:36.271Z,36.1,55,,31.4,,,
2017-12-03T00:01:46.356Z,36.5,55,,31.4,,,
2017-12-03T00:01:56.271Z,37,55,,31.4,,,
2017-12-03T00:02:06.271Z,,55,,31.4,,,
2017-12-03T00:02:16.271Z,37.3,55,,31.4,,,
2017-12-03T00:02:26.271Z,37.5,55,,31.4,,,
2017-12-03T00:02:36.271Z,38,55,,31.4,,,
2017-12-03T00:02:46.353Z,38.1,55,,31.2,,,
2017-12-03T00:02:56.271Z,38.4,55,,31.2,,,
2017-12-03T00:03:06.278Z,38.6,55,,31.2,,,
2017-12-03T00:03:16.270Z,39,55,,31.2,,,
2017-12-03T00:03:26.271Z,39.1,55,,31.2,,,
2017-12-03T00:03:36.271Z,39.4,55,,31.2,,,
2017-12-03T00:03:46.351Z,39.7,55,,31.2,,,
2017-12-03T00:03:56.271Z,40,55,,31.1,,,
2017-12-03T00:04:06.271Z,40.1,55,,31.1,,,
2017-12-03T00:04:16.271Z,40.5,55,,31.1,,,
2017-12-03T00:04:26.272Z,41.1,55,0,31.1,,1,0
2017-12-03T00:04:36.271Z,40.9,55,,31.1,,,
2017-12-03T00:04:46.356Z,38.8,55,,31.1,,,
2017-12-03T00:04:56.271Z,37.3,55,,31.1,,,
2017-12-03T00:05:06.271Z,36.9,55,,31.1,,,
2017-12-03T00:05:16.271Z,36.7,55,,31.1,,,
2017-12-03T00:05:26.271Z,37,55,,31.1,,,
2017-12-03T00:05:36.271Z,37.1,55,,31.1,,,
2017-12-03T00:05:46.351Z,37.3,55,,31.1,,,
2017-12-03T00:05:56.271Z,36.9,55,,31.1,,,
2017-12-03T00:06:06.271Z,36.8,55,,31.1,,,
2017-12-03T00:06:16.273Z,36.4,55,,31.1,,,
2017-12-03T00:06:26.272Z,36.3,55,,31.1,,,
2017-12-03T00:06:36.271Z,36,55,,31.1,,,
2017-12-03T00:06:46.351Z,35.9,55,,31.1,,,
2017-12-03T00:06:56.271Z,,55,,31.1,,,
2017-12-03T00:07:06.271Z,35.7,55,,31.1,,,
2017-12-03T00:07:16.272Z,35.6,55,,31.1,,,
2017-12-03T00:07:26.271Z,35.4,55,,31.1,,,
2017-12-03T00:07:36.272Z,35.3,55,,31.1,,,
2017-12-03T00:07:46.352Z,35.6,55,,31.1,,,
2017-12-03T00:07:56.272Z,35.8,55,,31.1,,,
2017-12-03T00:08:07.275Z,36,55,,31.1,,,
2017-12-03T00:08:16.271Z,36.2,55,,31.1,,,
2017-12-03T00:08:26.272Z,36.3,55,,31.1,,,
2017-12-03T00:08:36.315Z,36.4,55,,31.1,,,
2017-12-03T00:08:46.311Z,36.5,55,,31.1,,,
2017-12-03T00:08:56.273Z,36.7,55,,31.1,,,
2017-12-03T00:09:06.271Z,36.8,55,,31.1,,,
2017-12-03T00:09:16.272Z,37,55,,31.1,,,
2017-12-03T00:09:26.271Z,,55,,31.1,,,
2017-12-03T00:09:36.276Z,37.2,55,,31.1,,,
2017-12-03T00:09:46.367Z,,55,,31,,,
2017-12-03T00:09:56.272Z,37.3,55,,31,,,
2017-12-03T00:10:06.272Z,37.4,55,,31,,,
2017-12-03T00:10:16.274Z,,55,,31,,,
2017-12-03T00:10:26.272Z,37.5,55,,31,,,
2017-12-03T00:10:36.276Z,37.7,55,,31,,,
2017-12-03T00:10:46.357Z,,55,,31,,,
2017-12-03T00:10:57.269Z,37.8,55,,30.9,,,
2017-12-03T00:11:06.272Z,,55,,30.9,,,
2017-12-03T00:11:16.272Z,37.9,55,,30.9,,,
2017-12-03T00:11:26.272Z,38,55,,30.9,,,
2017-12-03T00:11:36.275Z,,55,,30.7,,,
2017-12-03T00:11:46.351Z,,55,,30.7,,,
2017-12-03T00:11:56.272Z,38.1,55,,30.7,,,
2017-12-03T00:12:06.272Z,,55,,30.7,,,
2017-12-03T00:12:16.272Z,,55,,30.7,,,
2017-12-03T00:12:26.272Z,38.3,55,,30.7,,,
2017-12-03T00:12:36.272Z,,55,,30.6,,,
2017-12-03T00:12:46.352Z,,55,,30.6,,,
2017-12-03T00:12:56.272Z,,55,,30.6,,,
2017-12-03T00:13:06.272Z,38.4,55,0,30.6,75,1,0
2017-12-03T00:13:16.272Z,,55,,30.6,,,
2017-12-03T00:13:26.272Z,,55,,30.5,,,
2017-12-03T00:13:36.272Z,,55,,30.5,,,
2017-12-03T00:13:47.442Z,38.5,55,,30.5,,,
2017-12-03T00:13:56.272Z,,55,,30.5,,,
2017-12-03T00:14:06.272Z,,55,,30.4,,,
2017-12-03T00:14:16.272Z,,55,,30.4,,,
2017-12-03T00:14:26.273Z,41.4,55,80,30.4,,1,0
2017-12-03T00:14:36.273Z,47.2,55,59,30.4,,,
2017-12-03T00:14:46.352Z,48.8,55,29,30.2,,,
2017-12-03T00:14:56.273Z,44.7,55,,30.2,,,
2017-12-03T00:15:06.273Z,41.9,55,,30.2,,,
2017-12-03T00:15:16.334Z,40.8,55,,30.2,,,
2017-12-03T00:15:26.273Z,39.8,55,,30.2,,,
2017-12-03T00:15:36.272Z,39,55,,30.2,,,
2017-12-03T00:15:46.354Z,40,55,,30.1,,,
2017-12-03T00:15:56.272Z,41,55,,30.1,,,
