Time,PrimTSet,PrimT,HwTSet,HwTOutlet,ActPow,ChActive,HwActive
2017-12-04T00:00:06.455Z,,,55,47.5,,,
2017-12-04T00:00:16.455Z,,68.9,,,,,
2017-12-04T00:00:26.455Z,,68.5,55,47.6,,,
2017-12-04T00:00:36.456Z,,,55,47.7,,,
2017-12-04T00:00:46.537Z,,68.2,55,47.7,,,
2017-12-04T00:00:56.456Z,,67.9,,,,,
2017-12-04T00:01:06.460Z,,68,55,47.8,,,
2017-12-04T00:01:16.456Z,,68.1,55,47.8,,,
2017-12-04T00:01:26.456Z,,,55,47.8,,,
2017-12-04T00:01:36.456Z,,68.2,,,,,
2017-12-04T00:01:51.556Z,,68.4,55,48.1,,,
2017-12-04T00:01:56.455Z,,,55,48.7,,,
2017-12-04T00:02:06.460Z,,,55,49.2,,,
2017-12-04T00:02:16.456Z,,68.6,,,,,
2017-12-04T00:02:26.456Z,,,55,50.1,,,
2017-12-04T00:02:46.547Z,,68.7,55,50.8,,,
2017-12-04T00:03:06.461Z,,68.9,55,51.2,,,
2017-12-04T00:03:16.460Z,,,55,51.6,,,
2017-12-04T00:03:36.458Z,,69,55,51.8,,,
2017-12-04T00:03:46.536Z,,,55,51.9,,,
2017-12-04T00:03:56.456Z,,,55,52.2,,,
2017-12-04T00:04:06.456Z,,,55,52.3,,,
2017-12-04T00:04:16.458Z,,69.1,,,,,
2017-12-04T00:04:26.458Z,,,55,52.4,,,
2017-12-04T00:04:36.471Z,,,55,52.6,,,
2017-12-04T00:04:46.540Z,,,55,52.6,,,
2017-12-04T00:05:06.458Z,,,55,52.7,,,
2017-12-04T00:05:16.460Z,,69.2,55,52.7,,,
2017-12-04T00:05:36.461Z,,,55,52.8,,,
2017-12-04T00:05:46.536Z,,,55,52.8,,,
2017-12-04T00:06:06.767Z,,,55,52.7,,,
2017-12-04T00:06:16.461Z,,,55,52.7,,,
2017-12-04T00:06:36.456Z,,,55,52.7,,,
2017-12-04T00:06:46.536Z,,,55,52.6,,,
2017-12-04T00:07:06.457Z,,,55,52.6,,,
2017-12-04T00:07:26.461Z,,,55,52.4,,,
2017-12-04T00:07:36.456Z,,,55,52.3,,,
2017-12-04T00:07:46.536Z,,,55,52.3,,,
2017-12-04T00:08:06.456Z,,,55,52.1,,,
2017-12-04T00:08:16.461Z,,,55,52.1,,,
2017-12-04T00:08:36.457Z,,69.1,55,52,,,
2017-12-04T00:08:46.537Z,,,55,51.9,,,
2017-12-04T00:09:06.463Z,,,55,51.8,,,
2017-12-04T00:09:16.457Z,,,55,51.7,,,
2017-12-04T00:09:36.457Z,,,55,51.6,,,
2017-12-04T00:09:46.552Z,,,55,51.6,,,
2017-12-04T00:09:56.457Z,,69,55,51.4,,,
2017-12-04T00:10:06.456Z,,,55,51.3,,,
2017-12-04T00:10:16.457Z,,,55,51.2,,,
2017-12-04T00:10:36.459Z,,,55,51.1,,,
2017-12-04T00:10:56.462Z,,,55,51,,,
2017-12-04T00:11:06.457Z,,68.9,55,50.9,,,
2017-12-04T00:11:16.462Z,,,55,50.8,,,
2017-12-04T00:11:36.457Z,,,55,50.7,,,
2017-12-04T00:11:46.537Z,,,55,50.6,,,
2017-12-04T00:11:56.458Z,,,55,50.4,,,
