Time,ActPow,HwActive,PrimTSet,HwTOutlet,PrimT,ChActive,HwTSet
2017-12-05T00:00:06.642Z,,,,58.3,62.3,,55
2017-12-05T00:00:16.642Z,,,,57.4,63.2,,55
2017-12-05T00:00:26.642Z,,0,59,59.9,62.2,0,55
2017-12-05T00:00:36.642Z,,,,57.3,57.5,,55
2017-12-05T00:00:46.722Z,,,,55.9,56.5,,55
2017-12-05T00:00:56.642Z,,,,55.1,,,55
2017-12-05T00:01:11.730Z,,,,54.6,56.6,,55
2017-12-05T00:01:16.642Z,,,,54.2,,,55
2017-12-05T00:01:26.642Z,,,5,54,56.7,,55
2017-12-05T00:01:36.642Z,,0,59,53.8,,0,55
2017-12-05T00:01:46.722Z,,,,54.1,55.7,,55
2017-12-05T00:17:26.697Z,,,5,50.7,54.9,,55
2017-12-05T00:17:36.646Z,,,,50.3,51.7,,55
2017-12-05T00:17:46.646Z,,,,50.3,52,,55
2017-12-05T00:17:56.646Z,,,,50.4,52.2,,55
2017-12-05T00:18:06.646Z,,,,50.6,52.4,,55
2017-12-05T00:18:16.963Z,,,,50.6,52.5,,55
2017-12-05T00:18:26.646Z,,,,50.6,52.7,,55
2017-12-05T00:18:36.651Z,,,,50.7,53,,55
2017-12-05T00:18:46.649Z,,,,50.7,53.1,,55
2017-12-05T00:18:56.667Z,,,,50.7,53.3,,55
2017-12-05T00:19:06.649Z,,,,50.7,53.4,,55
2017-12-05T00:19:16.649Z,,,,50.8,53.6,,55
2017-12-05T00:19:26.647Z,,,,50.8,53.7,,55
2017-12-05T00:19:36.646Z,,,,50.8,53.9,,55
2017-12-05T00:19:46.649Z,,,,50.8,54,,55
2017-12-05T00:19:56.654Z,,,,50.7,54.2,,55
2017-12-05T00:20:06.647Z,,,,50.7,54.3,,55
2017-12-05T00:20:16.647Z,,,,50.7,54.4,,55
2017-12-05T00:20:26.664Z,,,,50.7,54.5,,55
2017-12-05T00:20:36.646Z,,,,50.7,54.8,,55
2017-12-05T00:20:46.647Z,,,,50.7,55,,55
2017-12-05T00:20:56.649Z,,,,50.6,55.1,,55
2017-12-05T00:21:07.645Z,,,,50.6,55.2,,55
2017-12-05T00:21:16.649Z,,,,50.6,55.3,,55
2017-12-05T00:21:26.649Z,,,,50.6,55.5,,55
2017-12-05T00:21:36.646Z,,,,50.4,55.7,,55
2017-12-05T00:21:46.647Z,,,,50.4,,,55
2017-12-05T00:21:56.647Z,,,,50.4,55.9,,55
2017-12-05T00:22:06.648Z,,,,50.3,56,,55
2017-12-05T00:22:16.648Z,,,,50.3,56.2,,55
2017-12-05T00:22:26.648Z,,,,50.3,56.3,,55
2017-12-05T00:22:36.647Z,,,,50.2,56.5,,55
2017-12-05T00:22:46.647Z,,,,50.2,56.6,,55
