Time,PrimTSet,ChActive,HwTOutlet,HwTSet,HwActive,ActPow,PrimT
2017-12-08T09:28:31.293Z,,,43.3,55,,,53.6
2017-12-08T09:28:42.176Z,,,43.3,55,,,53.3
2017-12-08T09:28:51.278Z,,,43.3,55,,,53.2
2017-12-08T09:29:01.278Z,,,43.3,55,,,52.9
2017-12-08T09:29:11.283Z,,,43.3,55,,,52.8
2017-12-08T09:29:21.284Z,,,43.3,55,,,52.7
2017-12-08T09:29:31.315Z,,,43.3,55,,,
2017-12-08T09:29:41.284Z,,,43.3,55,,,53
2017-12-08T09:29:51.289Z,,,43.3,55,,,
2017-12-08T09:30:01.276Z,,,43.3,55,,,53.1
2017-12-08T09:30:11.281Z,,,43.3,55,,,53.2
2017-12-08T09:30:21.283Z,,,43.2,55,,,53.3
2017-12-08T09:30:31.285Z,,,43.2,55,,,53.4
2017-12-08T09:30:41.279Z,,,43.2,55,,,
2017-12-08T09:30:51.280Z,,,43.2,55,,,53.6
2017-12-08T09:31:01.286Z,,,43.2,55,,,53.7
2017-12-08T09:31:11.446Z,,,43.2,55,,,
2017-12-08T09:31:21.346Z,,,43.1,55,,,53.8
2017-12-08T09:31:32.277Z,,,43.1,55,,,
2017-12-08T09:31:41.291Z,,,43.1,55,,,53.9
2017-12-08T09:31:51.281Z,,,43.1,55,,,
2017-12-08T09:32:01.277Z,,,43.1,55,,,54
2017-12-08T09:32:11.327Z,,,43,55,,,
2017-12-08T09:32:21.280Z,,,43,55,,,54.1
2017-12-08T09:32:31.281Z,,,43,55,,,
2017-12-08T09:32:41.278Z,,,43,55,,,
2017-12-08T09:32:51.282Z,,,43,55,,,54.2
2017-12-08T09:33:01.282Z,,,42.8,55,,,
2017-12-08T09:33:11.277Z,,,42.8,55,,,
2017-12-08T09:33:21.281Z,,,42.8,55,,,54.3
2017-12-08T09:33:31.377Z,,,42.8,55,,,
2017-12-08T09:33:41.385Z,,,42.7,55,,,
2017-12-08T09:33:51.373Z,,,42.7,55,,,
2017-12-08T09:34:01.337Z,,,42.7,55,,,54.4
2017-12-08T09:34:11.360Z,,,42.6,55,,,
2017-12-08T09:34:22.341Z,,,42.6,55,,,
2017-12-08T09:34:31.366Z,,,42.6,55,,,
2017-12-08T09:34:41.380Z,,,42.5,55,,,
2017-12-08T09:34:51.331Z,,,42.5,55,,,
2017-12-08T09:35:01.340Z,,,42.5,55,,,
2017-12-08T09:35:11.420Z,,1,42.4,55,0,80,58.1
2017-12-08T09:35:21.392Z,,,42.4,55,,52,63.3
2017-12-08T09:35:31.319Z,,,42.3,55,,29,62.8
2017-12-08T09:35:41.346Z,,,42.3,55,,,57.6
2017-12-08T09:35:51.288Z,,,42.3,55,,,54.8
2017-12-08T09:36:01.282Z,,,42.2,55,,,53.7
2017-12-08T09:36:11.276Z,,,42.2,55,,,52.8
2017-12-08T09:36:21.274Z,,,42.2,55,,,53.1
2017-12-08T09:36:31.275Z,,,42.2,55,,,54.1
2017-12-08T09:36:41.349Z,,,42.2,55,,,54.4
2017-12-08T09:36:51.324Z,,,42.2,55,,,54.3
2017-12-08T09:37:01.357Z,,,42.2,55,,,54.5
2017-12-08T09:37:12.279Z,,,42.2,55,,,55
2017-12-08T09:37:21.289Z,,,42.2,55,,,55.1
2017-12-08T09:37:31.286Z,,,42.2,55,,,55.3
2017-12-08T09:37:41.334Z,,,42.3,55,,,55.6
2017-12-08T09:37:51.285Z,,,42.3,55,,,55.7
2017-12-08T09:38:01.300Z,,,42.4,55,,,55.9
2017-12-08T09:38:11.278Z,,,42.4,55,,,56.2
2017-12-08T09:38:21.284Z,,1,42.5,55,0,0,56.7
2017-12-08T09:40:02.269Z,,,43.2,55,,,52.9
2017-12-08T09:40:11.279Z,,,43.2,55,,,
2017-12-08T09:40:21.287Z,,,43.3,55,,,52.8
2017-12-08T09:40:31.291Z,,,43.3,55,,,52.6
2017-12-08T09:40:41.292Z,,,43.3,55,,,52.4
2017-12-08T09:40:51.276Z,,,43.3,55,,,52.2
2017-12-08T09:41:01.288Z,,,43.3,55,,,52.1
2017-12-08T09:41:11.286Z,,,43.3,55,,,51.9
2017-12-08T09:41:21.278Z,,,43.3,55,,,51.7
2017-12-08T09:41:31.292Z,,,43.3,55,,,
2017-12-08T09:41:41.279Z,,,43.3,55,,,51.8
2017-12-08T09:41:51.278Z,,,43.2,55,,,52
2017-12-08T09:42:01.287Z,,,43.2,55,,,
2017-12-08T09:42:11.402Z,,,43.2,55,,,52.1
2017-12-08T09:42:21.299Z,,,43.2,55,,,52.2
2017-12-08T09:42:31.277Z,,,43.1,55,,,52.3
2017-12-08T09:42:41.287Z,,,43.1,55,,,52.4
2017-12-08T09:42:56.297Z,,,43.1,55,,,
2017-12-08T09:43:01.280Z,,,43.1,55,,,52.6
2017-12-08T09:43:11.321Z,,,43,55,,,
2017-12-08T09:43:21.278Z,,,43,55,,,52.7
2017-12-08T09:43:31.298Z,,,43,55,,,52.8
2017-12-08T09:43:41.276Z,,,43,55,,,
2017-12-08T09:43:51.332Z,,,42.8,55,,,52.9
2017-12-08T09:44:01.290Z,,,42.8,55,,,
2017-12-08T09:44:11.315Z,,,42.8,55,,,
