Time,ActPow,HwTSet,HwTOutlet,HwActive,ChActive,PrimT,PrimTSet
2017-12-09T00:00:01.390Z,,55,51.1,,,64.2,
2017-12-09T00:00:11.390Z,,55,51.1,,,64,
2017-12-09T00:00:21.391Z,,55,51.1,,,63.7,
2017-12-09T00:00:31.390Z,,55,51.1,,,63.5,
2017-12-09T00:00:41.391Z,,55,51.1,,,63.3,
2017-12-09T00:00:51.391Z,,55,51.1,,,63,
2017-12-09T00:01:01.391Z,,55,51,,,62.8,
2017-12-09T00:01:11.390Z,,55,51,,,62.6,
2017-12-09T00:01:21.391Z,,55,51,,,,
2017-12-09T00:01:31.391Z,,55,51,,,62.8,
2017-12-09T00:01:41.390Z,,55,50.9,,,62.9,
2017-12-09T00:01:51.399Z,,55,50.9,,,63,
2017-12-09T00:02:01.391Z,,55,50.9,,,,
2017-12-09T00:02:11.391Z,,55,50.9,,,63.1,
2017-12-09T00:02:21.391Z,,55,50.9,,,63.3,
2017-12-09T00:02:31.399Z,,55,50.9,,,,
2017-12-09T00:02:41.395Z,,55,50.9,,,63.4,
2017-12-09T00:02:51.391Z,,55,51,,,,
2017-12-09T00:03:01.390Z,,55,51,,,63.5,
2017-12-09T00:03:11.391Z,,55,51,,,,
2017-12-09T00:03:21.405Z,,55,51,,,63.6,
2017-12-09T00:03:31.391Z,,55,51,,,,
2017-12-09T00:03:42.423Z,,55,51,,,,
2017-12-09T00:03:51.392Z,,55,51,,,63.7,
2017-12-09T00:04:01.393Z,,55,51,,,,
2017-12-09T00:04:12.384Z,,55,51,,,,
2017-12-09T00:04:21.392Z,,55,51,,,63.8,
2017-12-09T00:04:31.391Z,,55,51,,,,
2017-12-09T00:04:41.391Z,,55,51,,,,
2017-12-09T00:04:51.397Z,,55,50.9,,,,
2017-12-09T00:05:01.391Z,,55,50.9,,,64,
2017-12-09T00:05:11.393Z,,55,50.9,,,,
2017-12-09T00:05:21.392Z,,55,50.9,,,,
2017-12-09T00:05:31.391Z,,55,50.8,,,,
2017-12-09T00:05:41.391Z,,55,50.8,,,,
2017-12-09T00:05:51.391Z,,55,50.8,,,,
2017-12-09T00:06:01.391Z,,55,50.7,,,,
2017-12-09T00:06:11.392Z,,55,50.7,,,,
2017-12-09T00:06:21.494Z,,55,50.7,,,,
2017-12-09T00:06:31.391Z,,55,50.6,,,,
2017-12-09T00:06:41.391Z,,55,50.6,,,,
2017-12-09T00:06:51.392Z,,55,50.4,,,,
2017-12-09T00:07:02.388Z,,55,50.4,,,,
2017-12-09T00:07:11.391Z,,55,50.3,,,,
2017-12-09T00:07:21.392Z,,55,50.3,,,,
2017-12-09T00:07:31.391Z,,55,50.2,,,,
2017-12-09T00:07:41.391Z,,55,50.2,,,,
2017-12-09T00:07:51.392Z,,55,50.1,,,,
2017-12-09T00:08:01.391Z,,55,50,,,,
2017-12-09T00:08:11.393Z,,55,50,,,,
2017-12-09T00:08:21.391Z,,55,49.9,,,,
2017-12-09T00:08:31.391Z,,55,49.9,,,,
2017-12-09T00:08:41.392Z,,55,49.8,,,,
2017-12-09T00:08:51.392Z,,55,49.8,,,,
2017-12-09T00:09:01.391Z,,55,49.7,,,64,
2017-12-09T00:09:11.395Z,,55,49.5,,,64,
2017-12-09T00:09:21.398Z,,55,49.5,,,63.8,
2017-12-09T00:09:31.392Z,,55,49.4,,,,
2017-12-09T00:09:41.391Z,,55,49.3,,,,
2017-12-09T00:09:56.413Z,,55,49.3,,,,
2017-12-09T00:10:01.394Z,79,55,49.2,0,2,67.6,
2017-12-09T00:10:11.392Z,51,55,49.1,,,71.4,
2017-12-09T00:10:21.391Z,29,55,49.1,,,69.4,
2017-12-09T00:10:31.392Z,,55,49,,,63.6,
2017-12-09T00:10:41.391Z,,55,49,,,58.9,
2017-12-09T00:10:51.392Z,,55,48.9,,,57.8,
2017-12-09T00:11:01.392Z,,55,48.9,,,57.4,
2017-12-09T00:11:11.392Z,,55,48.7,,,58.5,
2017-12-09T00:11:21.392Z,,55,48.7,,,59.2,
2017-12-09T00:11:31.392Z,,55,48.7,,,59.1,
2017-12-09T00:11:41.392Z,,55,48.7,,,59,
2017-12-09T00:11:51.392Z,,55,48.6,,,59.1,
2017-12-09T00:12:01.393Z,,55,48.6,,,59.4,
2017-12-09T00:12:11.392Z,,55,48.6,,,59.5,
2017-12-09T00:12:21.391Z,,55,48.6,,,59.8,
2017-12-09T00:12:31.392Z,,55,48.6,,,59.9,
2017-12-09T00:12:46.412Z,,55,48.6,,,60,
2017-12-09T00:12:51.392Z,,55,48.6,,,60.1,
2017-12-09T00:13:01.399Z,,55,48.6,,,60.4,
