Time,HwTOutlet,PrimT,ActPow,HwTSet,HwActive,ChActive,PrimTSet
2017-12-10T00:00:01.584Z,54.6,67.2,,55,,,
2017-12-10T00:00:11.575Z,54.6,,,55,,,
2017-12-10T00:00:21.576Z,54.4,,,55,,,
2017-12-10T00:00:31.576Z,54.4,,,55,,,
2017-12-10T00:00:41.576Z,54.4,67.4,,55,,,
2017-12-10T00:00:51.576Z,54.4,,,55,,,
2017-12-10T00:01:01.645Z,54.3,,,55,,,
2017-12-10T00:01:11.576Z,54.3,,,55,,,
2017-12-10T00:01:21.576Z,54.2,,,55,,,
2017-12-10T00:01:31.576Z,54.2,,,55,,,
2017-12-10T00:01:41.576Z,54.1,,,55,,,
2017-12-10T00:01:51.577Z,54.1,68.4,79,55,0,2,
2017-12-10T00:02:05.681Z,54,72,76,55,,,
2017-12-10T00:02:11.576Z,54,70.5,29,55,,,
2017-12-10T00:02:21.577Z,54,63.3,,55,,,
2017-12-10T00:02:32.624Z,53.9,58.8,,55,,,
2017-12-10T00:02:41.576Z,53.8,56.9,,55,,,
2017-12-10T00:02:51.575Z,53.8,56,,55,,,
2017-12-10T00:03:01.575Z,53.8,56.1,,55,,,
2017-12-10T00:03:11.576Z,53.7,57,,55,,,
2017-12-10T00:03:21.581Z,53.7,56.9,,55,,,
2017-12-10T00:03:31.579Z,53.6,56.4,,55,,,
2017-12-10T00:03:42.572Z,53.6,56.3,,55,,,
2017-12-10T00:03:51.577Z,53.4,,,55,,,
2017-12-10T00:04:01.576Z,53.4,56.5,,55,,,
2017-12-10T00:04:11.714Z,53.4,56.7,,55,,,
2017-12-10T00:04:21.581Z,53.3,56.9,,55,,,
2017-12-10T00:04:31.576Z,53.3,57,,55,,,
2017-12-10T00:04:41.576Z,53.2,57.1,,55,,,
2017-12-10T00:04:56.597Z,53.2,57.3,,55,,,
2017-12-10T00:05:01.578Z,53.1,57.4,,55,,,
2017-12-10T00:05:11.576Z,53.1,57.7,,55,,,
2017-12-10T00:05:21.576Z,53,57.8,,55,,,
2017-12-10T00:05:31.577Z,53,58,,55,,,
2017-12-10T00:05:41.576Z,52.9,58.1,,55,,,
2017-12-10T00:05:51.577Z,52.9,58.3,,55,,,
2017-12-10T00:06:01.605Z,52.8,58.4,,55,,,
2017-12-10T00:06:11.576Z,52.8,58.5,,55,,,
2017-12-10T00:06:21.576Z,52.7,58.6,,55,,,
2017-12-10T00:06:31.579Z,52.7,58.8,,55,,,
2017-12-10T00:06:41.584Z,52.6,59,,55,,,
2017-12-10T00:06:51.576Z,52.6,59.1,,55,,,
2017-12-10T00:07:01.577Z,52.4,59.2,,55,,,
2017-12-10T00:07:11.578Z,52.4,59.3,,55,,,
2017-12-10T00:07:21.576Z,52.3,,,55,,,
2017-12-10T00:07:31.577Z,52.3,59.4,,55,,,
2017-12-10T00:07:46.602Z,52.2,59.5,,55,,,
2017-12-10T00:07:51.580Z,52.1,59.7,,55,,,
2017-12-10T00:08:01.576Z,52.1,59.8,,55,,,
2017-12-10T00:08:11.577Z,52,59.9,,55,,,
2017-12-10T00:08:21.576Z,52,60,,55,,,
2017-12-10T00:08:31.577Z,52,,,55,,,
2017-12-10T00:08:41.577Z,51.9,60.1,,55,,,
2017-12-10T00:08:51.577Z,51.9,60.2,,55,,,
2017-12-10T00:09:01.577Z,51.9,60.4,,55,,,
2017-12-10T00:09:11.577Z,51.8,,,55,,,
2017-12-10T00:09:21.577Z,51.8,60.5,,55,,,
2017-12-10T00:09:31.582Z,51.8,60.6,,55,,,
2017-12-10T00:09:41.577Z,51.8,60.7,,55,,,
2017-12-10T00:09:51.577Z,51.7,,,55,,,
2017-12-10T00:10:01.577Z,51.7,60.9,,55,,,
2017-12-10T00:10:11.577Z,51.7,61,,55,,,
2017-12-10T00:10:21.577Z,51.7,,,55,,,
2017-12-10T00:10:36.597Z,51.7,61.1,,55,,,
2017-12-10T00:10:41.577Z,51.6,,,55,,,
2017-12-10T00:10:51.577Z,51.6,61.2,,55,,,
2017-12-10T00:11:01.577Z,51.6,,,55,,,
2017-12-10T00:11:11.577Z,51.6,61.4,,55,,,
2017-12-10T00:11:21.577Z,51.6,,,55,,,
2017-12-10T00:11:31.578Z,51.6,61.5,,55,,,
2017-12-10T00:11:41.577Z,51.6,,,55,,,
2017-12-10T00:11:51.577Z,51.7,61.6,,55,,,
2017-12-10T00:12:01.667Z,51.7,,,55,,,
2017-12-10T00:12:11.577Z,51.7,,,55,,,
2017-12-10T00:12:21.578Z,51.7,61.8,,55,,,
