Time,ActPow,HwTOutlet,ChActive,PrimTSet,PrimT,HwTSet,HwActive
2017-12-11T00:00:01.842Z,,54.4,,,70.8,55,
2017-12-11T00:00:11.764Z,,54.4,,,,55,
2017-12-11T00:00:21.770Z,,54.3,,,,55,
2017-12-11T00:00:31.763Z,,54.2,,,,55,
2017-12-11T00:00:41.763Z,,54.2,,,70.6,55,
2017-12-11T00:00:51.763Z,,54.1,,,,55,
2017-12-11T00:01:01.844Z,,54,,,,55,
2017-12-11T00:01:11.764Z,,53.9,,,,55,
2017-12-11T00:01:22.755Z,,53.9,,,,55,
2017-12-11T00:01:31.763Z,,53.8,,,70.5,55,
2017-12-11T00:01:41.763Z,,53.7,,,,55,
2017-12-11T00:01:51.763Z,,53.7,,,,55,
2017-12-11T00:02:01.844Z,,53.6,,,,55,
2017-12-11T00:02:11.763Z,,53.4,,,,55,
2017-12-11T00:02:21.763Z,,53.3,,,70.4,55,
2017-12-11T00:02:31.763Z,,53.3,,,,55,
2017-12-11T00:02:41.763Z,,53.2,,,,55,
2017-12-11T00:02:51.766Z,,53.1,,,70.3,55,
2017-12-11T00:03:01.843Z,,53,,,,55,
2017-12-11T00:03:11.763Z,,53,,,,55,
2017-12-11T00:03:21.763Z,,52.9,,,,55,
2017-12-11T00:03:31.763Z,,52.8,,,70.1,55,
2017-12-11T00:03:41.763Z,,52.7,,,,55,
2017-12-11T00:03:51.763Z,,52.7,,,,55,
2017-12-11T00:04:01.843Z,,52.6,,,,55,
2017-12-11T00:04:12.760Z,,52.4,,,,55,
2017-12-11T00:04:21.764Z,,52.4,,,70,55,
2017-12-11T00:04:31.763Z,,52.3,,,,55,
2017-12-11T00:04:41.763Z,,52.2,,,,55,
2017-12-11T00:04:51.764Z,,52.2,,,69.9,55,
2017-12-11T00:05:01.844Z,,52.1,,,,55,
2017-12-11T00:05:11.764Z,,52,,,,55,
2017-12-11T00:05:21.764Z,,52,,,,55,
2017-12-11T00:05:31.766Z,,51.9,,,,55,
2017-12-11T00:05:41.763Z,,51.8,,,69.7,55,
2017-12-11T00:05:51.764Z,,51.8,,,,55,
2017-12-11T00:06:01.843Z,,51.7,,,,55,
2017-12-11T00:06:11.764Z,,51.6,,,,55,
2017-12-11T00:06:21.764Z,,51.6,,,69.6,55,
2017-12-11T00:06:31.764Z,,51.4,,,,55,
2017-12-11T00:06:41.764Z,,51.3,,,,55,
2017-12-11T00:06:52.805Z,,51.2,,,,55,
2017-12-11T00:07:02.844Z,,51.2,,,69.5,55,
2017-12-11T00:07:11.765Z,,51.1,,,,55,
2017-12-11T00:07:21.764Z,,51.1,,,,55,
2017-12-11T00:07:31.764Z,,51,,,,55,
2017-12-11T00:07:41.764Z,,50.9,,,69.4,55,
2017-12-11T00:07:51.764Z,,50.9,,,,55,
2017-12-11T00:08:01.894Z,,50.8,,,,55,
2017-12-11T00:08:11.764Z,,50.7,,,69.2,55,
2017-12-11T00:08:21.764Z,,50.6,,,,55,
2017-12-11T00:08:31.765Z,,50.6,,,,55,
2017-12-11T00:08:41.766Z,,50.4,,,,55,
2017-12-11T00:08:51.764Z,,50.4,,,,55,
2017-12-11T00:09:01.844Z,,50.3,,,69.1,55,
2017-12-11T00:09:11.764Z,,50.3,,,,55,
2017-12-11T00:09:21.765Z,,50.2,,,,55,
2017-12-11T00:09:31.764Z,,50.1,,,69,55,
2017-12-11T00:09:41.765Z,,50.1,,,,55,
2017-12-11T00:09:52.758Z,,50,,,,55,
2017-12-11T00:10:01.844Z,,49.9,,,,55,
2017-12-11T00:10:11.765Z,,49.9,,,68.9,55,
2017-12-11T00:10:21.765Z,,49.8,,,,55,
2017-12-11T00:10:31.764Z,,49.7,,,,55,
2017-12-11T00:10:41.765Z,,49.7,,,,55,
2017-12-11T00:10:51.764Z,,49.5,,,68.7,55,
2017-12-11T00:11:01.865Z,,49.4,,,,55,
2017-12-11T00:11:11.765Z,,49.4,,,,55,
2017-12-11T00:11:21.765Z,,49.3,,,,55,
2017-12-11T00:11:31.765Z,,49.2,,,68.6,55,
2017-12-11T00:11:41.765Z,,49.2,,,,55,
2017-12-11T00:11:51.765Z,,49.1,,,,55,
2017-12-11T00:12:01.845Z,,49.1,,,,55,
2017-12-11T00:12:11.765Z,,49,,,68.5,55,
2017-12-11T00:12:21.767Z,,48.9,,,,55,
2017-12-11T00:12:31.765Z,,48.9,,,,55,
2017-12-11T00:12:42.867Z,,48.7,,,68.4,55,
2017-12-11T00:12:51.765Z,,48.7,,,,55,
2017-12-11T00:13:01.845Z,,48.6,,,,55,
2017-12-11T00:13:11.765Z,,48.5,,,,55,
2017-12-11T00:13:21.764Z,,48.5,,,,55,
2017-12-11T00:13:31.765Z,,48.4,,,68.2,55,
2017-12-11T00:13:41.765Z,,48.4,,,,55,
2017-12-11T00:13:51.765Z,,48.3,,,,55,
2017-12-11T00:14:01.845Z,,48.2,,,,55,
2017-12-11T00:14:11.765Z,,48.2,,,68.1,55,
2017-12-11T00:14:21.765Z,,48.1,,,,55,
2017-12-11T00:14:31.765Z,,48,,,,55,
2017-12-11T00:14:41.765Z,,48,,,68,55,
2017-12-11T00:14:51.765Z,,47.8,,,,55,
2017-12-11T00:15:01.845Z,,47.8,,,,55,
2017-12-11T00:15:11.765Z,,47.7,,,67.9,55,
2017-12-11T00:15:21.765Z,,47.6,,,,55,
2017-12-11T00:15:36.785Z,,47.6,,,,55,
2017-12-11T00:15:41.766Z,,47.5,,,,55,
2017-12-11T00:15:51.765Z,,47.5,,,,55,
2017-12-11T00:16:01.845Z,,47.4,,,67.7,55,
2017-12-11T00:16:11.765Z,,47.3,,,,55,
2017-12-11T00:16:21.765Z,,47.3,,,,55,
2017-12-11T00:16:31.765Z,,47.2,,,67.6,55,
2017-12-11T00:16:41.778Z,,47.2,,,,55,
2017-12-11T00:16:51.765Z,,47,,,,55,
2017-12-11T00:17:01.845Z,,47,,,,55,
2017-12-11T00:17:11.765Z,,46.9,,,67.5,55,
2017-12-11T00:17:21.765Z,,46.8,,,,55,
2017-12-11T00:17:31.765Z,,46.8,,,,55,
2017-12-11T00:17:41.765Z,,46.7,,,,55,
2017-12-11T00:17:51.765Z,,46.7,,,67.4,55,
2017-12-11T00:18:01.845Z,,46.6,,,,55,
2017-12-11T00:18:11.765Z,,46.6,,,,55,
2017-12-11T00:18:21.766Z,,46.5,,,,55,
2017-12-11T00:18:31.764Z,,46.4,,,67.2,55,
2017-12-11T00:18:41.765Z,,46.4,,,,55,
2017-12-11T00:18:51.765Z,,46.2,,,,55,
2017-12-11T00:19:01.846Z,,46.2,,,67.1,55,
2017-12-11T00:19:11.766Z,,46.1,,,,55,
2017-12-11T00:19:21.766Z,,46.1,,,,55,
2017-12-11T00:19:31.766Z,,46,,,,55,
2017-12-11T00:19:41.766Z,,45.9,,,67,55,
2017-12-11T00:19:51.766Z,,45.9,,,,55,
