Time,HwTSet,ActPow,ChActive,HwTOutlet,PrimTSet,HwActive,PrimT
2017-12-12T00:00:02.031Z,55,56,,47.6,,,67.4
2017-12-12T00:00:11.952Z,55,29,,47.5,,,67.7
2017-12-12T00:00:21.951Z,55,,,47.5,,,62.6
2017-12-12T00:00:31.952Z,55,,,47.4,,,59.8
2017-12-12T00:00:41.951Z,55,,,47.4,,,57.8
2017-12-12T00:00:51.952Z,55,,,47.3,,,57.6
2017-12-12T00:01:02.042Z,55,,,47.3,,,57
2017-12-12T00:01:11.953Z,55,,,47.3,,,58
2017-12-12T00:01:21.951Z,55,,,47.3,,,58.1
2017-12-12T00:01:31.951Z,55,,,47.2,,,
2017-12-12T00:01:41.952Z,55,,,47.2,,,58
2017-12-12T00:01:51.951Z,55,0,1,47.2,,0,58.2
2017-12-12T00:02:07.045Z,55,,,47.2,,,57.9
2017-12-12T00:02:11.952Z,55,,0,47.2,0,2,56.2
2017-12-12T00:02:21.954Z,55,73,,46.6,,,58.9
2017-12-12T00:02:31.952Z,55,69,,52.6,,,57.5
2017-12-12T00:02:41.952Z,55,51,,55.1,,,58
2017-12-12T00:02:51.952Z,55,33,,56.9,,,57.9
2017-12-12T00:03:02.034Z,55,0,0,56.2,0,2,55.7
2017-12-12T00:03:11.952Z,55,,0,54.7,,2,50.8
2017-12-12T00:03:21.952Z,55,94,,49.7,,,49.7
2017-12-12T00:03:32.600Z,55,93,0,47,59,0,50.6
2017-12-12T00:03:41.952Z,55,0,0,48.4,,0,52
2017-12-12T00:03:51.954Z,55,,,48.1,,,54
2017-12-12T00:04:02.032Z,55,,,47.8,,,55.1
2017-12-12T00:04:11.952Z,55,,,47.5,,,57
2017-12-12T00:04:21.952Z,55,,,47.3,,,58
2017-12-12T00:04:31.952Z,55,,1,47.4,75,0,59.6
2017-12-12T00:04:41.952Z,55,80,1,48,,0,60.4
2017-12-12T00:04:57.128Z,55,80,,48.6,,,66.3
2017-12-12T00:05:02.032Z,55,51,,49.1,,,69.1
2017-12-12T00:05:11.958Z,55,29,,49.5,,,65.4
2017-12-12T00:05:21.952Z,55,,,49.8,,,61.6
2017-12-12T00:05:31.952Z,55,,,50,,,58.9
2017-12-12T00:05:41.952Z,55,,,50.1,,,57.9
2017-12-12T00:05:51.952Z,55,,,50.1,,,57.1
2017-12-12T00:06:02.034Z,55,,,50.2,,,57.2
2017-12-12T00:06:11.952Z,55,,,50.3,,,58
2017-12-12T00:06:21.952Z,55,,,50.3,,,58.1
2017-12-12T00:06:31.954Z,55,,,50.4,,,57.9
2017-12-12T00:06:41.952Z,55,,,50.4,,,57.8
2017-12-12T00:06:51.952Z,55,,,50.4,,,
2017-12-12T00:07:02.033Z,55,,,50.6,,,58
2017-12-12T00:07:11.954Z,55,,,50.6,,,58.1
2017-12-12T00:07:21.952Z,55,,,50.6,,,
2017-12-12T00:07:31.952Z,55,,0,50.6,0,2,59.4
2017-12-12T00:07:41.964Z,55,0,0,43,59,0,59.6
2017-12-12T00:07:51.952Z,55,,,52.2,,,57.8
2017-12-12T00:08:02.033Z,55,,,52,,,58
2017-12-12T00:08:11.952Z,55,,,52,,,60.1
2017-12-12T00:08:21.952Z,55,,,52,,,61
2017-12-12T00:08:31.952Z,55,,,52,,,62
2017-12-12T00:08:41.953Z,55,,1,51.9,75,0,63
2017-12-12T00:08:51.953Z,55,,,52,,,63.5
2017-12-12T00:09:02.032Z,55,,,52.2,,,63.7
2017-12-12T00:09:12.945Z,55,,,52.6,,,64
2017-12-12T00:09:21.953Z,55,,,52.9,,,
2017-12-12T00:09:31.953Z,55,,,53,,,64.1
2017-12-12T00:09:41.953Z,55,,,53.2,,,64.3
