Time,ChActive,HwActive,HwTOutlet,PrimT,ActPow,PrimTSet,HwTSet
2017-12-14T00:00:02.411Z,,,42.7,,,,55
2017-12-14T00:00:12.331Z,,,42.7,,,,55
2017-12-14T00:00:22.330Z,1,0,42.6,57.1,79,,55
2017-12-14T00:00:32.330Z,,,42.6,64.4,54,,55
2017-12-14T00:00:43.330Z,,,42.6,64.3,29,,55
2017-12-14T00:00:52.331Z,,,42.6,57.4,,,55
2017-12-14T00:01:02.456Z,,,42.5,54.1,,,55
2017-12-14T00:01:12.330Z,,,42.5,52.7,,,55
2017-12-14T00:01:22.330Z,,,42.5,52.3,,,55
2017-12-14T00:01:32.330Z,,,42.5,52.8,,,55
2017-12-14T00:01:42.330Z,,,42.4,53.7,,,55
2017-12-14T00:01:52.330Z,,,42.5,54,,,55
2017-12-14T00:02:02.410Z,,,42.5,,,,55
2017-12-14T00:02:12.332Z,,,42.5,,,,55
2017-12-14T00:02:22.330Z,,,42.6,54.1,,,55
2017-12-14T00:02:32.330Z,,,42.6,54.2,,,55
2017-12-14T00:02:42.330Z,,,42.7,54.5,,,55
2017-12-14T00:02:52.330Z,,,42.7,54.7,,,55
2017-12-14T00:03:02.410Z,,,42.8,54.8,,,55
2017-12-14T00:03:12.330Z,,,42.8,54.9,,,55
2017-12-14T00:03:22.331Z,,,43,55.1,,,55
2017-12-14T00:03:33.329Z,,,43,55.2,,,55
2017-12-14T00:03:42.330Z,,,43.1,55.5,,,55
2017-12-14T00:03:52.330Z,,,43.2,55.6,,,55
2017-12-14T00:04:02.414Z,,,43.3,55.8,,,55
2017-12-14T00:04:12.331Z,,,43.4,55.9,,,55
2017-12-14T00:04:22.331Z,,,43.4,56,,,55
2017-12-14T00:04:32.331Z,,,43.5,56.3,,,55
2017-12-14T00:04:42.331Z,,,43.6,56.4,,,55
2017-12-14T00:04:52.330Z,,,43.6,56.5,,,55
2017-12-14T00:05:02.411Z,,,43.7,56.7,,,55
2017-12-14T00:05:12.330Z,,,43.9,56.9,,,55
2017-12-14T00:05:22.331Z,,,44,57,,,55
2017-12-14T00:05:32.331Z,,,44,57.1,,,55
2017-12-14T00:05:42.331Z,,,44.1,57.2,,,55
2017-12-14T00:05:52.331Z,,,44.2,57.3,,,55
2017-12-14T00:06:02.411Z,,,44.3,,,,55
2017-12-14T00:06:12.330Z,,,44.3,57.4,,,55
2017-12-14T00:06:23.324Z,,,44.4,57.7,,,55
2017-12-14T00:06:32.331Z,,,44.5,,,,55
2017-12-14T00:06:42.331Z,,,44.5,57.9,,,55
2017-12-14T00:06:52.331Z,0,0,44.7,58.1,0,5,55
2017-12-14T00:07:02.411Z,0,0,44.8,57.7,,,55
2017-12-14T00:07:12.331Z,,,44.8,55.9,,,55
2017-12-14T00:07:22.331Z,,,44.9,55,,,55
2017-12-14T00:07:32.331Z,,,45,54.7,,,55
2017-12-14T00:07:42.331Z,,,45,54.6,,,55
2017-12-14T00:07:52.331Z,0,0,46.4,56.7,0,59,55
2017-12-14T00:08:02.411Z,,,45,56.2,,,55
2017-12-14T00:08:12.331Z,,,44.4,55.1,,,55
2017-12-14T00:08:22.331Z,,,44.1,55.2,,,55
2017-12-14T00:08:32.331Z,,,44,55.5,,,55
2017-12-14T00:08:42.333Z,,,44.1,55.7,,,55
2017-12-14T00:08:52.331Z,,,44.5,55.8,,5,55
2017-12-14T00:09:02.492Z,,,45,55.9,,,55
2017-12-14T00:09:13.328Z,,,45.3,56,,,55
2017-12-14T00:09:22.331Z,,,45.8,,,,55
2017-12-14T00:09:32.331Z,,,45.9,56.1,,,55
2017-12-14T00:09:42.333Z,,,46.1,56.2,,,55
2017-12-14T00:09:52.331Z,,,46.4,56.4,,,55
2017-12-14T00:10:02.431Z,,,46.5,,,,55
2017-12-14T00:10:12.376Z,,,46.6,56.5,,,55
2017-12-14T00:10:22.331Z,,,46.7,56.6,,,55
2017-12-14T00:10:32.331Z,,,46.8,,,,55
2017-12-14T00:10:47.351Z,,,46.8,56.7,,,55
2017-12-14T00:10:52.359Z,,,46.9,,,,55
2017-12-14T00:11:02.436Z,,,46.9,56.8,,,55
2017-12-14T00:11:12.331Z,,,47,,,,55
2017-12-14T00:11:22.334Z,,,47,56.9,,,55
2017-12-14T00:11:32.331Z,,,47,57,,,55
2017-12-14T00:11:42.336Z,,,47.2,,,,55
2017-12-14T00:11:52.331Z,,,47,,,,55
2017-12-14T00:12:07.454Z,,,47,57.2,,,55
2017-12-14T00:12:12.341Z,,,47,,,,55
2017-12-14T00:12:22.333Z,,,47,57.3,,,55
2017-12-14T00:12:32.333Z,,,47,,,,55
2017-12-14T00:12:42.372Z,,,47,,,,55
2017-12-14T00:12:52.331Z,,,47,57.4,,,55
2017-12-14T00:13:02.456Z,,,47,,,,55
2017-12-14T00:13:12.362Z,,,47,,,,55
2017-12-14T00:13:22.331Z,,,46.9,57.5,,,55
2017-12-14T00:13:32.332Z,,,46.9,,,,55
2017-12-14T00:13:42.332Z,,,46.9,,,,55
2017-12-14T00:13:52.332Z,,,46.8,,,,55
2017-12-14T00:14:02.424Z,,,46.8,,,,55
2017-12-14T00:14:12.350Z,,,46.7,,,,55
2017-12-14T00:14:22.359Z,,,46.7,57.6,,,55
2017-12-14T00:14:32.331Z,,,46.7,,,,55
2017-12-14T00:14:42.331Z,,,46.6,,,,55
2017-12-14T00:14:57.358Z,,,46.5,,,,55
2017-12-14T00:15:02.422Z,,,46.5,,,,55
2017-12-14T00:15:12.349Z,,,46.4,,,,55
2017-12-14T00:15:22.332Z,,,46.4,,,,55
2017-12-14T00:15:32.332Z,,,46.4,,,,55
2017-12-14T00:15:42.332Z,,,46.4,,,,55
2017-12-14T00:15:52.332Z,,,46.2,,,,55
2017-12-14T00:16:02.412Z,,,46.2,,,,55
2017-12-14T00:16:12.332Z,,,46.2,,,,55
2017-12-14T00:16:23.729Z,,,46.1,,,,55
2017-12-14T00:16:32.332Z,,,46.1,,,,55
2017-12-14T00:16:42.334Z,,,46.1,,,,55
2017-12-14T00:16:52.349Z,,,46,,,,55
2017-12-14T00:17:02.412Z,,,46,,,,55
2017-12-14T00:17:12.332Z,,,45.9,,,,55
2017-12-14T00:17:22.348Z,,,45.9,,,,55
2017-12-14T00:17:37.352Z,,,45.8,57.5,,,55
2017-12-14T00:17:42.332Z,,,45.8,,,,55
2017-12-14T00:17:52.347Z,,,45.7,,,,55
2017-12-14T00:18:02.438Z,,,45.7,,,,55
2017-12-14T00:18:12.332Z,,,45.7,,,,55
2017-12-14T00:18:22.335Z,,,45.6,,,,55
2017-12-14T00:18:32.343Z,,,45.6,,,,55
2017-12-14T00:18:42.340Z,,,45.5,,,,55
2017-12-14T00:18:52.345Z,,,45.5,,,,55
2017-12-14T00:19:02.424Z,,,45.5,,,,55
2017-12-14T00:19:13.324Z,,,45.3,57.4,,,55
2017-12-14T00:19:22.363Z,,,45.3,,,,55
2017-12-14T00:19:32.332Z,,,45.2,,,,55
2017-12-14T00:19:42.346Z,,,45.2,,,,55
2017-12-14T00:19:52.333Z,,,45.1,,,,55
2017-12-14T00:20:02.413Z,,,45.1,,,,55
2017-12-14T00:20:12.333Z,,,45.1,,,,55
2017-12-14T00:20:22.333Z,,,45,57.3,,,55
2017-12-14T00:20:32.333Z,,,45,,,,55
2017-12-14T00:20:42.332Z,,,44.9,,,,55
2017-12-14T00:20:52.332Z,,,44.9,,,,55
