Time,HwActive,HwTOutlet,ActPow,HwTSet,PrimTSet,PrimT,ChActive
2017-12-17T00:00:07.923Z,,44.7,,55,,50.5,
2017-12-17T00:00:12.896Z,,44.7,,55,,50.6,
2017-12-17T00:00:22.896Z,,44.5,,55,,50.7,
2017-12-17T00:00:32.896Z,,44.5,,55,,51,
2017-12-17T00:00:42.902Z,,44.4,,55,,,
2017-12-17T00:00:52.898Z,,44.4,,55,,51.2,
2017-12-17T00:01:02.896Z,,44.3,,55,,51.4,
2017-12-17T00:01:12.897Z,,44.2,,55,,51.5,
2017-12-17T00:01:22.896Z,,44.2,,55,,51.7,
2017-12-17T00:01:32.896Z,,44.1,,55,,51.8,
2017-12-17T00:01:42.897Z,,44.1,,55,,52,
2017-12-17T00:01:52.896Z,,44,,55,,52.2,
2017-12-17T00:02:02.897Z,,44,,55,,52.3,
2017-12-17T00:02:12.897Z,,44,,55,,52.4,
2017-12-17T00:02:22.898Z,,43.9,,55,,52.5,
2017-12-17T00:02:32.897Z,,43.9,,55,,52.7,
2017-12-17T00:02:42.897Z,,43.9,,55,,53,
2017-12-17T00:02:57.917Z,,43.7,,55,,,
2017-12-17T00:03:02.898Z,,43.7,,55,,53.2,
2017-12-17T00:03:12.897Z,,43.7,,55,,53.3,
2017-12-17T00:03:22.898Z,,43.7,,55,,53.4,
2017-12-17T00:03:32.897Z,,43.7,,55,,53.6,
2017-12-17T00:03:42.898Z,,43.6,,55,,53.7,
2017-12-17T00:03:52.910Z,,43.6,,55,,54,
2017-12-17T00:04:02.897Z,,43.7,,55,,,
2017-12-17T00:04:12.906Z,,43.7,,55,,54.1,
2017-12-17T00:04:22.904Z,,43.7,,55,,54.3,
2017-12-17T00:04:32.899Z,,43.7,,55,,54.4,
2017-12-17T00:04:42.897Z,,43.7,,55,,54.5,
2017-12-17T00:04:52.903Z,,43.7,,55,,54.7,
2017-12-17T00:05:02.897Z,,43.9,,55,,54.8,
2017-12-17T00:05:17.084Z,,43.9,,55,,54.9,
2017-12-17T00:05:22.897Z,,43.9,,55,,55,
2017-12-17T00:05:32.897Z,,44,,55,,55.1,
2017-12-17T00:05:47.935Z,,44,,55,,55.2,
2017-12-17T00:05:52.898Z,,44,,55,,55.3,
2017-12-17T00:06:02.898Z,,44.1,,55,,55.5,
2017-12-17T00:06:12.897Z,,44.1,,55,,55.6,
2017-12-17T00:06:22.898Z,,44.2,,55,,55.7,
2017-12-17T00:06:32.897Z,,44.2,,55,,55.8,
2017-12-17T00:06:42.897Z,,44.3,,55,,55.9,
2017-12-17T00:06:52.897Z,,44.3,,55,,56,
2017-12-17T00:07:02.897Z,,44.4,,55,,56.2,
2017-12-17T00:07:13.895Z,,44.4,,55,,,
2017-12-17T00:07:22.900Z,,44.5,,55,,56.3,
2017-12-17T00:07:32.899Z,,44.5,,55,,56.5,
2017-12-17T00:07:42.898Z,,44.7,,55,,,
2017-12-17T00:07:52.897Z,,44.7,,55,,56.6,
2017-12-17T00:08:02.898Z,,44.8,,55,,56.7,
2017-12-17T00:08:12.898Z,,44.8,,55,,56.9,
2017-12-17T00:08:22.898Z,,44.9,,55,,57,
2017-12-17T00:08:32.898Z,,44.9,,55,,57.1,
2017-12-17T00:08:42.898Z,,44.9,,55,,57.2,
2017-12-17T00:08:52.937Z,,45,,55,,,
2017-12-17T00:09:02.899Z,,45,,55,,57.3,
2017-12-17T00:09:12.898Z,,45.1,,55,,57.4,
2017-12-17T00:09:22.897Z,,45.2,,55,,57.6,
2017-12-17T00:09:32.898Z,,45.2,,55,,57.7,
2017-12-17T00:09:42.899Z,,45.3,,55,,57.8,
2017-12-17T00:09:52.897Z,,45.3,,55,,,
2017-12-17T00:10:03.997Z,,45.5,,55,,58,
2017-12-17T00:10:12.897Z,,45.5,,55,,,
2017-12-17T00:10:22.899Z,,45.6,,55,,58.1,
2017-12-17T00:10:32.897Z,,45.6,,55,,,
2017-12-17T00:10:42.901Z,,45.7,,55,,58.3,
2017-12-17T00:10:52.897Z,,45.7,,55,,58.4,
2017-12-17T00:11:02.898Z,,45.8,,55,,58.5,
2017-12-17T00:11:12.898Z,,45.8,,55,,,
2017-12-17T00:11:22.898Z,,45.9,,55,,58.6,
2017-12-17T00:11:32.898Z,,45.9,,55,,58.7,
2017-12-17T00:11:42.899Z,,46,,55,,58.8,
2017-12-17T00:11:52.898Z,,46,,55,,59,
2017-12-17T00:12:02.898Z,,46.1,,55,,,
2017-12-17T00:12:12.897Z,,46.1,,55,,59.1,
2017-12-17T00:12:22.898Z,,46.2,,55,,,
2017-12-17T00:12:32.898Z,,46.2,,55,,59.2,
2017-12-17T00:12:42.898Z,,46.4,,55,,,
2017-12-17T00:12:53.893Z,,46.4,,55,,59.3,
2017-12-17T00:13:02.898Z,,46.4,,55,,59.4,
2017-12-17T00:13:12.897Z,,46.5,,55,,,
2017-12-17T00:13:22.898Z,,46.6,,55,,,
2017-12-17T00:13:32.898Z,0,46.6,0,55,,59.7,2
2017-12-17T00:13:42.898Z,,46.7,,55,,58.9,
2017-12-17T00:13:52.898Z,,46.7,,55,,57.9,
2017-12-17T00:14:02.898Z,,46.8,,55,,56.4,
2017-12-17T00:14:12.898Z,,46.8,,55,,55.9,
2017-12-17T00:14:22.898Z,,46.8,,55,,55.8,
2017-12-17T00:14:32.898Z,,46.9,,55,,56,
2017-12-17T00:14:42.898Z,,46.9,,55,,56.2,
2017-12-17T00:14:52.898Z,0,47,79,55,,59.4,2
2017-12-17T00:15:02.908Z,,47,47,55,,67.4,
2017-12-17T00:15:12.898Z,,47,34,55,,68.8,
