Time,HwTSet,HwActive,HwTOutlet,ChActive,PrimT,ActPow,PrimTSet
2017-12-19T00:00:03.271Z,55,,52.3,,,,
2017-12-19T00:00:13.269Z,,,,,60,,
2017-12-19T00:00:23.269Z,55,,52.2,,,,
2017-12-19T00:00:33.275Z,55,,52,,60.1,,
2017-12-19T00:00:43.269Z,55,,52,,60.2,,
2017-12-19T00:01:03.269Z,55,,51.8,,,,
2017-12-19T00:01:13.269Z,55,,51.7,,,,
2017-12-19T00:01:24.268Z,55,,51.6,,60.3,,
2017-12-19T00:01:33.269Z,,,,,60.5,,
2017-12-19T00:01:43.269Z,55,,51.4,,,,
2017-12-19T00:01:53.270Z,55,,51.3,,60.6,,
2017-12-19T00:02:13.269Z,55,,51.1,,,,
2017-12-19T00:02:23.269Z,55,,51,,,,
2017-12-19T00:02:33.269Z,,,,,60.7,,
2017-12-19T00:02:43.269Z,55,,50.9,,,,
2017-12-19T00:02:53.269Z,55,,50.8,,,,
2017-12-19T00:03:13.271Z,55,,50.6,,60.8,,
2017-12-19T00:03:23.269Z,55,,50.4,,,,
2017-12-19T00:03:43.270Z,55,,50.3,,,,
2017-12-19T00:03:53.270Z,55,,50.2,,,,
2017-12-19T00:04:14.266Z,55,,50.1,,,,
2017-12-19T00:04:23.270Z,55,,50,,,,
2017-12-19T00:04:43.269Z,55,0,49.9,2,64.8,79,
2017-12-19T00:04:53.270Z,55,,49.8,,69.3,47,
2017-12-19T00:05:03.270Z,55,,49.8,,67.6,29,
2017-12-19T00:05:13.270Z,55,,49.7,,62.5,,
2017-12-19T00:05:23.272Z,55,,49.5,,59.3,,
2017-12-19T00:05:33.270Z,55,,49.5,,58,,
2017-12-19T00:05:43.269Z,55,,49.4,,57.3,,
2017-12-19T00:05:53.270Z,55,,49.3,,58,,
2017-12-19T00:06:03.270Z,,,,,58.1,,
2017-12-19T00:06:13.269Z,55,,49.3,,58.5,,
2017-12-19T00:06:23.269Z,55,,49.2,,58.4,,
2017-12-19T00:06:33.270Z,55,,49.2,,,,
2017-12-19T00:06:43.270Z,55,,49.2,,,,
2017-12-19T00:06:53.272Z,,,,,58.8,,
2017-12-19T00:07:08.290Z,55,,49.2,,59,,
2017-12-19T00:07:13.270Z,55,,49.2,,59.1,,
2017-12-19T00:07:23.270Z,55,,49.2,,59.2,,
2017-12-19T00:07:33.270Z,,,,,59.3,,
2017-12-19T00:07:43.270Z,55,,49.2,,59.4,,
2017-12-19T00:07:53.270Z,55,,49.2,,59.5,,
2017-12-19T00:08:03.270Z,,,,,59.7,,
2017-12-19T00:08:13.275Z,55,,49.2,,59.8,,
2017-12-19T00:08:23.270Z,55,,49.2,,59.9,,
2017-12-19T00:08:33.270Z,,,,,60.1,,
2017-12-19T00:08:43.270Z,55,,49.3,,60.2,,
2017-12-19T00:08:53.270Z,55,,49.3,,,,
2017-12-19T00:09:03.270Z,,,,,60.5,,
2017-12-19T00:09:13.271Z,55,,49.3,,60.6,,
2017-12-19T00:09:23.270Z,55,,49.3,,,,
2017-12-19T00:09:33.270Z,,,,,60.9,,
2017-12-19T00:09:43.270Z,55,,49.4,,61,,
2017-12-19T00:09:58.290Z,55,,49.4,,61.2,,
2017-12-19T00:10:13.270Z,55,,49.4,,61.4,,
2017-12-19T00:10:23.272Z,55,,49.5,,61.5,,
2017-12-19T00:10:33.270Z,55,,49.5,,61.6,,
2017-12-19T00:10:43.271Z,55,,49.7,,61.7,,
2017-12-19T00:10:53.271Z,,,,,61.9,,
2017-12-19T00:11:03.401Z,55,,49.7,,62,,
2017-12-19T00:11:13.274Z,55,,49.8,,62.1,,
2017-12-19T00:11:23.273Z,55,,49.8,,,,
2017-12-19T00:11:33.271Z,,,,,62.4,,
2017-12-19T00:11:43.270Z,55,,49.9,,,,
2017-12-19T00:11:53.271Z,55,,50,,62.5,,
2017-12-19T00:12:03.270Z,,,,,62.6,,
2017-12-19T00:12:13.271Z,55,,50,,,,
2017-12-19T00:12:23.271Z,55,,50.1,,62.9,,
2017-12-19T00:12:33.270Z,,,,,63,,
2017-12-19T00:12:49.286Z,55,,50.2,,,,
2017-12-19T00:12:53.273Z,55,,50.2,,,,
2017-12-19T00:13:03.270Z,,,,,63.2,,
2017-12-19T00:13:13.271Z,55,,50.3,,63.4,,
2017-12-19T00:13:33.271Z,55,,50.3,,63.5,,
2017-12-19T00:13:43.270Z,55,,50.4,,,,
2017-12-19T00:14:03.271Z,55,,50.6,,63.7,,
2017-12-19T00:14:14.268Z,55,,50.7,,,,
2017-12-19T00:14:23.274Z,55,,50.7,,63.9,,
2017-12-19T00:14:33.271Z,,,,,64,,
2017-12-19T00:14:43.271Z,55,,50.8,,64.1,,
2017-12-19T00:14:53.271Z,55,,50.8,,,,
2017-12-19T00:15:03.270Z,,,,,64.2,,
2017-12-19T00:15:13.271Z,55,,50.9,,,,
2017-12-19T00:15:23.271Z,55,,51,,64.4,,
2017-12-19T00:15:33.271Z,,,,,64.5,,
2017-12-19T00:15:43.271Z,55,,51,,,,
2017-12-19T00:15:53.271Z,,,,,64.6,,
2017-12-19T00:16:03.272Z,55,0,51.1,2,64.2,0,
2017-12-19T00:16:13.271Z,55,,51.1,,62.7,,
2017-12-19T00:16:23.271Z,55,,51.2,,61.6,,
2017-12-19T00:16:33.272Z,55,,51.2,,61,,
2017-12-19T00:16:43.272Z,55,,51.2,,60.9,,
2017-12-19T00:16:53.272Z,55,,51.3,,61,,
2017-12-19T00:17:03.271Z,55,,51.4,,,,
2017-12-19T00:17:13.272Z,,,,,61.3,,
2017-12-19T00:17:23.273Z,55,,51.4,,60.6,,
2017-12-19T00:17:33.271Z,55,0,51.4,2,65.3,80,
2017-12-19T00:17:43.271Z,55,,51.4,,72.3,47,
2017-12-19T00:17:53.272Z,55,,51.4,,72.2,29,
2017-12-19T00:18:03.271Z,55,,51.3,,69.1,,
2017-12-19T00:18:13.271Z,55,0,51.3,2,67,0,
2017-12-19T00:18:23.272Z,55,,51.3,,64.7,,
2017-12-19T00:18:33.271Z,55,,51.3,,62.8,,
2017-12-19T00:18:43.273Z,55,,51.2,,62.1,,
2017-12-19T00:18:53.271Z,55,,51.3,,62.2,,
2017-12-19T00:19:13.276Z,55,,51.3,,61.4,,
2017-12-19T00:19:23.273Z,55,,51.3,,60.9,,
2017-12-19T00:19:33.271Z,55,,51.3,,,,
2017-12-19T00:19:43.272Z,55,,51.3,,60.3,,
2017-12-19T00:19:54.266Z,,,,,59.8,,
2017-12-19T00:20:03.271Z,55,,51.3,,,,
2017-12-19T00:20:13.272Z,55,,51.3,,59.5,,
2017-12-19T00:20:23.271Z,,,,,59.3,,
2017-12-19T00:20:33.271Z,55,,51.2,,58.9,,
2017-12-19T00:20:43.271Z,55,,51.1,,,,
2017-12-19T00:20:53.272Z,,,,,58.7,,
2017-12-19T00:21:03.272Z,55,,51.1,,58.3,,
2017-12-19T00:21:13.273Z,55,,51,,,,
2017-12-19T00:21:23.272Z,,,,,57.7,,
2017-12-19T00:21:33.272Z,55,,50.8,,57.6,,
2017-12-19T00:21:53.273Z,55,,50.8,,57.3,,
2017-12-19T00:22:03.272Z,55,,50.6,,,,
2017-12-19T00:22:13.272Z,55,,50.4,,57.2,,
2017-12-19T00:22:23.272Z,,,,,56.8,,
2017-12-19T00:22:33.272Z,55,0,50.3,2,60.9,80,
2017-12-19T00:22:48.293Z,55,0,50.3,2,64.2,0,
2017-12-19T00:22:53.272Z,55,,50.2,,62.8,,
2017-12-19T00:23:03.272Z,55,,50.1,,60.5,,
2017-12-19T00:23:13.271Z,55,,50.1,,58.7,,
2017-12-19T00:23:23.274Z,55,,50,,57.8,,
2017-12-19T00:23:33.272Z,55,,49.9,,56.9,,
2017-12-19T00:23:53.272Z,55,,49.8,,56.8,,
2017-12-19T00:24:03.274Z,55,,49.7,,,,
2017-12-19T00:24:13.272Z,,,,,56.7,,
2017-12-19T00:24:23.272Z,55,,49.5,,56.5,,
2017-12-19T00:24:33.272Z,55,,49.5,,56,,
2017-12-19T00:24:43.272Z,55,,49.3,,55.9,,
2017-12-19T00:24:53.273Z,,,,,55.7,,
2017-12-19T00:25:03.272Z,55,,49.3,,55.3,,
2017-12-19T00:25:13.272Z,55,,49.2,,,,
2017-12-19T00:25:23.272Z,55,,49.1,,55.1,,
2017-12-19T00:25:38.292Z,,,,,54.9,,
2017-12-19T00:25:43.272Z,55,,48.9,,54.7,,
2017-12-19T00:25:53.272Z,,,,,54.6,,
2017-12-19T00:26:03.272Z,55,,48.9,,54.3,,
2017-12-19T00:26:13.272Z,55,,48.6,,,,
2017-12-19T00:26:23.272Z,,,,,54.2,,
2017-12-19T00:26:33.272Z,55,,48.6,,53.9,,
2017-12-19T00:26:43.272Z,55,,48.5,,53.8,,
2017-12-19T00:26:53.272Z,55,,48.4,,53.7,,
2017-12-19T00:27:13.273Z,55,,48.3,,53.3,,
2017-12-19T00:27:23.274Z,55,,48.2,,,,
2017-12-19T00:27:33.273Z,55,0,48.1,2,54.6,79,
2017-12-19T00:27:43.280Z,55,,48.1,,62,62,
2017-12-19T00:27:53.273Z,55,,48,,65.9,29,
2017-12-19T00:28:03.273Z,55,,47.8,,63.1,0,
2017-12-19T00:28:13.273Z,55,0,47.8,2,60.6,,
2017-12-19T00:28:28.294Z,55,,47.7,,57.6,,
2017-12-19T00:28:33.273Z,55,,47.6,,56.9,,
2017-12-19T00:28:43.273Z,55,,47.5,,55,,
2017-12-19T00:28:53.273Z,55,,47.5,,54.9,,
2017-12-19T00:29:03.272Z,55,,47.4,,54.8,,
2017-12-19T00:29:13.274Z,,,,,54.7,,
2017-12-19T00:29:23.273Z,55,,47.4,,54.4,,
2017-12-19T00:29:33.275Z,55,,47.4,,53.6,,
2017-12-19T00:29:43.273Z,55,,47.3,,,,
2017-12-19T00:29:54.272Z,,,,,53,,
2017-12-19T00:30:03.273Z,55,,47.2,,52.9,,
2017-12-19T00:30:13.273Z,,,,,52.7,,
2017-12-19T00:30:23.273Z,55,,47.2,,52.4,,
2017-12-19T00:30:33.274Z,55,,47.2,,52.1,,
2017-12-19T00:30:43.273Z,55,,47,,52,,
2017-12-19T00:30:53.274Z,55,,46.9,,51.9,,
2017-12-19T00:31:13.275Z,55,,46.8,,51.8,,
2017-12-19T00:31:23.273Z,55,,46.8,,51.7,,
2017-12-19T00:31:33.275Z,55,,46.7,,51.6,,
2017-12-19T00:31:43.273Z,,,,,51.4,,
2017-12-19T00:31:53.273Z,55,,46.6,,51.3,,
2017-12-19T00:32:03.273Z,55,,46.5,,51.2,,
2017-12-19T00:32:13.273Z,,,,,51,,
2017-12-19T00:32:23.275Z,55,,46.4,,50.9,,
2017-12-19T00:32:33.274Z,55,0,46.4,2,52,79,
2017-12-19T00:32:43.273Z,55,,46.2,,58.1,63,
2017-12-19T00:32:53.274Z,55,,46.1,,60.2,29,
2017-12-19T00:33:03.273Z,55,,46.1,,58.7,,
2017-12-19T00:33:13.274Z,55,,46,,57.9,,
2017-12-19T00:33:23.276Z,55,,45.9,,56.7,,
2017-12-19T00:33:33.273Z,55,,45.9,,55.6,,
2017-12-19T00:33:43.273Z,55,,45.8,,,,
2017-12-19T00:33:53.273Z,55,,45.8,,56,,
2017-12-19T00:34:03.273Z,55,,45.7,,,,
2017-12-19T00:34:13.275Z,,,,,56.2,,
2017-12-19T00:34:23.273Z,55,,45.7,,56.3,,
2017-12-19T00:34:33.274Z,55,,45.6,,,,
2017-12-19T00:34:43.274Z,55,,45.6,,56.5,,
2017-12-19T00:34:53.273Z,55,,45.6,,56.7,,
2017-12-19T00:35:03.273Z,55,,45.6,,56.9,,
2017-12-19T00:35:13.273Z,55,,45.6,,57,,
2017-12-19T00:35:23.274Z,55,,45.6,,57.1,,
2017-12-19T00:35:34.270Z,55,,45.6,,,,
2017-12-19T00:35:43.274Z,55,,45.7,,57.3,,
2017-12-19T00:35:53.273Z,55,,45.7,,57.4,,
2017-12-19T00:36:03.273Z,55,,45.7,,57.6,,
2017-12-19T00:36:13.273Z,55,,45.8,,57.8,,
2017-12-19T00:36:23.274Z,55,,45.8,,58,,
2017-12-19T00:36:33.273Z,55,,45.9,,,,
2017-12-19T00:36:43.279Z,55,,45.9,,58.1,,
2017-12-19T00:36:53.274Z,55,,45.9,,58.4,,
2017-12-19T00:37:03.274Z,55,,46,,58.6,,
2017-12-19T00:37:13.274Z,55,,46,,58.7,,
2017-12-19T00:37:23.274Z,55,,46.1,,59,,
2017-12-19T00:37:33.273Z,55,,46.1,,,,
2017-12-19T00:37:43.273Z,55,,46.2,,59.1,,
2017-12-19T00:37:53.275Z,55,,46.2,,59.3,,
2017-12-19T00:38:03.274Z,55,,46.4,,59.4,,
2017-12-19T00:38:13.275Z,55,,46.4,,59.5,,
2017-12-19T00:38:24.275Z,55,,46.5,,59.7,,
2017-12-19T00:38:33.274Z,55,,46.5,,59.8,,
2017-12-19T00:38:43.274Z,55,,46.6,,60,,
2017-12-19T00:38:53.274Z,55,,46.6,,,,
2017-12-19T00:39:03.276Z,55,0,46.7,0,61.6,0,59
2017-12-19T00:39:13.274Z,55,,36.8,,61.6,,
2017-12-19T00:39:23.274Z,55,,37.4,,58.9,,
2017-12-19T00:39:33.274Z,55,,38.4,,59.3,,
2017-12-19T00:39:43.274Z,55,,41.8,,60.1,,
2017-12-19T00:39:53.274Z,55,,44.2,,61.1,,
2017-12-19T00:40:03.274Z,55,1,45.8,0,62,,0
2017-12-19T00:40:13.274Z,55,0,56.5,0,61.9,0,59
2017-12-19T00:40:23.278Z,55,,53.6,,60.3,,
2017-12-19T00:40:33.274Z,55,,51.6,,60,,
2017-12-19T00:40:43.274Z,55,,50.6,,60.6,,
2017-12-19T00:40:53.274Z,55,,50.1,,61,,
2017-12-19T00:41:03.274Z,55,,49.8,,61.2,,
2017-12-19T00:41:18.295Z,55,0,49.7,2,61.4,,75
2017-12-19T00:41:23.275Z,55,,50,,61.5,,
2017-12-19T00:41:33.274Z,55,,50.3,,61.6,,
2017-12-19T00:41:43.353Z,55,,50.7,,,,
2017-12-19T00:41:53.275Z,55,,51,,61.7,,
2017-12-19T00:42:03.274Z,55,,51.2,,61.9,,
2017-12-19T00:42:13.274Z,55,,51.4,,,,
2017-12-19T00:42:23.275Z,55,,51.6,,62,,
2017-12-19T00:42:33.274Z,55,,51.7,,,,
2017-12-19T00:42:43.274Z,55,,51.8,,,,
2017-12-19T00:42:53.275Z,55,,51.9,,62.1,,
2017-12-19T00:43:03.275Z,55,,51.9,,,,
2017-12-19T00:43:13.276Z,55,,52,,62.2,,
2017-12-19T00:43:23.275Z,55,,52,,62.3,,
2017-12-19T00:43:33.274Z,55,0,52.1,2,66.2,79,
2017-12-19T00:43:43.275Z,55,,52.1,,70.3,54,
2017-12-19T00:43:53.275Z,55,,52.1,,67.7,29,
2017-12-19T00:44:09.293Z,55,,52.1,,62.7,,
2017-12-19T00:44:13.274Z,55,,52.1,,59.7,,
2017-12-19T00:44:23.276Z,55,,52.1,,58.8,,
2017-12-19T00:44:33.275Z,55,,52.1,,57.9,,
2017-12-19T00:44:43.275Z,55,,52.1,,58,,
2017-12-19T00:44:53.275Z,55,,52.1,,58.5,,
2017-12-19T00:45:03.274Z,55,,52.1,,58.6,,
2017-12-19T00:45:13.275Z,55,,52.1,,58.4,,
2017-12-19T00:45:23.276Z,55,,52,,,,
2017-12-19T00:45:33.894Z,55,,52,,58.3,,
2017-12-19T00:45:43.275Z,55,,52,,58.5,,
2017-12-19T00:45:53.277Z,55,,52,,58.6,,
2017-12-19T00:46:03.275Z,55,0,52,2,58.7,29,75
2017-12-19T00:46:13.274Z,55,,51.9,,59,,
2017-12-19T00:46:23.276Z,55,,51.9,,,,
2017-12-19T00:46:33.276Z,55,,51.9,,59.2,,
2017-12-19T00:46:43.275Z,55,,51.9,,59.3,,
2017-12-19T00:46:59.288Z,55,,51.8,,59.5,,
2017-12-19T00:47:03.276Z,55,,51.8,,59.7,,
2017-12-19T00:47:13.275Z,55,,51.8,,59.8,,
2017-12-19T00:47:23.276Z,55,,51.8,,60,,
2017-12-19T00:47:34.316Z,55,,51.7,,60.1,,
2017-12-19T00:47:43.275Z,55,,51.7,,60.2,,
2017-12-19T00:47:53.275Z,55,,51.7,,60.4,,
2017-12-19T00:48:03.275Z,55,,51.7,,60.5,,
2017-12-19T00:48:13.275Z,55,,51.7,,60.6,,
2017-12-19T00:48:23.277Z,55,,51.7,,60.7,,
2017-12-19T00:48:33.275Z,55,,51.6,,61,,
2017-12-19T00:48:43.275Z,55,,51.6,,,,
2017-12-19T00:48:53.275Z,55,,51.6,,61.1,,
2017-12-19T00:49:03.276Z,55,,51.6,,61.2,,
2017-12-19T00:49:13.275Z,55,,51.6,,61.4,,
2017-12-19T00:49:23.276Z,55,,51.6,,61.5,,
2017-12-19T00:49:33.275Z,55,,51.6,,61.6,,
2017-12-19T00:49:43.277Z,55,,51.6,,61.7,,
2017-12-19T00:49:53.275Z,55,,51.6,,61.9,,
2017-12-19T00:50:03.275Z,55,,51.6,,62,,
2017-12-19T00:50:13.304Z,55,,51.7,,,,
2017-12-19T00:50:23.276Z,55,,51.7,,62.1,,
2017-12-19T00:50:33.275Z,55,,51.7,,,,
2017-12-19T00:50:43.276Z,55,,51.7,,62.2,,
2017-12-19T00:50:53.276Z,55,,51.8,,62.4,,
2017-12-19T00:51:03.275Z,55,,51.8,,62.5,,
2017-12-19T00:51:13.276Z,55,,51.8,,62.6,,
2017-12-19T00:51:23.276Z,55,,51.9,,62.7,,
2017-12-19T00:51:33.275Z,55,,51.9,,,,
2017-12-19T00:51:43.276Z,55,,51.9,,,,
2017-12-19T00:51:53.276Z,55,,51.9,,63,,
2017-12-19T00:52:03.275Z,55,,52,,,,
2017-12-19T00:52:13.276Z,55,,52,,63.1,,
2017-12-19T00:52:23.275Z,55,,52,,63.2,,
2017-12-19T00:52:33.276Z,55,,52.1,,,,
2017-12-19T00:52:43.275Z,55,,52.1,,63.4,,
2017-12-19T00:52:53.276Z,55,,52.1,,,,
2017-12-19T00:53:03.276Z,55,,52.2,,63.5,,
2017-12-19T00:53:13.276Z,55,,52.2,,63.6,,
2017-12-19T00:53:23.276Z,55,0,52.2,2,63.8,0,
2017-12-19T00:53:33.276Z,55,,52.3,,61.9,,
2017-12-19T00:53:43.275Z,55,,52.3,,60.9,,
2017-12-19T00:53:53.275Z,55,,52.3,,60,,
2017-12-19T00:54:04.268Z,55,,52.3,,,,
2017-12-19T00:54:13.276Z,55,,52.4,,59.7,,
2017-12-19T00:54:23.277Z,55,,52.4,,60,,
2017-12-19T00:54:33.275Z,55,,52.4,,59.7,,
2017-12-19T00:54:43.277Z,55,0,52.4,2,62.4,80,
2017-12-19T00:54:53.276Z,55,,52.4,,70.6,49,
2017-12-19T00:55:03.276Z,55,,52.4,,71.7,29,
2017-12-19T00:55:13.276Z,55,,52.4,,68.8,,
2017-12-19T00:55:23.277Z,55,,52.3,,65.8,,
2017-12-19T00:55:33.276Z,55,,52.3,,63.9,,
2017-12-19T00:55:43.276Z,55,0,52.3,2,62.7,0,
2017-12-19T00:55:53.276Z,55,,52.2,,61.8,,
2017-12-19T00:56:03.352Z,55,,52.2,,60.8,,
2017-12-19T00:56:13.277Z,55,,52.2,,60.6,,
2017-12-19T00:56:23.276Z,55,,52.2,,60.3,,
2017-12-19T00:56:33.276Z,55,,52.2,,59.9,,
2017-12-19T00:56:43.276Z,55,,52.2,,,,
2017-12-19T00:56:58.296Z,55,,52.2,,58.9,,
2017-12-19T00:57:03.276Z,55,,52.2,,,,
2017-12-19T00:57:13.278Z,55,,52.2,,58.5,,
2017-12-19T00:57:23.276Z,55,,52.2,,58.2,,
2017-12-19T00:57:33.276Z,55,,52.1,,57.8,,
2017-12-19T00:57:43.276Z,55,,52.1,,57.5,,
2017-12-19T00:57:53.276Z,55,,52,,56.9,,
2017-12-19T00:58:03.276Z,55,,52,,56.7,,
2017-12-19T00:58:13.276Z,55,,51.9,,56.5,,
2017-12-19T00:58:23.277Z,55,,51.9,,56.1,,
2017-12-19T00:58:33.279Z,55,,51.8,,55.9,,
2017-12-19T00:58:43.276Z,55,,51.7,,55.7,,
2017-12-19T00:58:53.277Z,55,,51.6,,55.5,,
2017-12-19T00:59:03.277Z,55,,51.6,,54.9,,
