Time,PrimT,HwActive,ActPow,PrimTSet,ChActive,HwTSet,HwTOutlet
2017-12-25T00:00:03.452Z,,,,,,55,12.8
2017-12-25T00:00:13.457Z,,,,,,55,12.8
2017-12-25T00:00:24.445Z,12.5,,,,,55,12.6
2017-12-25T00:00:33.453Z,,,,,,55,12.8
2017-12-25T00:00:43.452Z,12.3,,,,,55,12.6
2017-12-25T00:00:53.453Z,,,,,,55,12.6
2017-12-25T00:01:03.452Z,,,,,,55,12.6
2017-12-25T00:01:13.453Z,12.5,,,,,55,12.8
2017-12-25T00:01:23.456Z,12.3,,,,,55,12.8
2017-12-25T00:01:33.452Z,12.5,,,,,55,12.8
2017-12-25T00:01:43.453Z,,,,,,55,12.8
2017-12-25T00:01:53.452Z,,,,,,55,12.8
2017-12-25T00:02:03.453Z,,,,,,55,12.8
2017-12-25T00:02:13.454Z,,,,,,55,12.8
2017-12-25T00:02:23.453Z,12.3,,,,,55,12.6
2017-12-25T00:02:33.453Z,12.5,,,,,55,12.8
2017-12-25T00:02:43.453Z,12.3,,,,,55,12.6
2017-12-25T00:02:53.456Z,,,,,,55,12.8
2017-12-25T00:03:03.458Z,,,,,,55,12.6
2017-12-25T00:03:14.446Z,,,,,,55,12.8
2017-12-25T00:03:23.453Z,12.5,,,,,55,12.8
2017-12-25T00:03:33.453Z,12.3,,,,,55,12.6
2017-12-25T00:03:43.453Z,12.5,,,,,55,12.8
2017-12-25T00:03:53.453Z,,,,,,55,12.8
2017-12-25T00:04:03.453Z,12.3,,,,,55,12.6
2017-12-25T00:04:13.453Z,12.5,,,,,55,12.6
2017-12-25T00:04:23.453Z,,,,,,55,12.8
2017-12-25T00:04:33.453Z,,,,,,55,12.8
2017-12-25T00:04:43.453Z,12.3,,,,,55,12.8
2017-12-25T00:04:53.454Z,,,,,,55,12.6
2017-12-25T00:05:03.453Z,12.5,,,,,55,12.8
2017-12-25T00:05:13.453Z,,,,,,55,12.6
2017-12-25T00:05:23.453Z,12.3,,,,,55,12.6
2017-12-25T00:05:33.453Z,,,,,,55,12.8
2017-12-25T00:05:43.453Z,12.5,,,,,55,12.8
2017-12-25T00:05:53.453Z,,,,,,55,12.8
2017-12-25T00:06:04.450Z,,,,,,55,12.8
2017-12-25T00:06:13.454Z,12.3,,,,,55,12.8
2017-12-25T00:06:23.454Z,12.5,,,,,55,12.8
2017-12-25T00:06:33.453Z,,,,,,55,12.8
2017-12-25T00:06:43.453Z,12.3,,,,,55,12.8
2017-12-25T00:06:53.453Z,12.5,,,,,55,12.6
2017-12-25T00:07:03.453Z,,,,,,55,12.8
2017-12-25T00:07:13.532Z,,,,,,55,12.8
2017-12-25T00:07:23.457Z,,,,,,55,12.8
2017-12-25T00:07:33.455Z,12.3,,,,,55,12.8
2017-12-25T00:07:43.458Z,12.5,,,,,55,12.6
2017-12-25T00:07:53.459Z,,,,,,55,12.8
2017-12-25T00:08:03.453Z,,,,,,55,12.8
2017-12-25T00:08:13.453Z,,,,,,55,12.8
2017-12-25T00:08:23.453Z,12.3,,,,,55,12.6
2017-12-25T00:08:33.453Z,,,,,,55,12.8
2017-12-25T00:08:43.460Z,,,,,,55,12.8
2017-12-25T00:08:58.473Z,12.5,,,,,55,12.8
2017-12-25T00:09:03.454Z,12.3,,,,,55,12.8
2017-12-25T00:09:13.453Z,12.5,,,,,55,12.8
2017-12-25T00:09:23.454Z,,,,,,55,12.8
2017-12-25T00:09:33.454Z,12.3,,,,,55,12.8
2017-12-25T00:09:43.454Z,,,,,,55,12.8
2017-12-25T00:09:53.454Z,,,,,,55,12.8
2017-12-25T00:10:03.453Z,12.5,,,,,55,12.8
2017-12-25T00:10:13.460Z,,,,,,55,12.8
2017-12-25T00:10:23.699Z,12.3,,,,,55,12.6
2017-12-25T00:10:33.454Z,12.5,,,,,55,12.6
2017-12-25T00:10:53.454Z,,,,,,55,12.8
2017-12-25T00:11:03.456Z,12.3,,,,,55,12.6
2017-12-25T00:11:13.466Z,,,,,,55,12.6
2017-12-25T00:11:23.454Z,12.5,,,,,55,12.8
2017-12-25T00:11:33.456Z,,,,,,55,12.8
2017-12-25T00:11:48.475Z,,,,,,55,12.6
