Time,PrimT,HwActive,ActPow,HwTSet,HwTOutlet,ChActive,PrimTSet
2017-12-29T00:00:07.330Z,,,,55,7.5,,
2017-12-29T00:00:17.329Z,,,,55,7.5,,
2017-12-29T00:00:27.419Z,,,,55,7.5,,
2017-12-29T00:00:37.330Z,,,,55,7.5,,
2017-12-29T00:00:47.329Z,,,,55,7.5,,
2017-12-29T00:00:57.330Z,,,,55,7.3,,
2017-12-29T00:01:07.329Z,,,,55,7.5,,
2017-12-29T00:01:22.349Z,,,,55,7.5,,
2017-12-29T00:01:27.420Z,,,,55,7.3,,
2017-12-29T00:01:37.330Z,,,,55,7.5,,
2017-12-29T00:01:47.331Z,,,,55,7.5,,
2017-12-29T00:01:57.330Z,,,,55,7.5,,
2017-12-29T00:02:07.329Z,,,,55,7.3,,
2017-12-29T00:02:17.330Z,,,,55,7.5,,
2017-12-29T00:02:27.420Z,,,,55,7.3,,
2017-12-29T00:02:37.330Z,,,,55,7.3,,
2017-12-29T00:02:47.331Z,,,,55,7.5,,
2017-12-29T00:02:57.330Z,,,,55,7.3,,
2017-12-29T00:03:07.330Z,,,,55,7.3,,
2017-12-29T00:03:17.330Z,,,,55,7.5,,
2017-12-29T00:03:27.410Z,,,,55,7.3,,
2017-12-29T00:03:37.330Z,,,,55,7.3,,
2017-12-29T00:03:47.330Z,,,,55,7.3,,
2017-12-29T00:03:57.329Z,,,,55,7.3,,
2017-12-29T00:04:12.477Z,,,,55,7.3,,
2017-12-29T00:04:17.330Z,,,,55,7.3,,
2017-12-29T00:04:27.420Z,,,,55,7.3,,
2017-12-29T00:04:37.331Z,,,,55,7.3,,
2017-12-29T00:04:47.350Z,,,,55,7.3,,
2017-12-29T00:04:57.332Z,,,,55,7.3,,
2017-12-29T00:05:07.330Z,,,,55,7.5,,
2017-12-29T00:05:17.330Z,,,,55,7.3,,
2017-12-29T00:05:27.420Z,,,,55,7.3,,
2017-12-29T00:05:38.326Z,,,,55,7.3,,
2017-12-29T00:05:47.330Z,,,,55,7.3,,
2017-12-29T00:05:57.331Z,,,,55,7.3,,
2017-12-29T00:06:07.330Z,,,,55,7.3,,
2017-12-29T00:06:17.330Z,,,,55,7.5,,
2017-12-29T00:06:27.420Z,8.4,0,0,55,7.3,0,5
2017-12-29T00:06:37.330Z,,,,55,7.3,,
2017-12-29T00:06:47.330Z,,,,55,7.3,,
2017-12-29T00:06:57.331Z,,,,55,7.3,,
2017-12-29T00:07:07.330Z,,,,55,7.5,,
2017-12-29T00:07:17.330Z,,,,55,7.3,,
2017-12-29T00:07:27.423Z,,,,55,7.3,,
