Time,PrimT,PrimTSet,HwTSet,HwTOutlet,ActPow,HwActive,ChActive
2017-12-30T00:00:07.544Z,,,55,48.1,,,
2017-12-30T00:00:18.542Z,,,55,48.1,,,
2017-12-30T00:00:27.634Z,59.9,,,,79,0,2
2017-12-30T00:00:37.546Z,65.5,,55,48,69,,
2017-12-30T00:00:47.544Z,68.4,,55,47.8,29,,
2017-12-30T00:00:57.544Z,64.6,,55,47.7,,,
2017-12-30T00:01:07.543Z,60.3,,,,,,
2017-12-30T00:01:17.544Z,57.9,,55,47.6,,,
2017-12-30T00:01:27.635Z,57,,55,47.6,,,
2017-12-30T00:01:37.546Z,56.9,,55,47.5,,,
2017-12-30T00:01:47.544Z,57.9,,55,47.5,,,
2017-12-30T00:01:57.544Z,58.3,,55,47.5,,,
2017-12-30T00:02:07.544Z,,,55,47.5,,,
2017-12-30T00:02:17.544Z,57.9,,,,,,
2017-12-30T00:02:27.634Z,,,55,47.5,,,
2017-12-30T00:02:37.544Z,58,,,,,,
2017-12-30T00:02:47.544Z,58.3,,55,47.5,,,
2017-12-30T00:02:57.544Z,58.4,,55,47.5,,,
2017-12-30T00:03:17.544Z,,,55,47.5,,,
2017-12-30T00:03:27.634Z,58.5,,55,47.5,,,
2017-12-30T00:03:37.544Z,,,55,47.5,,,
2017-12-30T00:03:47.544Z,58.7,,,,,,
2017-12-30T00:03:57.544Z,,,55,47.5,,,
2017-12-30T00:04:07.544Z,59.1,,,,0,0,2
2017-12-30T00:04:17.546Z,58.2,,55,47.6,,,
2017-12-30T00:04:27.624Z,56.9,,55,47.6,,,
2017-12-30T00:04:37.544Z,56,,55,47.6,,,
2017-12-30T00:04:47.544Z,55.7,,55,47.6,,,
2017-12-30T00:04:57.545Z,55.6,,55,47.7,,,
2017-12-30T00:05:07.544Z,,,55,47.7,,,
2017-12-30T00:05:17.545Z,56,,,,,,
2017-12-30T00:05:27.635Z,55.7,,55,47.7,,,
2017-12-30T00:05:37.545Z,56,,55,47.7,79,0,2
2017-12-30T00:05:47.545Z,62.8,,55,47.7,69,,
2017-12-30T00:06:03.874Z,67.4,,55,47.7,29,,
2017-12-30T00:06:07.545Z,64.9,,55,47.7,,,
2017-12-30T00:06:17.545Z,62.2,,55,47.7,,,
2017-12-30T00:06:27.636Z,60.2,,55,47.6,,,
2017-12-30T00:06:37.545Z,58.6,,55,47.6,,,
2017-12-30T00:06:47.544Z,,,55,47.5,,,
2017-12-30T00:06:57.549Z,59.1,,,,,,
2017-12-30T00:07:07.544Z,,,55,47.6,,,
2017-12-30T00:07:17.545Z,59.4,,55,47.5,,,
2017-12-30T00:07:28.024Z,59.3,,,,,,
2017-12-30T00:07:37.545Z,,,55,47.6,,,
2017-12-30T00:07:47.547Z,59.4,,55,47.6,,,
2017-12-30T00:07:57.546Z,59.9,,,,0,0,2
2017-12-30T00:08:07.545Z,,,55,47.6,,,
2017-12-30T00:08:17.545Z,57.6,,,,,,
2017-12-30T00:08:27.654Z,56.8,75,55,47.7,0,0,2
2017-12-30T00:08:37.545Z,56.3,,55,47.7,,,
2017-12-30T00:08:47.545Z,,,55,47.7,,,
2017-12-30T00:08:57.544Z,56.4,,,,,,
2017-12-30T00:09:07.545Z,56.6,,55,47.8,,,
2017-12-30T00:09:27.635Z,55.9,,55,47.8,,,
2017-12-30T00:09:37.547Z,55.6,,55,47.8,,,
2017-12-30T00:09:47.545Z,55.2,,55,47.8,,,
2017-12-30T00:09:57.545Z,54.9,,,,,,
2017-12-30T00:10:07.545Z,,,55,47.7,,,
2017-12-30T00:10:17.545Z,54.7,,55,47.7,,,
2017-12-30T00:10:27.635Z,54.4,,,,,,
2017-12-30T00:10:37.545Z,54.8,,55,47.6,79,0,2
2017-12-30T00:10:47.546Z,60.8,,55,47.6,69,,
2017-12-30T00:10:57.548Z,63.3,,55,47.5,29,,
2017-12-30T00:11:07.545Z,61.8,,55,47.5,,,
2017-12-30T00:11:17.545Z,59.9,,55,47.4,,,
2017-12-30T00:11:27.660Z,58.6,,55,47.4,,,
2017-12-30T00:11:37.545Z,57.9,,55,47.3,,,
2017-12-30T00:11:47.546Z,,,55,47.2,,,
2017-12-30T00:11:57.548Z,58.4,,,,,,
2017-12-30T00:12:07.546Z,,,55,47.2,,,
2017-12-30T00:12:17.545Z,58.6,,55,47,,,
2017-12-30T00:12:27.625Z,58.7,,,,,,
2017-12-30T00:12:37.545Z,,,55,47,,,
2017-12-30T00:12:47.545Z,,,55,47,,,
2017-12-30T00:12:57.545Z,59.1,,,,,,
2017-12-30T00:13:08.550Z,,,55,47,,,
2017-12-30T00:13:17.545Z,,,55,47,,,
2017-12-30T00:13:27.638Z,59.2,,,,,,
2017-12-30T00:13:37.546Z,59.3,,55,47.2,,,
2017-12-30T00:13:47.545Z,,,55,47.2,,,
2017-12-30T00:13:57.546Z,59.4,,,,,,
2017-12-30T00:14:07.546Z,,,55,47.3,,,
2017-12-30T00:14:17.546Z,59.5,,55,47.3,,,
2017-12-30T00:14:27.636Z,59.7,,,,,,
2017-12-30T00:14:37.546Z,,,55,47.4,,,
2017-12-30T00:14:47.546Z,59.8,,55,47.4,,,
2017-12-30T00:14:57.546Z,59.9,,,,,,
2017-12-30T00:15:07.546Z,,,55,47.5,,,
2017-12-30T00:15:17.546Z,60,,55,47.5,,,
2017-12-30T00:15:27.636Z,60.1,,,,,,
2017-12-30T00:15:37.546Z,,,55,47.6,,,
2017-12-30T00:15:47.547Z,60.2,,,,,,
2017-12-30T00:15:58.545Z,60.4,,55,47.6,,,
2017-12-30T00:16:07.546Z,,,55,47.6,,,
2017-12-30T00:16:17.546Z,60.5,,55,47.7,,,
2017-12-30T00:16:27.636Z,60.7,,,,,,
2017-12-30T00:16:37.546Z,,,55,47.8,,,
2017-12-30T00:16:57.546Z,61.2,,55,47.8,0,0,2
2017-12-30T00:17:07.546Z,60.4,,55,47.8,,,
2017-12-30T00:17:17.546Z,59,,55,48,,,
2017-12-30T00:17:27.636Z,58.2,,55,48,,,
2017-12-30T00:17:37.546Z,57.8,,55,48,,,
2017-12-30T00:17:47.546Z,,,55,48.1,,,
2017-12-30T00:17:57.548Z,57.7,,55,48.1,,,
2017-12-30T00:18:07.546Z,58,,,,,,
2017-12-30T00:18:17.546Z,57.7,,55,48.2,,,
2017-12-30T00:18:27.636Z,,,55,48.2,,,
2017-12-30T00:18:37.546Z,57.3,,55,48.2,,,
2017-12-30T00:18:52.567Z,56.6,,,,,,
2017-12-30T00:18:57.546Z,,,55,48.2,,,
2017-12-30T00:19:07.546Z,56.2,,,,,,
2017-12-30T00:19:17.547Z,55.9,,55,48.2,,,
2017-12-30T00:19:27.636Z,,,55,48.1,,,
2017-12-30T00:19:37.548Z,55.7,,,,,,
2017-12-30T00:19:47.547Z,55.2,,55,48.1,,,
2017-12-30T00:19:57.550Z,55.1,,55,48,,,
2017-12-30T00:20:07.546Z,55,,55,47.8,,,
2017-12-30T00:20:17.546Z,55.2,,55,47.8,,,
2017-12-30T00:20:27.626Z,,,55,47.7,,,
2017-12-30T00:20:37.547Z,55.3,,55,47.6,,,
2017-12-30T00:20:47.548Z,55.6,,,,,,
2017-12-30T00:20:57.547Z,,,55,47.6,,,
2017-12-30T00:21:07.547Z,55.7,,55,47.4,,,
2017-12-30T00:21:17.547Z,55.8,,,,,,
2017-12-30T00:21:27.627Z,55.9,,55,47.4,,,
2017-12-30T00:21:42.567Z,56,,55,47.3,,,
2017-12-30T00:21:47.547Z,56.1,,55,47.2,,,
