Time,PrimT,ActPow,HwTOutlet,PrimTSet,ChActive,HwTSet,HwActive
2018-01-01T00:00:00.935Z,37.3,,30.6,,,55,
2018-01-01T00:00:09.935Z,36.9,,30.6,,,55,
2018-01-01T00:00:19.936Z,36.8,,30.6,,,55,
2018-01-01T00:00:29.936Z,36.7,,30.6,,,55,
2018-01-01T00:00:39.936Z,36.4,,30.6,,,55,
2018-01-01T00:00:49.935Z,36.3,,30.7,,,55,
2018-01-01T00:00:59.936Z,36.2,,30.7,,,55,
2018-01-01T00:01:09.936Z,36,,30.7,,,55,
2018-01-01T00:01:19.936Z,35.9,,,,,,
2018-01-01T00:01:29.936Z,,,30.7,,,55,
2018-01-01T00:01:39.938Z,35.8,,30.7,,,55,
2018-01-01T00:01:49.936Z,,,30.7,,,55,
2018-01-01T00:01:59.936Z,35.7,,30.6,,,55,
2018-01-01T00:02:09.936Z,35.6,,30.6,,1,55,0
2018-01-01T00:02:19.936Z,40.3,79,30.6,,,55,
2018-01-01T00:02:29.936Z,45.1,44,30.6,,,55,
2018-01-01T00:02:40.928Z,45.7,0,30.6,,1,55,0
2018-01-01T00:02:50.929Z,43.8,,30.6,,,55,
2018-01-01T00:02:59.937Z,41.9,,30.6,,,55,
2018-01-01T00:03:09.936Z,39.8,,30.6,,,55,
2018-01-01T00:03:19.937Z,38.6,,30.6,,,55,
2018-01-01T00:03:29.936Z,37.9,,30.6,,,55,
2018-01-01T00:03:39.936Z,,,30.5,,,55,
2018-01-01T00:03:49.939Z,37.9,,30.5,,,55,
2018-01-01T00:03:59.936Z,,,30.5,,,55,
2018-01-01T00:04:09.936Z,37.5,,30.5,,,55,
2018-01-01T00:04:19.939Z,36.9,,30.5,,,55,
2018-01-01T00:04:29.937Z,36.8,,30.5,,,55,
2018-01-01T00:04:39.937Z,36.5,,30.5,,,55,
2018-01-01T00:04:49.936Z,36.4,,30.5,,,55,
2018-01-01T00:04:59.936Z,,,30.5,,,55,
2018-01-01T00:05:09.937Z,36.3,,30.5,,,55,
2018-01-01T00:05:19.937Z,,,30.5,,,55,
2018-01-01T00:05:29.937Z,36,,30.5,,,55,
2018-01-01T00:05:40.933Z,35.9,,30.5,,,55,
2018-01-01T00:05:49.936Z,,,30.4,,,55,
2018-01-01T00:05:59.937Z,36,,30.4,,,55,
2018-01-01T00:06:09.937Z,,,30.4,,,55,
2018-01-01T00:06:19.951Z,36.2,,30.4,,,55,
2018-01-01T00:06:29.937Z,36.3,,30.4,,,55,
2018-01-01T00:06:39.936Z,36.4,,30.4,,,55,
2018-01-01T00:06:49.937Z,,,30.4,,,55,
2018-01-01T00:06:59.938Z,,,30.4,,,55,
2018-01-01T00:07:09.936Z,36.5,,30.4,,,55,
2018-01-01T00:07:19.953Z,,,30.4,,,55,
2018-01-01T00:07:29.937Z,36.7,,30.2,,,55,
2018-01-01T00:07:39.937Z,,,30.2,,,55,
2018-01-01T00:07:50.936Z,36.8,,30.2,,,55,
2018-01-01T00:07:59.937Z,,,30.2,,,55,
2018-01-01T00:08:09.940Z,,,30.2,,,55,
2018-01-01T00:08:19.937Z,36.9,,30.2,,,55,
2018-01-01T00:08:34.037Z,,,30.1,,,55,
2018-01-01T00:08:39.936Z,,,30.1,,,55,
2018-01-01T00:08:49.937Z,37,,30.1,,,55,
2018-01-01T00:08:59.937Z,,,30.1,,,55,
2018-01-01T00:09:09.938Z,,,30.1,,,55,
2018-01-01T00:09:19.938Z,,,30,,,55,
2018-01-01T00:09:29.937Z,,,30,,,55,
2018-01-01T00:09:39.938Z,37.2,,30,,,55,
2018-01-01T00:09:49.937Z,,,30,,,55,
2018-01-01T00:09:59.937Z,,,30,,,55,
2018-01-01T00:10:09.937Z,,,29.9,,,55,
2018-01-01T00:10:19.949Z,37.3,,29.9,,,55,
2018-01-01T00:10:29.937Z,,,29.9,,,55,
2018-01-01T00:10:39.937Z,,,29.9,,,55,
2018-01-01T00:10:49.937Z,,,29.9,,,55,
2018-01-01T00:10:59.937Z,,,29.7,,,55,
2018-01-01T00:11:09.937Z,,,29.7,,,55,
2018-01-01T00:11:25.110Z,37.4,,29.7,,,55,
2018-01-01T00:11:29.937Z,,,29.7,,,55,
2018-01-01T00:11:39.937Z,,,29.7,,,55,
