Time,PrimT,HwTSet,ChActive,HwTOutlet,PrimTSet,ActPow,HwActive
2018-01-05T00:00:07.711Z,46.4,55,,37.7,,,
2018-01-05T00:00:17.711Z,46.5,55,,37.7,,,
2018-01-05T00:00:27.711Z,,55,,37.7,,,
2018-01-05T00:00:37.712Z,46.6,55,,37.7,,,
2018-01-05T00:00:47.715Z,,55,,37.5,,,
2018-01-05T00:00:57.712Z,46.7,55,,37.5,,,
2018-01-05T00:01:07.712Z,,55,,37.5,,,
2018-01-05T00:01:17.716Z,46.8,55,,37.5,,,
2018-01-05T00:01:27.712Z,,55,,37.5,,,
2018-01-05T00:01:37.711Z,,55,,37.5,,,
2018-01-05T00:01:47.712Z,46.9,55,,37.5,,,
2018-01-05T00:01:57.712Z,,55,,37.4,,,
2018-01-05T00:02:07.712Z,,55,,37.4,,,
2018-01-05T00:02:17.713Z,47,55,,37.4,,,
2018-01-05T00:02:27.712Z,,55,,37.4,,,
2018-01-05T00:02:37.713Z,,55,,37.4,,,
2018-01-05T00:02:47.712Z,,55,,37.3,,,
2018-01-05T00:03:07.712Z,47.2,55,,37.3,,,
2018-01-05T00:03:17.712Z,,55,,37.3,,,
2018-01-05T00:03:27.712Z,,55,,37.3,,,
2018-01-05T00:03:37.712Z,,55,,37.2,,,
2018-01-05T00:03:52.732Z,,55,,37.2,,,
2018-01-05T00:03:57.712Z,,55,,37.2,,,
2018-01-05T00:04:07.712Z,,55,,37.2,,,
2018-01-05T00:04:17.712Z,,55,,37.2,,,
2018-01-05T00:04:27.712Z,47.3,55,,37.2,,,
2018-01-05T00:04:37.712Z,,55,,37,,,
2018-01-05T00:04:47.712Z,,55,,37,,,
2018-01-05T00:04:57.712Z,,55,,37,,,
2018-01-05T00:05:07.712Z,,55,,37,,,
2018-01-05T00:05:17.714Z,,55,,36.9,,,
2018-01-05T00:05:27.712Z,,55,,36.9,,,
2018-01-05T00:05:37.714Z,,55,,36.9,,,
2018-01-05T00:05:47.712Z,,55,,36.9,,,
2018-01-05T00:05:57.712Z,,55,,36.9,,,
2018-01-05T00:06:07.714Z,,55,,36.8,,,
2018-01-05T00:06:17.712Z,,55,,36.8,,,
2018-01-05T00:06:27.712Z,,55,,36.8,,,
2018-01-05T00:06:42.735Z,,55,,36.8,,,
2018-01-05T00:06:47.713Z,,55,,36.7,,,
2018-01-05T00:06:57.713Z,,55,,36.7,,,
2018-01-05T00:07:07.712Z,,55,,36.7,,,
2018-01-05T00:07:17.713Z,,55,,36.7,,,
2018-01-05T00:07:27.712Z,47.2,55,,36.5,,,
2018-01-05T00:07:37.714Z,47.3,55,,36.5,,,
2018-01-05T00:07:47.712Z,47.2,55,,36.5,,,
2018-01-05T00:07:57.715Z,,55,,36.5,,,
2018-01-05T00:08:08.711Z,,55,,36.4,,,
2018-01-05T00:08:17.713Z,,55,,36.4,,,
2018-01-05T00:08:27.713Z,,55,,36.4,,,
2018-01-05T00:08:37.713Z,,55,,36.3,,,
2018-01-05T00:08:47.712Z,,55,,36.3,,,
2018-01-05T00:08:57.713Z,,55,,36.3,,,
2018-01-05T00:09:07.713Z,,55,,36.3,,,
2018-01-05T00:09:17.713Z,,55,,36.2,,,
2018-01-05T00:09:32.732Z,,55,,36.2,,,
2018-01-05T00:09:37.713Z,,55,,36.2,,,
2018-01-05T00:09:47.712Z,,55,,36,,,
2018-01-05T00:09:57.713Z,47,55,,36,,,
2018-01-05T00:10:07.713Z,,55,,36,,,
2018-01-05T00:10:17.712Z,,55,,36,,,
2018-01-05T00:10:27.714Z,,55,,36,,,
2018-01-05T00:10:37.713Z,,55,,35.9,,,
2018-01-05T00:10:47.712Z,,55,,35.9,,,
2018-01-05T00:10:57.713Z,,55,,35.9,,,
2018-01-05T00:11:07.713Z,46.9,55,,35.9,,,
2018-01-05T00:11:17.713Z,47,55,,35.8,,,
2018-01-05T00:11:27.715Z,46.9,55,,35.8,,,
