Time,PrimTSet,ChActive,HwActive,PrimT,HwTOutlet,ActPow,HwTSet
2018-01-08T00:00:02.292Z,,,,64.6,44.4,71,55
2018-01-08T00:00:12.296Z,,,,65.4,44.7,72,55
2018-01-08T00:00:22.292Z,,,,66.3,44.9,74,55
2018-01-08T00:00:32.292Z,,,,67.1,45.1,75,55
2018-01-08T00:00:42.292Z,,,,67.7,45.3,76,55
2018-01-08T00:00:52.293Z,,,,68.2,45.6,78,55
2018-01-08T00:01:02.292Z,,,,69.1,45.8,,55
2018-01-08T00:01:12.292Z,,,,69.6,46,,55
2018-01-08T00:01:22.293Z,,,,70,46.4,,55
2018-01-08T00:01:32.292Z,,,,70.5,46.6,,55
2018-01-08T00:01:42.292Z,,,,70.9,46.8,,55
2018-01-08T00:01:52.293Z,,,,71.4,47.2,,55
2018-01-08T00:02:03.292Z,,,,71.8,47.4,,55
2018-01-08T00:02:12.293Z,,,,72.2,47.7,,55
2018-01-08T00:02:22.292Z,,,,72.4,48,,55
2018-01-08T00:02:32.293Z,,,,72.7,48.3,,55
2018-01-08T00:02:42.292Z,,,,73.1,48.6,,55
2018-01-08T00:02:52.293Z,,,,73.4,48.9,,55
2018-01-08T00:03:02.293Z,,,,73.8,49.1,77,55
2018-01-08T00:03:12.293Z,,,,74.1,49.4,,55
2018-01-08T00:03:22.293Z,,,,74.3,49.7,,55
2018-01-08T00:03:32.293Z,,,,74.7,49.9,,55
2018-01-08T00:03:42.293Z,,,,74.9,50.2,,55
2018-01-08T00:03:52.293Z,,,,75.3,,,
2018-01-08T00:04:02.296Z,,,,75.7,50.7,75,55
2018-01-08T00:04:12.293Z,,,,75.9,50.9,72,55
2018-01-08T00:04:22.293Z,,,,,51.1,68,55
2018-01-08T00:04:32.293Z,,,,75.7,51.3,65,55
2018-01-08T00:04:42.293Z,,,,75.6,51.6,63,55
2018-01-08T00:04:52.293Z,,,,75.3,51.8,60,55
2018-01-08T00:05:02.293Z,,,,,51.9,59,55
2018-01-08T00:05:12.295Z,,,,75.1,52.2,58,55
2018-01-08T00:05:22.293Z,,,,,52.3,,55
2018-01-08T00:05:32.293Z,,,,75.3,52.6,,55
2018-01-08T00:05:42.293Z,,,,75.4,52.8,56,55
2018-01-08T00:05:52.294Z,,,,,52.9,55,55
2018-01-08T00:06:02.296Z,,,,,53.1,53,55
2018-01-08T00:06:12.293Z,,,,75.3,53.2,52,55
2018-01-08T00:06:22.293Z,,,,,53.3,51,55
2018-01-08T00:06:32.293Z,,,,75.1,53.6,50,55
2018-01-08T00:06:42.293Z,,,,,53.7,,55
2018-01-08T00:06:52.293Z,,,,75.3,53.8,49,55
2018-01-08T00:07:02.293Z,,,,,53.9,48,55
2018-01-08T00:07:12.293Z,,,,,54,47,55
2018-01-08T00:07:22.293Z,,,,75.1,54.1,46,55
2018-01-08T00:07:32.293Z,,,,75,54.2,45,55
2018-01-08T00:07:43.291Z,,,,,54.3,,55
2018-01-08T00:07:52.293Z,,,,,54.4,,55
2018-01-08T00:08:02.297Z,,,,,54.6,,55
2018-01-08T00:08:12.293Z,,,,75.1,54.7,,55
2018-01-08T00:08:22.293Z,,,,,54.8,,55
2018-01-08T00:08:32.294Z,,,,75.3,54.8,44,55
2018-01-08T00:08:42.293Z,,,,,54.9,43,55
2018-01-08T00:08:52.294Z,,,,75.1,55,42,55
2018-01-08T00:09:02.295Z,,,,,55.1,,55
2018-01-08T00:09:12.298Z,,,,,55.2,41,55
2018-01-08T00:09:22.294Z,,,,75,55.2,,55
2018-01-08T00:09:32.294Z,,,,,55.3,,55
2018-01-08T00:09:42.294Z,,,,75.1,55.5,,55
2018-01-08T00:09:52.293Z,,,,,55.5,40,55
2018-01-08T00:10:02.298Z,,,,,55.6,,55
2018-01-08T00:10:12.294Z,,,,,55.6,,55
2018-01-08T00:10:22.294Z,,,,75,55.7,,55
2018-01-08T00:10:37.314Z,,,,,55.8,,55
2018-01-08T00:10:42.293Z,,,,75.1,55.8,,55
2018-01-08T00:10:52.294Z,,,,,55.9,39,55
2018-01-08T00:11:02.294Z,,,,,56,,55
2018-01-08T00:11:12.294Z,,,,,56,,55
2018-01-08T00:11:22.294Z,,,,75,56.1,,55
2018-01-08T00:11:32.294Z,,,,,56.1,38,55
2018-01-08T00:11:42.294Z,,,,,56.2,,55
2018-01-08T00:11:52.294Z,,,,75.1,56.2,,55
2018-01-08T00:12:02.294Z,,,,,56.4,,55
2018-01-08T00:12:12.295Z,,,,,56.4,,55
2018-01-08T00:12:22.294Z,,,,75,56.4,37,55
2018-01-08T00:12:32.294Z,,,,,56.5,38,55
2018-01-08T00:12:42.294Z,,,,,56.5,37,55
2018-01-08T00:12:52.294Z,,,,,56.6,,55
2018-01-08T00:13:02.294Z,,,,,56.6,38,55
2018-01-08T00:13:12.294Z,,,,,56.7,37,55
2018-01-08T00:13:27.718Z,,,,75.1,56.7,,55
2018-01-08T00:13:32.299Z,,,,75,56.8,,55
2018-01-08T00:13:42.295Z,,,,,56.8,,55
2018-01-08T00:13:52.303Z,,,,75.1,56.9,,55
2018-01-08T00:14:02.294Z,,,,,56.9,,55
2018-01-08T00:14:12.294Z,,,,75,57,36,55
2018-01-08T00:14:22.298Z,,,,,57,,55
2018-01-08T00:14:32.294Z,0,0,2,75.1,57.2,34,55
2018-01-08T00:14:42.294Z,59,0,0,76.9,38.9,0,55
2018-01-08T00:14:53.292Z,,,,73.6,,,
2018-01-08T00:15:02.294Z,,,,69,46.1,,55
2018-01-08T00:15:12.294Z,,,,69.4,51.7,,55
2018-01-08T00:15:22.295Z,,,,70.4,53.7,,55
2018-01-08T00:15:32.295Z,,,,71.2,55.2,,55
2018-01-08T00:15:42.295Z,75,1,0,72.1,56.6,,55
2018-01-08T00:15:52.297Z,,1,0,73.1,,80,
2018-01-08T00:16:02.305Z,,,,80.1,58.5,0,55
2018-01-08T00:16:12.295Z,,1,0,80.3,59.1,,55
2018-01-08T00:16:22.294Z,,,,74.6,59.5,,55
2018-01-08T00:16:32.295Z,,,,70,59.9,,55
2018-01-08T00:16:42.295Z,,,,68.5,60.1,,55
2018-01-08T00:16:52.299Z,,,,67.9,,,
2018-01-08T00:17:02.295Z,,,,,60.6,,55
2018-01-08T00:17:12.296Z,,,,68,60.8,,55
2018-01-08T00:17:22.295Z,,,,67.6,60.9,,55
2018-01-08T00:17:32.297Z,,,,66.9,61,,55
2018-01-08T00:17:43.286Z,,,,66.4,61.2,,55
2018-01-08T00:17:52.295Z,,,,66,,,
2018-01-08T00:18:02.295Z,,,,65.6,61.3,,55
2018-01-08T00:18:12.295Z,,,,65.2,61.4,,55
2018-01-08T00:18:22.294Z,,,,65,61.4,,55
2018-01-08T00:18:32.295Z,,,,64.8,61.4,,55
2018-01-08T00:18:42.295Z,,,,64.4,61.4,,55
2018-01-08T00:18:52.297Z,,,,64.2,61.3,,55
2018-01-08T00:19:02.295Z,,,,63.8,61.3,,55
2018-01-08T00:19:12.295Z,,,,63.6,61.3,,55
2018-01-08T00:19:22.295Z,,,,63.4,61.3,,55
2018-01-08T00:19:32.295Z,,,,63.1,61.3,,55
2018-01-08T00:19:42.295Z,,,,62.9,61.2,,55
2018-01-08T00:19:52.295Z,,,,62.7,61.2,,55
2018-01-08T00:20:02.304Z,,,,62.4,61.2,,55
2018-01-08T00:20:12.297Z,,,,62.2,61,,55
2018-01-08T00:20:22.295Z,,,,62,61,,55
2018-01-08T00:20:33.290Z,,,,61.7,60.9,,55
2018-01-08T00:20:42.295Z,,,,61.5,60.9,,55
2018-01-08T00:20:52.295Z,,1,0,63.1,,79,
2018-01-08T00:21:02.295Z,,,,68.7,60.8,62,55
2018-01-08T00:21:12.295Z,,,,70.4,60.7,29,55
2018-01-08T00:21:22.295Z,,,,68.8,,,
2018-01-08T00:21:32.297Z,,,,67.2,60.6,,55
2018-01-08T00:21:42.295Z,,,,65.8,60.6,,55
2018-01-08T00:21:52.295Z,,,,65.3,,,
2018-01-08T00:22:02.296Z,,,,,60.5,,55
2018-01-08T00:22:12.297Z,,,,65.6,60.3,,55
2018-01-08T00:22:22.295Z,,,,65.8,60.2,,55
2018-01-08T00:22:32.295Z,,,,,60.1,,55
2018-01-08T00:22:42.295Z,,,,,60,,55
2018-01-08T00:22:52.295Z,,,,,60,,55
2018-01-08T00:23:02.295Z,,,,66.2,59.9,33,55
2018-01-08T00:23:12.296Z,,,,66.5,59.8,34,55
2018-01-08T00:23:23.311Z,,,,66.8,59.7,36,55
2018-01-08T00:23:32.295Z,,,,67.2,59.5,37,55
2018-01-08T00:23:42.296Z,,,,67.6,59.5,38,55
2018-01-08T00:23:52.295Z,,,,,59.4,,55
2018-01-08T00:24:02.296Z,,,,68.2,,41,
2018-01-08T00:24:12.296Z,,,,68.6,59.3,42,55
2018-01-08T00:24:22.296Z,,,,69,59.2,43,55
2018-01-08T00:24:32.296Z,,,,69.4,,44,
2018-01-08T00:24:42.296Z,,,,69.7,59,45,55
2018-01-08T00:24:52.296Z,,,,70,,46,
2018-01-08T00:25:02.297Z,,,,70.4,59,47,55
2018-01-08T00:25:12.295Z,,,,70.8,58.9,,55
2018-01-08T00:25:22.296Z,,,,71.1,,48,
2018-01-08T00:25:32.296Z,,,,71.5,58.7,49,55
2018-01-08T00:25:42.295Z,,,,71.8,58.7,,55
2018-01-08T00:25:52.296Z,,,,72.2,,50,
2018-01-08T00:26:02.299Z,,,,72.4,58.7,,55
2018-01-08T00:26:13.288Z,,,,72.8,58.7,51,55
2018-01-08T00:26:22.296Z,,,,73.1,58.7,,55
2018-01-08T00:26:32.300Z,,,,73.2,58.9,,55
2018-01-08T00:26:42.296Z,75,1,0,73.6,58.9,51,55
2018-01-08T00:26:52.300Z,,,,73.8,,52,
2018-01-08T00:27:02.298Z,,,,74.1,59,,55
2018-01-08T00:27:12.296Z,,,,74.3,59,,55
2018-01-08T00:27:22.296Z,,,,74.6,59.1,,55
2018-01-08T00:27:32.298Z,,,,74.7,59.1,,55
2018-01-08T00:27:42.296Z,,,,75,59.2,,55
2018-01-08T00:27:52.296Z,,,,75.3,59.2,,55
2018-01-08T00:28:02.298Z,,,,75.4,59.3,50,55
2018-01-08T00:28:12.296Z,,,,75.6,,49,
2018-01-08T00:28:22.296Z,,,,75.4,59.4,47,55
2018-01-08T00:28:32.300Z,,,,75.3,59.5,45,55
2018-01-08T00:28:42.296Z,,,,,,44,
2018-01-08T00:28:52.296Z,,,,75.1,59.7,43,55
2018-01-08T00:29:07.317Z,,,,75,59.8,,55
2018-01-08T00:29:12.296Z,,,,,59.9,,55
2018-01-08T00:29:22.298Z,,,,,59.9,,55
2018-01-08T00:29:32.301Z,,,,75.1,60,,55
2018-01-08T00:29:42.305Z,,,,75.3,,42,
2018-01-08T00:29:52.296Z,,,,,60.1,41,55
2018-01-08T00:30:02.297Z,,,,75.1,60.2,40,55
2018-01-08T00:30:12.297Z,,,,,60.2,,55
2018-01-08T00:30:22.297Z,,,,75.3,60.2,39,55
2018-01-08T00:30:32.444Z,,,,75.1,60.3,38,55
2018-01-08T00:30:42.297Z,,,,,60.3,,55
2018-01-08T00:30:52.297Z,,,,,60.3,37,55
2018-01-08T00:31:02.439Z,,,,,60.5,,55
2018-01-08T00:31:12.296Z,,,,,,36,
2018-01-08T00:31:22.297Z,,,,75,60.5,,55
2018-01-08T00:31:33.339Z,,,,75.1,60.6,,55
2018-01-08T00:31:42.297Z,,,,75,60.6,,55
2018-01-08T00:31:52.297Z,,,,75.1,60.6,35,55
2018-01-08T00:32:02.297Z,,,,,60.6,,55
2018-01-08T00:32:12.297Z,,,,75,60.7,,55
2018-01-08T00:32:22.297Z,,,,75.1,60.7,,55
2018-01-08T00:32:32.297Z,,,,,60.7,34,55
2018-01-08T00:32:42.297Z,,,,,60.7,,55
2018-01-08T00:32:52.297Z,,,,75,60.7,,55
2018-01-08T00:33:02.298Z,,,,,60.7,,55
2018-01-08T00:33:23.387Z,,,,,60.7,,55
2018-01-08T00:33:32.297Z,,,,,60.7,,55
2018-01-08T00:33:42.302Z,,,,75.1,,,
2018-01-08T00:33:52.297Z,,,,,60.8,33,55
2018-01-08T00:34:02.297Z,,,,,60.8,,55
2018-01-08T00:34:12.297Z,,,,75,,,
2018-01-08T00:34:22.298Z,,,,,60.8,,55
2018-01-08T00:34:32.297Z,,,,,60.8,,55
2018-01-08T00:34:52.297Z,,,,,60.8,,55
2018-01-08T00:35:02.297Z,,,,75.1,60.8,,55
2018-01-08T00:35:12.298Z,,,,75,,,
2018-01-08T00:35:22.297Z,,,,,60.8,,55
2018-01-08T00:35:32.297Z,,,,,60.8,,55
2018-01-08T00:35:52.297Z,,,,,60.8,,55
2018-01-08T00:36:02.297Z,,,,,60.8,,55
2018-01-08T00:36:13.334Z,,,,,,32,
2018-01-08T00:36:22.305Z,,,,,60.8,,55
2018-01-08T00:36:32.297Z,,,,,60.8,,55
2018-01-08T00:36:42.303Z,,,,75.1,,,
2018-01-08T00:36:52.297Z,,,,,60.8,,55
2018-01-08T00:37:02.297Z,,,,75,60.8,,55
2018-01-08T00:37:22.298Z,,,,,60.8,,55
2018-01-08T00:37:32.297Z,,,,,60.9,,55
2018-01-08T00:37:42.298Z,,,,,,31,
2018-01-08T00:37:52.298Z,,,,,60.9,32,55
2018-01-08T00:38:02.297Z,,,,,60.9,,55
2018-01-08T00:38:12.298Z,,,,,,31,
2018-01-08T00:38:22.301Z,,,,,60.9,,55
2018-01-08T00:38:32.297Z,,,,,60.9,,55
2018-01-08T00:38:52.298Z,,,,,60.9,,55
2018-01-08T00:39:02.298Z,,,,,60.9,,55
2018-01-08T00:39:22.298Z,,,,,60.9,,55
2018-01-08T00:39:32.298Z,,,,,60.9,,55
2018-01-08T00:39:52.298Z,,,,,60.9,,55
2018-01-08T00:40:02.298Z,,,,,60.9,,55
2018-01-08T00:40:22.298Z,,,,,60.9,,55
2018-01-08T00:40:32.298Z,,,,,60.9,,55
2018-01-08T00:40:52.298Z,,,,,60.9,,55
2018-01-08T00:41:02.302Z,,,,,60.9,,55
2018-01-08T00:41:22.298Z,,,,,60.9,,55
2018-01-08T00:41:32.298Z,,,,,60.9,,55
2018-01-08T00:41:53.292Z,,,,,60.9,,55
2018-01-08T00:42:02.299Z,,,,,60.9,,55
2018-01-08T00:42:22.300Z,,,,,60.9,,55
2018-01-08T00:42:32.298Z,,,,,60.9,,55
2018-01-08T00:42:52.298Z,,,,,60.9,,55
2018-01-08T00:43:07.324Z,,,,,60.9,,55
2018-01-08T00:43:22.298Z,,,,,60.9,,55
2018-01-08T00:43:32.298Z,,,,,60.9,,55
2018-01-08T00:43:42.298Z,,,,75,,,
