Time,HwActive,ChActive,ActPow,PrimT,PrimTSet,HwTOutlet,HwTSet
2018-01-10T00:00:02.732Z,,,,,,45.5,55
2018-01-10T00:00:12.678Z,,,,,,45.5,55
2018-01-10T00:00:22.678Z,,,,,,45.3,55
2018-01-10T00:00:32.679Z,,,,59.2,,45.3,55
2018-01-10T00:00:42.695Z,,,,,,45.2,55
2018-01-10T00:00:52.678Z,,,,,,45.2,55
2018-01-10T00:01:02.694Z,,,,,,45.1,55
2018-01-10T00:01:12.693Z,,,,59.1,,45.1,55
2018-01-10T00:01:22.702Z,,,,,,45,55
2018-01-10T00:01:32.694Z,,,,,,45,55
2018-01-10T00:01:42.688Z,,,,59,,44.9,55
2018-01-10T00:01:52.745Z,,,,,,44.9,55
2018-01-10T00:02:02.695Z,,,,,,44.8,55
2018-01-10T00:02:17.719Z,,,,59,,44.8,55
2018-01-10T00:02:22.696Z,,,,58.9,,44.7,55
2018-01-10T00:02:32.700Z,,,,,,44.7,55
2018-01-10T00:02:42.700Z,,,,,,44.5,55
2018-01-10T00:02:52.696Z,,,,,,44.4,55
2018-01-10T00:03:02.691Z,,,,58.7,,44.4,55
2018-01-10T00:03:12.697Z,,,,,,44.3,55
2018-01-10T00:03:23.175Z,,,,,,44.3,55
2018-01-10T00:03:32.760Z,,,,58.6,,44.2,55
2018-01-10T00:03:42.780Z,,,,,,44.2,55
2018-01-10T00:03:52.689Z,,,,,,44.1,55
2018-01-10T00:04:02.699Z,,,,,,44.1,55
2018-01-10T00:04:12.844Z,,,,58.5,,44,55
2018-01-10T00:04:22.697Z,,,,,,44,55
2018-01-10T00:04:32.680Z,,,,,,43.9,55
2018-01-10T00:04:42.679Z,,,,58.4,,43.9,55
2018-01-10T00:04:52.679Z,,,,,,43.7,55
2018-01-10T00:05:02.955Z,,,,,,43.6,55
2018-01-10T00:05:12.679Z,,,,,,43.6,55
2018-01-10T00:05:22.679Z,,,,58.3,,43.5,55
2018-01-10T00:05:32.679Z,,,,,,43.5,55
2018-01-10T00:05:42.679Z,,,,,,43.4,55
2018-01-10T00:05:52.679Z,,,,,,43.4,55
2018-01-10T00:06:02.679Z,,,,58.2,,43.3,55
2018-01-10T00:06:12.680Z,,,,,,43.3,55
2018-01-10T00:06:22.683Z,,,,,,43.2,55
2018-01-10T00:06:32.680Z,,,,,,43.1,55
2018-01-10T00:06:42.679Z,,,,58.1,,43.1,55
2018-01-10T00:06:52.679Z,,,,,,43,55
2018-01-10T00:07:02.683Z,,,,,,43,55
2018-01-10T00:07:12.683Z,,,,58,,42.8,55
2018-01-10T00:07:22.685Z,,,,,,42.8,55
2018-01-10T00:07:32.679Z,,,,,,42.7,55
2018-01-10T00:07:42.680Z,,,,57.8,,42.7,55
2018-01-10T00:07:52.679Z,,,,,,42.6,55
2018-01-10T00:08:02.680Z,,,,,,42.6,55
2018-01-10T00:08:12.679Z,,,,,,42.5,55
2018-01-10T00:08:22.681Z,,,,57.7,,42.5,55
2018-01-10T00:08:32.679Z,,,,,,42.4,55
2018-01-10T00:08:42.679Z,,,,,,42.3,55
2018-01-10T00:08:52.679Z,,,,,,42.3,55
2018-01-10T00:09:02.679Z,,,,57.6,,42.2,55
2018-01-10T00:09:12.681Z,,,,,,42.2,55
2018-01-10T00:09:23.683Z,,,,,,42,55
2018-01-10T00:09:32.679Z,,,,,,42,55
2018-01-10T00:09:42.681Z,,,,57.5,,42,55
2018-01-10T00:09:52.679Z,,,,,,41.9,55
2018-01-10T00:10:02.679Z,,,,,,41.8,55
2018-01-10T00:10:12.679Z,,,,,,41.8,55
2018-01-10T00:10:22.682Z,,,,57.4,,41.8,55
2018-01-10T00:10:32.679Z,,,,,,41.7,55
2018-01-10T00:10:42.679Z,,,,,,41.6,55
2018-01-10T00:10:52.679Z,,,,57.3,,41.6,55
2018-01-10T00:11:02.679Z,,,,,,41.5,55
2018-01-10T00:11:12.680Z,,,,,,41.5,55
2018-01-10T00:11:22.679Z,,,,,,41.4,55
2018-01-10T00:11:33.138Z,,,,57.2,,41.4,55
2018-01-10T00:11:42.679Z,,,,,,41.2,55
2018-01-10T00:11:52.679Z,,,,,,41.2,55
2018-01-10T00:12:02.681Z,,,,,,41.1,55
2018-01-10T00:12:12.680Z,,,,57,,41.1,55
2018-01-10T00:12:22.680Z,,,,,,41,55
2018-01-10T00:12:32.683Z,,,,,,41,55
2018-01-10T00:12:42.686Z,,,,56.9,,40.9,55
2018-01-10T00:12:52.697Z,,,,,,40.9,55
2018-01-10T00:13:02.680Z,,,,,,40.8,55
2018-01-10T00:13:12.682Z,,,,,,40.7,55
2018-01-10T00:13:22.681Z,,,,56.8,,40.7,55
2018-01-10T00:13:32.684Z,,,,,,40.7,55
2018-01-10T00:13:42.680Z,,,,,,40.6,55
2018-01-10T00:13:52.680Z,,,,56.7,,40.6,55
2018-01-10T00:14:02.687Z,,,,,,40.5,55
2018-01-10T00:14:12.680Z,,,,,,40.5,55
2018-01-10T00:14:22.680Z,,,,,,40.3,55
2018-01-10T00:14:32.680Z,,,,56.6,,40.3,55
2018-01-10T00:14:42.681Z,,,,,,40.2,55
2018-01-10T00:14:52.680Z,,,,,,40.2,55
2018-01-10T00:15:03.677Z,,,,,,40.1,55
2018-01-10T00:15:12.680Z,,,,56.5,,40.1,55
2018-01-10T00:15:22.681Z,,,,,,40,55
2018-01-10T00:15:32.680Z,,,,,,40,55
2018-01-10T00:15:42.680Z,,,,,,40,55
2018-01-10T00:15:52.680Z,,,,56.4,,39.9,55
2018-01-10T00:16:02.680Z,,,,,,39.8,55
2018-01-10T00:16:12.680Z,,,,,,39.8,55
2018-01-10T00:16:22.681Z,,,,,,39.8,55
2018-01-10T00:16:32.682Z,,,,56.2,,39.6,55
2018-01-10T00:16:42.683Z,,,,,,39.6,55
2018-01-10T00:16:52.682Z,,,,,,39.5,55
2018-01-10T00:17:02.680Z,,,,56.1,,39.5,55
2018-01-10T00:17:12.683Z,,,,,,39.4,55
2018-01-10T00:17:22.681Z,,,,,,39.4,55
2018-01-10T00:17:32.686Z,,,,,,39.3,55
2018-01-10T00:17:42.681Z,,,,56,,39.3,55
2018-01-10T00:17:52.683Z,,,,,,39.1,55
2018-01-10T00:18:02.685Z,,,,,,39.1,55
2018-01-10T00:18:12.682Z,,,,,,39,55
2018-01-10T00:18:22.682Z,,,,,,39,55
2018-01-10T00:18:32.684Z,,,,55.9,,38.9,55
