Time,ActPow,HwTSet,PrimT,HwActive,HwTOutlet,PrimTSet,ChActive
2018-01-12T00:00:01.094Z,,55,49.1,,30,,
2018-01-12T00:00:11.066Z,,55,,,30,,
2018-01-12T00:00:21.064Z,,55,,,30,,
2018-01-12T00:00:31.068Z,,55,,,30,,
2018-01-12T00:00:41.065Z,,55,,,30,,
2018-01-12T00:00:51.064Z,,55,,,30,,
2018-01-12T00:01:02.174Z,,55,49,,30,,
2018-01-12T00:01:11.064Z,,55,,,29.9,,
2018-01-12T00:01:21.063Z,,55,,,29.9,,
2018-01-12T00:01:31.065Z,,55,48.9,,29.9,,
2018-01-12T00:01:41.064Z,,55,,,29.9,,
2018-01-12T00:01:51.065Z,,55,,,29.9,,
2018-01-12T00:02:01.064Z,,55,,,29.7,,
2018-01-12T00:02:11.064Z,,55,,,29.7,,
2018-01-12T00:02:21.063Z,,55,,,29.7,,
2018-01-12T00:02:31.064Z,,55,,,29.7,,
2018-01-12T00:02:41.064Z,,55,48.7,,29.7,,
2018-01-12T00:02:51.073Z,,55,,,29.6,,
2018-01-12T00:03:01.064Z,,55,,,29.6,,
2018-01-12T00:03:11.064Z,,55,,,29.6,,
2018-01-12T00:03:21.066Z,,55,48.6,,29.6,,
2018-01-12T00:03:31.064Z,,55,,,29.6,,
2018-01-12T00:03:41.066Z,,55,,,29.6,,
2018-01-12T00:03:52.061Z,,55,,,29.4,,
2018-01-12T00:04:01.064Z,,55,,,29.4,,
2018-01-12T00:04:11.064Z,,55,,,29.4,,
2018-01-12T00:04:21.065Z,,55,48.5,,29.4,,
2018-01-12T00:04:31.064Z,,55,,,29.4,,
2018-01-12T00:04:41.064Z,,55,,,29.4,,
2018-01-12T00:04:51.064Z,,55,,,29.3,,
2018-01-12T00:05:01.066Z,,55,48.4,,29.3,,
2018-01-12T00:05:11.064Z,,55,,,29.3,,
2018-01-12T00:05:21.064Z,,55,,,29.3,,
2018-01-12T00:05:31.064Z,,55,,,29.3,,
2018-01-12T00:05:41.064Z,,55,,,29.2,,
2018-01-12T00:05:51.064Z,,55,,,29.2,,
2018-01-12T00:06:01.064Z,,55,48.3,,29.2,,
2018-01-12T00:06:12.064Z,,55,,,29.2,,
2018-01-12T00:06:21.067Z,,55,,,29.2,,
2018-01-12T00:06:31.065Z,,55,,,29,,
2018-01-12T00:06:46.086Z,,55,,,29,,
2018-01-12T00:06:51.065Z,,55,,,29,,
2018-01-12T00:07:01.065Z,,55,48.2,,29,,
2018-01-12T00:07:11.065Z,,55,,,29,,
2018-01-12T00:07:21.064Z,,55,,,29,,
2018-01-12T00:07:32.122Z,,55,,,29,,
2018-01-12T00:07:41.065Z,,55,,,28.9,,
2018-01-12T00:07:51.065Z,,55,48.1,,28.9,,
2018-01-12T00:08:01.064Z,,55,,,28.9,,
2018-01-12T00:08:11.065Z,,55,,,28.9,,
2018-01-12T00:08:21.065Z,,55,,,28.9,,
2018-01-12T00:08:31.067Z,,55,48,,28.9,,
2018-01-12T00:08:41.067Z,,55,,,28.7,,
2018-01-12T00:08:51.065Z,,55,,,28.7,,
2018-01-12T00:09:01.065Z,,55,,,28.7,,
2018-01-12T00:09:11.105Z,,55,,,28.7,,
2018-01-12T00:09:21.068Z,,55,47.8,,28.7,,
2018-01-12T00:09:36.085Z,,55,,,28.6,,
2018-01-12T00:09:41.065Z,,55,,,28.6,,
2018-01-12T00:09:51.065Z,,55,,,28.6,,
2018-01-12T00:10:01.068Z,,55,,,28.6,,
2018-01-12T00:10:11.064Z,,55,,,28.6,,
2018-01-12T00:10:21.070Z,,55,47.7,,28.6,,
2018-01-12T00:10:31.065Z,,55,,,28.5,,
2018-01-12T00:10:41.064Z,,55,,,28.5,,
2018-01-12T00:10:51.065Z,,55,,,28.5,,
2018-01-12T00:11:01.065Z,,55,,,28.5,,
2018-01-12T00:11:11.065Z,,55,47.6,,28.5,,
2018-01-12T00:11:21.065Z,,55,,,28.5,,
2018-01-12T00:11:31.065Z,,55,,,28.5,,
2018-01-12T00:11:41.065Z,,55,,,28.5,,
2018-01-12T00:11:51.065Z,,55,,,28.3,,
2018-01-12T00:12:01.066Z,,55,47.5,,28.3,,
2018-01-12T00:12:11.065Z,,55,,,28.3,,
2018-01-12T00:12:26.086Z,,55,,,28.3,,
2018-01-12T00:12:31.065Z,,55,,,28.3,,
2018-01-12T00:12:41.071Z,,55,,,28.2,,
2018-01-12T00:12:51.065Z,,55,47.4,,28.2,,
2018-01-12T00:13:01.065Z,,55,,,28.2,,
2018-01-12T00:13:11.065Z,,55,,,28.2,,
2018-01-12T00:13:21.066Z,,55,,,28.2,,
2018-01-12T00:13:31.065Z,,55,,,28.2,,
2018-01-12T00:13:41.065Z,,55,,,28.2,,
2018-01-12T00:13:51.076Z,,55,47.3,,28,,
2018-01-12T00:14:01.066Z,,55,,,28,,
2018-01-12T00:14:11.065Z,,55,,,28,,
2018-01-12T00:14:21.072Z,,55,,,28,,
2018-01-12T00:14:31.066Z,,55,,,28,,
2018-01-12T00:14:41.065Z,,55,47.2,,27.9,,
2018-01-12T00:14:51.065Z,,55,,,27.9,,
2018-01-12T00:15:01.065Z,,55,,,27.9,,
2018-01-12T00:15:11.066Z,,55,,,27.9,,
2018-01-12T00:15:21.065Z,,55,,,27.9,,
2018-01-12T00:15:31.065Z,,55,,,27.9,,
2018-01-12T00:15:41.066Z,,55,47,,27.9,,
2018-01-12T00:15:51.065Z,,55,,,27.7,,
2018-01-12T00:16:01.065Z,,55,,,27.7,,
2018-01-12T00:16:11.066Z,,55,,,27.7,,
2018-01-12T00:16:21.066Z,,55,,,27.7,,
2018-01-12T00:16:31.067Z,,55,46.9,,27.7,,
2018-01-12T00:16:41.066Z,,55,,,27.7,,
2018-01-12T00:16:51.065Z,,55,,,27.6,,
2018-01-12T00:17:01.066Z,,55,,,27.6,,
2018-01-12T00:17:11.066Z,,55,,,27.6,,
2018-01-12T00:17:21.066Z,,55,,,27.6,,
2018-01-12T00:17:31.071Z,,55,46.8,,27.6,,
2018-01-12T00:17:41.066Z,,55,,,27.6,,
2018-01-12T00:17:51.070Z,,55,,,27.5,,
2018-01-12T00:18:01.068Z,,55,,,27.5,,
2018-01-12T00:18:11.066Z,,55,46.7,,27.5,,
2018-01-12T00:18:21.069Z,,55,,,27.5,,
2018-01-12T00:18:31.066Z,,55,,,27.5,,
2018-01-12T00:18:41.066Z,,55,,,27.5,,
2018-01-12T00:18:51.071Z,,55,,,27.5,,
2018-01-12T00:19:01.066Z,,55,,,27.3,,
2018-01-12T00:19:11.067Z,,55,46.6,,27.3,,
2018-01-12T00:19:21.070Z,,55,,,27.3,,
2018-01-12T00:19:32.065Z,,55,,,27.3,,
2018-01-12T00:19:41.066Z,,55,,,27.3,,
2018-01-12T00:19:51.066Z,,55,,,27.3,,
2018-01-12T00:20:01.066Z,,55,,,27.3,,
