Time,PrimT,ChActive,HwTOutlet,PrimTSet,ActPow,HwTSet,HwActive
2018-01-13T00:00:04.257Z,,,36.2,,,55,
2018-01-13T00:00:14.263Z,,,36,,,55,
2018-01-13T00:00:25.253Z,56,,36,,,55,
2018-01-13T00:00:34.257Z,,,35.9,,,55,
2018-01-13T00:00:44.260Z,,,35.9,,,55,
2018-01-13T00:00:54.258Z,,,35.9,,,55,
2018-01-13T00:01:04.258Z,55.9,,35.8,,,55,
2018-01-13T00:01:14.257Z,,,35.8,,,55,
2018-01-13T00:01:24.257Z,,,35.7,,,55,
2018-01-13T00:01:34.257Z,55.8,,35.7,,,55,
2018-01-13T00:01:44.257Z,,,35.7,,,55,
2018-01-13T00:01:54.258Z,,,35.6,,,55,
2018-01-13T00:02:04.258Z,,,35.6,,,55,
2018-01-13T00:02:14.258Z,55.7,,35.6,,,55,
2018-01-13T00:02:24.258Z,,,35.4,,,55,
2018-01-13T00:02:34.260Z,,,35.4,,,55,
2018-01-13T00:02:44.258Z,,,35.3,,,55,
2018-01-13T00:02:54.257Z,55.6,,35.3,,,55,
2018-01-13T00:03:04.258Z,,,35.3,,,55,
2018-01-13T00:03:20.398Z,,,35.2,,,55,
2018-01-13T00:03:24.258Z,55.5,,35.2,,,55,
2018-01-13T00:03:34.258Z,,,35.1,,,55,
2018-01-13T00:03:44.257Z,,,35.1,,,55,
2018-01-13T00:03:54.258Z,,,35.1,,,55,
2018-01-13T00:04:04.260Z,55.3,,34.9,,,55,
2018-01-13T00:04:14.258Z,,,34.9,,,55,
2018-01-13T00:04:24.262Z,,,34.9,,,55,
2018-01-13T00:04:34.261Z,,,34.8,,,55,
2018-01-13T00:04:44.598Z,55.2,,34.8,,,55,
2018-01-13T00:04:54.258Z,,,34.8,,,55,
2018-01-13T00:05:04.260Z,,,34.7,,,55,
2018-01-13T00:05:14.258Z,55.1,,34.7,,,55,
2018-01-13T00:05:24.261Z,,,34.6,,,55,
2018-01-13T00:05:34.258Z,,,34.6,,,55,
2018-01-13T00:05:44.258Z,,,34.6,,,55,
2018-01-13T00:05:54.258Z,,,34.4,,,55,
2018-01-13T00:06:04.259Z,55,,34.4,,,55,
2018-01-13T00:06:14.258Z,,,34.4,,,55,
2018-01-13T00:06:25.252Z,,,34.3,,,55,
2018-01-13T00:06:34.258Z,54.9,,34.3,,,55,
2018-01-13T00:06:44.258Z,,,34.3,,,55,
2018-01-13T00:06:54.258Z,,,34.2,,,55,
2018-01-13T00:07:04.258Z,,,34.2,,,55,
2018-01-13T00:07:14.258Z,54.8,,34.2,,,55,
2018-01-13T00:07:24.258Z,,,34.1,,,55,
2018-01-13T00:07:34.258Z,,,34.1,,,55,
2018-01-13T00:07:44.258Z,,,34.1,,,55,
2018-01-13T00:07:54.258Z,54.7,,34,,,55,
2018-01-13T00:08:04.258Z,,,34,,,55,
2018-01-13T00:08:14.258Z,,,34,,,55,
2018-01-13T00:08:24.258Z,54.6,,33.8,,,55,
2018-01-13T00:08:34.259Z,,,33.8,,,55,
2018-01-13T00:08:44.258Z,,,33.8,,,55,
2018-01-13T00:08:54.262Z,,,33.7,,,55,
2018-01-13T00:09:04.259Z,54.4,,33.7,,,55,
2018-01-13T00:09:14.259Z,,,33.7,,,55,
2018-01-13T00:09:24.259Z,,,33.7,,,55,
