Time,HwTOutlet,ChActive,HwTSet,PrimT,PrimTSet,HwActive,ActPow
2018-01-15T00:00:04.640Z,43.4,,55,,,,
2018-01-15T00:00:14.641Z,43.4,,55,56,,,
2018-01-15T00:00:24.641Z,43.5,,55,,,,
2018-01-15T00:00:34.640Z,43.5,,55,56.2,,,
2018-01-15T00:00:44.642Z,43.6,,55,56.3,,,
2018-01-15T00:00:54.641Z,43.6,,55,56.4,,,
2018-01-15T00:01:04.642Z,43.7,,55,,,,
2018-01-15T00:01:14.641Z,43.7,,55,56.5,,,
2018-01-15T00:01:24.641Z,43.9,,55,56.6,,,
2018-01-15T00:01:34.640Z,44,,55,,,,
2018-01-15T00:01:44.641Z,44,,55,56.9,,,
2018-01-15T00:01:54.641Z,44.1,,55,,,,
2018-01-15T00:02:04.641Z,44.1,1,55,57.3,,0,0
2018-01-15T00:02:14.646Z,44.2,,55,56.9,,,
2018-01-15T00:02:24.641Z,44.2,,55,54.9,,,
2018-01-15T00:02:34.641Z,44.3,,55,53.9,,,
2018-01-15T00:02:44.641Z,44.3,,55,53.5,,,
2018-01-15T00:02:54.641Z,44.4,,55,53.2,,,
2018-01-15T00:03:04.641Z,44.5,,55,,,,
2018-01-15T00:03:14.642Z,44.5,,55,53.6,,,
2018-01-15T00:03:24.641Z,44.7,,55,,,,
2018-01-15T00:03:34.641Z,44.7,,55,53.3,,,
2018-01-15T00:03:44.641Z,44.7,,55,52.9,,,
2018-01-15T00:03:54.641Z,44.8,,55,52.8,,,
2018-01-15T00:04:04.641Z,44.8,,55,52.4,,,
2018-01-15T00:04:14.641Z,44.8,,55,52.2,,,
2018-01-15T00:04:24.641Z,44.8,,55,52,,,
2018-01-15T00:04:34.641Z,44.8,,55,51.9,,,
2018-01-15T00:04:44.641Z,44.8,,55,51.7,,,
2018-01-15T00:04:54.641Z,44.8,,55,51.6,,,
2018-01-15T00:05:04.642Z,44.7,,55,51.2,,,
2018-01-15T00:05:14.642Z,44.7,,55,,,,
2018-01-15T00:05:24.642Z,44.7,,55,51.3,,,
2018-01-15T00:05:34.641Z,44.5,,55,51.6,,,
2018-01-15T00:05:44.641Z,44.5,,55,51.7,,,
2018-01-15T00:05:54.641Z,44.5,,55,51.8,,,
2018-01-15T00:06:04.644Z,44.4,,55,52,,,
2018-01-15T00:06:14.641Z,44.4,,55,,,,
2018-01-15T00:06:24.643Z,44.3,,55,52.1,,,
2018-01-15T00:06:34.642Z,44.2,,55,52.2,,,
2018-01-15T00:06:44.641Z,44.2,,55,52.3,,,
2018-01-15T00:06:54.644Z,44.1,,55,,,,
2018-01-15T00:07:04.641Z,44.1,,55,52.4,,,
2018-01-15T00:07:14.641Z,44,,55,52.6,,,
2018-01-15T00:07:24.642Z,44,,55,,,,
2018-01-15T00:07:34.642Z,44,,55,52.7,,,
2018-01-15T00:07:44.642Z,43.9,,55,52.8,,,
2018-01-15T00:07:54.642Z,43.9,,55,,,,
2018-01-15T00:08:04.642Z,43.7,,55,52.9,,,
2018-01-15T00:08:15.632Z,43.7,,55,,,,
2018-01-15T00:08:24.642Z,43.7,,55,53,,,
2018-01-15T00:08:34.642Z,43.6,,55,,,,
2018-01-15T00:08:44.642Z,43.6,,55,,,,
2018-01-15T00:08:54.642Z,43.5,,55,53.1,,,
2018-01-15T00:09:04.642Z,43.5,,55,,,,
2018-01-15T00:09:19.662Z,43.5,,55,,,,
2018-01-15T00:09:24.642Z,43.4,,55,53.2,,,
2018-01-15T00:09:34.642Z,43.4,,55,,,,
2018-01-15T00:09:44.642Z,43.4,,55,,,,
2018-01-15T00:09:54.642Z,43.3,,55,,,,
2018-01-15T00:10:04.642Z,43.3,,55,53.3,,,
2018-01-15T00:10:14.642Z,43.2,,55,,,,
2018-01-15T00:10:24.642Z,43.2,,55,,,,
2018-01-15T00:10:34.643Z,43.2,,55,,,,
2018-01-15T00:10:44.642Z,43.1,,55,,,,
2018-01-15T00:10:54.642Z,43.1,,55,,,,
2018-01-15T00:11:04.642Z,43.1,,55,,,,
2018-01-15T00:11:14.642Z,43,,55,53.4,,,
2018-01-15T00:11:24.642Z,43,,55,,,,
2018-01-15T00:11:34.642Z,42.8,,55,,,,
2018-01-15T00:11:44.645Z,42.8,,55,,,,
2018-01-15T00:11:54.643Z,42.8,,55,,,,
2018-01-15T00:12:04.643Z,42.7,,55,,,,
2018-01-15T00:12:14.643Z,42.7,,55,,,,
2018-01-15T00:12:24.642Z,42.6,,55,,,,
2018-01-15T00:12:34.642Z,42.6,,55,,,,
2018-01-15T00:12:44.643Z,42.6,,55,,,,
2018-01-15T00:12:54.643Z,42.5,,55,,,,
2018-01-15T00:13:04.644Z,42.5,,55,,,,
2018-01-15T00:13:14.644Z,42.4,,55,,,,
2018-01-15T00:13:24.643Z,42.4,,55,,,,
2018-01-15T00:13:34.643Z,42.3,,55,,,,
2018-01-15T00:13:44.642Z,42.3,,55,,,,
2018-01-15T00:13:54.642Z,42.3,,55,,,,
2018-01-15T00:14:04.642Z,42.2,,55,,,,
2018-01-15T00:14:14.643Z,42.2,,55,,,,
2018-01-15T00:14:24.643Z,42,,55,,,,
2018-01-15T00:14:34.642Z,42,,55,,,,
2018-01-15T00:14:44.643Z,41.9,,55,,,,
2018-01-15T00:14:59.665Z,41.9,,55,,,,
2018-01-15T00:15:04.642Z,41.9,,55,,,,
2018-01-15T00:15:14.643Z,41.8,,55,,,,
2018-01-15T00:15:24.643Z,41.8,,55,53.3,,,
2018-01-15T00:15:35.684Z,41.8,,55,,,,
2018-01-15T00:15:44.642Z,41.7,,55,,,,
2018-01-15T00:15:54.645Z,41.7,,55,,,,
2018-01-15T00:16:04.643Z,41.6,,55,,,,
2018-01-15T00:16:14.643Z,41.6,,55,,,,
2018-01-15T00:16:25.029Z,41.5,,55,,,,
2018-01-15T00:16:34.643Z,41.5,,55,,,,
2018-01-15T00:16:44.643Z,41.5,,55,,,,
2018-01-15T00:16:54.647Z,41.4,,55,,,,
2018-01-15T00:17:04.643Z,41.4,,55,53.2,,,
2018-01-15T00:17:14.643Z,41.2,,55,,,,
2018-01-15T00:17:24.643Z,41.2,,55,,,,
2018-01-15T00:17:34.643Z,41.2,,55,,,,
2018-01-15T00:17:44.643Z,41.1,,55,,,,
2018-01-15T00:17:54.643Z,41.1,,55,,,,
2018-01-15T00:18:04.643Z,41.1,,55,,,,
2018-01-15T00:18:14.643Z,41,,55,,,,
2018-01-15T00:18:24.643Z,41,,55,53.1,,,
2018-01-15T00:18:34.652Z,41,,55,,,,
2018-01-15T00:18:44.647Z,40.9,,55,,,,
2018-01-15T00:18:54.643Z,40.9,1,55,56.3,,0,80
2018-01-15T00:19:04.643Z,40.8,,55,59.2,,,62
2018-01-15T00:19:14.643Z,40.8,,55,58.5,,,29
