Time,PrimT,ChActive,PrimTSet,ActPow,HwTSet,HwTOutlet,HwActive
2018-01-17T00:00:05.023Z,,,,,55,53.8,
2018-01-17T00:00:15.023Z,65,,,32,,,
2018-01-17T00:00:25.023Z,65.4,,,34,55,53.9,
2018-01-17T00:00:35.023Z,,,,,55,54,
2018-01-17T00:00:45.023Z,66,,,37,,,
2018-01-17T00:00:55.023Z,,,,,55,54,
2018-01-17T00:01:10.044Z,66.8,,,40,55,54.1,
2018-01-17T00:01:15.023Z,67.2,,,42,,,
2018-01-17T00:01:25.023Z,67.6,,,43,55,54.2,
2018-01-17T00:01:35.023Z,,,,,55,54.2,
2018-01-17T00:01:45.023Z,68.3,,,45,,,
2018-01-17T00:01:55.024Z,68.7,,,47,55,54.3,
2018-01-17T00:02:05.023Z,69.1,,,,,,
2018-01-17T00:02:15.023Z,69.5,,,49,55,54.4,
2018-01-17T00:02:25.024Z,,,,,55,54.6,
2018-01-17T00:02:35.024Z,70.1,,,50,,,
2018-01-17T00:02:45.024Z,70.5,,,51,55,54.6,
2018-01-17T00:02:55.024Z,70.8,,,52,55,54.8,
2018-01-17T00:03:05.023Z,71.2,,,,,,
2018-01-17T00:03:15.024Z,71.5,,,53,55,54.9,
2018-01-17T00:03:25.023Z,,,,,55,55,
2018-01-17T00:03:35.024Z,72.2,,,54,,,
2018-01-17T00:03:45.024Z,72.4,,,55,55,55.1,
2018-01-17T00:04:00.035Z,72.7,,,,55,55.2,
2018-01-17T00:04:05.023Z,73,,,54,55,55.3,
2018-01-17T00:04:25.024Z,73.2,,,,55,55.6,
2018-01-17T00:04:45.024Z,73.4,,,,55,55.7,
2018-01-17T00:04:55.023Z,73.6,,,,,,
2018-01-17T00:05:05.024Z,73.8,,,,55,55.9,
2018-01-17T00:05:15.024Z,74.1,,,,,,
2018-01-17T00:05:25.227Z,74.2,,,,55,56.1,
2018-01-17T00:05:45.024Z,74.5,,,,55,56.4,
2018-01-17T00:05:55.024Z,74.7,,,,,,
2018-01-17T00:06:05.024Z,,,,,55,56.5,
2018-01-17T00:06:15.024Z,75,,,,,,
2018-01-17T00:06:25.024Z,,,,,55,56.7,
2018-01-17T00:06:45.024Z,75.1,,,,55,56.8,
2018-01-17T00:06:55.024Z,75.4,,,52,55,56.9,
2018-01-17T00:07:05.024Z,,,,50,55,57,
2018-01-17T00:07:15.026Z,,,,49,55,57.2,
2018-01-17T00:07:25.024Z,75.3,,,48,,,
2018-01-17T00:07:35.024Z,,,,,55,57.4,
2018-01-17T00:07:45.024Z,75.1,,,47,,,
2018-01-17T00:07:55.024Z,75,,,46,55,57.4,
2018-01-17T00:08:05.024Z,75.1,,,,55,57.6,
2018-01-17T00:08:15.024Z,,,,,55,57.6,
2018-01-17T00:08:35.025Z,,,,,55,57.8,
2018-01-17T00:08:45.024Z,,,,45,55,58,
2018-01-17T00:08:55.025Z,75.3,,,44,,,
2018-01-17T00:09:05.024Z,,,,,55,58.1,
2018-01-17T00:09:15.024Z,75.1,,,42,,,
2018-01-17T00:09:25.025Z,75,,,,55,58.1,
2018-01-17T00:09:35.024Z,,,,,55,58.2,
2018-01-17T00:09:45.024Z,,,,41,55,58.2,
2018-01-17T00:09:55.026Z,75.1,,,,55,58.3,
2018-01-17T00:10:05.024Z,,,,,55,58.4,
2018-01-17T00:10:25.024Z,,,,40,55,58.4,
2018-01-17T00:10:35.024Z,,,,,55,58.5,
2018-01-17T00:10:55.024Z,75,,,39,55,58.5,
2018-01-17T00:11:05.025Z,,,,,55,58.6,
2018-01-17T00:11:25.024Z,75.1,,,,55,58.6,
2018-01-17T00:11:35.028Z,,,,,55,58.7,
2018-01-17T00:11:55.025Z,,,,38,55,58.7,
2018-01-17T00:12:05.063Z,,,,,55,58.9,
2018-01-17T00:12:15.025Z,,,,,55,58.9,
2018-01-17T00:12:25.025Z,75,,,37,,,
2018-01-17T00:12:35.025Z,75.2,0,0,0,55,59,2
2018-01-17T00:12:45.035Z,77.5,0,59,,55,58.5,0
2018-01-17T00:12:55.025Z,72.6,,,,55,36.5,
2018-01-17T00:13:05.025Z,69.4,,,,55,39.6,
2018-01-17T00:13:15.030Z,,,,,55,52,
2018-01-17T00:13:25.025Z,70,,,,,,
2018-01-17T00:13:35.025Z,71.8,,,,55,54.4,
2018-01-17T00:13:45.025Z,72.6,1,75,,55,56.2,0
2018-01-17T00:13:55.025Z,73.8,1,,79,55,57.4,0
2018-01-17T00:14:05.026Z,80.5,1,,0,55,58.3,0
2018-01-17T00:14:15.026Z,80.8,,,,55,59.1,
2018-01-17T00:14:25.025Z,74.5,,,,55,59.7,
2018-01-17T00:14:35.025Z,70.8,,,,55,60,
2018-01-17T00:14:45.025Z,69,,,,55,60.2,
2018-01-17T00:14:55.025Z,68.9,,,,55,60.5,
2018-01-17T00:15:05.025Z,68.1,,,,55,60.9,
2018-01-17T00:15:15.025Z,68.2,,,,55,61,
2018-01-17T00:15:25.025Z,67.7,,,,,,
2018-01-17T00:15:35.025Z,,,,,55,61.3,
2018-01-17T00:15:45.025Z,66.6,,,,,,
2018-01-17T00:15:55.025Z,,,,,55,61.4,
2018-01-17T00:16:05.025Z,66.4,,,,55,61.5,
2018-01-17T00:16:15.029Z,66,,,,55,61.5,
2018-01-17T00:16:25.025Z,65.7,,,,55,61.6,
2018-01-17T00:16:35.025Z,65.5,,,,55,61.6,
2018-01-17T00:16:51.045Z,64.9,,,,55,61.6,
2018-01-17T00:16:55.025Z,,,,,55,61.6,
2018-01-17T00:17:05.025Z,64.7,,,,55,61.6,
2018-01-17T00:17:15.025Z,64.4,,,,,,
2018-01-17T00:17:25.025Z,64.2,,,,55,61.6,
2018-01-17T00:17:35.025Z,63.8,,,,,,
2018-01-17T00:17:45.026Z,63.5,,,,55,61.6,
2018-01-17T00:17:55.025Z,,,,,55,61.5,
2018-01-17T00:18:05.025Z,63.1,,,,,,
2018-01-17T00:18:15.033Z,63,,,,55,61.5,
2018-01-17T00:18:25.025Z,62.8,,,,55,61.4,
2018-01-17T00:18:35.025Z,62.6,,,,,,
2018-01-17T00:18:45.038Z,62.3,,,,55,61.4,
2018-01-17T00:18:55.028Z,63.9,1,,80,55,61.4,0
2018-01-17T00:19:05.027Z,69.2,,,58,,,
2018-01-17T00:19:15.026Z,70.4,,,29,55,61.2,
2018-01-17T00:19:25.026Z,68.9,,,,55,61.2,
2018-01-17T00:19:40.046Z,67.3,,,,55,61,
2018-01-17T00:19:45.028Z,66.9,,,,55,61,
2018-01-17T00:19:55.026Z,65.9,,,,55,60.9,
2018-01-17T00:20:05.026Z,65.4,,,,55,60.8,
2018-01-17T00:20:15.026Z,65.5,,,,,,
2018-01-17T00:20:25.026Z,65.9,,,,55,60.7,
2018-01-17T00:20:35.027Z,66,,,,55,60.7,
2018-01-17T00:20:45.026Z,65.9,,,,55,60.6,
2018-01-17T00:20:55.027Z,,,,,55,60.3,
2018-01-17T00:21:05.026Z,66,,,31,,,
2018-01-17T00:21:15.026Z,66.3,,,33,55,60.3,
2018-01-17T00:21:25.026Z,66.5,,,34,55,60.1,
2018-01-17T00:21:35.027Z,67.1,,,35,,,
2018-01-17T00:21:45.034Z,67.3,,,37,55,60,
2018-01-17T00:21:55.131Z,,,,,55,59.9,
2018-01-17T00:22:05.036Z,67.6,,,38,,,
2018-01-17T00:22:15.026Z,68.1,,,,55,59.8,
2018-01-17T00:22:30.184Z,68.2,,,,55,59.7,
2018-01-17T00:22:35.026Z,68.3,,,,,,
2018-01-17T00:22:45.027Z,68.5,,,,55,59.7,
2018-01-17T00:22:55.026Z,68.6,,,,55,59.5,
2018-01-17T00:23:05.026Z,,,,,55,59.4,
2018-01-17T00:23:15.026Z,68.7,,,36,55,59.4,
2018-01-17T00:23:25.026Z,,,,,55,59.3,
2018-01-17T00:23:35.026Z,,,,,55,59.3,
2018-01-17T00:23:45.027Z,,,,,55,59.3,
2018-01-17T00:23:55.026Z,68.8,,,,55,59.2,
2018-01-17T00:24:05.027Z,,,,,55,59.1,
2018-01-17T00:24:15.026Z,,,,34,,,
2018-01-17T00:24:25.026Z,,,,,55,59.1,
2018-01-17T00:24:35.027Z,,,,,55,59.1,
