Time,PrimTSet,ChActive,ActPow,HwTOutlet,HwActive,PrimT,HwTSet
2018-01-20T00:00:02.635Z,,,,45.7,,58.8,55
2018-01-20T00:00:12.603Z,,,,45.8,,59,55
2018-01-20T00:00:22.603Z,,,,45.8,,,55
2018-01-20T00:00:35.712Z,,,,45.8,,59.1,55
2018-01-20T00:00:42.602Z,,,,45.9,,59.2,55
2018-01-20T00:00:52.602Z,,,,46,,59.3,55
2018-01-20T00:01:02.602Z,,,,46,,59.4,55
2018-01-20T00:01:12.602Z,,,,46,,,55
2018-01-20T00:01:22.603Z,,1,0,46.1,0,59.7,55
2018-01-20T00:01:32.602Z,,,,46.1,,58.4,55
2018-01-20T00:01:42.602Z,,,,46.2,,56.9,55
2018-01-20T00:01:52.604Z,,,,46.2,,56.2,55
2018-01-20T00:02:02.602Z,,,,46.4,,56,55
2018-01-20T00:02:12.605Z,,,,46.4,,56,55
2018-01-20T00:02:22.602Z,,,,46.4,,56.3,55
2018-01-20T00:02:32.602Z,,,,46.5,,56.2,55
2018-01-20T00:02:42.603Z,,,,46.5,,55.9,55
2018-01-20T00:02:52.610Z,,,,46.5,,55.6,55
2018-01-20T00:03:02.602Z,,,,46.5,,55.3,55
2018-01-20T00:03:12.602Z,,,,46.5,,55.1,55
2018-01-20T00:03:27.622Z,,,,46.5,,54.8,55
2018-01-20T00:03:32.602Z,,,,46.5,,54.7,55
2018-01-20T00:03:42.608Z,,,,46.5,,54.4,55
2018-01-20T00:03:52.602Z,,,,46.5,,54.2,55
2018-01-20T00:04:02.603Z,,,,46.4,,54,55
2018-01-20T00:04:12.603Z,,,,46.4,,53.9,55
2018-01-20T00:04:22.603Z,,,,46.2,,53.7,55
2018-01-20T00:04:32.602Z,,,,46.2,,53.8,55
2018-01-20T00:04:42.602Z,,,,46.1,,54,55
2018-01-20T00:04:52.604Z,,,,46.1,,54.1,55
2018-01-20T00:05:02.602Z,,,,46,,54.2,55
2018-01-20T00:05:12.602Z,,,,46,,54.3,55
2018-01-20T00:05:22.603Z,,,,45.9,,54.4,55
2018-01-20T00:05:32.603Z,,,,45.9,,54.6,55
2018-01-20T00:05:42.603Z,,,,45.8,,54.7,55
2018-01-20T00:05:52.603Z,,,,45.8,,,55
2018-01-20T00:06:02.602Z,,,,45.7,,54.8,55
2018-01-20T00:06:17.779Z,,,,45.7,,54.9,55
2018-01-20T00:06:22.605Z,,,,45.6,,,55
2018-01-20T00:06:32.603Z,,,,45.6,,55,55
2018-01-20T00:06:48.621Z,,,,45.5,,,55
2018-01-20T00:06:52.610Z,,,,45.5,,55.1,55
2018-01-20T00:07:02.603Z,,,,45.3,,,55
2018-01-20T00:07:12.603Z,,,,45.2,,55.2,55
2018-01-20T00:07:22.603Z,,,,45.2,,,55
2018-01-20T00:07:32.603Z,,,,45.1,,55.3,55
2018-01-20T00:07:42.603Z,,,,45.1,,,55
2018-01-20T00:07:52.629Z,,,,45,,55.5,55
2018-01-20T00:08:02.603Z,,,,45,,,55
2018-01-20T00:08:12.602Z,,,,44.9,,,55
2018-01-20T00:08:22.603Z,,,,44.9,,55.6,55
2018-01-20T00:08:32.603Z,,,,44.8,,,55
2018-01-20T00:08:42.605Z,,,,44.7,,,55
2018-01-20T00:08:52.603Z,,,,44.7,,,55
2018-01-20T00:09:07.623Z,,,,44.5,,,55
2018-01-20T00:09:12.634Z,,,,44.5,,55.7,55
2018-01-20T00:09:22.604Z,,,,44.4,,,55
2018-01-20T00:09:32.603Z,,,,44.4,,,55
2018-01-20T00:09:42.620Z,,,,44.3,,,55
