Time,ChActive,HwTSet,HwTOutlet,HwActive,PrimTSet,PrimT,ActPow
2018-01-21T00:00:02.923Z,,55,62.2,,,74.3,
2018-01-21T00:00:02.987Z,,55,62.2,,,,
2018-01-21T00:00:12.794Z,,55,62.2,,,74.5,
2018-01-21T00:00:22.793Z,,55,62.2,,,,
2018-01-21T00:00:32.792Z,,55,62.2,,,,
2018-01-21T00:00:42.793Z,,55,62.1,,,74.6,
2018-01-21T00:00:52.795Z,,55,62.1,,,,36
2018-01-21T00:01:02.793Z,,55,62.1,,,,
2018-01-21T00:01:12.795Z,,55,62.1,,,74.7,
2018-01-21T00:01:28.150Z,,55,62.1,,,,
2018-01-21T00:01:32.793Z,,55,62.1,,,,
2018-01-21T00:01:42.793Z,,55,62.1,,,74.9,
2018-01-21T00:01:52.793Z,,55,62.1,,,,
2018-01-21T00:02:02.793Z,,55,62.1,,,75,
2018-01-21T00:02:12.794Z,,55,62.1,,,,
2018-01-21T00:02:22.793Z,,55,62.1,,,,
2018-01-21T00:02:32.793Z,,55,62.1,,,75.1,
2018-01-21T00:02:42.795Z,,55,62.1,,,,35
2018-01-21T00:02:52.795Z,,55,62.1,,,,
2018-01-21T00:03:02.793Z,,55,62.1,,,,
2018-01-21T00:03:12.796Z,,55,62.1,,,,34
2018-01-21T00:03:22.795Z,,55,62.1,,,75,
2018-01-21T00:03:32.793Z,,55,62.1,,,,
2018-01-21T00:03:42.793Z,,55,62.1,,,,
2018-01-21T00:03:52.793Z,,55,62.1,,,,
2018-01-21T00:04:02.793Z,,55,62.1,,,,
2018-01-21T00:04:12.797Z,,55,62.1,,,,
2018-01-21T00:04:24.097Z,,55,62.1,,,,33
2018-01-21T00:04:32.793Z,,55,62.1,,,,
2018-01-21T00:04:42.793Z,,55,62.1,,,75.1,
2018-01-21T00:04:52.794Z,,55,62.2,,,,
2018-01-21T00:05:02.795Z,,55,62.2,,,75,
2018-01-21T00:05:12.793Z,,55,62.2,,,75.1,
2018-01-21T00:05:22.794Z,,55,62.2,,,75,
2018-01-21T00:05:32.796Z,,55,62.2,,,,
2018-01-21T00:05:43.791Z,,55,62.2,,,,
2018-01-21T00:05:52.794Z,,55,62.2,,,,
2018-01-21T00:06:02.863Z,,55,62.2,,,,
2018-01-21T00:06:12.794Z,,55,62.2,,,,
2018-01-21T00:06:22.793Z,,55,62.2,,,,32
2018-01-21T00:06:32.793Z,,55,62.2,,,75.1,
2018-01-21T00:06:42.793Z,,55,62.2,,,75,
2018-01-21T00:06:52.793Z,,55,62.2,,,,
2018-01-21T00:07:02.794Z,,55,62.2,,,,
2018-01-21T00:07:12.797Z,,55,62.2,,,,
2018-01-21T00:07:22.794Z,,55,62.2,,,,
2018-01-21T00:07:32.795Z,,55,62.2,,,,31
2018-01-21T00:07:42.794Z,,55,62.2,,,,32
2018-01-21T00:07:52.794Z,,55,62.2,,,,
2018-01-21T00:08:02.794Z,,55,63.8,,,,
2018-01-21T00:08:12.794Z,,55,59.9,,,,
2018-01-21T00:08:22.794Z,,55,58.9,,,,31
2018-01-21T00:08:32.794Z,,55,58.2,,,,
2018-01-21T00:08:42.796Z,,55,57.7,,,,
2018-01-21T00:08:52.794Z,,55,57.4,,,,32
2018-01-21T00:09:02.794Z,,55,56.9,,,,
2018-01-21T00:09:12.794Z,,55,56.7,,,,
