Time,HwTSet,PrimTSet,PrimT,HwTOutlet,ActPow,ChActive,HwActive
2018-01-24T00:00:03.364Z,,,45.6,,,,
2018-01-24T00:00:13.364Z,55,,45.8,30.6,,,
2018-01-24T00:00:23.362Z,55,,45.9,30.6,,,
2018-01-24T00:00:33.362Z,55,,46.1,30.7,,,
2018-01-24T00:00:43.362Z,55,,46.3,30.9,,,
2018-01-24T00:00:53.364Z,55,,46.7,31,0,,
2018-01-24T00:01:03.363Z,,,46.1,,,1,0
2018-01-24T00:01:18.383Z,55,,44.7,31.2,,,
2018-01-24T00:01:23.371Z,55,,43.4,31.4,,,
2018-01-24T00:01:33.368Z,55,,42.8,31.5,,,
2018-01-24T00:01:43.362Z,55,,,31.5,,,
2018-01-24T00:01:53.363Z,55,,43,31.6,,,
2018-01-24T00:02:03.363Z,,,43.4,,,,
2018-01-24T00:02:13.363Z,55,,43.2,31.9,,,
2018-01-24T00:02:23.367Z,55,,43,32,,,
2018-01-24T00:02:33.364Z,55,,42.6,32.1,,,
2018-01-24T00:02:43.363Z,55,,42.3,32.2,,,
2018-01-24T00:02:53.363Z,55,,42,32.2,,,
2018-01-24T00:03:03.363Z,,,41.8,,,,
2018-01-24T00:03:13.363Z,55,,41.7,32.3,,,
2018-01-24T00:03:23.364Z,55,,41.5,32.5,,,
2018-01-24T00:03:33.363Z,55,,41.4,32.5,,,
2018-01-24T00:03:43.363Z,55,,41.2,32.5,,,
2018-01-24T00:03:53.363Z,55,,41.1,32.5,,,
2018-01-24T00:04:13.363Z,55,,41.2,32.6,,,
2018-01-24T00:04:23.364Z,55,,41.5,32.6,,,
2018-01-24T00:04:33.362Z,55,,41.6,32.6,,,
2018-01-24T00:04:43.363Z,55,,41.7,32.7,,,
2018-01-24T00:04:53.363Z,55,,41.8,32.7,,,
2018-01-24T00:05:08.455Z,55,,41.9,32.7,,,
2018-01-24T00:05:13.364Z,55,,42,32.7,,,
2018-01-24T00:05:23.363Z,55,,42.2,32.7,,,
2018-01-24T00:05:33.363Z,55,,,32.7,,,
2018-01-24T00:05:43.362Z,,,42.3,,,,
2018-01-24T00:05:53.363Z,55,,42.4,32.7,,,
2018-01-24T00:06:03.365Z,55,,,32.7,,,
2018-01-24T00:06:13.363Z,55,,42.5,32.7,,,
2018-01-24T00:06:23.363Z,55,,,32.7,,,
2018-01-24T00:06:33.365Z,55,,42.6,32.7,,,
2018-01-24T00:06:43.363Z,55,,42.7,32.7,,,
2018-01-24T00:06:59.785Z,55,,,32.7,,,
2018-01-24T00:07:03.363Z,55,,42.8,32.7,,,
2018-01-24T00:07:13.385Z,55,,,32.7,,,
2018-01-24T00:07:23.363Z,,,43,,,,
2018-01-24T00:07:33.363Z,55,,,32.6,,,
2018-01-24T00:07:43.363Z,55,,,32.6,,,
2018-01-24T00:07:53.363Z,55,,43.1,32.6,,,
2018-01-24T00:08:03.363Z,55,,,32.6,,,
2018-01-24T00:08:13.363Z,55,,,32.6,,,
2018-01-24T00:08:23.364Z,,,43.2,,,,
2018-01-24T00:08:33.366Z,55,,,32.6,,,
2018-01-24T00:08:43.363Z,55,,,32.6,,,
2018-01-24T00:08:53.364Z,,,43.3,,,,
2018-01-24T00:09:03.367Z,55,,,32.5,,,
2018-01-24T00:09:13.364Z,55,,,32.5,,,
2018-01-24T00:09:23.364Z,55,,,32.5,,,
2018-01-24T00:09:33.364Z,55,,,32.5,,,
2018-01-24T00:09:43.364Z,55,,,32.5,,,
2018-01-24T00:09:53.364Z,55,,,32.5,,,
2018-01-24T00:10:03.364Z,55,,43.4,32.5,,,
2018-01-24T00:10:13.363Z,55,,,32.5,,,
2018-01-24T00:10:33.366Z,55,,,32.3,,,
2018-01-24T00:10:43.366Z,55,,,32.3,,,
2018-01-24T00:11:03.364Z,55,,,32.3,,,
2018-01-24T00:11:14.355Z,55,,,32.3,,,
2018-01-24T00:11:23.364Z,55,,,32.3,,,
2018-01-24T00:11:33.363Z,55,,,32.2,,,
2018-01-24T00:11:43.365Z,55,,,32.2,,,
2018-01-24T00:11:53.364Z,55,,,32.2,,,
2018-01-24T00:12:03.364Z,55,,,32.2,,,
2018-01-24T00:12:13.364Z,55,,,32.2,,,
2018-01-24T00:12:23.364Z,55,,,32.2,,,
2018-01-24T00:12:33.365Z,55,,,32.1,,,
2018-01-24T00:12:44.163Z,55,,,32.1,,,
2018-01-24T00:12:53.364Z,55,,,32.1,,,
2018-01-24T00:13:03.364Z,55,,,32.1,,,
2018-01-24T00:13:13.364Z,55,,,32.1,,,
2018-01-24T00:13:33.364Z,55,,,32,,,
2018-01-24T00:13:43.364Z,55,,,32,,,
2018-01-24T00:14:04.379Z,55,,,32,,,
2018-01-24T00:14:13.365Z,55,,43.5,32,79,1,0
2018-01-24T00:14:23.364Z,,,48.5,,75,,
2018-01-24T00:14:33.364Z,55,,52.3,31.9,33,,
2018-01-24T00:14:43.364Z,55,,49.5,31.9,29,,
2018-01-24T00:14:53.364Z,55,,44.8,31.9,,,
2018-01-24T00:15:03.365Z,55,,42.3,31.9,,,
2018-01-24T00:15:13.365Z,55,,41.3,31.9,,,
2018-01-24T00:15:23.364Z,55,,41.2,31.7,,,
2018-01-24T00:15:33.365Z,,,42.4,,,,
2018-01-24T00:15:43.365Z,55,,43.2,31.7,,,
2018-01-24T00:15:53.364Z,55,,43.3,31.7,,,
2018-01-24T00:16:03.364Z,55,,,31.7,,,
2018-01-24T00:16:13.364Z,55,,,31.7,,,
2018-01-24T00:16:23.365Z,,,43.5,,,,
2018-01-24T00:16:33.364Z,55,,43.9,31.7,,,
2018-01-24T00:16:43.366Z,,,44.1,,,,
2018-01-24T00:16:54.358Z,55,,44.3,31.7,,,
2018-01-24T00:17:03.365Z,55,,44.4,31.9,,,
2018-01-24T00:17:13.365Z,55,,44.7,31.9,,,
2018-01-24T00:17:23.365Z,,,44.8,,,,
2018-01-24T00:17:33.366Z,55,,45,31.9,,,
2018-01-24T00:17:43.364Z,55,,45.2,32,,,
2018-01-24T00:17:53.367Z,55,,45.4,32,,,
2018-01-24T00:18:03.364Z,,,45.6,,,,
2018-01-24T00:18:13.367Z,55,,45.8,32.1,,,
2018-01-24T00:18:23.374Z,55,,46,32.2,,,
2018-01-24T00:18:33.364Z,55,,46.1,32.3,,,
2018-01-24T00:18:43.367Z,,,46.3,,,,
2018-01-24T00:18:53.366Z,55,,46.4,32.5,,,
2018-01-24T00:19:03.364Z,55,,,32.6,,,
2018-01-24T00:19:13.366Z,55,,46.9,32.6,,,
2018-01-24T00:19:23.381Z,,,47.1,,,,
2018-01-24T00:19:33.365Z,55,,47.3,32.8,,,
2018-01-24T00:19:45.531Z,55,,47.6,33,,,
2018-01-24T00:19:53.366Z,,,47.7,,,,
2018-01-24T00:20:03.365Z,55,,47.9,33.1,,,
