Time,HwTSet,PrimTSet,PrimT,ChActive,HwTOutlet,HwActive,ActPow
2018-01-27T00:00:09.940Z,55,,48.7,,37,,
2018-01-27T00:00:19.941Z,55,,48.8,,37,,
2018-01-27T00:00:29.944Z,55,,49,,37.2,,
2018-01-27T00:00:40.020Z,55,,49.1,,37.2,,
2018-01-27T00:00:49.940Z,55,,49.3,,37.2,,
2018-01-27T00:00:59.940Z,55,,49.6,,37.3,,
2018-01-27T00:01:10.280Z,55,,49.7,,37.3,,
2018-01-27T00:01:19.941Z,55,,49.9,,37.4,,
2018-01-27T00:01:29.940Z,55,,50,,37.4,,
2018-01-27T00:01:40.021Z,55,,50.2,,37.5,,
2018-01-27T00:01:49.943Z,55,,50.3,,37.5,,
2018-01-27T00:01:59.941Z,55,,50.6,,37.7,,
2018-01-27T00:02:09.940Z,55,,50.7,,37.8,,
2018-01-27T00:02:19.941Z,55,,50.9,,37.8,,
2018-01-27T00:02:29.940Z,55,,51.1,,37.9,,
2018-01-27T00:02:40.031Z,55,,51.2,,38,,
2018-01-27T00:02:49.940Z,55,,51.4,,38,,
2018-01-27T00:02:59.941Z,55,,51.6,,38.1,,
2018-01-27T00:03:09.943Z,55,,51.7,,38.3,,
2018-01-27T00:03:19.940Z,55,,51.9,,38.3,,
2018-01-27T00:03:29.941Z,55,,52,,38.4,,
2018-01-27T00:03:40.121Z,55,,52.2,,38.5,,
2018-01-27T00:03:49.943Z,55,,52.4,,38.6,,
2018-01-27T00:03:59.941Z,55,,52.6,,38.6,,
2018-01-27T00:04:09.941Z,55,,52.7,,38.8,,
2018-01-27T00:04:19.941Z,55,,53,,38.9,,
2018-01-27T00:04:29.940Z,55,,53.1,,39,,
2018-01-27T00:04:40.021Z,55,,53.2,,39,,
2018-01-27T00:04:49.941Z,55,,53.3,,39.1,,
2018-01-27T00:04:59.941Z,55,,53.4,,39.3,,
2018-01-27T00:05:09.941Z,55,,53.5,,39.3,,
2018-01-27T00:05:19.943Z,55,,53.6,,39.4,,
2018-01-27T00:05:29.941Z,55,,53.9,,39.5,,
2018-01-27T00:05:40.021Z,55,,54,,39.6,,
2018-01-27T00:05:49.941Z,55,75,54.1,1,39.6,0,29
2018-01-27T00:05:59.941Z,55,,54.2,,39.8,,
2018-01-27T00:06:09.943Z,55,,54.3,,39.9,,
2018-01-27T00:06:19.941Z,55,,54.4,,40,,
2018-01-27T00:06:29.941Z,55,,54.5,,40,,
2018-01-27T00:06:40.021Z,55,,54.8,,40.1,,
2018-01-27T00:06:49.941Z,55,,54.9,,40.2,,
2018-01-27T00:06:59.941Z,55,,55,,40.3,,
2018-01-27T00:07:09.941Z,55,,55.1,,40.5,,
2018-01-27T00:07:19.942Z,55,,55.2,,40.5,,
2018-01-27T00:07:29.940Z,55,,55.3,,40.6,,
2018-01-27T00:07:40.031Z,55,,55.6,1,40.7,0,0
2018-01-27T00:07:49.941Z,55,,54.4,,40.8,,
2018-01-27T00:07:59.941Z,55,,52.9,,40.8,,
2018-01-27T00:08:09.941Z,55,,51.8,,40.9,,
2018-01-27T00:08:19.941Z,55,,51.4,,41,,
2018-01-27T00:08:29.942Z,55,,51.7,,41.1,,
2018-01-27T00:08:40.021Z,55,,52,,41.1,,
2018-01-27T00:08:49.941Z,55,,,,41.2,,
2018-01-27T00:08:59.941Z,55,,51.8,,41.2,,
2018-01-27T00:09:09.941Z,55,,51.4,,41.4,,
2018-01-27T00:09:19.941Z,55,,51.2,,41.4,,
2018-01-27T00:09:29.941Z,55,,50.9,,41.5,,
2018-01-27T00:09:41.021Z,55,,50.7,,41.5,,
2018-01-27T00:09:49.942Z,55,,50.4,,41.5,,
2018-01-27T00:09:59.941Z,55,,50.2,,41.5,,
2018-01-27T00:10:09.942Z,55,,50.1,,41.5,,
2018-01-27T00:10:19.942Z,55,,49.9,,41.5,,
2018-01-27T00:10:29.942Z,55,,49.8,,41.5,,
2018-01-27T00:10:40.021Z,55,,49.7,,41.4,,
2018-01-27T00:10:49.942Z,55,,,,41.4,,
2018-01-27T00:10:59.944Z,55,,49.9,,41.4,,
2018-01-27T00:11:09.942Z,55,,50,,41.4,,
2018-01-27T00:11:19.942Z,55,,50.1,,41.4,,
2018-01-27T00:11:29.943Z,55,,50.2,,41.2,,
2018-01-27T00:11:40.022Z,55,,50.3,,41.2,,
2018-01-27T00:11:49.942Z,55,,50.4,,41.2,,
2018-01-27T00:11:59.942Z,55,,50.6,,41.1,,
2018-01-27T00:12:09.942Z,55,,50.7,,41.1,,
2018-01-27T00:12:19.941Z,55,,,,41.1,,
2018-01-27T00:12:29.942Z,55,,50.8,,41.1,,
2018-01-27T00:12:40.021Z,55,,50.9,,41,,
2018-01-27T00:12:49.942Z,55,,,,41,,
2018-01-27T00:12:59.942Z,55,,51,,41,,
2018-01-27T00:13:09.942Z,55,,,,40.9,,
2018-01-27T00:13:19.943Z,55,,51.1,,40.9,,
2018-01-27T00:13:29.942Z,55,,,,40.9,,
2018-01-27T00:13:40.022Z,55,,51.2,,40.8,,
2018-01-27T00:13:49.943Z,55,,,,40.8,,
2018-01-27T00:13:59.942Z,55,,51.3,,40.7,,
2018-01-27T00:14:09.942Z,55,,,,40.7,,
2018-01-27T00:14:19.942Z,55,,,,40.7,,
2018-01-27T00:14:29.947Z,55,,51.4,,40.7,,
2018-01-27T00:14:40.022Z,55,,,,40.6,,
2018-01-27T00:14:49.942Z,55,,,,40.6,,
2018-01-27T00:14:59.942Z,55,,51.6,,40.5,,
2018-01-27T00:15:09.942Z,55,,,,40.5,,
2018-01-27T00:15:24.962Z,55,,,,40.5,,
2018-01-27T00:15:29.943Z,55,,,,40.3,,
2018-01-27T00:15:40.032Z,55,,,,40.3,,
2018-01-27T00:15:49.942Z,55,,51.7,,40.2,,
2018-01-27T00:15:59.943Z,55,,,,40.2,,
2018-01-27T00:16:09.942Z,55,,,,40.2,,
2018-01-27T00:16:19.943Z,55,,,,40.1,,
2018-01-27T00:16:29.942Z,55,,,,40.1,,
2018-01-27T00:16:40.022Z,55,,,,40,,
