Time,HwTSet,ActPow,PrimTSet,HwActive,HwTOutlet,PrimT,ChActive
2018-01-30T00:00:00.522Z,55,,,,63.8,71.4,
2018-01-30T00:00:10.518Z,55,,,,63.7,70.9,
2018-01-30T00:00:20.520Z,55,,,,63.6,,
2018-01-30T00:00:30.517Z,55,,,,63.5,70.4,
2018-01-30T00:00:40.607Z,55,,,,63.4,70.3,
2018-01-30T00:00:50.531Z,55,,,,63.3,,
2018-01-30T00:01:00.568Z,55,,,,63.1,70.4,
2018-01-30T00:01:10.517Z,55,,,,63,70.5,
2018-01-30T00:01:20.518Z,55,,,,62.9,,
2018-01-30T00:01:30.521Z,55,,,,62.8,70.6,
2018-01-30T00:01:40.615Z,55,,,,62.7,,
2018-01-30T00:01:50.517Z,55,,,,62.6,70.8,
2018-01-30T00:02:00.521Z,55,,,,62.4,,
2018-01-30T00:02:10.517Z,55,,,,62.3,,
2018-01-30T00:02:20.517Z,55,,,,62.2,,
2018-01-30T00:02:30.518Z,55,,,,62.1,70.9,
2018-01-30T00:02:40.608Z,55,,,,62.1,,
2018-01-30T00:02:50.517Z,55,,,,62,,
2018-01-30T00:03:00.518Z,55,,,,61.9,71,
2018-01-30T00:03:10.517Z,55,,,,61.7,,
2018-01-30T00:03:20.517Z,55,,,,61.6,,
2018-01-30T00:03:30.518Z,55,,,,61.5,,
2018-01-30T00:03:40.597Z,55,,,,61.4,,
2018-01-30T00:03:50.517Z,55,,,,61.3,,
2018-01-30T00:04:00.518Z,55,,,,61.3,,
2018-01-30T00:04:10.532Z,55,,,,61,71.2,
2018-01-30T00:04:20.517Z,55,,,,61,,
2018-01-30T00:04:30.547Z,55,,,,60.9,,
2018-01-30T00:04:40.617Z,55,,,,60.8,,
2018-01-30T00:04:50.518Z,55,,,,60.7,,
2018-01-30T00:05:00.518Z,55,,,,60.6,,
2018-01-30T00:05:10.518Z,55,,,,60.5,,
2018-01-30T00:05:20.519Z,55,,,,60.3,,
2018-01-30T00:05:30.522Z,55,,,,60.3,,
2018-01-30T00:05:40.597Z,55,,,,60.2,,
2018-01-30T00:05:50.518Z,55,,,,60.1,,
2018-01-30T00:06:00.518Z,55,,,,60,,
2018-01-30T00:06:10.518Z,55,,,,59.9,,
2018-01-30T00:06:20.518Z,55,,,,59.8,,
2018-01-30T00:06:30.518Z,55,,,,59.8,,
2018-01-30T00:06:40.598Z,55,,,,59.7,,
2018-01-30T00:06:50.518Z,55,,,,59.5,,
2018-01-30T00:07:00.519Z,55,,,,59.4,,
2018-01-30T00:07:10.521Z,55,,,,59.4,,
2018-01-30T00:07:20.518Z,55,,,,59.3,71,
2018-01-30T00:07:30.519Z,55,,,,59.2,,
2018-01-30T00:07:40.605Z,55,,,,59.1,,
2018-01-30T00:07:50.520Z,55,,,,59,,
2018-01-30T00:08:00.523Z,55,,,,59,,
2018-01-30T00:08:10.518Z,55,,,,58.9,,
2018-01-30T00:08:20.520Z,55,,,,58.7,,
2018-01-30T00:08:30.518Z,55,,,,58.6,,
2018-01-30T00:08:40.598Z,55,,,,58.5,71,
2018-01-30T00:08:50.518Z,55,,,,58.5,71,
2018-01-30T00:09:00.519Z,55,,,,58.4,70.9,
2018-01-30T00:09:10.518Z,55,,,,58.3,,
2018-01-30T00:09:20.524Z,55,,,,58.2,,
2018-01-30T00:09:30.521Z,55,,,,58.2,,
2018-01-30T00:09:40.598Z,55,,,,58.1,,
2018-01-30T00:09:50.523Z,55,,,,58,,
2018-01-30T00:10:00.523Z,55,,,,58,70.8,
2018-01-30T00:10:10.518Z,55,,,,57.8,,
2018-01-30T00:10:20.518Z,55,,,,57.7,,
2018-01-30T00:10:30.525Z,55,,,,57.7,,
2018-01-30T00:10:40.600Z,55,,,,57.6,,
2018-01-30T00:10:50.518Z,55,,,,57.5,,
2018-01-30T00:11:00.518Z,55,,,,57.4,,
2018-01-30T00:11:10.518Z,55,,,,57.4,70.6,
2018-01-30T00:11:20.519Z,55,,,,57.3,,
2018-01-30T00:11:30.518Z,55,,,,57.2,,
2018-01-30T00:11:40.613Z,55,,,,57.2,,
2018-01-30T00:11:50.520Z,55,,,,57,,
2018-01-30T00:12:00.519Z,55,0,5,0,56.9,70.6,0
2018-01-30T00:12:10.519Z,55,,,,56.8,70.5,
2018-01-30T00:12:21.514Z,55,,,,56.8,,
2018-01-30T00:12:30.550Z,55,,,,56.7,,
2018-01-30T00:12:40.598Z,55,,,,56.7,,
2018-01-30T00:12:50.519Z,55,,,,56.5,,
2018-01-30T00:13:00.518Z,55,,,,56.4,70.4,
2018-01-30T00:13:10.519Z,55,,,,56.2,,
2018-01-30T00:13:20.539Z,55,,,,56.2,,
2018-01-30T00:13:30.520Z,55,,,,56.1,,
2018-01-30T00:13:40.599Z,55,,,,56.1,,
2018-01-30T00:13:50.525Z,55,,,,55.9,70.3,
2018-01-30T00:14:00.519Z,55,,,,55.8,,
2018-01-30T00:14:10.519Z,55,,,,55.8,,
2018-01-30T00:14:20.524Z,55,,,,55.8,,
2018-01-30T00:14:30.540Z,55,,,,55.7,,
2018-01-30T00:14:40.599Z,55,,,,55.7,70.1,
2018-01-30T00:14:50.519Z,55,,,,55.6,,
2018-01-30T00:15:00.519Z,55,,,,55.6,,
2018-01-30T00:15:15.539Z,55,,,,55.5,,
