Time,ActPow,HwTOutlet,ChActive,PrimT,HwActive,HwTSet,PrimTSet
2018-02-02T00:00:03.097Z,,48.3,,57.9,,55,
2018-02-02T00:00:13.097Z,,48.4,,58,,55,
2018-02-02T00:00:23.097Z,,48.4,,,,55,
2018-02-02T00:00:33.097Z,,48.4,,58.1,,55,
2018-02-02T00:00:43.096Z,,48.4,,58.3,,55,
2018-02-02T00:00:54.093Z,,48.4,,58.4,,55,
2018-02-02T00:01:03.096Z,,48.4,,,,55,
2018-02-02T00:01:13.096Z,,48.5,,58.5,,55,
2018-02-02T00:01:23.103Z,,48.5,,58.6,,55,
2018-02-02T00:01:33.097Z,,48.5,,58.7,,55,
2018-02-02T00:01:43.097Z,,48.5,,58.8,,55,
2018-02-02T00:01:53.096Z,,48.6,,59,,55,
2018-02-02T00:02:03.097Z,,48.6,,,,55,
2018-02-02T00:02:13.096Z,,48.6,,59.1,,55,
2018-02-02T00:02:23.097Z,,48.7,,59.2,,55,
2018-02-02T00:02:33.096Z,,48.7,,59.3,,55,
2018-02-02T00:02:43.097Z,,48.7,,59.4,,55,
2018-02-02T00:02:53.098Z,,48.9,,,,55,
2018-02-02T00:03:03.097Z,,48.9,,59.5,,55,
2018-02-02T00:03:13.097Z,,48.9,,59.7,,55,
2018-02-02T00:03:23.097Z,,49,,59.8,,55,
2018-02-02T00:03:33.097Z,,49,,,,55,
2018-02-02T00:03:44.092Z,,49,,59.9,,55,
2018-02-02T00:03:53.101Z,,49.1,,60,,55,
2018-02-02T00:04:03.097Z,,49.1,,60.1,,55,
2018-02-02T00:04:13.097Z,,49.1,,,,55,
2018-02-02T00:04:23.097Z,,49.2,,60.2,,55,
2018-02-02T00:04:33.097Z,,49.2,,60.4,,55,
2018-02-02T00:04:43.097Z,,49.2,,60.5,,55,
2018-02-02T00:04:53.097Z,,49.3,,,,55,
2018-02-02T00:05:03.097Z,,49.3,,60.6,,55,
2018-02-02T00:05:13.097Z,,49.4,,60.7,,55,
2018-02-02T00:05:23.097Z,,49.4,,,,55,
2018-02-02T00:05:33.099Z,,49.4,,60.9,,55,
2018-02-02T00:05:43.097Z,,49.5,,61,,55,
2018-02-02T00:05:53.098Z,0,49.5,1,60.8,0,55,
2018-02-02T00:06:03.097Z,,49.5,,59.9,,55,
2018-02-02T00:06:13.098Z,,49.7,,58.8,,55,
