Time,ActPow,PrimT,PrimTSet,HwTSet,HwActive,ChActive,HwTOutlet
2018-02-03T00:00:03.289Z,,,,55,,,43.4
2018-02-03T00:00:13.289Z,,,,55,,,43.3
2018-02-03T00:00:23.289Z,,,,55,,,43.3
2018-02-03T00:00:33.290Z,,,,55,,,43.2
2018-02-03T00:00:43.289Z,,58.2,,55,,,43.2
2018-02-03T00:00:53.291Z,,,,55,,,43.2
2018-02-03T00:01:03.290Z,,,,55,,,43.1
2018-02-03T00:01:13.290Z,,,,55,,,43.1
2018-02-03T00:01:23.290Z,,,,55,,,43
2018-02-03T00:01:33.289Z,,58.1,,55,,,43
2018-02-03T00:01:43.290Z,,,,55,,,42.8
2018-02-03T00:01:54.285Z,,,,55,,,42.8
2018-02-03T00:02:03.289Z,,,,55,,,42.8
2018-02-03T00:02:13.291Z,,58,,55,,,42.7
2018-02-03T00:02:23.290Z,,,,55,,,42.7
2018-02-03T00:02:33.290Z,,,,55,,,42.6
2018-02-03T00:02:43.291Z,,,,55,,,42.6
2018-02-03T00:02:53.290Z,,57.8,,55,,,42.6
2018-02-03T00:03:03.290Z,,,,55,,,42.5
2018-02-03T00:03:13.290Z,,,,55,,,42.5
2018-02-03T00:03:23.291Z,,,,55,,,42.4
2018-02-03T00:03:33.292Z,,,,55,,,42.4
2018-02-03T00:03:43.290Z,,57.7,,55,,,42.3
2018-02-03T00:03:53.291Z,,,,55,,,42.3
2018-02-03T00:04:03.290Z,,,,55,,,42.3
2018-02-03T00:04:13.290Z,,,,55,,,42.2
2018-02-03T00:04:23.290Z,,57.6,,55,,,42.2
2018-02-03T00:04:33.290Z,,,,55,,,42
2018-02-03T00:04:48.310Z,,,,55,,,42
2018-02-03T00:04:53.291Z,,,,55,,,41.9
2018-02-03T00:05:03.293Z,,,,55,,,41.9
2018-02-03T00:05:13.290Z,,57.5,,55,,,41.9
2018-02-03T00:05:23.291Z,111,57.6,0,55,1,0,41.8
2018-02-03T00:05:33.290Z,124,56.9,,55,,,48.7
2018-02-03T00:05:43.290Z,123,59,,55,,,49.5
2018-02-03T00:05:53.291Z,117,61.2,,55,,,52.2
2018-02-03T00:06:03.290Z,111,62.1,,55,,,54.2
2018-02-03T00:06:13.291Z,86,62.9,,55,,,56.1
2018-02-03T00:06:23.290Z,80,61.9,,55,,,56.5
2018-02-03T00:06:33.293Z,0,60.2,59,55,0,0,55.3
2018-02-03T00:06:43.291Z,,60,,55,,,53.9
2018-02-03T00:06:53.290Z,,62,,55,,,52.4
2018-02-03T00:07:03.291Z,,64,,55,,,51.7
2018-02-03T00:07:13.290Z,,66.1,,55,,,51.2
2018-02-03T00:07:23.291Z,,67.1,,55,,,51.9
2018-02-03T00:07:33.309Z,,68.2,5,55,,,53.2
2018-02-03T00:07:43.291Z,,68.4,,55,,,54.1
2018-02-03T00:07:53.293Z,,68.5,,55,,,54.8
2018-02-03T00:08:03.290Z,,,,55,,,55.5
2018-02-03T00:08:13.291Z,,68.6,,55,,,55.8
2018-02-03T00:08:23.291Z,,,,55,,,56
2018-02-03T00:08:33.291Z,,68.7,,55,,,56.2
2018-02-03T00:08:43.291Z,,68.9,,55,,,56.4
2018-02-03T00:08:53.290Z,,69,,55,,,56.5
2018-02-03T00:09:04.390Z,,,,55,,,56.6
2018-02-03T00:09:13.290Z,,69.1,,55,,,56.6
2018-02-03T00:09:23.291Z,,,,55,,,56.7
2018-02-03T00:09:33.291Z,,69.2,,55,,,56.7
2018-02-03T00:09:43.291Z,,69.4,,55,,,56.8
2018-02-03T00:09:53.291Z,,69.5,,55,,,56.8
2018-02-03T00:10:03.291Z,,,,55,,,56.9
2018-02-03T00:10:13.291Z,,69.6,,55,,,56.9
2018-02-03T00:10:23.291Z,,,,55,,,56.9
2018-02-03T00:10:33.291Z,,69.7,59,55,,,56.9
2018-02-03T00:10:43.291Z,,67.6,,55,,,59.8
2018-02-03T00:10:53.291Z,,66.6,,55,,,58.6
2018-02-03T00:11:03.292Z,,66.1,,55,,,58.3
2018-02-03T00:11:13.291Z,,65.9,,55,,,58.1
2018-02-03T00:11:23.292Z,,,,55,,,57.8
2018-02-03T00:11:33.291Z,,,5,55,,,57.7
2018-02-03T00:11:43.291Z,,,59,55,0,0,57.7
2018-02-03T00:11:53.775Z,,63.8,,55,,,60.7
2018-02-03T00:12:03.291Z,,62.9,,55,,,59.2
2018-02-03T00:12:13.291Z,,62.7,,55,,,58.4
2018-02-03T00:12:23.292Z,,62.6,0,55,1,0,58.2
2018-02-03T00:12:33.303Z,111,53.8,,55,1,0,55
2018-02-03T00:12:43.291Z,124,49.7,,55,,,43.2
2018-02-03T00:12:53.291Z,0,50.2,59,55,0,0,41
2018-02-03T00:13:03.291Z,,51.2,,55,,,42.8
2018-02-03T00:13:13.291Z,,53,,55,,,43.9
2018-02-03T00:13:23.291Z,,54,,55,,,44.3
2018-02-03T00:13:33.291Z,,55,,55,,,44.5
2018-02-03T00:13:43.291Z,,55.2,,55,,,44.7
2018-02-03T00:13:53.291Z,,55.6,5,55,,,45
2018-02-03T00:14:03.292Z,,55.8,,,,,
2018-02-03T00:14:13.291Z,,55.9,,55,,,45.8
2018-02-03T00:14:23.292Z,,56,,55,,,46.2
2018-02-03T00:14:33.292Z,,56.1,,55,,,46.5
2018-02-03T00:14:44.287Z,,56.2,,55,,,46.7
2018-02-03T00:14:53.291Z,,,,55,,,46.8
2018-02-03T00:15:03.291Z,,56.4,,55,,,46.9
2018-02-03T00:15:13.291Z,,56.5,,55,,,47
2018-02-03T00:15:23.291Z,,56.6,,55,,,47.2
2018-02-03T00:15:33.291Z,,,,55,,,47.2
2018-02-03T00:15:43.306Z,,56.7,,55,,,47.2
2018-02-03T00:15:53.291Z,,56.8,,55,,,47.3
2018-02-03T00:16:03.291Z,,,,55,,,47.3
2018-02-03T00:16:13.291Z,,56.9,,55,,,47.3
2018-02-03T00:16:23.291Z,,57,,55,,,47.3
2018-02-03T00:16:33.291Z,,,,55,,,47.2
2018-02-03T00:16:43.292Z,,57.2,,55,,,47.2
2018-02-03T00:16:53.291Z,,,,55,,,47.2
2018-02-03T00:17:03.292Z,,,,55,,,47.2
2018-02-03T00:17:13.292Z,,57.3,,55,,,47.2
2018-02-03T00:17:23.292Z,,,,55,,,47
2018-02-03T00:17:33.291Z,,57.4,,55,,,47
2018-02-03T00:17:43.292Z,,,,55,,,47
2018-02-03T00:17:53.292Z,,,,55,,,46.9
2018-02-03T00:18:03.292Z,,57.5,,55,,,46.9
2018-02-03T00:18:13.292Z,,,,55,,,46.9
2018-02-03T00:18:23.292Z,,,,55,,,46.8
2018-02-03T00:18:33.292Z,,,,55,,,46.8
2018-02-03T00:18:43.292Z,,57.6,,55,,,46.7
2018-02-03T00:18:53.292Z,,,,55,,,46.7
2018-02-03T00:19:03.291Z,,,,55,,,46.6
2018-02-03T00:19:13.292Z,108,58,0,55,1,0,46.6
2018-02-03T00:19:23.293Z,123,55.9,,55,,,48.5
2018-02-03T00:19:33.292Z,124,55.4,,55,,,46.4
2018-02-03T00:19:43.292Z,0,57.3,59,55,0,0,47.7
2018-02-03T00:19:53.292Z,,59,,55,0,0,48.7
2018-02-03T00:20:03.292Z,,61,,55,,,47.6
2018-02-03T00:20:13.292Z,,64.4,,55,,,47
2018-02-03T00:20:23.291Z,0,65,59,55,0,0,46.7
2018-02-03T00:20:33.292Z,,66,,55,,,48.2
2018-02-03T00:20:43.292Z,,66.4,5,55,,,49.7
2018-02-03T00:20:53.292Z,,,,55,,,51
2018-02-03T00:21:03.292Z,,66.5,,55,,,51.9
2018-02-03T00:21:13.294Z,,,,55,,,52.7
2018-02-03T00:21:23.292Z,,66.6,,55,,,53.2
2018-02-03T00:21:33.292Z,,,,55,,,53.6
2018-02-03T00:21:43.292Z,,66.7,,55,,,53.8
2018-02-03T00:21:53.292Z,,,,55,,,54
2018-02-03T00:22:03.294Z,,,,55,,,54.2
2018-02-03T00:22:13.292Z,,66.9,,55,,,54.3
2018-02-03T00:22:23.292Z,,67,,55,,,54.6
2018-02-03T00:22:33.292Z,,,,55,,,54.7
2018-02-03T00:22:43.314Z,,67.1,,55,,,54.8
2018-02-03T00:22:53.292Z,,,,55,,,54.8
2018-02-03T00:23:03.292Z,,67.2,,55,,,54.9
2018-02-03T00:23:18.312Z,,,,55,,,54.9
2018-02-03T00:23:23.293Z,,67.4,,55,,,55
2018-02-03T00:23:33.292Z,,67.5,,55,,,55
2018-02-03T00:23:43.292Z,,,,55,,,55
2018-02-03T00:23:53.292Z,,,,55,,,55
2018-02-03T00:24:03.292Z,,,,55,,,55
2018-02-03T00:24:13.293Z,,67.6,,55,,,55
2018-02-03T00:24:23.293Z,,,,55,,,55
2018-02-03T00:24:33.293Z,,67.7,,55,,,54.9
2018-02-03T00:24:43.467Z,,,,55,,,54.9
2018-02-03T00:24:53.293Z,,,,55,,,54.9
2018-02-03T00:25:03.314Z,,,,55,,,54.9
2018-02-03T00:25:13.293Z,,,,55,,,54.8
2018-02-03T00:25:23.293Z,,67.9,,55,,,54.8
2018-02-03T00:25:33.293Z,,,,55,,,54.8
2018-02-03T00:25:43.293Z,,,,55,,,54.7
2018-02-03T00:25:53.293Z,,,,55,,,54.7
2018-02-03T00:26:03.292Z,,,,55,,,54.6
2018-02-03T00:26:13.293Z,,,,55,,,54.6
2018-02-03T00:26:23.293Z,,,,55,,,54.6
2018-02-03T00:26:33.294Z,,,,55,,,54.4
2018-02-03T00:26:43.300Z,,,,55,,,54.3
2018-02-03T00:26:53.295Z,,,,55,,,54.3
2018-02-03T00:27:03.294Z,,,,55,,,54.3
2018-02-03T00:27:13.294Z,,,,55,,,54.2
2018-02-03T00:27:23.296Z,,,,55,,,54.2
2018-02-03T00:27:34.287Z,,67.7,,55,,,54.1
2018-02-03T00:27:43.293Z,,,,55,,,54
2018-02-03T00:27:53.293Z,,,,55,,,54
2018-02-03T00:28:03.294Z,,,,55,,,53.9
2018-02-03T00:28:13.293Z,,,,55,,,53.9
2018-02-03T00:28:23.293Z,,,,55,,,53.8
2018-02-03T00:28:33.294Z,,,,55,,,53.8
2018-02-03T00:28:43.293Z,,67.6,,55,,,53.7
2018-02-03T00:28:53.293Z,,,,55,,,53.7
2018-02-03T00:29:03.293Z,,,,55,,,53.6
2018-02-03T00:29:13.293Z,,,,55,,,53.4
2018-02-03T00:29:23.293Z,,,,55,,,53.4
2018-02-03T00:29:33.294Z,,,,55,,,53.3
2018-02-03T00:29:43.321Z,,67.5,,55,,,53.3
2018-02-03T00:29:53.293Z,,,,55,,,53.2
2018-02-03T00:30:03.293Z,,,,55,,,53.2
2018-02-03T00:30:13.292Z,,,,55,,,53.1
2018-02-03T00:30:24.292Z,,,,55,,,53
2018-02-03T00:30:33.293Z,,67.4,,55,,,53
2018-02-03T00:30:43.293Z,,,,55,,,52.9
2018-02-03T00:30:53.293Z,,,,55,,,52.9
2018-02-03T00:31:03.293Z,,,,55,,,52.8
2018-02-03T00:31:13.295Z,,67.2,,55,,,52.7
2018-02-03T00:31:23.293Z,,,,55,,,52.7
2018-02-03T00:31:33.294Z,,,,55,,,52.6
2018-02-03T00:31:43.321Z,,,,55,,,52.4
2018-02-03T00:31:53.294Z,,,,55,,,52.4
2018-02-03T00:32:03.293Z,,67.1,,55,,,52.3
2018-02-03T00:32:13.295Z,,,,55,,,52.3
2018-02-03T00:32:23.294Z,,,,55,,,52.2
2018-02-03T00:32:33.295Z,,67,,55,,,52.1
2018-02-03T00:32:43.294Z,,,,55,,,52.1
2018-02-03T00:32:53.295Z,,,,55,,,52
2018-02-03T00:33:03.295Z,,66.9,,55,,,52
2018-02-03T00:33:13.295Z,,,,55,,,51.9
2018-02-03T00:33:23.295Z,,,,55,,,51.8
2018-02-03T00:33:33.297Z,,,,55,,,51.7
2018-02-03T00:33:43.327Z,,,,55,,,51.7
2018-02-03T00:33:53.296Z,,66.7,,55,,,51.6
2018-02-03T00:34:03.296Z,,,,55,,,51.6
2018-02-03T00:34:13.293Z,,,,55,,,51.4
2018-02-03T00:34:23.294Z,,66.6,,55,,,51.3
2018-02-03T00:34:33.294Z,,,,55,,,51.3
2018-02-03T00:34:43.294Z,,,,55,,,51.2
2018-02-03T00:34:53.307Z,,,,55,,,51.1
2018-02-03T00:35:03.294Z,,66.5,,55,,,51.1
2018-02-03T00:35:13.294Z,,,,55,,,51
2018-02-03T00:35:23.294Z,,,,55,,,50.9
2018-02-03T00:35:33.294Z,,,,55,,,50.9
2018-02-03T00:35:43.300Z,,66.4,,55,,,50.8
2018-02-03T00:35:53.294Z,,,,55,,,50.7
2018-02-03T00:36:04.288Z,,,,55,,,50.7
2018-02-03T00:36:13.294Z,,,,55,,,50.6
2018-02-03T00:36:23.294Z,,66.2,,55,,,50.4
2018-02-03T00:36:33.294Z,,,,55,,,50.4
2018-02-03T00:36:43.294Z,,,,55,,,50.3
2018-02-03T00:36:53.294Z,,66.1,,55,,,50.2
2018-02-03T00:37:03.295Z,,,,55,,,50.2
2018-02-03T00:37:13.294Z,,,,55,,,50.1
2018-02-03T00:37:23.455Z,,,,55,,,50
2018-02-03T00:37:33.294Z,,66,,55,,,50
2018-02-03T00:37:43.294Z,,,,55,,,49.9
2018-02-03T00:37:53.294Z,,,,55,,,49.8
2018-02-03T00:38:03.294Z,,65.9,,55,,,49.8
2018-02-03T00:38:13.294Z,,,,55,,,49.7
2018-02-03T00:38:23.295Z,,,,55,,,49.7
