Time,HwTOutlet,ActPow,ChActive,HwActive,HwTSet,PrimT,PrimTSet
2018-02-04T00:00:03.482Z,39.4,,,,55,50.3,
2018-02-04T00:00:13.515Z,39.4,,,,55,50.2,
2018-02-04T00:00:23.482Z,39.4,,,,55,50.1,
2018-02-04T00:00:33.483Z,39.4,,,,55,50.2,
2018-02-04T00:00:43.482Z,39.4,,,,55,50.5,
2018-02-04T00:00:53.482Z,39.4,,,,55,50.8,
2018-02-04T00:01:03.482Z,39.4,,,,55,51,
2018-02-04T00:01:13.483Z,39.4,,,,55,,
2018-02-04T00:01:23.482Z,39.5,,,,55,51.1,
2018-02-04T00:01:33.482Z,39.5,,,,55,51.2,
2018-02-04T00:01:43.482Z,39.5,,,,55,51.5,
2018-02-04T00:01:53.484Z,39.6,,,,55,51.6,
2018-02-04T00:02:03.482Z,39.6,,,,55,51.8,
2018-02-04T00:02:13.483Z,39.8,,,,55,52,
2018-02-04T00:02:23.482Z,39.8,,,,55,52.2,
2018-02-04T00:02:33.484Z,39.8,,,,55,52.3,
2018-02-04T00:02:43.482Z,39.9,,,,55,52.4,
2018-02-04T00:02:53.483Z,40,,,,55,52.6,
2018-02-04T00:03:03.482Z,40,,,,55,52.7,
2018-02-04T00:03:13.485Z,40.1,,,,55,53,
2018-02-04T00:03:23.483Z,40.1,,,,55,53.1,
2018-02-04T00:03:33.483Z,40.1,,,,55,53.2,
2018-02-04T00:03:43.483Z,40.2,,,,55,53.3,
2018-02-04T00:03:53.483Z,40.3,,,,55,53.5,
2018-02-04T00:04:03.483Z,40.3,,,,55,53.6,
2018-02-04T00:04:14.485Z,40.5,,,,55,54,
2018-02-04T00:04:23.483Z,40.6,,,,55,,
2018-02-04T00:04:33.483Z,40.6,,,,55,54.1,
2018-02-04T00:04:43.483Z,40.7,,,,55,54.2,
2018-02-04T00:04:53.483Z,40.8,,,,55,54.3,
2018-02-04T00:05:03.483Z,40.8,,,,55,54.5,
2018-02-04T00:05:13.483Z,40.9,,,,55,54.7,
2018-02-04T00:05:23.483Z,41,,,,55,54.8,
2018-02-04T00:05:33.484Z,41,,,,55,54.9,
2018-02-04T00:05:43.484Z,41.1,,,,55,55,
2018-02-04T00:05:53.483Z,41.2,,,,55,55.1,
2018-02-04T00:06:03.483Z,41.2,,,,55,55.2,
2018-02-04T00:06:13.484Z,41.4,,,,55,55.3,
2018-02-04T00:06:23.483Z,41.5,,,,55,55.5,
2018-02-04T00:06:33.483Z,41.5,,,,55,55.6,
2018-02-04T00:06:43.483Z,41.6,,,,55,55.8,
2018-02-04T00:06:53.483Z,41.7,,,,55,,
2018-02-04T00:07:04.479Z,41.7,,,,55,56,
2018-02-04T00:07:13.483Z,41.8,,,,55,56.2,
2018-02-04T00:07:23.483Z,41.9,,,,55,56.3,
2018-02-04T00:07:33.484Z,41.9,0,1,0,55,56.6,
2018-02-04T00:07:43.484Z,42,,,,55,54.9,
2018-02-04T00:07:53.483Z,42.2,,,,55,53.8,
2018-02-04T00:08:03.484Z,42.2,,,,55,52.9,
2018-02-04T00:08:13.485Z,42.3,,,,55,52.7,
2018-02-04T00:08:23.483Z,42.4,,,,55,52.6,
2018-02-04T00:08:33.484Z,42.4,,,,55,53,
2018-02-04T00:08:43.484Z,42.5,,,,55,53.2,
2018-02-04T00:08:53.483Z,42.6,,,,55,52.9,
2018-02-04T00:09:03.484Z,42.6,,,,55,52.7,
2018-02-04T00:09:13.483Z,42.6,,,,55,52.3,
2018-02-04T00:09:23.483Z,42.7,,,,55,51.9,
2018-02-04T00:09:33.485Z,42.7,,,,55,51.8,
2018-02-04T00:09:43.484Z,42.7,,,,55,51.4,
2018-02-04T00:09:53.483Z,42.7,,,,55,51.2,
2018-02-04T00:10:03.483Z,42.7,,,,55,50.9,
2018-02-04T00:10:13.484Z,42.7,,,,55,,
2018-02-04T00:10:23.484Z,42.7,,,,55,50.7,
2018-02-04T00:10:33.484Z,42.6,,,,55,50.4,
2018-02-04T00:10:43.484Z,42.6,,,,55,,
2018-02-04T00:10:53.486Z,42.6,,,,55,50.7,
2018-02-04T00:11:03.484Z,42.6,,,,55,50.8,
2018-02-04T00:11:13.484Z,42.5,,,,55,51,
2018-02-04T00:11:23.967Z,42.5,,,,55,51.1,
2018-02-04T00:11:33.484Z,42.5,,,,55,,
2018-02-04T00:11:43.483Z,42.4,,,,55,51.2,
2018-02-04T00:11:53.484Z,42.4,,,,55,51.3,
2018-02-04T00:12:03.485Z,42.4,,,,55,51.4,
2018-02-04T00:12:13.484Z,42.3,,,,55,51.6,
2018-02-04T00:12:23.484Z,42.3,,,,55,,
2018-02-04T00:12:33.484Z,42.2,,,,55,51.7,
2018-02-04T00:12:43.484Z,42.2,,,,55,51.8,
2018-02-04T00:12:53.484Z,42.2,,,,55,,
2018-02-04T00:13:03.484Z,42,,,,55,51.9,
2018-02-04T00:13:13.484Z,42,,,,55,,
2018-02-04T00:13:23.487Z,42,,,,55,52,
2018-02-04T00:13:33.484Z,41.9,,,,55,,
2018-02-04T00:13:43.485Z,41.9,,,,55,52.1,
2018-02-04T00:13:53.484Z,41.9,,,,55,,
2018-02-04T00:14:03.484Z,41.8,,,,55,52.2,
2018-02-04T00:14:13.484Z,41.8,,,,55,,
2018-02-04T00:14:23.484Z,41.7,,,,55,,
2018-02-04T00:14:33.484Z,41.7,,,,55,52.3,
2018-02-04T00:14:43.484Z,41.7,,,,55,,
2018-02-04T00:14:53.484Z,41.6,,,,55,,
2018-02-04T00:15:03.484Z,41.6,,,,55,,
2018-02-04T00:15:13.484Z,41.6,,,,55,52.4,
2018-02-04T00:15:23.484Z,41.5,,,,55,,
2018-02-04T00:15:33.485Z,41.5,,,,55,,
2018-02-04T00:15:43.484Z,41.4,,,,55,,
2018-02-04T00:15:53.485Z,41.4,,,,55,,
2018-02-04T00:16:03.484Z,41.2,,,,55,52.6,
2018-02-04T00:16:13.484Z,41.2,,,,55,,
2018-02-04T00:16:23.484Z,41.2,,,,55,,
2018-02-04T00:16:33.484Z,41.1,,,,55,,
2018-02-04T00:16:43.484Z,41.1,,,,55,,
2018-02-04T00:16:53.484Z,41,,,,55,,
2018-02-04T00:17:03.484Z,41,,,,55,,
2018-02-04T00:17:13.485Z,41,,,,55,,
