Time,HwActive,ChActive,PrimT,HwTOutlet,HwTSet,PrimTSet,ActPow
2018-02-07T00:00:09.080Z,,,53,45.1,55,,
2018-02-07T00:00:14.061Z,,,53.1,45,55,,
2018-02-07T00:00:24.062Z,,,53.3,45,55,,
2018-02-07T00:00:34.061Z,0,2,56.2,44.9,55,,80
2018-02-07T00:00:44.061Z,,,62.5,44.9,55,,58
2018-02-07T00:00:54.061Z,,,64.9,44.8,55,,29
2018-02-07T00:01:04.061Z,,,61.9,44.8,55,,
2018-02-07T00:01:14.062Z,,,58.9,44.7,55,,
2018-02-07T00:01:24.061Z,,,57,44.7,55,,
2018-02-07T00:01:34.061Z,,,55.9,44.7,55,,
2018-02-07T00:01:44.061Z,,,56,44.5,55,,
2018-02-07T00:01:54.061Z,,,56.4,44.5,55,,
2018-02-07T00:02:04.061Z,,,57,44.5,55,,
2018-02-07T00:02:14.061Z,,,57.3,44.5,55,,
2018-02-07T00:02:24.062Z,,,,44.5,55,,
2018-02-07T00:02:34.061Z,,,,44.7,55,,
2018-02-07T00:02:44.065Z,,,57.4,44.7,55,,
2018-02-07T00:03:00.076Z,,,57.6,44.7,55,,
2018-02-07T00:03:04.061Z,1,0,57.7,44.8,55,0,
2018-02-07T00:03:14.062Z,0,0,60.9,39.9,55,59,0
2018-02-07T00:03:24.061Z,,,56.9,39.3,55,,
2018-02-07T00:03:34.062Z,,,56.5,39.4,55,,
2018-02-07T00:03:44.061Z,,,57.3,41.5,55,,
2018-02-07T00:03:54.061Z,,,58.2,43.1,55,,
2018-02-07T00:04:04.062Z,0,2,59.5,44.5,55,75,
2018-02-07T00:04:14.061Z,,,60.1,45.5,55,,
2018-02-07T00:04:24.231Z,,,60.5,46.4,55,,
2018-02-07T00:04:34.062Z,,,60.7,46.9,55,,
2018-02-07T00:04:44.061Z,,,60.9,47.5,55,,
2018-02-07T00:04:54.062Z,,,61,48.1,55,,
2018-02-07T00:05:04.061Z,,,61.2,48.4,55,,
2018-02-07T00:05:14.061Z,,,61.3,48.7,55,,
2018-02-07T00:05:24.064Z,0,2,62.2,49,55,,80
2018-02-07T00:05:34.062Z,,,68.1,49.1,55,,62
2018-02-07T00:05:44.062Z,,,68.9,49.3,55,,29
2018-02-07T00:05:54.062Z,,,63.5,49.5,55,,
2018-02-07T00:06:04.062Z,,,60.5,49.7,55,,
2018-02-07T00:06:14.063Z,,,57.8,49.8,55,,
2018-02-07T00:06:24.062Z,,,56.8,49.9,55,,
2018-02-07T00:06:34.063Z,,,56.3,49.9,55,,
2018-02-07T00:06:44.062Z,,,57,50,55,,29
2018-02-07T00:06:54.062Z,,,57.4,50,55,,
2018-02-07T00:07:04.062Z,,,57.3,50.1,55,,
2018-02-07T00:07:14.061Z,,,57.2,50.1,55,,
2018-02-07T00:07:24.062Z,,,,50.1,55,,
2018-02-07T00:07:34.063Z,,,,50.2,55,,
2018-02-07T00:07:44.062Z,,,57.3,50.2,55,,
2018-02-07T00:07:54.062Z,,,57.4,50.2,55,,
2018-02-07T00:08:04.062Z,,,57.6,50.2,55,,
2018-02-07T00:08:14.062Z,,,,50.2,55,,
2018-02-07T00:08:24.062Z,,,57.7,50.2,55,,
2018-02-07T00:08:34.062Z,,,57.8,50.2,55,,
2018-02-07T00:08:44.062Z,,,58,50.2,55,,
2018-02-07T00:08:54.062Z,,,,50.2,55,,
2018-02-07T00:09:04.062Z,,,58.1,50.2,55,,
2018-02-07T00:09:14.062Z,,,58.3,50.2,55,,
2018-02-07T00:09:24.062Z,,,58.4,50.2,55,,
2018-02-07T00:09:34.062Z,,,58.5,50.2,55,,
2018-02-07T00:09:44.064Z,,,,50.2,55,,
2018-02-07T00:09:54.063Z,,,58.6,50.1,55,,
2018-02-07T00:10:04.062Z,,,58.7,50.1,55,,
2018-02-07T00:10:14.064Z,,,59,50.1,55,,
2018-02-07T00:10:24.063Z,,,,50.1,55,,
2018-02-07T00:10:34.064Z,,,59.1,50.1,55,,
2018-02-07T00:10:44.062Z,,,59.2,50.1,55,,
2018-02-07T00:10:54.063Z,,,,50.1,55,,
2018-02-07T00:11:04.069Z,,,59.3,50.1,55,,
2018-02-07T00:11:14.063Z,,,59.4,50.1,55,,
2018-02-07T00:11:24.062Z,,,59.5,50,55,,
2018-02-07T00:11:34.062Z,,,59.7,50,55,,
2018-02-07T00:11:44.062Z,,,,50,55,,
2018-02-07T00:11:54.064Z,,,59.8,50.1,55,,
2018-02-07T00:12:04.062Z,,,59.9,50.1,55,,
2018-02-07T00:12:14.063Z,,,60,50.1,55,,
2018-02-07T00:12:24.062Z,,,,50.1,55,,
2018-02-07T00:12:34.063Z,,,60.1,50.1,55,,
2018-02-07T00:12:44.063Z,,,,50.1,55,,
2018-02-07T00:12:59.083Z,,,60.2,50.1,55,,
2018-02-07T00:13:04.063Z,,,60.4,50.1,55,,
2018-02-07T00:13:14.063Z,,,60.5,50.2,55,,
2018-02-07T00:13:24.062Z,,,,50.2,55,,
2018-02-07T00:13:34.063Z,,,60.6,50.2,55,,
2018-02-07T00:13:44.062Z,,,60.7,50.2,55,,
2018-02-07T00:13:54.063Z,,,,50.3,55,,
2018-02-07T00:14:04.063Z,,,60.9,50.3,55,,
2018-02-07T00:14:14.067Z,,,61,50.3,55,,
2018-02-07T00:14:24.062Z,,,61.1,50.3,55,,
2018-02-07T00:14:34.063Z,,,,50.3,55,,
2018-02-07T00:14:44.063Z,,,61.3,50.4,55,,0
2018-02-07T00:14:54.062Z,0,2,60.9,50.4,55,,
2018-02-07T00:15:04.063Z,,,59.8,50.4,55,,
2018-02-07T00:15:14.063Z,,,58.5,50.6,55,,
2018-02-07T00:15:24.063Z,,,58,50.6,55,,
2018-02-07T00:15:34.064Z,,,57.8,50.6,55,,
2018-02-07T00:15:45.054Z,,,57.7,50.6,55,,
2018-02-07T00:15:54.066Z,,,58,50.6,55,,
2018-02-07T00:16:04.063Z,,,57.8,50.6,55,,
2018-02-07T00:16:14.064Z,,,57.5,50.6,55,,
2018-02-07T00:16:24.063Z,,,57.3,50.6,55,,
2018-02-07T00:16:34.063Z,,,56.9,50.6,55,,
2018-02-07T00:16:44.066Z,,,56.6,50.6,55,,
2018-02-07T00:16:54.076Z,1,0,58.2,44.5,55,0,124
2018-02-07T00:17:04.077Z,0,0,59.9,51,55,59,0
2018-02-07T00:17:15.057Z,,,59.2,50.2,55,,
2018-02-07T00:17:24.064Z,,,59.4,49.5,55,,
2018-02-07T00:17:34.063Z,,,60.1,49.1,55,,
2018-02-07T00:17:44.065Z,,,60.7,49,55,,
2018-02-07T00:17:54.063Z,,,61,48.9,55,,
