Time,HwTOutlet,HwActive,PrimTSet,HwTSet,ChActive,ActPow,PrimT
2018-02-09T00:00:04.440Z,39.4,,,55,,,
2018-02-09T00:00:14.440Z,39.4,,,55,,,
2018-02-09T00:00:24.441Z,39.4,,,55,,,
2018-02-09T00:00:34.441Z,39.3,,,55,,,52.3
2018-02-09T00:00:44.441Z,39.3,,,55,,,
2018-02-09T00:00:54.440Z,39.3,,,55,,,
2018-02-09T00:01:04.440Z,39.1,,,55,,,
2018-02-09T00:01:14.441Z,39.1,,,55,,,
2018-02-09T00:01:24.442Z,39.1,,,55,,,
2018-02-09T00:01:34.440Z,39.1,,,55,,,
2018-02-09T00:01:44.441Z,39,,,55,,,52.2
2018-02-09T00:01:54.440Z,39,,,55,,,
2018-02-09T00:02:04.440Z,39,,,55,,,
2018-02-09T00:02:16.779Z,38.9,,,55,,,
2018-02-09T00:02:24.441Z,38.9,,,55,,,
2018-02-09T00:02:34.441Z,38.9,,,55,,,52.1
2018-02-09T00:02:44.442Z,38.8,,,55,,,
2018-02-09T00:02:54.440Z,38.8,,,55,,,
2018-02-09T00:03:04.440Z,38.8,,,55,,,
2018-02-09T00:03:14.444Z,38.6,,,55,,,
2018-02-09T00:03:24.440Z,38.6,,,55,,,52
2018-02-09T00:03:34.440Z,38.6,,,55,,,
2018-02-09T00:03:44.440Z,38.6,,,55,,,
2018-02-09T00:03:54.440Z,38.5,,,55,,,
2018-02-09T00:04:04.442Z,38.5,,,55,,,
2018-02-09T00:04:14.440Z,38.5,,,55,,,
2018-02-09T00:04:24.441Z,38.4,,,55,,,52
2018-02-09T00:04:34.444Z,38.4,,,55,,,51.9
2018-02-09T00:04:44.441Z,38.4,,,55,,,
2018-02-09T00:04:54.451Z,38.3,,,55,,,
2018-02-09T00:05:05.438Z,38.3,,,55,,,
2018-02-09T00:05:14.441Z,38.3,,,55,,,
2018-02-09T00:05:24.441Z,38.1,,,55,,,
2018-02-09T00:05:34.441Z,38.1,,,55,,,51.8
2018-02-09T00:05:44.441Z,38.1,,,55,,,
2018-02-09T00:05:54.441Z,38.1,,,55,,,
2018-02-09T00:06:04.441Z,38,,,55,,,
2018-02-09T00:06:14.441Z,38,,,55,,,
2018-02-09T00:06:24.442Z,38,,,55,,,
2018-02-09T00:06:34.441Z,37.9,,,55,,,51.7
2018-02-09T00:06:44.440Z,37.9,,,55,,,
2018-02-09T00:06:54.441Z,37.9,,,55,,,
2018-02-09T00:07:04.441Z,37.9,,,55,,,
2018-02-09T00:07:14.441Z,37.8,,,55,,,
2018-02-09T00:07:24.441Z,37.8,,,55,,,
2018-02-09T00:07:34.442Z,37.8,,,55,,,51.6
2018-02-09T00:07:44.441Z,37.7,,,55,,,
2018-02-09T00:07:55.523Z,37.7,,,55,,,
2018-02-09T00:08:04.441Z,37.7,,,55,,,
2018-02-09T00:08:14.441Z,37.5,,,55,,,
2018-02-09T00:08:24.441Z,37.5,,,55,,,
2018-02-09T00:08:34.443Z,37.5,,,55,,,51.4
2018-02-09T00:08:44.441Z,37.4,,,55,,,
2018-02-09T00:08:54.441Z,37.4,,,55,,,
2018-02-09T00:09:04.441Z,37.4,,,55,,,
2018-02-09T00:09:14.441Z,37.4,,,55,,,
2018-02-09T00:09:24.443Z,37.3,,,55,,,
2018-02-09T00:09:34.442Z,37.3,,,55,,,51.3
2018-02-09T00:09:44.441Z,37.3,,,55,,,
2018-02-09T00:09:54.441Z,37.3,,,55,,,
2018-02-09T00:10:04.441Z,37.2,,,55,,,
2018-02-09T00:10:14.441Z,37.2,,,55,,,
