Time,PrimTSet,HwTOutlet,PrimT,HwActive,HwTSet,ActPow,ChActive
2018-02-12T00:00:05.014Z,,40.2,57.8,,55,,
2018-02-12T00:00:15.016Z,,40.1,,,55,,
2018-02-12T00:00:25.015Z,,40,,,55,,
2018-02-12T00:00:35.014Z,,40,57.7,,55,,
2018-02-12T00:00:45.014Z,,40,,,55,,
2018-02-12T00:00:55.015Z,,39.9,,,55,,
2018-02-12T00:01:05.014Z,,39.9,,,55,,
2018-02-12T00:01:16.067Z,,39.8,57.6,,55,,
2018-02-12T00:01:25.014Z,,39.8,,,55,,
2018-02-12T00:01:35.015Z,,39.6,,,55,,
2018-02-12T00:01:45.015Z,,39.6,57.5,,55,,
2018-02-12T00:01:55.015Z,,39.5,,,55,,
2018-02-12T00:02:05.014Z,,39.5,,,55,,
2018-02-12T00:02:16.007Z,,39.4,,,55,,
2018-02-12T00:02:26.008Z,,39.4,,,55,,
2018-02-12T00:02:35.015Z,,39.3,57.4,,55,,
2018-02-12T00:02:45.015Z,,39.3,,,55,,
2018-02-12T00:02:55.017Z,,39.3,,,55,,
2018-02-12T00:03:05.014Z,,39.1,57.3,,55,,
2018-02-12T00:03:15.015Z,,39.1,,,55,,
2018-02-12T00:03:25.015Z,,39,,,55,,
2018-02-12T00:03:35.015Z,,39,,,55,,
2018-02-12T00:03:45.015Z,,38.9,57.2,,55,,
2018-02-12T00:03:55.015Z,,38.9,,,55,,
2018-02-12T00:04:05.015Z,,38.8,,,55,,
2018-02-12T00:04:15.015Z,,38.8,57,,55,,
2018-02-12T00:04:25.015Z,,38.6,,,55,,
2018-02-12T00:04:35.015Z,,38.6,,,55,,
2018-02-12T00:04:45.014Z,,38.6,,,55,,
2018-02-12T00:04:55.016Z,,38.5,56.9,,55,,
2018-02-12T00:05:10.035Z,,38.5,,,55,,
2018-02-12T00:05:15.016Z,,38.4,,,55,,
2018-02-12T00:05:25.016Z,,38.4,,,55,,
2018-02-12T00:05:35.017Z,,38.3,,,55,,
2018-02-12T00:05:45.016Z,,38.3,56.8,,55,,
2018-02-12T00:05:55.015Z,,38.3,,,55,,
2018-02-12T00:06:05.063Z,,38.1,,,55,,
2018-02-12T00:06:15.016Z,,38.1,56.7,,55,,
2018-02-12T00:06:25.015Z,,38,,,55,,
2018-02-12T00:06:35.017Z,,38,,,55,,
2018-02-12T00:06:45.015Z,,37.9,,,55,,
2018-02-12T00:06:55.017Z,,37.9,56.6,,55,,
2018-02-12T00:07:05.017Z,,37.8,,,55,,
2018-02-12T00:07:15.015Z,,37.8,,,55,,
2018-02-12T00:07:25.016Z,,37.8,56.5,,55,,
2018-02-12T00:07:35.016Z,,37.7,,,55,,
2018-02-12T00:07:45.016Z,,37.7,,,55,,
2018-02-12T00:08:01.117Z,,37.5,,,55,,
2018-02-12T00:08:05.015Z,,37.5,,,55,,
2018-02-12T00:08:15.015Z,,37.5,56.4,,55,,
2018-02-12T00:08:25.015Z,,37.4,,,55,,
2018-02-12T00:08:35.015Z,,37.4,,,55,,
2018-02-12T00:08:45.016Z,,37.3,,,55,,
2018-02-12T00:08:55.017Z,,37.3,56.2,,55,,
2018-02-12T00:09:05.015Z,,37.2,,,55,,
2018-02-12T00:09:15.017Z,,37.2,,,55,,
2018-02-12T00:09:25.016Z,,37.2,56.1,,55,,
2018-02-12T00:09:35.016Z,,37,,,55,,
2018-02-12T00:09:45.015Z,,37,,,55,,
2018-02-12T00:09:55.015Z,,36.9,,,55,,
2018-02-12T00:10:05.016Z,,36.9,,,55,,
2018-02-12T00:10:15.017Z,,36.9,56,,55,,
2018-02-12T00:10:26.058Z,,36.8,,,55,,
2018-02-12T00:10:35.015Z,,36.8,,,55,,
2018-02-12T00:10:50.036Z,,36.8,55.9,,55,,
2018-02-12T00:10:55.015Z,,36.7,,,55,,
2018-02-12T00:11:06.057Z,,36.7,,,55,,
2018-02-12T00:11:15.017Z,,36.5,,,55,,
2018-02-12T00:11:30.141Z,,36.5,55.8,,55,,
2018-02-12T00:11:35.016Z,,36.4,,,55,,
2018-02-12T00:11:45.015Z,,36.4,,,55,,
2018-02-12T00:11:55.015Z,,36.4,,,55,,
2018-02-12T00:12:05.016Z,,36.3,55.7,,55,,
2018-02-12T00:12:16.643Z,,36.3,,,55,,
2018-02-12T00:12:25.016Z,,36.2,,,55,,
2018-02-12T00:12:35.036Z,,36.2,,,55,,
2018-02-12T00:12:45.016Z,,36.2,55.6,,55,,
2018-02-12T00:12:55.018Z,,36,,,55,,
2018-02-12T00:13:05.016Z,,36,,,55,,
2018-02-12T00:13:15.016Z,,36,55.5,,55,,
2018-02-12T00:13:25.016Z,,35.9,,,55,,
2018-02-12T00:13:35.017Z,,35.9,,,55,,
2018-02-12T00:13:45.016Z,,35.9,,,55,,
2018-02-12T00:13:55.016Z,,35.8,,,55,,
2018-02-12T00:14:05.017Z,,35.8,55.3,,55,,
2018-02-12T00:14:15.017Z,,35.7,,,55,,
2018-02-12T00:14:25.016Z,,35.7,,,55,,
2018-02-12T00:14:35.017Z,,35.6,55.2,,55,,
2018-02-12T00:14:45.017Z,,35.6,,,55,,
2018-02-12T00:14:55.017Z,,35.6,,,55,,
2018-02-12T00:15:05.016Z,,35.4,,,55,,
2018-02-12T00:15:15.016Z,,35.4,55.1,,55,,
2018-02-12T00:15:25.016Z,,35.4,,,55,,
2018-02-12T00:15:35.016Z,,35.3,,,55,,
2018-02-12T00:15:45.017Z,,35.3,,,55,,
2018-02-12T00:15:55.016Z,,35.3,,,55,,
2018-02-12T00:16:05.016Z,,35.2,55,,55,,
2018-02-12T00:16:15.016Z,,35.2,,,55,,
2018-02-12T00:16:25.017Z,,35.2,,,55,,
2018-02-12T00:16:35.017Z,,35.1,54.9,,55,,
2018-02-12T00:16:45.017Z,,35.1,,,55,,
2018-02-12T00:16:55.017Z,,34.9,,,55,,
2018-02-12T00:17:05.017Z,,34.9,,,55,,
2018-02-12T00:17:15.016Z,,34.9,54.8,,55,,
2018-02-12T00:17:25.016Z,,34.8,,,55,,
2018-02-12T00:17:35.016Z,,34.8,,,55,,
2018-02-12T00:17:45.017Z,,34.8,,,55,,
2018-02-12T00:17:56.010Z,,34.7,,,55,,
2018-02-12T00:18:05.033Z,,34.7,54.7,,55,,
2018-02-12T00:18:15.042Z,,34.7,,,55,,
2018-02-12T00:18:25.017Z,,34.6,,,55,,
2018-02-12T00:18:35.016Z,,34.6,,,55,,
2018-02-12T00:18:45.017Z,,34.6,54.6,,55,,
2018-02-12T00:18:55.016Z,,34.4,,,55,,
2018-02-12T00:19:05.017Z,,34.4,,,55,,
2018-02-12T00:19:15.017Z,,34.4,54.4,,55,,
2018-02-12T00:19:25.016Z,,34.3,,,55,,
2018-02-12T00:19:35.017Z,,34.3,,,55,,
2018-02-12T00:19:45.016Z,,34.3,,,55,,
2018-02-12T00:19:55.019Z,,34.2,54.3,,55,,
2018-02-12T00:20:05.017Z,,34.2,,,55,,
2018-02-12T00:20:15.017Z,,34.1,,,55,,
2018-02-12T00:20:25.017Z,,34.1,,,55,,
2018-02-12T00:20:35.017Z,,34.1,54.2,,55,,
2018-02-12T00:20:46.014Z,,34,,,55,,
2018-02-12T00:20:55.018Z,,34,,,55,,
2018-02-12T00:21:05.018Z,,34,,,55,,
2018-02-12T00:21:15.017Z,,33.8,54.1,,55,,
2018-02-12T00:21:25.043Z,,33.8,,,55,,
2018-02-12T00:21:35.017Z,,33.8,,,55,,
2018-02-12T00:21:45.018Z,,33.8,,,55,,
2018-02-12T00:21:55.018Z,,33.7,54,,55,,
2018-02-12T00:22:05.017Z,,33.7,,,55,,
2018-02-12T00:22:15.019Z,,33.6,,,55,,
2018-02-12T00:22:25.018Z,,33.6,,,55,,
2018-02-12T00:22:35.017Z,,33.6,53.9,,55,,
2018-02-12T00:22:45.017Z,,33.5,,,55,,
2018-02-12T00:22:55.071Z,,33.5,,,55,,
2018-02-12T00:23:05.019Z,,33.5,,,55,,
2018-02-12T00:23:15.017Z,,33.5,53.8,,55,,
2018-02-12T00:23:25.017Z,,33.3,,,55,,
2018-02-12T00:23:40.038Z,,33.3,,,55,,
2018-02-12T00:23:45.019Z,,33.3,,,55,,
2018-02-12T00:23:55.017Z,,33.2,,,55,,
2018-02-12T00:24:05.020Z,,33.2,53.7,,55,,
2018-02-12T00:24:15.018Z,,33.2,,,55,,
2018-02-12T00:24:25.020Z,,33.1,,,55,,
2018-02-12T00:24:35.018Z,,33.1,53.6,,55,,
2018-02-12T00:24:45.017Z,,33.1,,,55,,
2018-02-12T00:24:55.018Z,,33,,,55,,
2018-02-12T00:25:05.151Z,,33,,,55,,
2018-02-12T00:25:15.017Z,,33,,,55,,
2018-02-12T00:25:25.017Z,,32.8,53.4,,55,,
2018-02-12T00:25:35.017Z,,32.8,,,55,,
2018-02-12T00:25:45.017Z,,32.8,,,55,,
2018-02-12T00:25:55.018Z,,32.8,,,55,,
2018-02-12T00:26:05.017Z,,32.7,53.3,,55,,
2018-02-12T00:26:15.017Z,,32.7,,,55,,
2018-02-12T00:26:25.019Z,,32.7,,,55,,
2018-02-12T00:26:35.018Z,,32.6,,,55,,
2018-02-12T00:26:45.018Z,,32.6,53.2,,55,,
