Time,HwActive,HwTSet,PrimTSet,ActPow,PrimT,HwTOutlet,ChActive
2018-02-13T00:00:05.206Z,,55,,,,41.8,
2018-02-13T00:00:15.207Z,,55,,,,41.8,
2018-02-13T00:00:25.207Z,,55,,,56.1,41.7,
2018-02-13T00:00:35.207Z,,55,,,,41.7,
2018-02-13T00:00:45.206Z,,55,,,,41.7,
2018-02-13T00:00:55.208Z,,55,,,,41.6,
2018-02-13T00:01:05.206Z,,55,,,,41.6,
2018-02-13T00:01:15.207Z,,55,,,56,41.5,
2018-02-13T00:01:25.208Z,,55,,,,41.5,
2018-02-13T00:01:35.207Z,,55,,,,41.5,
2018-02-13T00:01:45.206Z,,55,,,,41.4,
2018-02-13T00:02:00.226Z,,55,,,56,41.4,
2018-02-13T00:02:05.206Z,,55,,,55.9,41.2,
2018-02-13T00:02:15.207Z,,55,,,,41.2,
2018-02-13T00:02:25.206Z,,55,,,,41.2,
2018-02-13T00:02:35.210Z,,55,,,,41.1,
2018-02-13T00:02:45.207Z,,55,,,55.8,41.1,
2018-02-13T00:02:55.207Z,,55,,,,41,
2018-02-13T00:03:05.206Z,,55,,,,41,
2018-02-13T00:03:15.207Z,,55,,,,41,
2018-02-13T00:03:25.207Z,,55,,,55.7,40.9,
2018-02-13T00:03:35.207Z,,55,,,,40.9,
2018-02-13T00:03:45.206Z,,55,,,,40.8,
2018-02-13T00:03:55.207Z,,55,,,,40.8,
2018-02-13T00:04:05.207Z,,55,,,,40.8,
2018-02-13T00:04:15.207Z,,55,,,,40.7,
2018-02-13T00:04:25.207Z,,55,,,55.6,40.7,
2018-02-13T00:04:35.208Z,,55,,,,40.7,
2018-02-13T00:04:51.237Z,,55,,,,40.6,
2018-02-13T00:04:55.207Z,,55,,,,40.6,
2018-02-13T00:05:05.207Z,,55,,,55.5,40.5,
2018-02-13T00:05:15.207Z,,55,,,,40.5,
2018-02-13T00:05:25.233Z,,55,,,,40.5,
2018-02-13T00:05:35.209Z,,55,,,,40.3,
2018-02-13T00:05:45.207Z,,55,,,,40.3,
2018-02-13T00:05:55.207Z,,55,,,55.3,40.2,
2018-02-13T00:06:05.208Z,,55,,,,40.2,
2018-02-13T00:06:15.207Z,,55,,,,40.2,
2018-02-13T00:06:25.207Z,,55,,,,40.1,
2018-02-13T00:06:35.210Z,,55,,,,40.1,
2018-02-13T00:06:45.207Z,,55,,,55.2,40.1,
2018-02-13T00:06:55.207Z,,55,,,,40,
2018-02-13T00:07:05.207Z,,55,,,,40,
2018-02-13T00:07:15.207Z,,55,,,,39.9,
2018-02-13T00:07:25.208Z,,55,,,,39.9,
2018-02-13T00:07:40.284Z,,55,,,55.1,39.8,
2018-02-13T00:07:45.207Z,,55,,,,39.8,
2018-02-13T00:07:55.207Z,,55,,,,39.8,
2018-02-13T00:08:05.208Z,,55,,,,39.8,
2018-02-13T00:08:15.208Z,,55,,,,39.6,
2018-02-13T00:08:25.208Z,,55,,,55,39.6,
2018-02-13T00:08:35.207Z,,55,,,,39.5,
2018-02-13T00:08:46.250Z,,55,,,,39.5,
2018-02-13T00:08:55.207Z,,55,,,54.9,39.5,
2018-02-13T00:09:06.203Z,,55,,,,39.4,
2018-02-13T00:09:15.207Z,,55,,,,39.4,
2018-02-13T00:09:25.207Z,,55,,,,39.4,
2018-02-13T00:09:35.207Z,,55,,,,39.3,
2018-02-13T00:09:45.208Z,,55,,,,39.3,
2018-02-13T00:09:55.220Z,,55,,,54.8,39.1,
2018-02-13T00:10:05.296Z,,55,,,,39.1,
2018-02-13T00:10:15.207Z,,55,,,,39.1,
2018-02-13T00:10:25.208Z,,55,,,,39,
2018-02-13T00:10:35.209Z,,55,,,54.7,39,
2018-02-13T00:10:45.208Z,,55,,,,39,
2018-02-13T00:10:55.209Z,,55,,,,38.9,
2018-02-13T00:11:05.208Z,,55,,,,38.9,
2018-02-13T00:11:15.208Z,,55,,,,38.9,
2018-02-13T00:11:25.212Z,,55,,,,38.8,
2018-02-13T00:11:35.209Z,,55,,,54.6,38.8,
2018-02-13T00:11:45.208Z,,55,,,,38.6,
2018-02-13T00:11:56.207Z,,55,,,,38.6,
2018-02-13T00:12:05.208Z,,55,,,,38.6,
2018-02-13T00:12:15.208Z,,55,,,54.4,38.5,
2018-02-13T00:12:25.208Z,,55,,,,38.5,
2018-02-13T00:12:35.208Z,,55,,,,38.5,
2018-02-13T00:12:45.208Z,,55,,,,38.4,
2018-02-13T00:12:55.208Z,,55,,,54.3,38.4,
2018-02-13T00:13:05.330Z,,55,,,,38.3,
2018-02-13T00:13:15.208Z,,55,,,,38.3,
2018-02-13T00:13:25.208Z,,55,,,,38.3,
2018-02-13T00:13:35.209Z,,55,,,,38.3,
2018-02-13T00:13:45.208Z,,55,,,,38.1,
2018-02-13T00:13:55.209Z,,55,,,54.2,38.1,
2018-02-13T00:14:05.208Z,,55,,,,38.1,
2018-02-13T00:14:15.208Z,,55,,,,38,
2018-02-13T00:14:25.209Z,,55,,,,38,
2018-02-13T00:14:35.208Z,,55,,,,38,
2018-02-13T00:14:46.204Z,,55,,,54.1,37.9,
2018-02-13T00:14:55.208Z,,55,,,,37.9,
2018-02-13T00:15:05.208Z,,55,,,,37.9,
2018-02-13T00:15:15.208Z,,55,,,,37.8,
2018-02-13T00:15:25.209Z,,55,,,54,37.8,
2018-02-13T00:15:35.208Z,,55,,,,37.8,
2018-02-13T00:15:45.209Z,,55,,,,37.7,
2018-02-13T00:15:55.209Z,,55,,,,37.7,
2018-02-13T00:16:05.209Z,,55,,,53.9,37.5,
2018-02-13T00:16:15.208Z,,55,,,,37.5,
2018-02-13T00:16:25.209Z,,55,,,,37.5,
2018-02-13T00:16:35.209Z,,55,,,,37.4,
2018-02-13T00:16:45.208Z,,55,,,,37.4,
2018-02-13T00:16:55.208Z,,55,,,53.8,37.4,
2018-02-13T00:17:05.209Z,,55,,,,37.4,
2018-02-13T00:17:15.209Z,,55,,,,37.3,
2018-02-13T00:17:25.209Z,,55,,,,37.3,
2018-02-13T00:17:40.229Z,,55,,,,37.3,
2018-02-13T00:17:45.209Z,,55,,,53.7,37.2,
2018-02-13T00:17:55.209Z,,55,,,,37.2,
2018-02-13T00:18:05.211Z,,55,,,,37.2,
2018-02-13T00:18:15.209Z,,55,,,,37,
2018-02-13T00:18:25.209Z,,55,,,,37,
2018-02-13T00:18:35.210Z,,55,,,53.6,37,
2018-02-13T00:18:45.209Z,,55,,,,36.9,
2018-02-13T00:18:55.210Z,,55,,,,36.9,
2018-02-13T00:19:05.210Z,,55,,,,36.9,
2018-02-13T00:19:15.210Z,,55,,,53.4,36.8,
2018-02-13T00:19:25.209Z,,55,,,,36.8,
2018-02-13T00:19:35.209Z,,55,,,,36.7,
2018-02-13T00:19:45.209Z,,55,,,,36.7,
2018-02-13T00:19:55.210Z,,55,,,,36.7,
2018-02-13T00:20:05.209Z,,55,,,53.3,36.7,
2018-02-13T00:20:15.210Z,,55,,,,36.5,
2018-02-13T00:20:30.437Z,,55,,,,36.5,
2018-02-13T00:20:35.209Z,,55,,,,36.5,
2018-02-13T00:20:45.209Z,,55,,,,36.4,
2018-02-13T00:20:55.209Z,,55,,,,36.4,
2018-02-13T00:21:05.210Z,,55,,,53.2,36.4,
2018-02-13T00:21:15.209Z,,55,,,,36.3,
2018-02-13T00:21:25.209Z,,55,,,,36.3,
2018-02-13T00:21:35.211Z,,55,,,,36.3,
2018-02-13T00:21:45.209Z,,55,,,53.1,36.2,
2018-02-13T00:21:55.210Z,,55,,,,36.2,
2018-02-13T00:22:05.210Z,,55,,,,36.2,
2018-02-13T00:22:15.209Z,,55,,,,36,
2018-02-13T00:22:25.209Z,,55,,,,36,
2018-02-13T00:22:35.209Z,,55,,,53,36,
2018-02-13T00:22:45.210Z,,55,,,,36,
2018-02-13T00:22:55.210Z,,55,,,,35.9,
2018-02-13T00:23:05.209Z,,55,,,,35.9,
2018-02-13T00:23:20.231Z,,55,,,52.9,35.9,
2018-02-13T00:23:25.210Z,,55,,,,35.8,
2018-02-13T00:23:35.211Z,,55,,,,35.8,
2018-02-13T00:23:45.210Z,,55,,,,35.8,
2018-02-13T00:23:55.210Z,,55,,,,35.7,
2018-02-13T00:24:05.209Z,,55,,,52.8,35.7,
2018-02-13T00:24:15.212Z,,55,,,,35.7,
2018-02-13T00:24:25.210Z,,55,,,,35.7,
2018-02-13T00:24:35.211Z,,55,,,,35.6,
2018-02-13T00:24:45.210Z,,55,,,,35.6,
2018-02-13T00:24:55.210Z,,55,,,52.7,35.6,
2018-02-13T00:25:05.210Z,,55,,,,35.4,
2018-02-13T00:25:15.215Z,,55,,,,35.4,
2018-02-13T00:25:25.210Z,,55,,,,35.4,
2018-02-13T00:25:35.212Z,,55,,,,35.3,
2018-02-13T00:25:45.212Z,,55,,,,35.3,
2018-02-13T00:25:55.210Z,,55,,,52.6,35.3,
2018-02-13T00:26:05.210Z,,55,,,,35.3,
2018-02-13T00:26:15.210Z,,55,,,,35.2,
2018-02-13T00:26:25.210Z,,55,,,,35.2,
2018-02-13T00:26:35.210Z,,55,,,52.4,35.2,
2018-02-13T00:26:45.210Z,,55,,,,35.1,
2018-02-13T00:26:55.210Z,,55,,,,35.1,
2018-02-13T00:27:05.210Z,,55,,,,35.1,
2018-02-13T00:27:15.210Z,,55,,,52.3,35.1,
2018-02-13T00:27:25.210Z,,55,,,,34.9,
2018-02-13T00:27:35.210Z,,55,,,,34.9,
2018-02-13T00:27:45.211Z,,55,,,,34.9,
2018-02-13T00:27:55.222Z,,55,,,,34.8,
2018-02-13T00:28:05.210Z,,55,,,52.2,34.8,
2018-02-13T00:28:15.210Z,,55,,,,34.8,
2018-02-13T00:28:25.211Z,,55,,,,34.7,
2018-02-13T00:28:35.211Z,,55,,,,34.7,
2018-02-13T00:28:45.212Z,,55,,,,34.7,
2018-02-13T00:28:55.211Z,,55,,,52.1,34.7,
2018-02-13T00:29:05.210Z,,55,,,,34.6,
2018-02-13T00:29:15.210Z,,55,,,,34.6,
2018-02-13T00:29:25.210Z,,55,,,,34.6,
2018-02-13T00:29:35.211Z,,55,,,,34.4,
2018-02-13T00:29:45.211Z,,55,,,52,34.4,
2018-02-13T00:29:55.211Z,,55,,,,34.4,
2018-02-13T00:30:05.210Z,,55,,,,34.4,
2018-02-13T00:30:15.211Z,,55,,,,34.3,
2018-02-13T00:30:26.206Z,,55,,,52,34.3,
2018-02-13T00:30:35.211Z,,55,,,51.9,34.3,
2018-02-13T00:30:45.211Z,,55,,,,34.3,
2018-02-13T00:30:55.211Z,,55,,,,34.2,
2018-02-13T00:31:05.211Z,,55,,,,34.2,
2018-02-13T00:31:15.212Z,,55,,,,34.2,
2018-02-13T00:31:25.211Z,,55,,,51.8,34.1,
2018-02-13T00:31:35.211Z,,55,,,,34.1,
2018-02-13T00:31:45.211Z,,55,,,,34.1,
2018-02-13T00:31:55.212Z,,55,,,,34.1,
2018-02-13T00:32:05.211Z,,55,,,51.7,34,
2018-02-13T00:32:15.211Z,,55,,,,34,
2018-02-13T00:32:25.211Z,,55,,,,34,
2018-02-13T00:32:35.211Z,,55,,,,34,
2018-02-13T00:32:45.211Z,,55,,,,33.8,
