Time,ActPow,HwTOutlet,PrimT,ChActive,PrimTSet,HwActive,HwTSet
2018-01-24T14:33:54.867Z,,19.6,,,,,0
2018-01-24T14:34:15.812Z,,33.6,35.3,,,,55
2018-01-24T14:34:25.812Z,,33.6,,,,,55
2018-01-24T14:34:35.818Z,,33.6,,,,,55
2018-01-24T14:34:45.872Z,,33.5,35.2,,,,55
2018-01-24T14:34:55.854Z,,33.5,35.1,,,,55
2018-01-24T14:35:05.866Z,,33.5,34.9,,,,55
2018-01-24T14:35:15.827Z,,33.5,,,,,55
2018-01-24T14:35:25.825Z,,33.5,,,,,55
2018-01-24T14:35:35.821Z,,33.3,34.8,,,,55
2018-01-24T14:35:45.812Z,,33.3,,,,,55
2018-01-24T14:35:55.834Z,,33.3,34.7,,,,55
2018-01-24T14:41:43.864Z,,33,34.4,,,,55
2018-01-24T14:41:53.877Z,,32.5,39.5,,,,55
2018-01-24T14:42:03.988Z,,32.5,39.7,,,,55
2018-01-24T14:42:13.828Z,,32.5,40,,,,55
2018-01-24T14:42:23.818Z,,32.3,,,,,55
2018-01-24T14:42:33.828Z,,32.3,40.2,,,,55
2018-01-24T14:42:44.090Z,,32.3,40.3,,,,55
2018-01-24T14:42:55.401Z,,32.3,40.5,,,,55
2018-01-24T14:43:06.335Z,,32.3,40.6,,,,55
2018-01-24T14:43:16.244Z,,32.3,40.7,,,,55
2018-01-24T14:43:24.333Z,,32.3,40.9,,,,55
2018-01-24T14:43:33.853Z,,32.3,41,,,,55
2018-01-24T14:43:43.817Z,,32.3,41.1,,,,55
2018-01-24T14:43:53.825Z,,32.3,41.4,,,,55
2018-01-24T14:44:03.813Z,,32.3,41.5,,,,55
2018-01-24T14:44:13.812Z,,32.5,41.6,,,,55
2018-01-24T14:44:23.812Z,,32.5,41.7,,,,55
2018-01-24T14:44:33.813Z,,32.5,41.8,,,,55
2018-01-24T14:44:43.813Z,,32.5,42,,,,55
2018-01-24T14:44:53.858Z,,32.5,42.2,,,,55
2018-01-24T14:45:03.900Z,,32.5,42.3,,,,55
2018-01-24T14:45:14.772Z,,32.6,42.4,,,,55
2018-01-24T14:45:25.002Z,,32.6,42.5,,,,55
2018-01-24T14:45:35.692Z,,32.7,42.7,,,,55
2018-01-24T14:45:46.848Z,,32.7,42.8,,,,55
2018-01-24T14:45:56.203Z,,32.7,43,,,,55
2018-01-24T14:46:04.133Z,,32.8,43.1,,,,55
2018-01-24T14:46:13.861Z,,32.8,43.2,,,,55
2018-01-24T14:46:23.813Z,,33,43.4,,,,55
2018-01-24T14:46:33.811Z,,33,43.5,,,,55
2018-01-24T14:46:43.835Z,,33.1,43.6,,,,55
2018-01-24T14:46:53.814Z,,33.1,43.7,,,,55
2018-01-24T14:47:03.837Z,0,33.1,44.1,1,,0,55
2018-01-24T14:47:13.832Z,,33.2,41.8,,,,55
2018-01-24T14:47:23.816Z,,33.3,40.7,,,,55
2018-01-24T14:47:33.811Z,,33.3,39.8,,,,55
2018-01-24T14:47:43.813Z,,33.5,39.7,,,,55
2018-01-24T14:47:53.814Z,,33.5,40,,,,55
2018-01-24T14:50:22.883Z,,34.1,39.5,,,,55
2018-01-24T14:51:32.814Z,,34.2,39.3,,,,55
2018-01-24T14:51:44.504Z,,34.2,39.4,,,,55
2018-01-24T14:51:54.737Z,,34.2,39.5,,,,55
2018-01-24T14:52:05.932Z,,34.2,39.6,,,,55
2018-01-24T14:52:13.782Z,,34.2,39.8,,,,55
2018-01-24T14:52:22.825Z,,34.2,39.9,,,,55
2018-01-24T14:52:32.839Z,,34.2,,,,,55
2018-01-24T14:52:42.813Z,,34.2,40,,,,55
2018-01-24T14:52:52.811Z,,34.2,,,,,55
2018-01-24T14:53:02.812Z,,34.2,40.1,,,,55
2018-01-24T14:53:12.873Z,,34.1,,,,,55
2018-01-24T14:53:22.847Z,,34.1,40.2,,,,55
2018-01-24T14:53:32.856Z,,34.1,,,,,55
2018-01-24T14:53:42.890Z,,34.1,40.3,,,,55
2018-01-24T14:53:52.814Z,,34.1,,,,,55
2018-01-24T14:54:02.811Z,,34.1,,,,,55
2018-01-24T14:54:12.817Z,,34.1,40.5,,,,55
2018-01-24T14:54:22.811Z,,34.1,,,,,55
2018-01-24T14:54:32.810Z,,34.1,40.6,,,,55
