Time,ChActive,HwTSet,ActPow,HwTOutlet,PrimT,HwActive,PrimTSet
2018-01-25T00:00:02.783Z,,55,,33.2,40,,
2018-01-25T00:00:12.778Z,,55,,33.2,40.3,,
2018-01-25T00:00:22.779Z,,55,,33.3,40.9,,
2018-01-25T00:00:32.779Z,,55,,33.3,40.8,,
2018-01-25T00:00:42.779Z,,55,,33.5,40.6,,
2018-01-25T00:00:52.781Z,,55,,33.6,40.3,,
2018-01-25T00:01:02.778Z,,55,,33.6,40.2,,
2018-01-25T00:01:12.784Z,,55,,33.6,40.1,,
2018-01-25T00:01:22.779Z,,55,,33.7,39.9,,
2018-01-25T00:01:32.778Z,,55,,33.7,,,
2018-01-25T00:01:42.779Z,,55,,33.7,39.8,,
2018-01-25T00:01:52.783Z,,55,,33.8,39.6,,
2018-01-25T00:02:02.779Z,,55,,33.8,39.5,,
2018-01-25T00:02:12.782Z,,55,,33.8,,,
2018-01-25T00:02:22.779Z,,55,,33.8,39.4,,
2018-01-25T00:02:32.783Z,,55,,33.8,39.3,,
2018-01-25T00:02:42.778Z,,55,,34,39.1,,
2018-01-25T00:02:52.779Z,,55,,34,39,,
2018-01-25T00:03:02.780Z,,55,,34,,,
2018-01-25T00:03:12.778Z,,55,,34,38.9,,
2018-01-25T00:03:22.781Z,,55,,34,39,,
2018-01-25T00:03:32.778Z,,55,,34,,,
2018-01-25T00:03:42.778Z,,55,,34,39.1,,
2018-01-25T00:03:52.778Z,,55,,34,39.3,,
2018-01-25T00:04:02.779Z,,55,,34,39.4,,
2018-01-25T00:04:12.779Z,,55,,34,39.5,,
2018-01-25T00:04:22.781Z,,55,,34,39.6,,
2018-01-25T00:04:32.779Z,,55,,34,39.8,,
2018-01-25T00:04:42.778Z,,55,,34,,,
2018-01-25T00:04:52.778Z,,55,,34,40,,
2018-01-25T00:05:02.783Z,,55,,34,,,
2018-01-25T00:05:12.778Z,,55,,33.8,,,
2018-01-25T00:05:22.778Z,,55,,33.8,40.1,,
2018-01-25T00:05:38.151Z,,55,,33.8,,,
2018-01-25T00:05:42.778Z,,55,,33.8,40.2,,
2018-01-25T00:05:52.780Z,,55,,33.8,,,
2018-01-25T00:06:02.780Z,,55,,33.8,40.3,,
2018-01-25T00:06:12.778Z,,55,,33.8,,,
2018-01-25T00:06:22.780Z,,55,,33.8,,,
2018-01-25T00:06:32.785Z,,55,,33.8,40.5,,
2018-01-25T00:06:42.781Z,,55,,33.7,,,
2018-01-25T00:06:52.779Z,,55,,33.7,,,
2018-01-25T00:07:02.786Z,,55,,33.7,40.6,,
2018-01-25T00:07:12.784Z,,55,,33.7,,,
2018-01-25T00:07:22.785Z,,55,,33.7,,,
2018-01-25T00:07:32.778Z,,55,,33.7,40.7,,
2018-01-25T00:07:42.778Z,,55,,33.7,,,
2018-01-25T00:07:52.778Z,,55,,33.7,,,
2018-01-25T00:08:02.778Z,,55,,33.6,,,
2018-01-25T00:08:12.785Z,,55,,33.6,40.8,,
2018-01-25T00:08:22.780Z,,55,,33.6,,,
2018-01-25T00:08:32.800Z,,55,,33.6,,,
2018-01-25T00:08:42.780Z,,55,,33.5,,,
2018-01-25T00:08:52.780Z,,55,,33.5,,,
2018-01-25T00:09:02.782Z,,55,,33.5,,,
2018-01-25T00:09:17.800Z,,55,,33.5,40.9,,
2018-01-25T00:09:22.778Z,,55,,33.5,38.9,,
2018-01-25T00:09:32.778Z,,55,,33.5,37.9,,
2018-01-25T00:09:42.982Z,,55,,33.5,35.9,,
2018-01-25T00:09:52.778Z,,55,,33.3,35.6,,
2018-01-25T00:10:02.778Z,,55,,33.3,35.1,,
2018-01-25T00:10:12.777Z,,55,,33.3,,,
2018-01-25T00:10:22.778Z,,55,,33.3,35.2,,
2018-01-25T00:10:32.778Z,,55,,33.3,,,
2018-01-25T00:10:42.778Z,,55,,33.3,,,
2018-01-25T00:10:52.780Z,,55,,33.2,34.9,,
2018-01-25T00:11:02.777Z,,55,,33.2,,,
2018-01-25T00:11:12.778Z,,55,,33.2,,,
2018-01-25T00:11:22.782Z,,55,,33.2,34.8,,
2018-01-25T00:11:32.780Z,,55,,33.2,,,
2018-01-25T00:11:42.779Z,,55,,33.2,34.7,,
2018-01-25T00:11:52.778Z,,55,,33.1,,,
2018-01-25T00:12:02.783Z,,55,,33.1,34.6,,
2018-01-25T00:12:12.782Z,,55,,33.1,,,
2018-01-25T00:12:22.777Z,,55,,33.1,34.4,,
2018-01-25T00:12:32.777Z,,55,,33.1,,,
2018-01-25T00:12:42.778Z,,55,,33,34.3,,
2018-01-25T00:12:52.777Z,,55,,33,,,
2018-01-25T00:13:02.778Z,,55,,33,34.2,,
2018-01-25T00:13:12.777Z,,55,,33,,,
2018-01-25T00:13:22.777Z,,55,,33,34.1,,
2018-01-25T00:13:32.778Z,,55,,32.8,,,
2018-01-25T00:13:42.777Z,,55,,32.8,34,,
2018-01-25T00:13:52.778Z,,55,,32.8,,,
2018-01-25T00:14:02.777Z,1,55,79,32.8,38.5,0,
2018-01-25T00:14:12.777Z,,55,54,32.8,43,,
2018-01-25T00:14:22.777Z,,55,37,32.7,43.8,,
2018-01-25T00:14:32.777Z,,55,29,32.7,41.9,,
2018-01-25T00:14:43.133Z,,55,,32.7,40.8,,
2018-01-25T00:14:52.778Z,,55,,32.7,39.9,,
2018-01-25T00:15:02.778Z,,55,,32.7,38.9,,
2018-01-25T00:15:12.777Z,,55,,32.6,38.9,,
2018-01-25T00:15:22.793Z,,55,,32.6,39.1,,
2018-01-25T00:15:32.790Z,,55,,32.6,39.3,,
2018-01-25T00:15:42.784Z,,55,,32.6,39.4,,
2018-01-25T00:15:52.778Z,,55,,32.6,39.5,,
2018-01-25T00:16:02.778Z,,55,,32.5,39.7,,
2018-01-25T00:16:12.777Z,,55,,32.5,40,,
2018-01-25T00:16:22.779Z,,55,,32.5,,,
2018-01-25T00:16:32.778Z,,55,,32.5,40.1,,
2018-01-25T00:16:42.777Z,,55,,32.5,40.3,,
2018-01-25T00:16:52.782Z,,55,,32.5,40.6,,
2018-01-25T00:17:02.777Z,,55,,32.5,40.7,,
2018-01-25T00:17:12.779Z,,55,,32.5,40.8,,
2018-01-25T00:17:22.777Z,,55,,32.5,41,,
2018-01-25T00:17:32.777Z,,55,,32.3,41.1,,
2018-01-25T00:17:42.778Z,,55,,32.5,41.2,,
2018-01-25T00:17:52.777Z,,55,,32.5,41.4,,
2018-01-25T00:18:02.777Z,,55,,32.5,41.5,,
2018-01-25T00:18:12.777Z,,55,,32.5,41.7,,
2018-01-25T00:18:22.777Z,,55,,32.5,41.8,,
2018-01-25T00:18:32.777Z,,55,,32.5,42,,
2018-01-25T00:18:42.776Z,,55,,32.5,42.2,,
2018-01-25T00:18:52.777Z,,55,,32.5,42.3,,
2018-01-25T00:19:03.129Z,,55,,32.6,42.4,,
2018-01-25T00:19:12.777Z,,55,,32.6,42.5,,
2018-01-25T00:19:22.776Z,,55,,32.6,42.6,,
2018-01-25T00:19:32.779Z,,55,,32.6,43,,
2018-01-25T00:19:42.778Z,,55,,32.7,,,
2018-01-25T00:19:52.804Z,,55,,32.7,43.1,,
2018-01-25T00:20:02.776Z,,55,,32.8,43.2,,
2018-01-25T00:20:12.777Z,,55,,32.8,43.3,,
2018-01-25T00:20:22.778Z,,55,,32.8,43.5,,
2018-01-25T00:20:32.779Z,,55,,33,43.6,,
2018-01-25T00:20:42.777Z,,55,,33,43.7,,
2018-01-25T00:20:52.780Z,1,55,0,33.1,43.9,0,
2018-01-25T00:21:02.776Z,,55,,33.1,41.7,,
2018-01-25T00:21:12.777Z,,55,,33.2,40.7,,
2018-01-25T00:21:22.778Z,,55,,33.2,39.7,,
2018-01-25T00:21:32.776Z,,55,,33.3,39.6,,
2018-01-25T00:21:42.781Z,,55,,33.3,40,,
2018-01-25T00:21:52.783Z,,55,,33.5,40.3,,
2018-01-25T00:22:02.776Z,,55,,33.5,40.9,,
2018-01-25T00:22:12.776Z,,55,,33.6,40.7,,
2018-01-25T00:22:22.776Z,,55,,33.6,40.6,,
2018-01-25T00:22:32.776Z,,55,,33.7,40.3,,
2018-01-25T00:22:42.777Z,,55,,33.7,40.2,,
2018-01-25T00:22:52.868Z,,55,,33.8,40,,
2018-01-25T00:23:02.776Z,,55,,33.8,39.9,,
2018-01-25T00:23:12.776Z,,55,,33.8,39.8,,
2018-01-25T00:23:22.776Z,,55,,34,,,
2018-01-25T00:23:32.776Z,,55,,34,39.6,,
2018-01-25T00:23:47.796Z,,55,,34,39.5,,
2018-01-25T00:23:52.776Z,,55,,34,39.4,,
2018-01-25T00:24:02.778Z,,55,,34,39.3,,
2018-01-25T00:24:12.776Z,,55,,34.1,,,
2018-01-25T00:24:22.776Z,,55,,34.1,39.1,,
2018-01-25T00:24:32.777Z,,55,,34.1,38.9,,
2018-01-25T00:24:42.776Z,,55,,34.1,,,
2018-01-25T00:24:52.777Z,,55,,34.1,38.8,,
2018-01-25T00:25:02.776Z,,55,,34.1,,,
2018-01-25T00:25:12.776Z,,55,,34.1,39,,
2018-01-25T00:25:22.776Z,,55,,34.1,39.1,,
2018-01-25T00:25:32.806Z,,55,,34.1,39.3,,
2018-01-25T00:25:42.776Z,,55,,34.1,39.4,,
2018-01-25T00:25:52.776Z,,55,,34.1,39.5,,
2018-01-25T00:26:02.775Z,,55,,34.1,39.6,,
2018-01-25T00:26:12.777Z,,55,,34,,,
2018-01-25T00:26:22.776Z,,55,,34.1,39.8,,
2018-01-25T00:26:32.779Z,,55,,34,39.9,,
2018-01-25T00:26:42.781Z,,55,,34,40,,
2018-01-25T00:26:52.776Z,,55,,34,,,
2018-01-25T00:27:02.782Z,,55,,34,,,
2018-01-25T00:27:12.777Z,,55,,34,40.1,,
2018-01-25T00:27:22.778Z,,55,,34,,,
2018-01-25T00:27:32.776Z,,55,,34,40.2,,
2018-01-25T00:27:42.777Z,,55,,34,,,
2018-01-25T00:27:52.776Z,,55,,34,40.3,,
2018-01-25T00:28:02.775Z,,55,,33.8,,,
2018-01-25T00:28:12.775Z,,55,,33.8,,,
2018-01-25T00:28:22.776Z,,55,,33.8,40.5,,
2018-01-25T00:28:32.775Z,,55,,33.8,,,
2018-01-25T00:28:42.779Z,,55,,33.8,,,
2018-01-25T00:28:52.776Z,,55,,33.8,40.6,,
2018-01-25T00:29:02.776Z,,55,,33.8,,,
2018-01-25T00:29:13.118Z,,55,,33.8,,,
2018-01-25T00:29:22.778Z,,55,,33.7,40.7,,
2018-01-25T00:29:32.775Z,,55,,33.7,,,
2018-01-25T00:29:42.778Z,,55,,33.7,,,
2018-01-25T00:29:52.777Z,,55,,33.7,,,
2018-01-25T00:30:02.776Z,,55,,33.7,,,
2018-01-25T00:30:12.776Z,,55,,33.6,40.8,,
2018-01-25T00:30:22.776Z,,55,,33.6,,,
2018-01-25T00:30:32.775Z,,55,,33.6,,,
2018-01-25T00:30:42.775Z,,55,,33.6,,,
2018-01-25T00:30:52.778Z,,55,,33.6,,,
2018-01-25T00:31:02.776Z,,55,,33.6,38.9,,
2018-01-25T00:31:12.777Z,,55,,33.5,37.8,,
2018-01-25T00:31:22.778Z,,55,,33.5,35.9,,
2018-01-25T00:31:32.777Z,,55,,33.5,35.4,,
2018-01-25T00:31:43.070Z,,55,,33.5,34.9,,
2018-01-25T00:31:52.781Z,,55,,33.5,35.1,,
2018-01-25T00:32:02.782Z,,55,,33.5,35.2,,
2018-01-25T00:32:12.776Z,,55,,33.3,,,
2018-01-25T00:32:22.775Z,,55,,33.3,35.1,,
2018-01-25T00:32:32.775Z,,55,,33.3,34.9,,
2018-01-25T00:32:42.776Z,,55,,33.3,,,
2018-01-25T00:32:52.775Z,,55,,33.3,34.8,,
2018-01-25T00:33:02.775Z,,55,,33.3,,,
2018-01-25T00:33:12.775Z,,55,,33.2,,,
2018-01-25T00:33:22.775Z,,55,,33.2,34.7,,
2018-01-25T00:33:32.775Z,,55,,33.2,34.6,,
2018-01-25T00:33:42.775Z,,55,,33.2,,,
2018-01-25T00:33:52.775Z,,55,,33.2,34.4,,
2018-01-25T00:34:03.128Z,,55,,33.1,,,
2018-01-25T00:34:12.775Z,,55,,33.1,34.3,,
2018-01-25T00:34:22.775Z,,55,,33.1,,,
2018-01-25T00:34:32.778Z,,55,,33.1,34.2,,
2018-01-25T00:34:42.775Z,,55,,33,,,
2018-01-25T00:34:52.775Z,,55,,33,,,
2018-01-25T00:35:02.776Z,,55,,33,34.1,,
2018-01-25T00:35:12.783Z,,55,,33,,,
2018-01-25T00:35:22.775Z,,55,,33,34,,
2018-01-25T00:35:32.775Z,1,55,,32.8,34.1,0,
2018-01-25T00:35:42.779Z,,55,74,32.8,41.4,,
2018-01-25T00:35:52.778Z,,55,48,32.8,43.5,,
2018-01-25T00:36:02.775Z,1,55,0,32.8,41.6,0,
2018-01-25T00:36:12.777Z,,55,,32.8,38.8,,
2018-01-25T00:36:22.780Z,,55,,32.7,36.9,,
2018-01-25T00:36:32.774Z,,55,,32.7,35.9,,
2018-01-25T00:36:42.781Z,,55,,32.7,35.6,,
2018-01-25T00:36:52.776Z,,55,,32.7,35.4,,
2018-01-25T00:37:02.775Z,,55,,32.7,35.3,,
