Time,HwTOutlet,PrimTSet,PrimT,HwTSet,ActPow,ChActive,HwActive
2018-01-27T00:00:02.749Z,33.1,,,55,,,
2018-01-27T00:00:12.559Z,33.1,,,55,,,
2018-01-27T00:00:22.637Z,33.1,,39.5,55,,,
2018-01-27T00:00:32.555Z,33.1,,,55,,,
2018-01-27T00:00:42.590Z,33.1,,39.6,55,,,
2018-01-27T00:00:52.557Z,33.1,,,55,,,
2018-01-27T00:01:02.554Z,33.1,,39.8,55,,,
2018-01-27T00:01:12.554Z,33,,,55,,,
2018-01-27T00:01:22.704Z,33,,39.9,55,,,
2018-01-27T00:01:32.554Z,33,,,55,,,
2018-01-27T00:01:42.557Z,33,,40,55,,,
2018-01-27T00:01:52.906Z,33,,,55,,,
2018-01-27T00:02:02.554Z,33,,,55,,,
2018-01-27T00:02:12.555Z,33,,,55,,,
2018-01-27T00:02:22.681Z,33,,40.1,55,,,
2018-01-27T00:02:32.554Z,32.8,,,55,,,
2018-01-27T00:02:52.569Z,32.8,,40.2,55,,,
2018-01-27T00:03:02.554Z,32.8,,,55,,,
2018-01-27T00:03:12.554Z,32.8,,,55,,,
2018-01-27T00:03:22.633Z,32.7,,,55,,,
2018-01-27T00:03:32.553Z,32.7,,40.3,55,,,
2018-01-27T00:03:42.577Z,32.7,,,55,,,
2018-01-27T00:03:52.553Z,32.7,,,55,,,
2018-01-27T00:04:02.553Z,32.7,,,55,,,
2018-01-27T00:04:12.577Z,32.7,,,55,,,
2018-01-27T00:04:22.663Z,32.6,,,55,,,
2018-01-27T00:04:32.559Z,32.6,,40.5,55,,,
2018-01-27T00:04:42.583Z,32.6,,38.8,55,,,
2018-01-27T00:04:52.553Z,32.6,,36.9,55,,,
2018-01-27T00:05:02.558Z,32.6,,35.9,55,,,
2018-01-27T00:05:12.556Z,32.6,,34.9,55,,,
2018-01-27T00:05:22.634Z,32.5,,34.7,55,,,
2018-01-27T00:05:32.563Z,32.5,,34.6,55,,,
2018-01-27T00:05:42.557Z,32.5,,34.7,55,,,
2018-01-27T00:05:52.553Z,32.5,,,55,,,
2018-01-27T00:06:02.562Z,32.5,,,55,,,
2018-01-27T00:06:12.579Z,32.3,,34.6,55,,,
2018-01-27T00:06:22.713Z,32.3,,34.4,55,,,
2018-01-27T00:06:32.554Z,32.3,,,55,,,
2018-01-27T00:06:42.583Z,32.3,,34.3,55,,,
2018-01-27T00:06:52.604Z,32.3,,,55,,,
2018-01-27T00:07:02.553Z,32.2,,34.2,55,,,
2018-01-27T00:07:12.574Z,32.2,,,55,,,
2018-01-27T00:07:22.680Z,32.2,,34.1,55,,,
2018-01-27T00:07:32.554Z,32.2,,34,55,,,
2018-01-27T00:07:42.553Z,32.2,,,55,,,
2018-01-27T00:07:52.578Z,32.1,,36,55,79,1,0
2018-01-27T00:08:02.562Z,32.1,,42.4,55,64,,
2018-01-27T00:08:12.613Z,32.1,,44.4,55,0,1,0
