Time,PrimTSet,ActPow,HwTOutlet,HwActive,HwTSet,PrimT,ChActive
2018-01-28T00:00:12.451Z,,,34,,55,38.3,
2018-01-28T00:00:22.535Z,,,34,,55,,
2018-01-28T00:00:42.447Z,,,34,,55,,
2018-01-28T00:00:52.445Z,,,34,,55,,
2018-01-28T00:01:12.509Z,,,34,,55,38.4,
2018-01-28T00:01:22.586Z,,,34,,55,,
2018-01-28T00:01:42.443Z,,,34,,55,,
2018-01-28T00:01:52.446Z,,,34,,55,,
2018-01-28T00:02:12.444Z,,,33.8,,55,,
2018-01-28T00:02:22.534Z,,,33.8,,55,,
2018-01-28T00:02:42.444Z,,,33.8,,55,,
2018-01-28T00:02:52.444Z,,,33.8,,55,38.5,
2018-01-28T00:03:12.444Z,,,33.8,,55,,
2018-01-28T00:03:22.524Z,,,,,,38.4,
2018-01-28T00:03:32.444Z,,,33.8,,55,36.9,
2018-01-28T00:03:42.450Z,,,33.8,,55,35.7,
2018-01-28T00:03:52.471Z,,,33.8,,55,34.6,
2018-01-28T00:04:02.477Z,,,33.7,,55,34.1,
2018-01-28T00:04:12.444Z,,,33.7,,55,,
2018-01-28T00:04:22.604Z,,,,,,34.2,
2018-01-28T00:04:32.445Z,,,33.7,,55,,
2018-01-28T00:04:42.444Z,,,33.7,,55,34.3,
2018-01-28T00:04:52.446Z,,,33.7,,55,34.1,
2018-01-28T00:05:12.444Z,,,33.6,,55,34,
2018-01-28T00:05:22.534Z,,,33.6,,55,,
2018-01-28T00:05:42.444Z,,80,33.6,0,55,37.6,2
2018-01-28T00:05:52.460Z,,56,33.6,,55,43.1,
2018-01-28T00:06:02.444Z,,0,33.6,0,55,43.4,2
2018-01-28T00:06:12.457Z,,,33.6,,55,40,
2018-01-28T00:06:22.526Z,,,33.6,,55,37.4,
2018-01-28T00:06:32.443Z,,,33.5,,55,36,
2018-01-28T00:06:42.444Z,,,33.5,,55,35.4,
2018-01-28T00:06:52.493Z,,,33.5,,55,35.3,
2018-01-28T00:07:02.448Z,,,33.5,,55,35.1,
2018-01-28T00:07:12.444Z,,,,,,34.9,
2018-01-28T00:07:22.574Z,,,33.5,,55,34.8,
2018-01-28T00:07:32.445Z,,,33.3,,55,34.7,
2018-01-28T00:07:42.451Z,,,,,,34.6,
2018-01-28T00:07:52.443Z,,,33.3,,55,,
2018-01-28T00:08:02.445Z,,,33.3,,55,34.4,
2018-01-28T00:08:12.445Z,,,33.3,,55,,
2018-01-28T00:08:22.523Z,,,,,,34.3,
2018-01-28T00:08:32.449Z,,,33.3,,55,34.2,
2018-01-28T00:08:42.443Z,,,33.2,,55,,
2018-01-28T00:08:52.743Z,,,33.2,,55,,
2018-01-28T00:09:02.443Z,,,,,,34.1,
