Time,HwActive,ChActive,PrimT,HwTOutlet,PrimTSet,ActPow,HwTSet
2018-02-03T00:00:01.810Z,,,39.4,33.1,,,55
2018-02-03T00:00:11.809Z,,,39.3,33.2,,,55
2018-02-03T00:00:21.809Z,,,,33.2,,,55
2018-02-03T00:00:31.808Z,,,39.1,33.2,,,55
2018-02-03T00:00:41.811Z,,,39,33.2,,,55
2018-02-03T00:00:51.808Z,,,38.9,33.2,,,55
2018-02-03T00:01:01.809Z,,,,33.2,,,55
2018-02-03T00:01:11.809Z,,,38.8,33.2,,,55
2018-02-03T00:01:21.811Z,,,38.6,33.2,,,55
2018-02-03T00:01:31.810Z,,,38.8,33.2,,,55
2018-02-03T00:01:41.808Z,,,39,33.2,,,55
2018-02-03T00:01:51.808Z,,,,33.2,,,55
2018-02-03T00:02:01.808Z,,,39.1,33.2,,,55
2018-02-03T00:02:11.809Z,,,39.3,33.2,,,55
2018-02-03T00:02:21.809Z,,,39.4,33.2,,,55
2018-02-03T00:02:31.809Z,,,39.5,33.2,,,55
2018-02-03T00:02:41.809Z,,,,33.2,,,55
2018-02-03T00:02:51.809Z,,,39.6,33.2,,,55
2018-02-03T00:03:01.809Z,,,39.8,33.2,,,55
2018-02-03T00:03:11.808Z,,,,33.2,,,55
2018-02-03T00:03:21.808Z,,,39.9,33.2,,,55
2018-02-03T00:03:31.810Z,,,40,33.2,,,55
2018-02-03T00:03:41.810Z,,,,33.2,,,55
2018-02-03T00:03:51.808Z,,,,33.1,,,55
2018-02-03T00:04:01.808Z,,,40.1,33.1,,,55
2018-02-03T00:04:11.808Z,,,,33.1,,,55
2018-02-03T00:04:21.809Z,,,,33.1,,,55
2018-02-03T00:04:31.808Z,,,40.2,33.1,,,55
2018-02-03T00:04:41.810Z,,,,33.1,,,55
2018-02-03T00:04:51.812Z,,,40.3,33.1,,,55
2018-02-03T00:05:01.808Z,,,,33,,,55
2018-02-03T00:05:11.808Z,,,,33,,,55
2018-02-03T00:05:21.809Z,,,,33,,,55
2018-02-03T00:05:31.808Z,,,40.5,33,,,55
2018-02-03T00:05:41.813Z,,,,33,,,55
2018-02-03T00:05:51.808Z,,,,33,,,55
2018-02-03T00:06:01.808Z,,,,33,,,55
2018-02-03T00:06:11.808Z,,,40.6,32.8,,,55
2018-02-03T00:06:21.808Z,,,,32.8,,,55
2018-02-03T00:06:31.808Z,,,,32.8,,,55
2018-02-03T00:06:41.809Z,,,,32.8,,,55
2018-02-03T00:06:51.808Z,,,40.7,32.8,,,55
2018-02-03T00:07:01.809Z,,,,32.7,,,55
2018-02-03T00:07:11.808Z,,,,32.7,,,55
2018-02-03T00:07:21.808Z,,,,32.7,,,55
2018-02-03T00:07:31.808Z,,,38.8,32.7,,,55
2018-02-03T00:07:41.808Z,,,36.9,32.7,,,55
2018-02-03T00:07:51.809Z,,,35.9,32.7,,,55
2018-02-03T00:08:01.809Z,,,35.1,32.6,,,55
2018-02-03T00:08:11.808Z,,,34.9,32.6,,,55
2018-02-03T00:08:21.808Z,,,35.1,32.6,,,55
2018-02-03T00:08:31.811Z,,,,32.6,,,55
2018-02-03T00:08:41.808Z,,,,32.6,,,55
2018-02-03T00:08:51.808Z,,,34.9,32.5,,,55
2018-02-03T00:09:01.810Z,,,34.8,32.5,,,55
2018-02-03T00:09:11.808Z,,,,32.5,,,55
2018-02-03T00:09:21.808Z,,,34.7,32.5,,,55
2018-02-03T00:09:31.808Z,,,,32.5,,,55
2018-02-03T00:09:41.810Z,,,,32.3,,,55
2018-02-03T00:09:51.809Z,,,34.6,32.3,,,55
2018-02-03T00:10:01.808Z,,,34.4,32.3,,,55
2018-02-03T00:10:11.813Z,,,,32.3,,,55
2018-02-03T00:10:21.812Z,,,34.3,32.3,,,55
2018-02-03T00:10:31.808Z,,,,32.2,,,55
2018-02-03T00:10:41.818Z,,,34.2,32.2,,,55
2018-02-03T00:10:51.809Z,,,,32.2,,,55
2018-02-03T00:11:01.808Z,,,34.1,32.2,,,55
2018-02-03T00:11:11.809Z,,,,32.2,,,55
2018-02-03T00:11:21.864Z,,,34,32.1,,,55
2018-02-03T00:11:31.810Z,,,,32.1,,,55
2018-02-03T00:11:41.807Z,0,2,35.2,32.1,,79,55
2018-02-03T00:11:51.810Z,,,41.2,32.1,,76,55
2018-02-03T00:12:01.808Z,0,2,44.1,32,,0,55
2018-02-03T00:12:11.807Z,,,41.7,32,,,55
2018-02-03T00:12:21.807Z,,,38.9,32,,,55
2018-02-03T00:12:31.807Z,,,36.7,32,,,55
2018-02-03T00:12:41.807Z,,,35.8,32,,,55
2018-02-03T00:12:51.809Z,,,35.6,31.9,,,55
2018-02-03T00:13:01.807Z,,,35.4,31.9,,,55
2018-02-03T00:13:11.807Z,,,,31.9,,,55
2018-02-03T00:13:21.808Z,,,35.2,31.9,,,55
2018-02-03T00:13:31.807Z,,,34.9,31.9,,,55
2018-02-03T00:13:41.808Z,,,34.7,31.7,,,55
2018-02-03T00:13:51.808Z,,,34.6,31.7,,,55
2018-02-03T00:14:01.808Z,,,,31.7,,,55
2018-02-03T00:14:11.808Z,,,34.4,31.7,,,55
2018-02-03T00:14:21.811Z,,,34.3,31.7,,,55
2018-02-03T00:14:31.810Z,,,,31.6,,,55
2018-02-03T00:14:41.809Z,,,34.2,31.6,,,55
2018-02-03T00:14:51.808Z,,,34.1,31.6,,,55
2018-02-03T00:15:01.813Z,,,,31.6,,,55
2018-02-03T00:15:11.807Z,,,34,31.6,,,55
2018-02-03T00:15:21.808Z,,,33.8,31.5,,,55
2018-02-03T00:15:31.816Z,,,,31.5,,,55
2018-02-03T00:15:41.807Z,,,,31.5,,,55
2018-02-03T00:15:51.811Z,,,33.7,31.5,,,55
2018-02-03T00:16:01.807Z,,,33.6,31.5,,,55
2018-02-03T00:16:11.807Z,,,,31.5,,,55
2018-02-03T00:16:21.809Z,,,33.5,31.4,,,55
2018-02-03T00:16:31.809Z,,,,31.4,,,55
2018-02-03T00:16:41.808Z,0,2,34.5,31.4,,79,55
2018-02-03T00:16:51.808Z,,,41.3,31.4,,67,55
2018-02-03T00:17:01.807Z,,,43.3,31.4,,42,55
2018-02-03T00:17:11.807Z,,,42.6,31.2,,29,55
2018-02-03T00:17:21.938Z,,,40.9,31.2,,,55
2018-02-03T00:17:31.815Z,,,39.8,31.2,,,55
2018-02-03T00:17:41.810Z,,,38.9,31.2,,,55
2018-02-03T00:17:51.807Z,,,38.7,31.2,,,55
2018-02-03T00:18:01.807Z,,,39,31.2,,,55
2018-02-03T00:18:11.807Z,,,39.1,31.1,,,55
2018-02-03T00:18:21.807Z,,,39.3,31.1,,,55
2018-02-03T00:18:31.807Z,,,39.4,31.1,,,55
2018-02-03T00:18:41.807Z,,,39.5,31.1,,,55
2018-02-03T00:18:51.810Z,,,39.8,31.1,,,55
2018-02-03T00:19:01.807Z,,,40,31.1,,,55
2018-02-03T00:19:11.807Z,,,40.1,31.1,,,55
2018-02-03T00:19:21.811Z,,,,31.1,,,55
2018-02-03T00:19:31.807Z,,,40.3,31.1,,,55
2018-02-03T00:19:41.807Z,,,40.5,31,,,55
2018-02-03T00:19:51.814Z,,,40.6,31,,,55
2018-02-03T00:20:01.807Z,,,40.7,31,,,55
2018-02-03T00:20:11.807Z,,,40.9,31,,,55
2018-02-03T00:20:21.809Z,,,41,31.1,,,55
2018-02-03T00:20:31.807Z,,,41.1,31.1,,,55
2018-02-03T00:20:41.821Z,,,41.4,31.1,,,55
2018-02-03T00:20:51.807Z,,,41.5,31.1,,,55
2018-02-03T00:21:01.808Z,,,41.6,31.1,,,55
2018-02-03T00:21:11.807Z,,,41.7,31.2,,,55
2018-02-03T00:21:21.807Z,,,41.9,31.2,,,55
2018-02-03T00:21:31.807Z,,,42,31.2,,,55
2018-02-03T00:21:41.879Z,,,42.2,31.2,,,55
2018-02-03T00:21:51.806Z,,,42.4,31.4,,,55
2018-02-03T00:22:01.808Z,,,42.5,31.4,,,55
2018-02-03T00:22:11.807Z,,,42.6,31.5,,,55
2018-02-03T00:22:21.807Z,,,42.8,31.5,,,55
2018-02-03T00:22:31.811Z,,,43,31.6,,,55
2018-02-03T00:22:41.807Z,,,43.1,31.6,,,55
2018-02-03T00:22:51.807Z,,,43.2,31.7,,,55
2018-02-03T00:23:01.807Z,,,43.4,31.7,,,55
2018-02-03T00:23:11.807Z,,,43.5,31.9,,,55
2018-02-03T00:23:21.807Z,,,43.6,31.9,,,55
2018-02-03T00:23:31.806Z,,,43.7,32,,,55
2018-02-03T00:23:41.811Z,0,2,44.1,32,,0,55
2018-02-03T00:23:51.807Z,,,41.8,32.1,,,55
2018-02-03T00:24:01.807Z,,,40.6,32.2,,,55
2018-02-03T00:24:11.807Z,,,39.7,32.2,,,55
2018-02-03T00:24:21.807Z,,,39.6,32.3,,,55
2018-02-03T00:24:31.812Z,,,40,32.3,,,55
2018-02-03T00:24:41.813Z,,,40.2,32.5,,,55
2018-02-03T00:24:51.807Z,,,40.7,32.6,,,55
2018-02-03T00:25:01.807Z,,,40.6,32.6,,,55
2018-02-03T00:25:11.815Z,,,40.3,32.7,,,55
2018-02-03T00:25:21.806Z,,,40.2,32.8,,,55
2018-02-03T00:25:31.807Z,,,40,32.8,,,55
2018-02-03T00:25:41.807Z,,,39.9,33,,,55
2018-02-03T00:25:51.808Z,,,39.8,33,,,55
2018-02-03T00:26:01.806Z,,,39.6,33,,,55
2018-02-03T00:26:11.808Z,,,39.5,33.1,,,55
2018-02-03T00:26:21.808Z,,,39.4,33.1,,,55
2018-02-03T00:26:31.809Z,,,,33.1,,,55
2018-02-03T00:26:41.807Z,,,39.3,33.1,,,55
2018-02-03T00:26:51.806Z,,,39.1,33.1,,,55
2018-02-03T00:27:01.809Z,,,39,33.2,,,55
2018-02-03T00:27:11.808Z,,,38.9,33.2,,,55
2018-02-03T00:27:21.806Z,,,,33.2,,,55
2018-02-03T00:27:31.810Z,,,38.8,33.2,,,55
2018-02-03T00:27:41.806Z,,,38.6,33.2,,,55
2018-02-03T00:27:51.807Z,,,,33.2,,,55
2018-02-03T00:28:01.808Z,,,38.8,33.2,,,55
2018-02-03T00:28:11.806Z,,,39,33.2,,,55
2018-02-03T00:28:21.806Z,,,,33.2,,,55
2018-02-03T00:28:31.806Z,,,39.1,33.2,,,55
2018-02-03T00:28:41.806Z,,,39.3,33.2,,,55
2018-02-03T00:28:51.806Z,,,39.4,33.2,,,55
2018-02-03T00:29:01.807Z,,,39.5,33.2,,,55
2018-02-03T00:29:11.806Z,,,39.6,33.2,,,55
2018-02-03T00:29:21.809Z,,,,33.2,,,55
2018-02-03T00:29:31.808Z,,,39.8,33.2,,,55
2018-02-03T00:29:41.806Z,,,,33.2,,,55
2018-02-03T00:29:51.806Z,,,39.9,33.1,,,55
2018-02-03T00:30:01.814Z,,,,33.1,,,55
2018-02-03T00:30:11.808Z,,,40,33.1,,,55
2018-02-03T00:30:21.807Z,,,,33.1,,,55
2018-02-03T00:30:31.806Z,,,40.1,33.1,,,55
2018-02-03T00:30:41.806Z,,,,33.1,,,55
2018-02-03T00:30:51.806Z,,,,33.1,,,55
2018-02-03T00:31:01.806Z,,,40.2,33.1,,,55
2018-02-03T00:31:11.805Z,,,,33,,,55
2018-02-03T00:31:21.806Z,,,,33,,,55
2018-02-03T00:31:31.806Z,,,40.3,33,,,55
2018-02-03T00:31:41.806Z,,,,33,,,55
2018-02-03T00:31:51.806Z,,,,33,,,55
2018-02-03T00:32:01.806Z,,,,33,,,55
2018-02-03T00:32:11.806Z,,,40.5,32.8,,,55
2018-02-03T00:32:21.806Z,,,,32.8,,,55
2018-02-03T00:32:32.003Z,,,,32.8,,,55
2018-02-03T00:32:41.806Z,,,40.6,32.8,,,55
2018-02-03T00:32:51.809Z,,,,32.8,,,55
2018-02-03T00:33:01.806Z,,,,32.8,,,55
2018-02-03T00:33:11.805Z,,,,32.7,,,55
2018-02-03T00:33:21.806Z,,,,32.7,,,55
2018-02-03T00:33:32.009Z,,,,32.7,,,55
2018-02-03T00:33:41.806Z,,,40.7,32.7,,,55
2018-02-03T00:33:51.809Z,,,39.9,32.7,,,55
2018-02-03T00:34:01.807Z,,,37.8,32.7,,,55
2018-02-03T00:34:11.806Z,,,36.7,32.7,,,55
2018-02-03T00:34:21.807Z,,,35.4,32.6,,,55
2018-02-03T00:34:31.806Z,,,34.9,32.6,,,55
2018-02-03T00:34:41.806Z,,,35.1,32.6,,,55
2018-02-03T00:34:51.810Z,,,,32.6,,,55
