Time,HwActive,ActPow,HwTSet,ChActive,PrimT,PrimTSet,HwTOutlet
2018-02-04T00:00:01.719Z,,,55,,,,33.3
2018-02-04T00:00:11.697Z,,,55,,39.5,,33.3
2018-02-04T00:00:21.697Z,,,55,,,,33.3
2018-02-04T00:00:31.697Z,,,55,,39.6,,33.2
2018-02-04T00:00:41.697Z,,,55,,39.8,,33.2
2018-02-04T00:00:51.697Z,,,55,,,,33.2
2018-02-04T00:01:01.697Z,,,55,,,,33.2
2018-02-04T00:01:11.697Z,0,0,55,2,39.9,40,33.2
2018-02-04T00:01:21.698Z,,,55,,39.9,,33.2
2018-02-04T00:01:31.697Z,,,55,,40,,33.2
2018-02-04T00:01:41.697Z,,,55,,,,33.2
2018-02-04T00:01:51.697Z,,,55,,,,33.2
2018-02-04T00:02:01.697Z,,,55,,40.1,,33.1
2018-02-04T00:02:11.697Z,,,55,,,,33.1
2018-02-04T00:02:21.697Z,,,55,,,,33.1
2018-02-04T00:02:31.697Z,,,55,,40.2,,33.1
2018-02-04T00:02:41.699Z,,,55,,,,33.1
2018-02-04T00:02:51.697Z,,,55,,,,33
2018-02-04T00:03:01.697Z,,,55,,,,33
2018-02-04T00:03:11.703Z,,,55,,40.3,,33
2018-02-04T00:03:21.697Z,,,55,,,,33
2018-02-04T00:03:31.699Z,,,55,,,,33
2018-02-04T00:03:41.697Z,,,55,,,,33
2018-02-04T00:03:51.697Z,,,55,,40.5,,33
2018-02-04T00:04:01.697Z,,,55,,,,32.8
2018-02-04T00:04:11.697Z,,,55,,,,32.8
2018-02-04T00:04:21.697Z,,,55,,,,32.8
2018-02-04T00:04:31.697Z,,,55,,,,32.8
2018-02-04T00:04:41.697Z,,,55,,,,32.8
2018-02-04T00:04:51.698Z,,,55,,37.9,,32.7
2018-02-04T00:05:01.702Z,,,55,,36.9,,32.7
2018-02-04T00:05:11.698Z,,,55,,35.9,,32.7
2018-02-04T00:05:21.697Z,,,55,,34.9,,32.7
2018-02-04T00:05:31.697Z,,,55,,34.8,,32.7
2018-02-04T00:05:41.697Z,,,55,,,,32.7
2018-02-04T00:05:52.074Z,,,55,,34.9,,32.6
2018-02-04T00:06:01.697Z,,,55,,,,32.6
2018-02-04T00:06:11.697Z,,,55,,34.8,,32.6
2018-02-04T00:06:21.698Z,,,55,,34.7,,32.6
2018-02-04T00:06:31.697Z,,,55,,,,32.6
2018-02-04T00:06:41.697Z,,,55,,34.6,,32.5
2018-02-04T00:06:51.697Z,,,55,,,,32.5
2018-02-04T00:07:01.697Z,,,55,,,,32.5
2018-02-04T00:07:11.697Z,,,55,,34.4,,32.5
2018-02-04T00:07:21.699Z,,,55,,34.3,,32.5
2018-02-04T00:07:31.698Z,,,55,,,,32.3
2018-02-04T00:07:41.697Z,,,55,,34.2,,32.3
2018-02-04T00:07:51.697Z,,,55,,,,32.3
2018-02-04T00:08:01.701Z,,,55,,34.1,,32.3
2018-02-04T00:08:11.697Z,,,55,,,,32.3
2018-02-04T00:08:21.698Z,,,55,,34,,32.2
2018-02-04T00:08:31.697Z,,,55,,33.8,,32.2
2018-02-04T00:08:41.697Z,0,80,55,2,38.6,,32.2
2018-02-04T00:08:51.697Z,,57,55,,43.1,,32.2
2018-02-04T00:09:01.700Z,0,0,55,2,43.7,,32.1
2018-02-04T00:09:11.697Z,,,55,,39.7,,32.1
2018-02-04T00:09:21.698Z,,,55,,37.8,,32.1
2018-02-04T00:09:31.697Z,,,55,,36.5,,32.1
2018-02-04T00:09:41.696Z,,,55,,35.7,,32
2018-02-04T00:09:51.697Z,,,55,,35.4,,32
2018-02-04T00:10:01.697Z,,,55,,35.2,,32
2018-02-04T00:10:11.697Z,,,55,,35.1,,32
2018-02-04T00:10:21.697Z,,,55,,34.9,,32
2018-02-04T00:10:31.712Z,,,55,,34.7,,32
2018-02-04T00:10:41.697Z,,,55,,34.6,,31.9
2018-02-04T00:10:51.696Z,,,55,,,,31.9
2018-02-04T00:11:01.696Z,,,55,,34.4,,31.9
