Time,HwActive,HwTOutlet,HwTSet,PrimTSet,ChActive,PrimT,ActPow
2018-02-05T00:00:01.613Z,,32.7,55,,,,
2018-02-05T00:00:11.608Z,,32.7,55,,,,
2018-02-05T00:00:21.687Z,,32.7,55,,,40.3,
2018-02-05T00:00:31.586Z,,32.7,55,,,,
2018-02-05T00:00:41.588Z,,32.7,55,,,,
2018-02-05T00:00:51.586Z,,32.7,55,,,,
2018-02-05T00:01:01.583Z,,32.6,55,,,,
2018-02-05T00:01:11.585Z,,32.6,55,,,40.5,
2018-02-05T00:01:21.582Z,,32.6,55,,,38.9,
2018-02-05T00:01:31.587Z,,32.6,55,,,36.9,
2018-02-05T00:01:41.613Z,,32.6,55,,,35.9,
2018-02-05T00:01:51.584Z,,32.5,55,,,34.9,
2018-02-05T00:02:01.586Z,,32.5,55,,,34.7,
2018-02-05T00:02:11.624Z,,32.5,55,,,,
2018-02-05T00:02:21.587Z,,32.5,55,,,34.8,
2018-02-05T00:02:31.587Z,,32.5,55,,,,
2018-02-05T00:02:41.669Z,,32.5,55,,,,
2018-02-05T00:02:51.593Z,,32.3,55,,,34.7,
2018-02-05T00:03:01.584Z,,32.3,55,,,34.6,
2018-02-05T00:03:11.582Z,0,32.3,55,40,2,34.6,0
2018-02-05T00:03:21.583Z,,32.3,55,,,34.4,
2018-02-05T00:03:31.617Z,,32.3,55,,,,
2018-02-05T00:03:41.582Z,,32.2,55,,,34.3,
2018-02-05T00:03:51.596Z,,32.2,55,,,,
2018-02-05T00:04:01.582Z,,32.2,55,,,34.2,
2018-02-05T00:04:11.587Z,,32.2,55,,,34.1,
2018-02-05T00:04:21.589Z,,32.2,55,,,,
2018-02-05T00:04:31.626Z,,32.1,55,,,,
2018-02-05T00:04:41.583Z,,32.1,55,,,34,
2018-02-05T00:04:51.582Z,0,32.1,55,,2,36.1,79
2018-02-05T00:05:01.589Z,,32,55,,,42.2,67
2018-02-05T00:05:11.592Z,0,32,55,,2,44.4,0
2018-02-05T00:05:21.592Z,,32,55,,,40.7,
2018-02-05T00:05:31.589Z,,32,55,,,38.9,
2018-02-05T00:05:41.625Z,,32,55,,,36.8,
2018-02-05T00:05:51.590Z,,32,55,,,35.8,
2018-02-05T00:06:01.590Z,,31.9,55,,,35.4,
2018-02-05T00:06:11.638Z,,31.9,55,,,35.3,
2018-02-05T00:06:21.604Z,,31.9,55,,,35.1,
2018-02-05T00:06:31.601Z,,31.9,55,,,34.9,
2018-02-05T00:06:41.583Z,,31.9,55,,,34.7,
2018-02-05T00:06:51.582Z,,31.7,55,,,,
2018-02-05T00:07:01.582Z,,31.7,55,,,34.6,
2018-02-05T00:07:11.657Z,,31.7,55,,,34.4,
2018-02-05T00:07:21.588Z,,31.7,55,,,34.3,
