Time,ChActive,HwTSet,HwTOutlet,PrimT,ActPow,HwActive,PrimTSet
2018-02-07T00:00:09.349Z,,55,56.1,69.4,,,
2018-02-07T00:00:19.358Z,,55,57,54.9,,,
2018-02-07T00:00:29.375Z,,55,57.5,45.5,,,
2018-02-07T00:00:39.348Z,,55,57.8,41.7,,,
2018-02-07T00:00:49.351Z,,55,58.1,38.8,,,
2018-02-07T00:00:59.349Z,,55,59.2,37.9,,,
2018-02-07T00:01:09.348Z,,55,58.7,37.5,,,
2018-02-07T00:01:19.349Z,,55,58.6,37.8,,,
2018-02-07T00:01:29.350Z,,55,58.4,,,,
2018-02-07T00:01:39.350Z,,55,58.2,37.7,,,
2018-02-07T00:01:49.348Z,,55,58.2,37.4,,,
2018-02-07T00:01:59.600Z,,55,58.3,37.3,,,
2018-02-07T00:02:09.360Z,,55,58.4,37.2,,,
2018-02-07T00:02:19.348Z,,55,58.5,36.9,,,
2018-02-07T00:02:29.348Z,,55,58.6,,,,
2018-02-07T00:02:39.347Z,,55,58.6,36.8,,,
2018-02-07T00:02:49.347Z,,55,58.7,36.7,,,
2018-02-07T00:02:59.348Z,,55,58.7,,,,
2018-02-07T00:03:09.348Z,,55,58.7,36.5,,,
2018-02-07T00:03:19.348Z,,55,58.7,36.4,,,
2018-02-07T00:03:29.348Z,,55,58.6,,,,
2018-02-07T00:03:39.348Z,,55,58.6,,,,
2018-02-07T00:03:49.347Z,,55,58.5,36.3,,,
2018-02-07T00:03:59.347Z,,55,58.5,,,,
2018-02-07T00:04:09.348Z,,55,58.4,,,,
2018-02-07T00:04:19.347Z,,55,58.3,36.4,,,
2018-02-07T00:04:29.347Z,,55,58.2,36.5,,,
2018-02-07T00:04:39.349Z,,55,58.1,36.7,,,
2018-02-07T00:04:49.347Z,,55,58,36.8,,,
2018-02-07T00:04:59.348Z,,55,57.8,37,,,
2018-02-07T00:05:09.348Z,,55,57.7,,,,
2018-02-07T00:05:19.347Z,,55,57.6,37.2,,,
2018-02-07T00:05:29.347Z,,55,57.4,37.3,,,
2018-02-07T00:05:39.348Z,,55,57.3,,,,
2018-02-07T00:05:49.347Z,,55,57.2,37.4,,,
2018-02-07T00:05:59.349Z,,55,57,37.5,,,
2018-02-07T00:06:09.347Z,,55,56.8,,,,
2018-02-07T00:06:19.348Z,,55,56.7,37.7,,,
2018-02-07T00:06:29.349Z,,55,56.6,,,,
2018-02-07T00:06:39.347Z,,55,56.4,37.8,,,
2018-02-07T00:06:49.351Z,,55,56.2,,,,
2018-02-07T00:06:59.353Z,,55,56.1,38,,,
2018-02-07T00:07:09.347Z,,55,55.9,,,,
2018-02-07T00:07:19.348Z,1,55,55.8,38,0,0,40
2018-02-07T00:07:29.348Z,,55,55.7,38.1,,,
2018-02-07T00:07:39.347Z,,55,55.5,,,,
2018-02-07T00:07:49.347Z,,55,55.3,38.3,,,
2018-02-07T00:07:59.347Z,,55,55.2,,,,
2018-02-07T00:08:09.358Z,,55,55,38.4,,,
2018-02-07T00:08:19.347Z,,55,54.9,,,,
2018-02-07T00:08:29.347Z,,55,54.7,38.5,,,
2018-02-07T00:08:39.348Z,,55,54.6,,,,
2018-02-07T00:08:49.347Z,,55,54.4,38.6,,,
2018-02-07T00:08:59.347Z,,55,54.2,,,,
2018-02-07T00:09:09.348Z,,55,54.1,38.8,,,
2018-02-07T00:09:19.347Z,,55,54,,,,
2018-02-07T00:09:29.347Z,,55,53.8,,,,
2018-02-07T00:09:39.347Z,,55,53.7,38.9,,,
2018-02-07T00:09:49.347Z,,55,53.6,,,,
2018-02-07T00:09:59.347Z,,55,53.4,,,,
2018-02-07T00:10:09.347Z,,55,53.2,,,,
2018-02-07T00:10:19.347Z,,55,53.1,35.9,,,
2018-02-07T00:10:29.350Z,,55,52.9,34.9,,,
2018-02-07T00:10:39.348Z,1,55,52.8,33.9,79,0,
2018-02-07T00:10:49.348Z,,55,52.7,40.2,78,,
2018-02-07T00:10:59.349Z,,55,52.6,43,45,,
