Time,HwActive,ChActive,HwTSet,PrimT,ActPow,PrimTSet,HwTOutlet
2018-02-09T00:00:04.107Z,,,55,,,,33
2018-02-09T00:00:14.107Z,,,55,34.9,,,33
2018-02-09T00:00:24.110Z,,,55,34.8,,,32.8
2018-02-09T00:00:34.108Z,,,55,,,,32.8
2018-02-09T00:00:44.107Z,,,55,34.7,,,32.8
2018-02-09T00:00:54.107Z,,,55,,,,32.8
2018-02-09T00:01:04.107Z,,,55,,,,32.8
2018-02-09T00:01:14.107Z,,,55,34.6,,,32.7
2018-02-09T00:01:24.107Z,,,55,34.4,,,32.7
2018-02-09T00:01:34.173Z,,,55,,,,32.7
2018-02-09T00:01:44.107Z,,,55,34.3,,,32.7
2018-02-09T00:01:54.107Z,,,55,,,,32.7
2018-02-09T00:02:04.107Z,,,55,34.2,,,32.6
2018-02-09T00:02:14.107Z,,,55,,,,32.6
2018-02-09T00:02:24.106Z,,,55,34.1,,,32.6
2018-02-09T00:02:34.107Z,,,55,,,,32.6
2018-02-09T00:02:44.109Z,,,55,34,,,32.6
2018-02-09T00:02:54.300Z,,,55,,,,32.5
2018-02-09T00:03:04.107Z,0,2,55,35.2,79,,32.5
2018-02-09T00:03:14.107Z,,,55,41.4,75,,32.5
2018-02-09T00:03:24.107Z,,,55,44,33,,32.5
2018-02-09T00:03:34.117Z,1,0,55,42.8,124,0,31.5
2018-02-09T00:03:44.109Z,,,55,47.8,,,37
2018-02-09T00:03:54.106Z,,,55,50.2,,,41.2
2018-02-09T00:04:04.110Z,,,55,53.3,,,45.1
2018-02-09T00:04:14.116Z,,,55,55.4,,,48
2018-02-09T00:04:24.107Z,,,55,58.1,123,,50.8
2018-02-09T00:04:34.106Z,,,55,59.4,119,,53.1
2018-02-09T00:04:44.107Z,,,55,61,106,,54.3
2018-02-09T00:04:54.107Z,0,0,55,60.2,0,59,53
2018-02-09T00:05:04.115Z,,,55,63.3,,,51.1
2018-02-09T00:05:14.106Z,,,55,66.1,,,50
2018-02-09T00:05:24.107Z,,,55,68.1,,,49.8
2018-02-09T00:05:34.107Z,,,55,69.4,,,51.6
2018-02-09T00:05:44.107Z,,,55,70.1,,,53
2018-02-09T00:05:54.107Z,0,2,55,71.1,,40,54.4
2018-02-09T00:06:04.107Z,,,55,70.6,,,55.3
2018-02-09T00:06:14.124Z,,,55,52.7,,,56.1
2018-02-09T00:06:24.107Z,,,55,42.3,,,56.6
2018-02-09T00:06:34.107Z,,,55,37.5,,,56.9
2018-02-09T00:06:44.106Z,,,55,35.7,,,57.2
2018-02-09T00:06:54.107Z,,,55,34.8,,,57.4
2018-02-09T00:07:04.107Z,,,55,34.6,,,57.5
2018-02-09T00:07:14.106Z,,,55,34.7,,,57.6
2018-02-09T00:07:24.107Z,,,55,34.6,,,57.8
2018-02-09T00:07:34.107Z,,,55,34.3,,,58
2018-02-09T00:07:44.106Z,,,55,34.1,,,58
2018-02-09T00:07:54.106Z,,,55,34,,,58.2
2018-02-09T00:08:04.121Z,0,2,55,36.2,79,,58.2
2018-02-09T00:08:14.107Z,,,55,42.3,62,,58.3
2018-02-09T00:08:24.106Z,0,2,55,43.9,0,,58.3
2018-02-09T00:08:34.123Z,,,55,40.3,,,58.4
2018-02-09T00:08:44.106Z,,,55,37.9,,,58.4
2018-02-09T00:08:54.107Z,,,55,36.5,,,58.4
2018-02-09T00:09:04.112Z,,,55,35.8,,,58.5
2018-02-09T00:09:14.107Z,,,55,35.6,,,58.5
2018-02-09T00:09:24.106Z,,,55,,,,58.4
2018-02-09T00:09:34.115Z,,,55,35.4,,,58.4
2018-02-09T00:09:44.115Z,,,55,35.2,,,58.4
2018-02-09T00:09:54.106Z,,,55,35.1,,,58.4
2018-02-09T00:10:04.108Z,,,55,34.9,,,58.4
2018-02-09T00:10:14.106Z,,,55,34.8,,,58.3
2018-02-09T00:10:24.106Z,,,55,34.7,,,58.3
2018-02-09T00:10:34.109Z,,,55,,,,58.2
2018-02-09T00:10:44.106Z,,,55,,,,58.2
2018-02-09T00:10:54.107Z,,,55,34.6,,,58.1
2018-02-09T00:11:04.129Z,,,55,34.4,,,58
2018-02-09T00:11:14.106Z,,,55,,,,57.8
2018-02-09T00:11:24.106Z,,,55,34.3,,,57.8
2018-02-09T00:11:34.106Z,0,2,55,34.3,0,40,57.7
2018-02-09T00:11:44.107Z,,,55,34.2,,,57.6
2018-02-09T00:11:54.106Z,,,55,,,,57.5
2018-02-09T00:12:04.106Z,,,55,34.1,,,57.4
2018-02-09T00:12:14.106Z,,,55,,,,57.3
2018-02-09T00:12:24.106Z,,,55,34,,,57.2
2018-02-09T00:12:34.106Z,,,55,,,,57
2018-02-09T00:12:44.106Z,0,2,55,33.8,,,56.9
2018-02-09T00:12:54.110Z,,,55,,,,56.8
2018-02-09T00:13:04.106Z,0,2,55,36.9,79,,56.6
2018-02-09T00:13:14.107Z,,,55,42.4,63,,56.5
2018-02-09T00:13:24.133Z,0,2,55,43.8,0,,56.4
2018-02-09T00:13:34.110Z,,,55,40.3,,,56.2
2018-02-09T00:13:44.106Z,,,55,38.5,,,56.1
2018-02-09T00:13:54.110Z,,,55,36.4,,,56
2018-02-09T00:14:04.106Z,,,55,35.7,,,55.8
2018-02-09T00:14:14.106Z,,,55,35.4,,,55.7
2018-02-09T00:14:24.107Z,,,55,35.3,,,55.6
2018-02-09T00:14:34.106Z,,,55,35.2,,,55.5
2018-02-09T00:14:44.106Z,,,55,34.9,,,55.2
2018-02-09T00:14:54.106Z,,,55,34.7,,,55.1
2018-02-09T00:15:04.106Z,,,55,34.6,,,55
2018-02-09T00:15:14.106Z,,,55,34.4,,,54.8
2018-02-09T00:15:24.106Z,,,55,34.3,,,54.7
2018-02-09T00:15:34.110Z,,,55,34.2,,,54.6
2018-02-09T00:15:44.106Z,,,55,,,,54.4
2018-02-09T00:15:54.106Z,,,55,34.1,,,54.2
2018-02-09T00:16:04.106Z,,,55,,,,54.1
2018-02-09T00:16:14.106Z,,,55,34,,,54
2018-02-09T00:16:24.106Z,,,55,,,,53.8
2018-02-09T00:16:34.106Z,,,55,33.8,,,53.7
2018-02-09T00:16:44.106Z,,,55,,,,53.6
2018-02-09T00:16:54.105Z,,,55,33.7,,,53.4
2018-02-09T00:17:04.106Z,,,55,,,,53.2
2018-02-09T00:17:14.105Z,,,55,33.6,,,53
2018-02-09T00:17:24.105Z,,,55,,,,52.9
2018-02-09T00:17:34.105Z,,,55,33.5,,,52.8
2018-02-09T00:17:44.105Z,,,55,33.3,,,52.7
2018-02-09T00:17:54.106Z,,,55,,,,52.4
2018-02-09T00:18:04.106Z,0,2,55,36,79,,52.3
2018-02-09T00:18:14.106Z,,,55,42.1,59,,52.1
2018-02-09T00:18:24.263Z,,,55,43.4,29,,52
2018-02-09T00:18:34.110Z,1,0,55,42.4,124,0,51.8
2018-02-09T00:18:44.117Z,,,55,50.1,,,41
2018-02-09T00:18:54.107Z,0,0,55,52.1,0,59,46
2018-02-09T00:19:04.106Z,,,55,53.7,,,46.4
2018-02-09T00:19:14.106Z,,,55,56.3,,,46.2
2018-02-09T00:19:24.105Z,,,55,59,,,46.1
2018-02-09T00:19:34.105Z,,,55,60.1,,,46.1
2018-02-09T00:19:44.105Z,,,55,61.2,,,46.9
2018-02-09T00:19:54.105Z,0,2,55,61.5,,40,48
2018-02-09T00:20:04.106Z,,,55,,,,48.7
2018-02-09T00:20:14.105Z,,,55,56.1,,,49.5
2018-02-09T00:20:24.111Z,,,55,44.2,,,50
2018-02-09T00:20:34.106Z,,,55,38.1,,,50.3
2018-02-09T00:20:44.105Z,,,55,35.7,,,50.6
2018-02-09T00:20:54.109Z,,,55,34.7,,,50.7
2018-02-09T00:21:04.110Z,,,55,34.2,,,50.8
2018-02-09T00:21:14.134Z,,,55,34.3,,,50.9
2018-02-09T00:21:24.133Z,,,55,,,,51
2018-02-09T00:21:34.106Z,,,55,34.1,,,51
2018-02-09T00:21:44.130Z,,,55,33.8,,,51.1
2018-02-09T00:21:54.128Z,0,2,55,39.3,79,,51.1
2018-02-09T00:22:04.108Z,,,55,43.5,48,,51.1
2018-02-09T00:22:14.105Z,,,55,43.2,29,,51.1
2018-02-09T00:22:24.107Z,,,55,41.6,,,51.1
2018-02-09T00:22:34.106Z,,,55,40.3,,,51.1
2018-02-09T00:22:44.105Z,,,55,39.4,,,51.1
2018-02-09T00:22:54.105Z,,,55,38.9,,,51.1
2018-02-09T00:23:04.105Z,,,55,39.1,,,51.1
2018-02-09T00:23:14.105Z,,,55,39.4,,,51.1
2018-02-09T00:23:24.108Z,,,55,39.7,,,51.1
2018-02-09T00:23:34.107Z,,,55,39.8,,,51.1
2018-02-09T00:23:44.107Z,,,55,40,,,51.1
2018-02-09T00:23:54.290Z,,,55,40.1,,,51.1
2018-02-09T00:24:04.112Z,,,55,40.3,,,51
2018-02-09T00:24:14.105Z,,,55,40.5,,,51
2018-02-09T00:24:24.105Z,,,55,40.6,,,51
2018-02-09T00:24:34.106Z,,,55,40.7,,,50.9
2018-02-09T00:24:44.105Z,,,55,40.9,,,50.9
2018-02-09T00:24:54.105Z,,,55,41,,,50.8
2018-02-09T00:25:04.105Z,,,55,41.2,,,50.8
2018-02-09T00:25:14.105Z,,,55,,,,50.7
2018-02-09T00:25:24.111Z,,,55,41.5,,,50.7
2018-02-09T00:25:34.105Z,,,55,41.6,,,50.6
2018-02-09T00:25:44.105Z,,,55,41.7,,,50.6
2018-02-09T00:25:54.105Z,,,55,41.8,,,50.4
2018-02-09T00:26:04.106Z,,,55,42,,,50.4
2018-02-09T00:26:14.105Z,,,55,42.2,,,50.3
2018-02-09T00:26:24.353Z,,,55,42.3,,,50.2
2018-02-09T00:26:34.110Z,,,55,42.4,,,50.2
2018-02-09T00:26:44.105Z,,,55,42.6,,,50.1
2018-02-09T00:26:54.105Z,,,55,42.7,,,50
2018-02-09T00:27:04.107Z,,,55,42.8,,,50
2018-02-09T00:27:14.108Z,,,55,43,,,49.9
2018-02-09T00:27:24.105Z,,,55,43.1,,,49.8
2018-02-09T00:27:34.105Z,,,55,43.3,,,49.7
2018-02-09T00:27:44.105Z,,,55,43.4,,,49.7
2018-02-09T00:27:54.106Z,,,55,43.5,,,49.5
2018-02-09T00:28:04.104Z,,,55,43.6,,,49.4
2018-02-09T00:28:14.105Z,,,55,43.9,,,49.3
2018-02-09T00:28:24.107Z,0,2,55,44.1,0,,49.3
2018-02-09T00:28:34.105Z,,,55,42.1,,,49.2
2018-02-09T00:28:44.106Z,,,55,40.5,,,49.1
2018-02-09T00:28:54.110Z,,,55,39.7,,,49
2018-02-09T00:29:04.105Z,,,55,39.6,,,48.9
2018-02-09T00:29:14.107Z,,,55,40,,,48.9
2018-02-09T00:29:24.106Z,,,55,40.4,,,48.7
2018-02-09T00:29:34.104Z,,,55,40.8,,,48.6
2018-02-09T00:29:44.105Z,,,55,40.7,,,48.5
2018-02-09T00:29:54.105Z,,,55,40.5,,,48.4
2018-02-09T00:30:04.104Z,,,55,40.2,,,48.4
2018-02-09T00:30:14.104Z,,,55,40.1,,,48.3
2018-02-09T00:30:24.104Z,,,55,40,,,48.2
2018-02-09T00:30:34.105Z,,,55,39.9,,,48.1
2018-02-09T00:30:44.106Z,,,55,39.8,,,48
2018-02-09T00:30:54.105Z,,,55,39.6,,,47.8
2018-02-09T00:31:04.105Z,,,55,39.5,,,47.7
2018-02-09T00:31:14.105Z,,,55,,,,47.7
2018-02-09T00:31:24.104Z,,,55,39.4,,,47.6
2018-02-09T00:31:34.105Z,,,55,39.3,,,47.5
2018-02-09T00:31:44.104Z,,,55,39.1,,,47.4
2018-02-09T00:31:54.106Z,,,55,39,,,47.3
2018-02-09T00:32:04.104Z,,,55,,,,47.2
2018-02-09T00:32:14.140Z,,,55,38.9,,,47.2
2018-02-09T00:32:24.105Z,,,55,38.8,,,47
2018-02-09T00:32:34.106Z,,,55,38.9,,,46.9
2018-02-09T00:32:44.115Z,,,55,39,,,46.8
2018-02-09T00:32:54.105Z,,,55,39.1,,,46.7
2018-02-09T00:33:04.105Z,,,55,39.3,,,46.6
2018-02-09T00:33:14.107Z,,,55,39.4,,,46.6
2018-02-09T00:33:24.104Z,,,55,39.5,,,46.5
2018-02-09T00:33:34.105Z,,,55,39.6,,,46.4
2018-02-09T00:33:44.110Z,,,55,39.8,,,46.2
2018-02-09T00:33:54.104Z,,,55,,,,46.1
2018-02-09T00:34:04.104Z,,,55,39.9,,,46.1
2018-02-09T00:34:14.104Z,,,55,40,,,46
2018-02-09T00:34:24.104Z,,,55,,,,45.9
2018-02-09T00:34:34.104Z,,,55,40.1,,,45.8
2018-02-09T00:34:44.104Z,,,55,,,,45.7
2018-02-09T00:34:54.104Z,,,55,,,,45.6
2018-02-09T00:35:04.104Z,,,55,40.2,,,45.6
2018-02-09T00:35:14.105Z,,,55,,,,45.5
2018-02-09T00:35:24.104Z,,,55,40.3,,,45.3
2018-02-09T00:35:34.105Z,,,55,,,,45.2
2018-02-09T00:35:44.104Z,,,55,,,,45.1
2018-02-09T00:35:54.105Z,,,55,40.5,,,45.1
2018-02-09T00:36:04.111Z,,,55,,,,45
2018-02-09T00:36:14.105Z,,,55,,,,44.9
2018-02-09T00:36:24.106Z,,,55,40.6,,,44.8
2018-02-09T00:36:34.104Z,,,55,,,,44.7
2018-02-09T00:36:44.104Z,,,55,,,,44.7
