Time,HwTSet,PrimTSet,ChActive,HwActive,ActPow,PrimT,HwTOutlet
2018-02-10T00:00:03.996Z,55,,,,29,42.7,31.4
2018-02-10T00:00:13.997Z,55,,,,,40.8,31.2
2018-02-10T00:00:23.994Z,55,,,,,39.7,31.2
2018-02-10T00:00:33.998Z,55,,,,,38.8,31.2
2018-02-10T00:00:43.994Z,55,,,,,38.4,31.2
2018-02-10T00:00:54.006Z,55,,,,,38.3,31.2
2018-02-10T00:01:03.994Z,55,,,,,38.5,31.1
2018-02-10T00:01:13.997Z,55,,,,,38.6,31.1
2018-02-10T00:01:23.994Z,55,,,,,38.9,31.1
2018-02-10T00:01:34.005Z,55,,,,,39.1,31.1
2018-02-10T00:01:43.994Z,55,,,,,39.2,31.1
2018-02-10T00:01:53.994Z,55,,,,,39.4,31.1
2018-02-10T00:02:03.996Z,55,,,,,39.7,31.1
2018-02-10T00:02:13.994Z,55,,,,,39.8,31
2018-02-10T00:02:24.085Z,55,,,,,39.9,31
2018-02-10T00:02:33.994Z,55,,,,,40,31
2018-02-10T00:02:43.995Z,55,,,,,40.2,31
2018-02-10T00:02:53.994Z,55,,,,,40.3,31
2018-02-10T00:03:03.994Z,55,,,,,40.5,31
2018-02-10T00:03:13.994Z,55,,,,,40.6,31
2018-02-10T00:03:23.996Z,55,,,,,40.8,31
2018-02-10T00:03:33.994Z,55,,,,,40.9,31
2018-02-10T00:03:43.994Z,55,,,,,41,31
2018-02-10T00:03:54.000Z,55,,,,,41.1,31.1
2018-02-10T00:04:03.995Z,55,,,,,41.4,31.1
2018-02-10T00:04:13.995Z,55,,,,,41.5,31.1
2018-02-10T00:04:23.995Z,55,,,,,,31.1
2018-02-10T00:04:33.993Z,55,,,,,41.7,31.1
2018-02-10T00:04:43.994Z,55,,,,,41.8,31.2
2018-02-10T00:04:53.995Z,55,,,,,42,31.2
2018-02-10T00:05:03.995Z,55,,,,,42.2,31.4
2018-02-10T00:05:13.995Z,55,,,,,42.3,31.4
2018-02-10T00:05:23.998Z,55,,,,,42.4,31.4
2018-02-10T00:05:33.994Z,55,,,,,42.5,31.5
2018-02-10T00:05:43.994Z,55,,,,,42.7,31.5
2018-02-10T00:05:53.999Z,55,,,,,42.8,31.5
2018-02-10T00:06:03.996Z,55,,,,,43,31.6
2018-02-10T00:06:13.995Z,55,,,,,43.1,31.7
2018-02-10T00:06:23.995Z,55,,,,,43.2,31.7
2018-02-10T00:06:33.993Z,55,,,,,43.3,31.9
2018-02-10T00:06:43.994Z,55,,,,,43.5,31.9
2018-02-10T00:06:53.996Z,55,,,,,43.6,32
2018-02-10T00:07:03.994Z,55,,,,,43.7,32
2018-02-10T00:07:13.996Z,55,,,,,43.9,32.1
2018-02-10T00:07:23.995Z,55,,1,0,0,42.8,32.1
2018-02-10T00:07:33.999Z,55,,,,,40.6,32.2
2018-02-10T00:07:43.994Z,55,,,,,39.8,32.3
2018-02-10T00:07:53.993Z,55,,,,,39.4,32.3
2018-02-10T00:08:03.993Z,55,,,,,39.6,32.5
2018-02-10T00:08:13.994Z,55,,,,,40,32.5
2018-02-10T00:08:23.996Z,55,,,,,40.5,32.6
2018-02-10T00:08:33.993Z,55,,,,,,32.6
2018-02-10T00:08:44.292Z,55,,,,,40.2,32.7
2018-02-10T00:08:53.994Z,55,,,,,40.1,32.7
2018-02-10T00:09:03.993Z,55,,,,,39.9,32.8
2018-02-10T00:09:13.993Z,55,,,,,39.8,32.8
2018-02-10T00:09:23.993Z,55,,,,,39.5,33
2018-02-10T00:09:33.999Z,55,,,,,39.4,33
2018-02-10T00:09:43.993Z,55,,,,,39.3,33
2018-02-10T00:09:53.993Z,55,,,,,,33.1
2018-02-10T00:10:03.993Z,55,,,,,39.1,33.1
2018-02-10T00:10:13.995Z,55,,,,,39,33.1
2018-02-10T00:10:23.995Z,55,,,,,38.9,33.1
2018-02-10T00:10:33.993Z,55,,,,,38.8,33.1
2018-02-10T00:10:43.995Z,55,,,,,,33.1
2018-02-10T00:10:53.996Z,55,,,,,38.6,33.1
2018-02-10T00:11:03.993Z,55,,,,,38.5,33.1
2018-02-10T00:11:13.993Z,55,,,,,38.4,33.1
2018-02-10T00:11:23.994Z,55,,,,,,33.1
2018-02-10T00:11:34.001Z,55,,,,,38.5,33.1
2018-02-10T00:11:43.993Z,55,,,,,38.6,33.1
2018-02-10T00:11:53.993Z,55,,,,,38.8,33.1
2018-02-10T00:12:03.993Z,55,,,,,38.9,33.1
2018-02-10T00:12:13.993Z,55,,,,,39,33.1
2018-02-10T00:12:24.043Z,55,,,,,39.1,33.1
2018-02-10T00:12:33.993Z,55,,,,,39.3,33.1
2018-02-10T00:12:43.993Z,55,,,,,,33.1
2018-02-10T00:12:53.994Z,55,,,,,39.4,33.1
2018-02-10T00:13:03.994Z,55,,,,,,33.1
2018-02-10T00:13:13.993Z,55,,,,,39.5,33.1
2018-02-10T00:13:23.994Z,55,,,,,,33
2018-02-10T00:13:33.996Z,55,,,,,39.6,33
2018-02-10T00:13:43.993Z,55,40,1,0,0,39.6,33
2018-02-10T00:13:53.993Z,55,,,,,39.8,33
2018-02-10T00:14:03.993Z,55,,,,,,33
2018-02-10T00:14:13.993Z,55,,,,,39.9,33
2018-02-10T00:14:23.993Z,55,,,,,,33
2018-02-10T00:14:33.993Z,55,,,,,,33
2018-02-10T00:14:44.029Z,55,,,,,40,32.8
2018-02-10T00:14:53.994Z,55,,,,,,32.8
2018-02-10T00:15:03.998Z,55,,,,,,32.8
2018-02-10T00:15:13.995Z,55,,,,,40.1,32.8
2018-02-10T00:15:23.993Z,55,,,,,,32.7
2018-02-10T00:15:33.998Z,55,,,,,,32.8
2018-02-10T00:15:43.993Z,55,,,,,,32.7
2018-02-10T00:15:53.993Z,55,,,,,40.2,32.7
2018-02-10T00:16:03.993Z,55,,,,,,32.7
2018-02-10T00:16:13.994Z,55,,,,,,32.7
2018-02-10T00:16:23.992Z,55,,,,,,32.7
2018-02-10T00:16:33.993Z,55,,,,,40.3,32.6
2018-02-10T00:16:43.993Z,55,,,,,,32.6
2018-02-10T00:16:54.260Z,55,,,,,,32.6
2018-02-10T00:17:03.992Z,55,,,,,,32.6
2018-02-10T00:17:13.993Z,55,,,,,,32.6
2018-02-10T00:17:23.993Z,55,,,,,39.6,32.5
2018-02-10T00:17:34.117Z,55,,,,,37.7,32.5
2018-02-10T00:17:43.993Z,55,,,,,35.9,32.5
2018-02-10T00:17:53.993Z,55,,,,,34.9,32.5
2018-02-10T00:18:03.993Z,55,,,,,34.3,32.5
2018-02-10T00:18:13.992Z,55,,,,,,32.3
2018-02-10T00:18:23.992Z,55,,,,,34.4,32.3
2018-02-10T00:18:33.992Z,55,,,,,,32.3
2018-02-10T00:18:43.996Z,55,,,,,34.3,32.3
2018-02-10T00:18:53.995Z,55,,,,,34.2,32.3
2018-02-10T00:19:03.993Z,55,,,,,,32.3
2018-02-10T00:19:13.992Z,55,,,,,34.1,32.2
2018-02-10T00:19:23.992Z,55,,,,,,32.2
2018-02-10T00:19:33.995Z,55,,,,,34,32.2
2018-02-10T00:19:43.992Z,55,,,,,,32.2
2018-02-10T00:19:54.004Z,55,,1,0,79,37.3,32.1
2018-02-10T00:20:03.994Z,55,,,,65,42.3,32.1
2018-02-10T00:20:13.993Z,55,,1,0,0,43.7,32.1
2018-02-10T00:20:23.996Z,55,,,,,40.7,32.1
2018-02-10T00:20:33.992Z,55,,,,,38.5,32
2018-02-10T00:20:43.992Z,55,,,,,36.4,32
2018-02-10T00:20:53.997Z,55,,,,,35.7,32
2018-02-10T00:21:04.005Z,55,,,,,35.3,32
2018-02-10T00:21:13.992Z,55,,,,,35.1,32
2018-02-10T00:21:23.993Z,55,,,,,34.9,31.9
2018-02-10T00:21:33.992Z,55,,,,,34.8,31.9
2018-02-10T00:21:43.992Z,55,,,,,34.6,31.9
2018-02-10T00:21:53.992Z,55,,,,,,31.9
2018-02-10T00:22:03.992Z,55,,,,,34.4,31.9
2018-02-10T00:22:14.009Z,55,,,,,34.3,31.7
2018-02-10T00:22:23.992Z,55,,,,,34.2,31.7
2018-02-10T00:22:33.993Z,55,,,,,,31.7
2018-02-10T00:22:43.992Z,55,,,,,34.1,31.7
2018-02-10T00:22:53.992Z,55,,,,,34,31.7
2018-02-10T00:23:03.992Z,55,,,,,33.8,31.6
2018-02-10T00:23:13.992Z,55,,,,,,31.6
2018-02-10T00:23:24.014Z,55,,,,,33.7,31.6
2018-02-10T00:23:33.992Z,55,,,,,,31.6
2018-02-10T00:23:43.992Z,55,,,,,33.6,31.6
2018-02-10T00:23:53.992Z,55,,,,,,31.5
2018-02-10T00:24:03.993Z,55,,,,,33.5,31.5
2018-02-10T00:24:13.993Z,55,,,,,33.3,31.5
2018-02-10T00:24:23.992Z,55,,,,,,31.5
2018-02-10T00:24:34.012Z,55,,,,,33.2,31.5
2018-02-10T00:24:43.992Z,55,,,,,33.1,31.4
2018-02-10T00:24:54.112Z,55,,1,0,79,36.4,31.4
2018-02-10T00:25:03.992Z,55,,,,66,41.5,31.4
2018-02-10T00:25:13.996Z,55,,,,29,43.4,31.4
2018-02-10T00:25:23.992Z,55,,,,,41.6,31.2
2018-02-10T00:25:33.995Z,55,,,,,40.4,31.2
2018-02-10T00:25:44.002Z,55,,,,,39.4,31.2
2018-02-10T00:25:53.993Z,55,,,,,38.7,31.2
2018-02-10T00:26:03.992Z,55,,,,,38.3,31.2
2018-02-10T00:26:13.992Z,55,,,,,38.4,31.1
2018-02-10T00:26:23.992Z,55,,,,,38.5,31.1
2018-02-10T00:26:33.992Z,55,,,,,38.7,31.1
2018-02-10T00:26:43.992Z,55,,,,,39,31.1
2018-02-10T00:26:53.992Z,55,,,,,39.1,31.1
2018-02-10T00:27:04.000Z,55,,,,,39.3,31.1
2018-02-10T00:27:13.992Z,55,,,,,39.5,31.1
2018-02-10T00:27:23.992Z,55,,,,,39.7,31
2018-02-10T00:27:33.992Z,55,,,,,39.9,31
2018-02-10T00:27:43.992Z,55,,,,29,40,31
2018-02-10T00:27:53.992Z,55,,,,,40.2,31
2018-02-10T00:28:03.993Z,55,,,,,40.3,31
2018-02-10T00:28:14.009Z,55,,,,,40.5,31
2018-02-10T00:28:23.992Z,55,,,,,40.6,31
2018-02-10T00:28:34.071Z,55,,,,,40.7,31
2018-02-10T00:28:44.008Z,55,,,,,40.8,31
2018-02-10T00:28:53.992Z,55,,,,,40.9,31
2018-02-10T00:29:03.998Z,55,,,,,41.1,31
2018-02-10T00:29:13.992Z,55,,,,,,31.1
