Time,HwTSet,HwActive,ActPow,PrimTSet,HwTOutlet,PrimT,ChActive
2018-02-12T00:00:03.764Z,55,,,,33.8,38.5,
2018-02-12T00:00:13.765Z,55,,,,33.8,38.4,
2018-02-12T00:00:23.764Z,55,,,,33.8,,
2018-02-12T00:00:33.765Z,55,,,,33.8,,
2018-02-12T00:00:43.765Z,55,,,,33.8,38.5,
2018-02-12T00:00:53.769Z,55,,,,33.7,38.6,
2018-02-12T00:01:03.764Z,55,,,,33.7,38.8,
2018-02-12T00:01:13.764Z,55,,,,33.7,38.9,
2018-02-12T00:01:23.765Z,55,,,,33.7,39,
2018-02-12T00:01:33.764Z,55,,,,33.7,,
2018-02-12T00:01:43.765Z,55,,,,33.7,39.1,
2018-02-12T00:01:53.766Z,55,,,,33.7,39.3,
2018-02-12T00:02:03.790Z,55,,,,33.7,,
2018-02-12T00:02:13.765Z,55,,,,33.7,39.4,
2018-02-12T00:02:23.764Z,55,,,,33.6,,
2018-02-12T00:02:33.771Z,55,,,,33.6,39.5,
2018-02-12T00:02:43.764Z,55,,,,33.6,,
2018-02-12T00:02:53.766Z,55,,,,33.6,,
2018-02-12T00:03:03.764Z,55,,,,33.6,39.6,
2018-02-12T00:03:13.764Z,55,,,,33.6,,
2018-02-12T00:03:23.765Z,55,,,,33.5,39.8,
2018-02-12T00:03:33.765Z,55,,,,33.5,,
2018-02-12T00:03:43.764Z,55,,,,33.5,,
2018-02-12T00:03:53.765Z,55,,,,33.5,39.9,
2018-02-12T00:04:03.764Z,55,,,,33.5,,
2018-02-12T00:04:13.764Z,55,,,,33.3,,
2018-02-12T00:04:23.764Z,55,,,,33.3,40,
2018-02-12T00:04:33.764Z,55,,,,33.3,40,
2018-02-12T00:04:43.800Z,55,,,,33.3,,
2018-02-12T00:04:53.766Z,55,,,,33.3,,
2018-02-12T00:05:03.766Z,55,,,,33.3,,
2018-02-12T00:05:13.764Z,55,,,,33.2,40.1,
2018-02-12T00:05:23.765Z,55,,,,33.2,,
2018-02-12T00:05:33.766Z,55,,,,33.2,,
2018-02-12T00:05:43.764Z,55,,,,33.2,,
2018-02-12T00:05:53.766Z,55,,,,33.1,,
2018-02-12T00:06:03.765Z,55,,,,33.1,,
2018-02-12T00:06:13.764Z,55,,,,33.1,40.2,
2018-02-12T00:06:23.771Z,55,,,,33.1,,
2018-02-12T00:06:33.765Z,55,,,,33.1,38.6,
2018-02-12T00:06:43.764Z,55,,,,33,36.8,
2018-02-12T00:06:53.768Z,55,,,,33,35.8,
2018-02-12T00:07:03.764Z,55,,,,33,34.8,
2018-02-12T00:07:13.764Z,55,,,,33,34.4,
2018-02-12T00:07:23.771Z,55,,,,33,,
2018-02-12T00:07:33.766Z,55,,,,32.8,34.6,
2018-02-12T00:07:43.764Z,55,,,,32.8,,
2018-02-12T00:07:53.764Z,55,,,,32.8,34.4,
2018-02-12T00:08:03.764Z,55,,,,32.8,34.3,
2018-02-12T00:08:13.765Z,55,,,,32.8,,
2018-02-12T00:08:23.764Z,55,,,,32.7,34.2,
2018-02-12T00:08:33.764Z,55,,,,32.7,,
2018-02-12T00:08:43.774Z,55,,,,32.7,34.1,
2018-02-12T00:08:53.764Z,55,,,,32.7,,
2018-02-12T00:09:03.765Z,55,,,,32.6,34,
2018-02-12T00:09:13.764Z,55,0,79,,32.6,35.2,2
2018-02-12T00:09:23.764Z,55,,75,,32.6,41.1,
2018-02-12T00:09:33.764Z,55,,0,,32.6,44,
2018-02-12T00:09:43.765Z,55,0,,,32.5,41.6,2
2018-02-12T00:09:53.764Z,55,,,,32.5,38.7,
2018-02-12T00:10:03.766Z,55,,,,32.5,36.7,
2018-02-12T00:10:13.764Z,55,,,,32.5,35.9,
2018-02-12T00:10:23.764Z,55,,,,32.5,35.6,
2018-02-12T00:10:33.764Z,55,,,,32.3,35.3,
2018-02-12T00:10:43.763Z,55,,,,32.3,35.2,
2018-02-12T00:10:53.764Z,55,,,,32.3,34.9,
2018-02-12T00:11:03.763Z,55,,,,32.3,34.8,
2018-02-12T00:11:13.764Z,55,,,,32.3,34.7,
2018-02-12T00:11:23.764Z,55,,,,32.2,34.6,
2018-02-12T00:11:33.989Z,55,,,,32.2,34.4,
2018-02-12T00:11:43.764Z,55,,,,32.2,34.3,
2018-02-12T00:11:53.764Z,55,,,,32.2,,
2018-02-12T00:12:03.764Z,55,,,,32.2,34.2,
2018-02-12T00:12:13.768Z,55,,,,32.1,34.1,
2018-02-12T00:12:23.763Z,55,,,,32.1,,
2018-02-12T00:12:33.772Z,55,,,,32.1,34,
2018-02-12T00:12:43.763Z,55,,,,32.1,33.8,
2018-02-12T00:12:53.763Z,55,,,,32.1,,
2018-02-12T00:13:03.763Z,55,,,,32,33.7,
2018-02-12T00:13:13.763Z,55,,,,32,,
2018-02-12T00:13:23.763Z,55,,,,32,33.6,
2018-02-12T00:13:33.763Z,55,,,,32,33.5,
2018-02-12T00:13:43.763Z,55,,,,31.9,,
2018-02-12T00:13:53.763Z,55,,,,31.9,33.3,
2018-02-12T00:14:03.763Z,55,,,,31.9,,
2018-02-12T00:14:13.763Z,55,0,79,,31.9,34.1,2
2018-02-12T00:14:23.763Z,55,,71,,31.7,41,
2018-02-12T00:14:33.763Z,55,,37,,31.7,43.3,
2018-02-12T00:14:43.763Z,55,,29,,31.7,41.9,
2018-02-12T00:14:53.763Z,55,,,,31.7,40.7,
2018-02-12T00:15:03.764Z,55,,,,31.7,39.8,
2018-02-12T00:15:13.763Z,55,,,,31.6,38.8,
2018-02-12T00:15:23.764Z,55,,,,31.6,38.3,
2018-02-12T00:15:33.814Z,55,,,,31.6,38.4,
2018-02-12T00:15:43.764Z,55,,,,31.6,38.5,
2018-02-12T00:15:53.763Z,55,,,,31.6,38.7,
2018-02-12T00:16:03.765Z,55,,,,31.6,39,
2018-02-12T00:16:13.763Z,55,,,,31.5,,
2018-02-12T00:16:23.763Z,55,,,,31.5,39.2,
2018-02-12T00:16:33.763Z,55,,,,31.5,39.4,
2018-02-12T00:16:43.766Z,55,,,,31.5,39.7,
2018-02-12T00:16:53.763Z,55,,,,31.5,39.8,
2018-02-12T00:17:03.766Z,55,,,,31.5,40,
2018-02-12T00:17:13.763Z,55,,,,31.5,40.1,
2018-02-12T00:17:23.763Z,55,,,,31.4,40.2,
2018-02-12T00:17:33.770Z,55,,,,31.4,40.3,
