Time,HwTSet,HwTOutlet,PrimT,ChActive,ActPow,PrimTSet,HwActive
2018-02-13T00:00:07.645Z,55,32.3,,,,,
2018-02-13T00:00:17.647Z,55,32.3,43.1,,,,
2018-02-13T00:00:27.645Z,,,43.2,,,,
2018-02-13T00:00:37.645Z,55,32.5,43.3,,,,
2018-02-13T00:00:47.645Z,55,32.5,43.4,,,,
2018-02-13T00:00:57.645Z,,,43.6,,,,
2018-02-13T00:01:07.645Z,55,32.6,,,,,
2018-02-13T00:01:17.645Z,55,32.7,43.9,,,,
2018-02-13T00:01:27.646Z,,,,1,,,0
2018-02-13T00:01:37.805Z,55,32.7,42.5,1,0,,0
2018-02-13T00:01:47.645Z,55,32.8,40.6,,,,
2018-02-13T00:01:57.645Z,55,32.8,39.8,,,,
2018-02-13T00:02:07.645Z,55,33,39.6,,,,
2018-02-13T00:02:17.804Z,55,33,40,,,,
2018-02-13T00:02:27.645Z,55,33.1,40.4,,,,
2018-02-13T00:02:37.668Z,55,33.2,40.9,,,,
2018-02-13T00:02:47.672Z,55,33.2,,,,,
2018-02-13T00:02:57.649Z,,,40.5,,,,
2018-02-13T00:03:07.645Z,55,33.3,40.2,,,,
2018-02-13T00:03:27.644Z,55,33.5,40,,,,
2018-02-13T00:03:37.645Z,55,33.5,39.9,,,,
2018-02-13T00:03:47.647Z,55,33.6,39.8,,,,
2018-02-13T00:04:07.645Z,55,33.6,39.5,,,,
2018-02-13T00:04:17.645Z,55,33.6,,,,,
2018-02-13T00:04:27.645Z,55,33.6,39.3,,,,
2018-02-13T00:04:37.644Z,55,33.7,39.1,,,,
2018-02-13T00:04:47.645Z,,,39,,,,
2018-02-13T00:04:57.644Z,55,33.7,,,,,
2018-02-13T00:05:07.644Z,,,38.9,,,,
2018-02-13T00:05:17.645Z,55,33.7,38.8,,,,
2018-02-13T00:05:27.644Z,,,38.6,,,,
2018-02-13T00:05:37.645Z,55,33.7,,,,,
2018-02-13T00:05:47.646Z,55,33.7,38.9,,,,
2018-02-13T00:06:07.644Z,55,33.7,39.1,,,,
2018-02-13T00:06:17.645Z,55,33.7,39.3,,,,
2018-02-13T00:06:27.645Z,55,33.7,,,,,
2018-02-13T00:06:37.645Z,55,33.6,39.4,,,,
2018-02-13T00:06:47.644Z,,,39.5,,,,
2018-02-13T00:06:57.644Z,55,33.6,,,,,
2018-02-13T00:07:07.644Z,55,33.6,39.6,,,,
2018-02-13T00:07:17.654Z,55,33.6,,,,,
2018-02-13T00:07:27.648Z,,,39.8,,,,
2018-02-13T00:07:37.644Z,55,33.6,39.9,,,,
2018-02-13T00:07:47.651Z,55,33.5,,,,,
2018-02-13T00:07:57.644Z,,,40,,,,
2018-02-13T00:08:07.645Z,55,33.5,,,,,
2018-02-13T00:08:17.651Z,55,33.5,,,,,
2018-02-13T00:08:27.670Z,,,40.1,,,,
2018-02-13T00:08:37.646Z,55,33.5,,,,,
2018-02-13T00:08:57.644Z,55,33.5,40.2,,,,
2018-02-13T00:09:07.644Z,55,33.3,,,,,
2018-02-13T00:09:17.644Z,,,40.3,,,,
2018-02-13T00:09:27.645Z,55,33.3,,,,,
2018-02-13T00:09:37.669Z,55,33.3,,,,,
2018-02-13T00:09:57.644Z,55,33.2,40.5,,,,
2018-02-13T00:10:07.753Z,55,33.2,,,,,
2018-02-13T00:10:17.645Z,55,33.2,,,,,
2018-02-13T00:10:37.663Z,55,33.1,40.6,,,,
2018-02-13T00:10:47.644Z,55,33.1,,,,,
2018-02-13T00:11:07.644Z,55,33.1,,,,,
2018-02-13T00:11:17.644Z,55,33,,,,,
2018-02-13T00:11:37.645Z,55,33,39.8,,,,
2018-02-13T00:11:47.644Z,55,33,37.7,,,,
2018-02-13T00:11:57.644Z,55,33,36.2,,,,
2018-02-13T00:12:07.644Z,55,33,35.9,,,,
2018-02-13T00:12:17.647Z,55,32.8,34.6,,,,
2018-02-13T00:12:27.644Z,55,32.8,,,,,
2018-02-13T00:12:47.650Z,55,32.8,34.8,,,,
2018-02-13T00:12:57.646Z,55,32.8,34.7,,,,
2018-02-13T00:13:07.650Z,,,34.6,,,,
2018-02-13T00:13:17.644Z,55,32.7,,,,,
2018-02-13T00:13:27.643Z,55,32.7,34.3,,,,
2018-02-13T00:13:37.645Z,55,32.6,,,,,
2018-02-13T00:13:57.646Z,55,32.6,34.2,,,,
2018-02-13T00:14:08.031Z,55,32.6,,,,,
2018-02-13T00:14:17.644Z,55,32.6,34.1,,,,
2018-02-13T00:14:27.644Z,55,32.6,,,,,
2018-02-13T00:14:37.722Z,55,32.5,34,,,,
2018-02-13T00:14:47.644Z,55,32.5,38.5,1,79,,0
2018-02-13T00:14:57.644Z,55,32.5,43.3,,52,,
2018-02-13T00:15:07.644Z,55,32.5,43.2,1,0,,0
2018-02-13T00:15:17.645Z,55,32.3,40.8,,,,
2018-02-13T00:15:27.664Z,55,32.3,37.5,,,,
2018-02-13T00:15:37.644Z,55,32.3,36,,,,
2018-02-13T00:15:47.646Z,55,32.3,35.4,,,,
2018-02-13T00:15:57.645Z,55,32.2,,,,,
2018-02-13T00:16:07.645Z,,,35.2,,,,
2018-02-13T00:16:17.644Z,55,32.2,34.9,,,,
2018-02-13T00:16:27.644Z,55,32.2,,,,,
2018-02-13T00:16:37.644Z,55,32.2,34.7,,,,
2018-02-13T00:16:47.643Z,55,32.1,34.4,,,,
2018-02-13T00:16:57.644Z,55,32.1,,,,,
2018-02-13T00:17:07.654Z,,,34.3,,,,
2018-02-13T00:17:17.644Z,55,32.1,,,,,
2018-02-13T00:17:27.645Z,55,32.1,34.2,,,,
2018-02-13T00:17:37.646Z,55,32,,,,,
2018-02-13T00:17:47.644Z,55,32,34.1,,,,
2018-02-13T00:17:57.648Z,55,32,34,,,,
2018-02-13T00:18:07.644Z,55,32,33.8,,,,
2018-02-13T00:18:17.644Z,55,32,,,,,
2018-02-13T00:18:27.644Z,55,31.9,33.7,,,,
2018-02-13T00:18:47.644Z,55,31.9,33.6,,,,
2018-02-13T00:18:57.644Z,55,31.9,,,,,
2018-02-13T00:19:07.644Z,,,33.5,,,,
2018-02-13T00:19:17.644Z,55,31.7,,,,,
2018-02-13T00:19:27.643Z,55,31.7,33.3,,,,
2018-02-13T00:19:37.644Z,55,31.7,33.2,1,,,0
2018-02-13T00:19:47.644Z,55,31.6,37.1,1,80,,0
2018-02-13T00:19:57.644Z,55,31.6,42.1,1,57,40,0
2018-02-13T00:20:07.643Z,55,31.6,42.8,,29,,
2018-02-13T00:20:17.680Z,55,31.6,41.8,,,,
2018-02-13T00:20:27.643Z,55,31.6,39.9,,,,
2018-02-13T00:20:37.644Z,55,31.5,39.7,,,,
2018-02-13T00:20:47.644Z,,,38.8,,,,
2018-02-13T00:20:57.643Z,55,31.5,38.3,,,,
2018-02-13T00:21:07.644Z,55,31.5,,,,,
2018-02-13T00:21:17.644Z,55,31.5,38.4,,,,
2018-02-13T00:21:27.644Z,55,31.5,38.5,,,,
2018-02-13T00:21:37.769Z,55,31.4,38.7,,,,
2018-02-13T00:21:47.644Z,55,31.4,39,,,,
2018-02-13T00:21:57.644Z,55,31.4,39.2,,,,
2018-02-13T00:22:07.645Z,55,31.4,39.3,,,,
2018-02-13T00:22:17.643Z,,,39.5,,,,
2018-02-13T00:22:27.652Z,55,31.4,39.8,,30,,
2018-02-13T00:22:37.645Z,55,31.4,40.1,,30,,
2018-02-13T00:22:47.647Z,55,31.2,,,,,
2018-02-13T00:22:57.643Z,,,40.2,,29,,
2018-02-13T00:23:07.643Z,55,31.2,40.3,,,,
2018-02-13T00:23:17.651Z,55,31.2,40.5,,,,
2018-02-13T00:23:27.643Z,55,31.2,40.6,,,,
2018-02-13T00:23:37.647Z,55,31.2,40.7,,,,
2018-02-13T00:23:47.643Z,55,31.2,40.8,,,,
2018-02-13T00:23:57.643Z,55,31.2,41,,,,
2018-02-13T00:24:07.643Z,55,31.4,,,,,
2018-02-13T00:24:17.644Z,55,31.4,41.2,,,,
2018-02-13T00:24:27.643Z,55,31.4,41.4,,,,
2018-02-13T00:24:37.644Z,55,31.4,41.5,,,,
2018-02-13T00:24:47.672Z,55,31.4,41.6,,,,
2018-02-13T00:24:57.643Z,55,31.5,41.8,,,,
2018-02-13T00:25:07.643Z,55,31.5,41.9,,,,
2018-02-13T00:25:17.644Z,55,31.5,42,,,,
2018-02-13T00:25:27.833Z,55,31.6,42.2,,,,
2018-02-13T00:25:37.650Z,55,31.6,42.3,,,,
2018-02-13T00:25:47.643Z,55,31.6,42.5,,,,
