Time,HwTSet,HwActive,ActPow,PrimTSet,HwTOutlet,ChActive,PrimT
2018-02-14T00:00:06.534Z,55,,,,33.5,,
2018-02-14T00:00:16.531Z,55,,,,33.5,,40.1
2018-02-14T00:00:36.533Z,55,,,,33.3,,
2018-02-14T00:00:46.532Z,55,,,,33.3,,
2018-02-14T00:00:56.803Z,55,,,,33.3,,40.2
2018-02-14T00:01:16.531Z,55,,,,33.3,,
2018-02-14T00:01:26.531Z,55,,,,33.2,,
2018-02-14T00:01:36.530Z,,,,,,,40.3
2018-02-14T00:01:46.531Z,55,,,,33.2,,
2018-02-14T00:01:56.531Z,55,,,,33.2,,
2018-02-14T00:02:06.531Z,,,,,,,40.5
2018-02-14T00:02:16.545Z,55,,,,33.2,,
2018-02-14T00:02:26.631Z,55,,,,33.1,,
2018-02-14T00:02:46.531Z,55,,,,33.1,,
2018-02-14T00:02:56.531Z,55,,,,33.1,,
2018-02-14T00:03:06.530Z,,,,,,,40.6
2018-02-14T00:03:16.531Z,55,,,,33,,39.3
2018-02-14T00:03:26.563Z,55,,,,33,,37.4
2018-02-14T00:03:36.533Z,55,,,,33,,36
2018-02-14T00:03:46.562Z,55,,,,33,,34.9
2018-02-14T00:03:56.532Z,55,,,,33,,34.6
2018-02-14T00:04:06.567Z,55,,,,32.8,,
2018-02-14T00:04:26.530Z,55,,,,32.8,,34.7
2018-02-14T00:04:36.530Z,55,,,,32.8,,34.6
2018-02-14T00:04:56.530Z,55,,,,32.7,,34.4
2018-02-14T00:05:06.530Z,55,,,,32.7,,34.3
2018-02-14T00:05:16.530Z,55,,,,32.7,,
2018-02-14T00:05:36.531Z,55,,,,32.6,,34.2
2018-02-14T00:05:46.532Z,55,,,,32.6,,34.1
2018-02-14T00:06:06.532Z,55,,,,32.6,,34
2018-02-14T00:06:16.556Z,55,0,79,,32.6,2,34.6
2018-02-14T00:06:26.530Z,55,,76,,32.5,,41
2018-02-14T00:06:36.803Z,55,,34,,32.5,,43.8
2018-02-14T00:06:46.530Z,55,,29,,32.5,,42.6
2018-02-14T00:06:56.531Z,55,,,,32.5,,41.1
2018-02-14T00:07:06.531Z,55,,,,32.3,,40
2018-02-14T00:07:16.530Z,55,,,,32.3,,39.2
2018-02-14T00:07:26.530Z,55,,,,32.3,,39
2018-02-14T00:07:36.530Z,55,,,,32.3,,39.2
2018-02-14T00:07:46.530Z,55,,,,32.2,,
2018-02-14T00:07:56.530Z,55,,,,32.2,,39.3
2018-02-14T00:08:06.531Z,55,,,,32.2,,39.7
2018-02-14T00:08:16.530Z,55,,,,32.2,,
2018-02-14T00:08:26.533Z,,,,,,,39.8
2018-02-14T00:08:36.530Z,55,,,,32.1,,40.1
2018-02-14T00:08:46.536Z,55,,,,32.1,,
2018-02-14T00:08:56.530Z,,,,,,,40.3
2018-02-14T00:09:06.532Z,55,,,,32.1,,40.6
2018-02-14T00:09:16.530Z,55,,,,32.1,,
2018-02-14T00:09:26.530Z,55,,,,32.1,,40.7
2018-02-14T00:09:36.530Z,,,,,,,40.9
2018-02-14T00:09:46.530Z,55,,,,32.1,,41.1
2018-02-14T00:09:56.536Z,55,,,,32.1,,41.2
2018-02-14T00:10:06.531Z,55,,,,32,,
2018-02-14T00:10:16.534Z,,,,,,,41.4
2018-02-14T00:10:26.531Z,55,,,,32.1,,41.7
2018-02-14T00:10:36.530Z,55,,,,32.1,,
2018-02-14T00:10:46.593Z,,,,,,,41.8
2018-02-14T00:10:56.531Z,55,,,,32.1,,42
2018-02-14T00:11:06.530Z,55,,,,32.1,,42.2
2018-02-14T00:11:26.529Z,55,,,,32.2,,42.4
2018-02-14T00:11:36.529Z,55,,,,32.2,,42.5
2018-02-14T00:11:46.542Z,,,,,,,42.6
2018-02-14T00:11:56.530Z,55,,,,32.3,,42.7
2018-02-14T00:12:06.530Z,,,,,,,43
2018-02-14T00:12:16.529Z,55,,,,32.5,,43.1
2018-02-14T00:12:36.529Z,55,,,,32.5,,43.4
2018-02-14T00:12:46.552Z,55,,,,32.6,,
2018-02-14T00:12:56.530Z,55,,,,32.6,,
2018-02-14T00:13:06.534Z,,,,,,,43.6
2018-02-14T00:13:16.532Z,55,,,,32.7,,43.7
2018-02-14T00:13:26.529Z,,0,0,,,2,43.9
2018-02-14T00:13:36.530Z,55,,,,32.8,,41.7
2018-02-14T00:13:46.534Z,55,,,,32.8,,40.2
2018-02-14T00:13:56.530Z,55,,,,33,,39.7
2018-02-14T00:14:06.532Z,55,,,,33.1,,
2018-02-14T00:14:16.529Z,,,,,,,40.1
2018-02-14T00:14:26.529Z,55,,,,33.2,,
2018-02-14T00:14:36.536Z,,,,,,,40.6
2018-02-14T00:14:46.535Z,55,,,,33.2,,40.8
2018-02-14T00:14:56.541Z,55,,,,33.3,,40.3
2018-02-14T00:15:06.535Z,55,,,,33.3,,
2018-02-14T00:15:16.539Z,55,,,,33.5,,40.2
2018-02-14T00:15:26.574Z,55,,,,33.5,,39.9
2018-02-14T00:15:36.532Z,55,,,,33.6,,
2018-02-14T00:15:46.532Z,,,,,,,39.8
2018-02-14T00:15:56.530Z,55,,,,33.6,,39.6
2018-02-14T00:16:06.634Z,55,,,,33.6,,39.4
2018-02-14T00:16:16.529Z,55,,,,33.6,,
2018-02-14T00:16:26.529Z,55,,,,33.6,,39.3
2018-02-14T00:16:36.534Z,55,,,,33.6,,
2018-02-14T00:16:46.529Z,55,,,,33.7,,39.1
2018-02-14T00:16:56.531Z,55,,,,33.7,,38.9
2018-02-14T00:17:06.529Z,55,,,,33.7,,
2018-02-14T00:17:16.529Z,,,,,,,38.8
2018-02-14T00:17:26.529Z,55,,,,33.7,,38.6
2018-02-14T00:17:36.529Z,55,,,,33.7,,
2018-02-14T00:17:46.529Z,,,,,,,38.8
2018-02-14T00:17:56.529Z,55,,,,33.7,,39
2018-02-14T00:18:06.529Z,55,,,,33.7,,
2018-02-14T00:18:16.529Z,55,,,,33.7,,39.1
2018-02-14T00:18:26.530Z,55,,,,33.7,,39.3
2018-02-14T00:18:36.533Z,55,,,,33.6,,39.4
2018-02-14T00:18:46.529Z,55,,,,33.6,,
2018-02-14T00:18:56.531Z,55,,,,33.6,,39.5
2018-02-14T00:19:06.529Z,55,,,,33.6,,39.6
2018-02-14T00:19:17.533Z,55,,,,33.6,,
2018-02-14T00:19:28.448Z,55,,,,33.6,,39.8
2018-02-14T00:19:36.901Z,55,,,,33.6,,39.9
2018-02-14T00:19:46.529Z,55,,,,33.5,,
2018-02-14T00:19:56.529Z,55,,,,33.5,,40
2018-02-14T00:20:06.548Z,55,,,,33.5,,
2018-02-14T00:20:26.529Z,55,,,,33.5,,40.1
2018-02-14T00:20:36.530Z,55,,,,33.5,,
2018-02-14T00:20:56.533Z,55,,,,33.3,,40.2
2018-02-14T00:21:06.547Z,55,,,,33.3,,
2018-02-14T00:21:16.528Z,55,,,,33.3,,
2018-02-14T00:21:26.533Z,,,,,,,40.3
2018-02-14T00:21:36.528Z,55,,,,33.3,,
2018-02-14T00:21:46.529Z,55,,,,33.2,,
2018-02-14T00:21:56.533Z,55,,,,33.2,,
2018-02-14T00:22:06.531Z,55,0,0,40,33.2,2,40.5
2018-02-14T00:22:16.530Z,55,,,,33.2,,
2018-02-14T00:22:26.529Z,55,,,,33.2,,
2018-02-14T00:22:36.598Z,55,,,,33.2,,
2018-02-14T00:22:46.529Z,55,,,,33.1,,40.6
2018-02-14T00:22:56.529Z,55,,,,33.1,,
2018-02-14T00:23:06.528Z,55,,,,33.1,,
2018-02-14T00:23:16.529Z,55,,,,33.1,,
2018-02-14T00:23:26.531Z,55,,,,33.1,,40.7
2018-02-14T00:23:36.528Z,55,,,,33,,39
2018-02-14T00:23:46.531Z,55,,,,33,,37.9
2018-02-14T00:23:56.535Z,55,,,,33,,35.9
2018-02-14T00:24:06.535Z,55,,,,33,,34.9
2018-02-14T00:24:16.530Z,55,,,,32.8,,34.8
2018-02-14T00:24:26.530Z,55,,,,32.8,,34.6
2018-02-14T00:24:36.529Z,55,,,,32.8,,34.7
2018-02-14T00:24:46.569Z,55,,,,32.8,,34.8
2018-02-14T00:24:56.569Z,55,,,,32.8,,34.7
2018-02-14T00:25:06.528Z,55,,,,32.8,,34.6
2018-02-14T00:25:16.530Z,55,,,,32.8,,34.4
2018-02-14T00:25:26.529Z,55,,,,32.7,,
2018-02-14T00:25:36.530Z,55,,,,32.7,,34.3
2018-02-14T00:25:46.534Z,55,,,,32.7,,
2018-02-14T00:25:56.528Z,55,,,,32.7,,34.2
2018-02-14T00:26:06.530Z,55,,,,32.7,,
2018-02-14T00:26:16.528Z,55,,,,32.6,,34.1
2018-02-14T00:26:26.528Z,55,,,,32.6,,
2018-02-14T00:26:36.528Z,55,,,,32.6,,34
2018-02-14T00:26:46.528Z,55,0,80,,32.6,2,35.5
2018-02-14T00:26:56.534Z,55,,72,,32.5,,41.3
2018-02-14T00:27:06.528Z,55,,51,,32.6,,43.1
2018-02-14T00:27:16.528Z,55,,29,,32.5,,42.9
2018-02-14T00:27:26.569Z,55,,,,32.5,,40.9
2018-02-14T00:27:36.530Z,55,,,,32.5,,39.9
2018-02-14T00:27:46.530Z,55,,,,32.3,,39.7
2018-02-14T00:27:56.529Z,55,,,,32.3,,39
2018-02-14T00:28:06.528Z,55,,,,32.3,,
2018-02-14T00:28:16.529Z,55,,,,32.3,,39.3
2018-02-14T00:28:26.528Z,55,,,,32.2,,39.4
2018-02-14T00:28:36.532Z,55,,,,32.2,,39.7
2018-02-14T00:28:46.533Z,55,,,,32.2,,39.8
2018-02-14T00:28:56.528Z,55,,,,32.2,,40
2018-02-14T00:29:06.528Z,55,,,,32.2,,
2018-02-14T00:29:16.528Z,55,,,,32.2,,40.1
2018-02-14T00:29:26.528Z,55,,,,32.2,,40.3
2018-02-14T00:29:36.528Z,55,,,,32.1,,40.5
2018-02-14T00:29:46.540Z,55,,,,32.1,,40.7
2018-02-14T00:29:56.529Z,55,,,,32.1,,40.8
2018-02-14T00:30:06.534Z,55,,,,32.1,,41
2018-02-14T00:30:16.554Z,55,,,,32.1,,
2018-02-14T00:30:26.528Z,55,,,,32.1,,41.1
2018-02-14T00:30:36.530Z,55,,,,32.1,,41.4
2018-02-14T00:30:46.532Z,55,,,,32.1,,41.5
2018-02-14T00:30:56.531Z,55,,,,32.1,,41.6
2018-02-14T00:31:06.529Z,55,,,,32.1,,41.7
2018-02-14T00:31:16.529Z,55,,,,32.1,,41.8
2018-02-14T00:31:26.529Z,55,,,,32.1,,42
2018-02-14T00:31:36.528Z,55,,,,32.2,,
2018-02-14T00:31:46.529Z,55,,,,32.2,,42.2
2018-02-14T00:31:56.528Z,55,,,,32.2,,42.4
2018-02-14T00:32:06.536Z,55,,,,32.2,,42.5
2018-02-14T00:32:16.528Z,55,,,,32.2,,42.6
2018-02-14T00:32:26.528Z,55,,,,32.3,,42.8
2018-02-14T00:32:36.577Z,55,,,,32.3,,43
2018-02-14T00:32:46.553Z,55,,,,32.3,,43.1
2018-02-14T00:32:56.538Z,55,,,,32.5,,43.2
2018-02-14T00:33:06.627Z,55,,,,32.5,,43.3
2018-02-14T00:33:16.614Z,55,,,,32.6,,43.4
2018-02-14T00:33:26.578Z,55,,,,32.6,,43.5
2018-02-14T00:33:36.532Z,55,,,,32.6,,43.6
2018-02-14T00:33:46.528Z,55,,,,32.7,,43.7
