Time,HwActive,ChActive,HwTSet,PrimTSet,PrimT,ActPow,HwTOutlet
2018-02-15T00:00:06.414Z,,,55,,40.6,,32.2
2018-02-15T00:00:16.414Z,,,55,,40.8,,32.2
2018-02-15T00:00:26.415Z,,,55,,,,32.2
2018-02-15T00:00:36.414Z,,,55,,41,,32.2
2018-02-15T00:00:46.467Z,,,55,,41.1,,32.2
2018-02-15T00:00:56.445Z,,,55,,41.2,,32.2
2018-02-15T00:01:06.447Z,,,55,,41.5,,32.2
2018-02-15T00:01:16.440Z,,,55,,41.6,,32.2
2018-02-15T00:01:26.436Z,,,55,,41.7,,32.2
2018-02-15T00:01:36.415Z,,,55,,41.9,,32.3
2018-02-15T00:01:46.446Z,,,55,,42,,32.3
2018-02-15T00:01:56.513Z,,,55,,,,32.3
2018-02-15T00:02:06.414Z,,,55,,42.3,,32.3
2018-02-15T00:02:16.618Z,,,55,,42.4,,32.3
2018-02-15T00:02:26.414Z,,,,,42.5,,
2018-02-15T00:02:36.414Z,,,55,,42.6,,32.5
2018-02-15T00:02:46.415Z,,,55,,42.8,,32.5
2018-02-15T00:02:56.413Z,,,55,,43,,32.5
2018-02-15T00:03:06.416Z,,,55,,43.1,,32.6
2018-02-15T00:03:16.414Z,,,55,,43.2,,32.6
2018-02-15T00:03:26.416Z,,,55,,,,32.7
2018-02-15T00:03:36.420Z,,,55,,43.4,,32.7
2018-02-15T00:03:46.415Z,,,55,,43.5,,32.8
2018-02-15T00:03:56.413Z,,,55,,43.7,,32.8
2018-02-15T00:04:06.413Z,,,55,,43.9,,33
2018-02-15T00:04:16.414Z,0,2,55,,44.1,0,33
2018-02-15T00:04:26.748Z,,,,,42.4,,
2018-02-15T00:04:36.414Z,,,55,,40.6,,33.1
2018-02-15T00:04:46.426Z,,,55,,39.8,,33.1
2018-02-15T00:04:56.413Z,,,55,,39.7,,33.2
2018-02-15T00:05:06.414Z,,,55,,40.1,,33.3
2018-02-15T00:05:16.414Z,,,55,,40.5,,33.3
2018-02-15T00:05:26.413Z,,,,,40.9,,
2018-02-15T00:05:36.413Z,,,55,,40.8,,33.5
2018-02-15T00:05:46.414Z,,,55,,40.6,,33.6
2018-02-15T00:05:56.414Z,,,55,,40.3,,33.6
2018-02-15T00:06:06.418Z,,,55,,40.2,,33.7
2018-02-15T00:06:16.416Z,,,55,,40,,33.7
2018-02-15T00:06:26.413Z,,,,,39.9,,
2018-02-15T00:06:36.413Z,,,55,,39.8,,33.8
2018-02-15T00:06:46.419Z,,,55,,,,33.8
2018-02-15T00:06:56.414Z,,,55,,39.6,,33.8
2018-02-15T00:07:06.437Z,,,55,,39.5,,33.8
2018-02-15T00:07:16.413Z,,,55,,39.4,,33.8
2018-02-15T00:07:26.414Z,,,55,,39.3,,33.8
