Time,HwTSet,HwActive,PrimTSet,ChActive,PrimT,ActPow,HwTOutlet
2017-11-02T00:00:02.068Z,0,,,,49.8,,38
2017-11-02T00:00:12.071Z,0,,,,49.6,,38
2017-11-02T00:00:22.066Z,0,,,,49.5,,37.9
2017-11-02T00:00:32.066Z,0,,54,,49.3,,37.9
2017-11-02T00:00:42.067Z,0,,,,49.1,,37.8
2017-11-02T00:00:52.066Z,0,0,55,2,48.8,,37.7
2017-11-02T00:01:02.067Z,0,,,,54,36,37.7
2017-11-02T00:01:12.074Z,0,,,,55.4,30,37.7
2017-11-02T00:01:22.066Z,0,,54,,56,29,37.6
2017-11-02T00:01:32.068Z,0,,,,56.2,,37.6
2017-11-02T00:01:42.070Z,0,,,,,30,37.5
2017-11-02T00:01:52.074Z,0,,,,56.3,29,37.5
2017-11-02T00:02:02.066Z,0,,,,,,37.5
2017-11-02T00:02:12.068Z,0,,,,56.2,30,37.4
2017-11-02T00:02:22.073Z,0,,,,,,37.4
2017-11-02T00:02:32.239Z,0,,,,56.1,,37.3
2017-11-02T00:02:42.066Z,0,,,,56.2,,37.3
2017-11-02T00:02:52.069Z,0,,,,56.3,29,37.3
2017-11-02T00:03:02.066Z,0,,,,56.7,,37.2
2017-11-02T00:03:12.067Z,0,,,,57,30,37.2
2017-11-02T00:03:22.067Z,0,,,,57.3,,37.1
2017-11-02T00:03:32.066Z,0,,,,57.7,,37.1
2017-11-02T00:03:42.080Z,0,0,,2,55.5,0,37.1
2017-11-02T00:03:52.071Z,0,,,,53.7,,36.9
2017-11-02T00:04:02.070Z,0,,,,51.9,,36.9
2017-11-02T00:04:12.068Z,0,,,,51.7,,36.9
2017-11-02T00:04:22.068Z,0,,,,51.5,,36.8
2017-11-02T00:04:32.068Z,0,,,,51.4,,36.8
2017-11-02T00:04:42.068Z,0,,,,,,36.8
2017-11-02T00:04:52.069Z,0,,,,51.5,,36.7
2017-11-02T00:05:02.068Z,0,,,,51.6,,36.7
2017-11-02T00:05:12.066Z,0,,,,51.7,,36.7
2017-11-02T00:05:22.088Z,0,,,,51.8,,36.6
2017-11-02T00:05:32.066Z,0,,,,,,36.6
2017-11-02T00:05:42.067Z,0,,,,51.6,,36.6
2017-11-02T00:05:52.068Z,0,,,,51.4,,36.5
2017-11-02T00:06:02.068Z,0,,,,51.2,,36.5
2017-11-02T00:06:12.068Z,0,,,,50.9,,36.5
2017-11-02T00:06:22.072Z,0,,,,50.7,,36.4
2017-11-02T00:06:32.067Z,0,,,,50.3,,36.4
2017-11-02T00:06:42.069Z,0,,,,49.9,,36.4
2017-11-02T00:06:52.067Z,0,,,,49.7,,36.4
2017-11-02T00:07:02.068Z,0,,,,49.4,,36.3
2017-11-02T00:07:12.342Z,0,,,,49.2,,36.3
2017-11-02T00:07:22.070Z,0,,,,49,,36.3
2017-11-02T00:07:32.333Z,0,,,,48.9,,36.2
2017-11-02T00:07:42.070Z,0,,,,48.8,,36.2
2017-11-02T00:07:52.070Z,0,,,,48.7,,36.2
2017-11-02T00:08:02.067Z,0,,,,48.6,,36.2
2017-11-02T00:08:12.068Z,0,,,,48.5,,36.1
2017-11-02T00:08:22.067Z,0,,,,48.3,,36.1
2017-11-02T00:08:32.080Z,0,,,,48.2,,36.1
2017-11-02T00:08:42.067Z,0,,,,48,,36
2017-11-02T00:08:52.067Z,0,0,,2,49.2,44,36
2017-11-02T00:09:02.068Z,0,,,,54.3,33,36
2017-11-02T00:09:12.067Z,0,,,,55.4,29,35.9
2017-11-02T00:09:22.068Z,0,,,,56,,35.9
2017-11-02T00:09:32.067Z,0,,,,,,35.9
2017-11-02T00:09:42.072Z,0,,,,56.1,30,35.9
2017-11-02T00:09:52.067Z,0,,,,56.2,29,35.8
2017-11-02T00:10:02.067Z,0,,,,56.1,,35.8
2017-11-02T00:10:12.069Z,0,,,,,,35.8
2017-11-02T00:10:22.068Z,0,,,,56,,35.7
2017-11-02T00:10:32.067Z,0,,,,,,35.7
2017-11-02T00:10:42.071Z,0,,,,56.1,,35.7
2017-11-02T00:10:52.068Z,0,,,,56.3,30,35.7
2017-11-02T00:11:02.067Z,0,,,,56.6,29,35.6
2017-11-02T00:11:12.072Z,0,,,,57,30,35.6
