Time,HwTSet,ChActive,HwTOutlet,ActPow,PrimT,HwActive,PrimTSet
2017-11-03T00:00:02.305Z,0,,28,29,46.4,,
2017-11-03T00:00:12.305Z,0,,28,30,46.6,,
2017-11-03T00:00:22.306Z,0,,28.1,,46.8,,
2017-11-03T00:00:32.310Z,0,,28.1,29,47,,
2017-11-03T00:00:42.305Z,0,,28.1,30,47.2,,
2017-11-03T00:00:52.307Z,0,,28.1,,47.4,,
2017-11-03T00:01:02.305Z,0,,28.1,29,48,,
2017-11-03T00:01:12.305Z,0,,28.1,,48.2,,
2017-11-03T00:01:22.306Z,0,,28.1,,48.6,,
2017-11-03T00:01:32.305Z,0,1,28.3,0,48.8,0,
2017-11-03T00:01:42.305Z,0,,28.1,,45.7,,
2017-11-03T00:01:52.305Z,0,,28.3,,44.6,,
2017-11-03T00:02:02.305Z,0,,28.3,,43.8,,
2017-11-03T00:02:12.308Z,0,,28.3,,43.7,,
2017-11-03T00:02:22.310Z,0,,28.3,,43.8,,
2017-11-03T00:02:32.311Z,0,,28.3,,44,,
2017-11-03T00:02:42.314Z,0,,28.4,,,,
2017-11-03T00:02:52.305Z,0,,28.4,,,,
2017-11-03T00:03:02.306Z,0,,28.4,,,,
2017-11-03T00:03:12.305Z,0,,28.4,,43.9,,
2017-11-03T00:03:22.305Z,0,,28.4,,43.8,,
2017-11-03T00:03:32.306Z,0,,28.4,,43.7,,
2017-11-03T00:03:42.310Z,0,,28.4,,43.6,,
2017-11-03T00:03:52.306Z,0,,28.4,,43.5,,
2017-11-03T00:04:02.305Z,0,,28.5,,43.3,,
2017-11-03T00:04:12.305Z,0,,28.5,,42.9,,
2017-11-03T00:04:22.307Z,0,,28.5,,42.8,,
2017-11-03T00:04:32.308Z,0,,28.5,,42.6,,
2017-11-03T00:04:42.541Z,0,,28.5,,42.3,,
2017-11-03T00:04:52.306Z,0,0,28.5,,42.1,0,5
2017-11-03T00:05:02.306Z,0,,28.5,,42,,
2017-11-03T00:05:12.306Z,0,1,28.5,,41.9,0,45
2017-11-03T00:05:22.322Z,0,1,28.6,36,47.7,0,
2017-11-03T00:05:32.306Z,0,0,28.6,0,48.6,0,5
2017-11-03T00:05:42.310Z,0,,28.6,,44.6,,
2017-11-03T00:05:52.306Z,0,1,28.6,,42.6,0,45
2017-11-03T00:06:02.310Z,0,1,28.6,36,48,0,
2017-11-03T00:06:12.306Z,0,1,28.6,0,48.4,0,
2017-11-03T00:06:22.318Z,0,0,28.6,,43.7,0,5
2017-11-03T00:06:32.306Z,0,,28.6,,42.8,,
2017-11-03T00:06:42.306Z,0,,28.6,,41.9,,
2017-11-03T00:06:52.306Z,0,,28.7,,41.6,,
2017-11-03T00:07:02.310Z,0,,28.7,,41.4,,
2017-11-03T00:07:12.306Z,0,,28.7,,41.3,,
2017-11-03T00:07:22.307Z,0,,28.7,,41.5,,
2017-11-03T00:07:32.311Z,0,,28.7,,41.6,,
2017-11-03T00:07:42.307Z,0,,28.7,,41.5,,
2017-11-03T00:07:52.320Z,0,,28.7,,,,
2017-11-03T00:08:02.309Z,0,,28.7,,,,
2017-11-03T00:08:12.306Z,0,,28.7,,,,
2017-11-03T00:08:22.307Z,0,,28.9,,,,
2017-11-03T00:08:32.306Z,0,,28.9,,41.4,,
2017-11-03T00:08:42.306Z,0,,28.9,,41.3,,
2017-11-03T00:08:52.309Z,0,,28.9,,41.2,,
2017-11-03T00:09:02.307Z,0,,28.9,,41.1,,
2017-11-03T00:09:12.308Z,0,,28.9,,40.9,,
2017-11-03T00:09:22.481Z,0,,28.9,,40.7,,
2017-11-03T00:09:32.307Z,0,,28.9,,,,
2017-11-03T00:09:42.307Z,0,,28.9,,40.6,,
2017-11-03T00:09:52.307Z,0,,28.9,,,,
2017-11-03T00:10:02.310Z,0,,28.9,,,,
2017-11-03T00:10:12.312Z,0,,28.9,,40.5,,
2017-11-03T00:10:22.308Z,0,,28.9,,,,
2017-11-03T00:10:32.307Z,0,,28.9,,,,
2017-11-03T00:10:42.307Z,0,,28.9,,,,
2017-11-03T00:10:52.307Z,0,,28.9,,40.4,,
2017-11-03T00:11:02.307Z,0,,28.9,,,,
2017-11-03T00:11:12.306Z,0,,29,,,,
2017-11-03T00:11:22.308Z,0,,29,,,,
2017-11-03T00:11:32.307Z,0,,29,,,,
2017-11-03T00:11:42.307Z,0,,29,,,,
2017-11-03T00:11:52.307Z,0,,29,,40.3,,
2017-11-03T00:12:02.309Z,0,,29,,,,
2017-11-03T00:12:12.308Z,0,,29,,,,
2017-11-03T00:12:22.316Z,0,,29,,,,
2017-11-03T00:12:32.310Z,0,,29,,,,
2017-11-03T00:12:42.307Z,0,,29,,,,
2017-11-03T00:12:57.331Z,0,,29,,40.4,,
2017-11-03T00:13:02.315Z,0,,29,,,,
2017-11-03T00:13:12.309Z,0,,29,,,,
2017-11-03T00:13:22.310Z,0,,29,,,,
2017-11-03T00:13:32.313Z,0,,29,,,,
2017-11-03T00:13:42.310Z,0,,29,,,,
2017-11-03T00:13:52.309Z,0,,29,,,,
2017-11-03T00:14:02.307Z,0,,29,,,,
2017-11-03T00:14:12.307Z,0,,29,,,,
2017-11-03T00:14:22.307Z,0,,29,,,,
2017-11-03T00:14:32.309Z,0,,29,,,,
2017-11-03T00:14:42.307Z,0,,29,,,,
2017-11-03T00:14:52.309Z,0,,29,,,,
2017-11-03T00:15:02.310Z,0,,29,,,,
2017-11-03T00:15:12.308Z,0,,29,,,,
2017-11-03T00:15:22.309Z,0,,29,,,,
2017-11-03T00:15:32.309Z,0,,29,,,,
2017-11-03T00:15:42.307Z,0,,29,,,,
2017-11-03T00:15:52.309Z,0,,29,,,,
2017-11-03T00:16:02.309Z,0,,29,,,,
2017-11-03T00:16:12.308Z,0,,29,,,,
2017-11-03T00:16:22.309Z,0,,29,,40.3,,
2017-11-03T00:16:32.308Z,0,,29,,,,
2017-11-03T00:16:42.309Z,0,,29,,,,
2017-11-03T00:16:52.310Z,0,,29,,,,
2017-11-03T00:17:02.308Z,0,,29,,,,
2017-11-03T00:17:12.317Z,0,,29,,,,
2017-11-03T00:17:22.308Z,0,,29,,,,
2017-11-03T00:17:32.313Z,0,,29,,,,
2017-11-03T00:17:42.308Z,0,,28.9,,,,
2017-11-03T00:17:52.308Z,0,,29,,40.2,,
2017-11-03T00:18:02.308Z,0,,29,,,,
2017-11-03T00:18:12.309Z,0,,28.9,,,,
2017-11-03T00:18:22.308Z,0,,28.9,,,,
2017-11-03T00:18:32.309Z,0,,28.9,,,,
2017-11-03T00:18:42.311Z,0,,28.9,,,,
2017-11-03T00:18:52.308Z,0,,28.9,,40.1,,
2017-11-03T00:19:02.308Z,0,,28.9,,,,
2017-11-03T00:19:12.312Z,0,,28.9,,,,
2017-11-03T00:19:22.308Z,0,,28.9,,,,
2017-11-03T00:19:32.308Z,0,,28.9,,,,
2017-11-03T00:19:42.308Z,0,,28.9,,,,
2017-11-03T00:19:52.308Z,0,,28.9,,,,
2017-11-03T00:20:02.314Z,0,,28.9,,,,
2017-11-03T00:20:12.308Z,0,,28.9,,40,,
2017-11-03T00:20:22.314Z,0,,28.9,,,,
2017-11-03T00:20:32.309Z,0,,28.9,,,,
2017-11-03T00:20:42.313Z,0,,28.9,,,,
2017-11-03T00:20:52.309Z,0,,28.9,,,,
2017-11-03T00:21:02.309Z,0,,28.9,,,,
2017-11-03T00:21:12.308Z,0,,28.9,,39.9,,
2017-11-03T00:21:22.309Z,0,,28.7,,,,
2017-11-03T00:21:32.313Z,0,,28.7,,,,
2017-11-03T00:21:42.309Z,0,,28.7,,,,
2017-11-03T00:21:52.309Z,0,,28.7,,,,
2017-11-03T00:22:02.309Z,0,,28.7,,,,
2017-11-03T00:22:12.309Z,0,,28.7,,,,
2017-11-03T00:22:22.311Z,0,,28.7,,,,
2017-11-03T00:22:32.310Z,0,,28.7,,39.8,,
2017-11-03T00:22:42.309Z,0,,28.7,,,,
2017-11-03T00:22:52.309Z,0,,28.7,,,,
2017-11-03T00:23:02.310Z,0,,28.7,,,,
2017-11-03T00:23:12.309Z,0,,28.7,,,,
2017-11-03T00:23:22.309Z,0,,28.7,,,,
