Time,PrimTSet,PrimT,HwActive,ChActive,HwTSet,ActPow,HwTOutlet
2017-11-06T00:00:06.975Z,,,,,0,,31
2017-11-06T00:00:16.974Z,,,,,0,,30.9
2017-11-06T00:00:26.974Z,,,,,0,,30.9
2017-11-06T00:00:36.975Z,5,45.9,0,0,0,0,30.9
2017-11-06T00:00:47.009Z,,,,,0,,30.9
2017-11-06T00:00:56.974Z,,45.8,,,0,,30.9
2017-11-06T00:01:06.985Z,,,,,0,,30.8
2017-11-06T00:01:16.976Z,,,,,0,,30.8
2017-11-06T00:01:26.974Z,,,,,0,,30.8
2017-11-06T00:01:36.975Z,,,,,0,,30.7
2017-11-06T00:01:46.975Z,,,,,0,,30.7
2017-11-06T00:01:56.976Z,,,,,0,,30.7
2017-11-06T00:02:06.979Z,,,,,0,,30.7
2017-11-06T00:02:16.975Z,,45.7,,,0,,30.7
2017-11-06T00:02:26.974Z,,,,,0,,30.6
2017-11-06T00:02:36.974Z,,,,,0,,30.6
2017-11-06T00:02:46.976Z,,,,,0,,30.6
2017-11-06T00:02:56.974Z,,,,,0,,30.6
2017-11-06T00:03:06.974Z,,,,,0,,30.6
2017-11-06T00:03:16.976Z,,,,,0,,30.4
2017-11-06T00:03:26.975Z,,,,,0,,30.4
2017-11-06T00:03:36.976Z,,45.6,,,0,,30.4
2017-11-06T00:03:46.978Z,,,,,0,,30.4
2017-11-06T00:03:56.974Z,,,,,0,,30.4
2017-11-06T00:04:06.977Z,,,,,0,,30.3
2017-11-06T00:04:16.978Z,,,,,0,,30.3
2017-11-06T00:04:26.980Z,,,,,0,,30.3
2017-11-06T00:04:37.011Z,,,,,0,,30.2
2017-11-06T00:04:46.977Z,,45.5,,,0,,30.2
2017-11-06T00:04:56.995Z,,,,,0,,30.2
2017-11-06T00:05:06.976Z,,,,,0,,30.2
2017-11-06T00:05:16.978Z,,,,,0,,30.2
2017-11-06T00:05:26.979Z,,,,,0,,30.2
2017-11-06T00:05:36.983Z,,,,,0,,30.1
2017-11-06T00:05:46.975Z,,,,,0,,30.1
2017-11-06T00:05:56.975Z,,,,,0,,30.1
2017-11-06T00:06:06.980Z,,45.4,,,0,,30.1
2017-11-06T00:06:16.979Z,,,,,0,,30
2017-11-06T00:06:26.975Z,,,,,0,,30
2017-11-06T00:06:36.975Z,,,,,0,,30
2017-11-06T00:06:46.975Z,,,,,0,,30
2017-11-06T00:06:56.975Z,,,,,0,,30
