Time,ChActive,HwTSet,ActPow,HwTOutlet,PrimT,HwActive,PrimTSet
2017-11-07T00:00:08.182Z,,0,,34.4,55.3,,
2017-11-07T00:00:18.182Z,,0,,34.4,,,
2017-11-07T00:00:28.182Z,,0,,34.3,,,
2017-11-07T00:00:38.182Z,,0,,34.2,55.2,,
2017-11-07T00:00:48.182Z,,0,,34.2,,,
2017-11-07T00:00:58.181Z,,0,,34.1,,,
2017-11-07T00:01:08.182Z,,0,,34.1,,,
2017-11-07T00:01:18.182Z,,0,,34,55.1,,
2017-11-07T00:01:28.183Z,,0,,33.9,,,
2017-11-07T00:01:38.181Z,,0,,33.9,,,
2017-11-07T00:01:48.182Z,,0,,33.8,,,
2017-11-07T00:01:58.184Z,,0,,33.7,55,,
2017-11-07T00:02:08.190Z,,0,,33.7,,,
2017-11-07T00:02:18.408Z,0,0,0,33.6,55,0,5
2017-11-07T00:02:28.185Z,,0,,33.6,54.9,,
2017-11-07T00:02:43.273Z,,0,,33.5,,,
2017-11-07T00:02:48.182Z,,0,,33.4,,,
2017-11-07T00:02:58.183Z,,0,,33.4,,,
2017-11-07T00:03:08.187Z,,0,,33.3,,,
2017-11-07T00:03:18.190Z,,0,,33.2,54.8,,
2017-11-07T00:03:28.183Z,,0,,33.2,,,
2017-11-07T00:03:38.184Z,,0,,33.1,,,
2017-11-07T00:03:48.182Z,,0,,33.1,,,
2017-11-07T00:03:58.183Z,,0,,32.9,54.7,,
2017-11-07T00:04:08.184Z,,0,,32.8,,,
2017-11-07T00:04:18.182Z,,0,,32.7,,,
2017-11-07T00:04:28.183Z,,0,,32.7,,,
2017-11-07T00:04:38.183Z,,0,,32.6,54.6,,
2017-11-07T00:04:48.182Z,,0,,32.6,,,
2017-11-07T00:04:58.183Z,,0,,32.5,,,
2017-11-07T00:05:08.182Z,,0,,32.5,,,
2017-11-07T00:05:18.183Z,,0,,32.4,54.5,,
2017-11-07T00:05:28.183Z,,0,,32.3,,,
2017-11-07T00:05:38.183Z,,0,,32.3,,,
2017-11-07T00:05:48.183Z,,0,,32.2,,,
2017-11-07T00:05:58.183Z,,0,,32.2,,,
2017-11-07T00:06:08.184Z,,0,,32.1,54.4,,
2017-11-07T00:06:18.183Z,,0,,32.1,,,
2017-11-07T00:06:28.182Z,,0,,32,,,
2017-11-07T00:06:38.185Z,,0,,32,,,
2017-11-07T00:06:48.183Z,,0,,31.9,54.3,,
2017-11-07T00:06:58.183Z,,0,,31.9,,,
2017-11-07T00:07:08.358Z,,0,,31.8,,,
2017-11-07T00:07:18.197Z,,0,,31.6,,,
2017-11-07T00:07:28.191Z,,0,,31.6,54.1,,
2017-11-07T00:07:38.185Z,,0,,31.5,,,
2017-11-07T00:07:48.183Z,,0,,31.5,,,
2017-11-07T00:07:58.185Z,,0,,31.4,,,
2017-11-07T00:08:08.194Z,,0,,31.4,,,
2017-11-07T00:08:18.197Z,,0,,31.4,54,,
