Time,HwTSet,HwTOutlet,PrimT,ChActive,ActPow,PrimTSet,HwActive
2017-11-15T00:00:06.916Z,0,36.6,,,,,
2017-11-15T00:00:16.917Z,0,36.6,43.3,,,,
2017-11-15T00:00:26.918Z,0,36.6,,,,,
2017-11-15T00:00:36.916Z,0,36.5,,,,,
2017-11-15T00:00:46.919Z,0,36.5,43.2,,,,
2017-11-15T00:00:56.919Z,0,36.4,,,,,
2017-11-15T00:01:06.919Z,0,36.4,43.1,,,,
2017-11-15T00:01:16.915Z,0,36.4,,,,,
2017-11-15T00:01:26.916Z,0,36.3,,,,,
2017-11-15T00:01:36.916Z,0,36.3,43,,,46,
2017-11-15T00:01:46.920Z,0,36.3,,,,,
2017-11-15T00:01:56.920Z,0,36.2,42.9,,,,
2017-11-15T00:02:06.927Z,0,36.2,,,,,
2017-11-15T00:02:16.917Z,0,36.1,,,,,
2017-11-15T00:02:26.917Z,0,36.1,42.8,,,,
2017-11-15T00:02:36.916Z,0,36.1,,,,,
2017-11-15T00:02:46.916Z,0,36.1,,,,,
2017-11-15T00:02:56.921Z,0,36,42.7,,,,
2017-11-15T00:03:06.918Z,0,36,,,,,
2017-11-15T00:03:16.916Z,0,36,,,,,
2017-11-15T00:03:26.918Z,0,35.9,42.6,,,,
2017-11-15T00:03:36.919Z,0,35.9,,,,,
2017-11-15T00:03:46.919Z,0,35.9,,,,,
2017-11-15T00:03:56.917Z,0,35.9,42.4,,,,
2017-11-15T00:04:06.918Z,0,35.8,,,,,
2017-11-15T00:04:16.922Z,0,35.8,,,,,
2017-11-15T00:04:26.916Z,0,35.8,,,,,
2017-11-15T00:04:36.919Z,0,35.7,42.3,,,,
2017-11-15T00:04:46.920Z,0,35.7,,,,,
2017-11-15T00:04:56.918Z,0,35.7,43.1,,,,
2017-11-15T00:05:06.919Z,0,35.6,42.9,,,,
2017-11-15T00:05:16.916Z,0,35.6,42.2,,,,
2017-11-15T00:05:26.922Z,0,35.6,42.1,,,,
2017-11-15T00:05:36.919Z,0,35.6,41.9,,,,
2017-11-15T00:05:46.919Z,0,35.6,40.9,,,,
2017-11-15T00:05:56.918Z,0,35.6,40.5,,,,
2017-11-15T00:06:06.924Z,0,35.6,39.9,,,,
2017-11-15T00:06:16.918Z,0,35.6,43.2,1,40,,0
2017-11-15T00:06:26.918Z,0,35.6,46,,32,,
2017-11-15T00:06:36.917Z,0,35.6,47,,30,,
2017-11-15T00:06:46.917Z,0,35.5,47.6,,29,,
2017-11-15T00:06:56.917Z,0,35.5,48,,,,
2017-11-15T00:07:06.933Z,54,33.1,48.4,0,0,0,2
2017-11-15T00:07:16.934Z,54,32.9,47.2,0,129,,2
2017-11-15T00:07:26.921Z,54,41.2,52.1,,150,,
2017-11-15T00:07:36.926Z,54,45.6,57.2,,150,,
2017-11-15T00:07:46.930Z,54,49.7,57.8,0,0,,0
2017-11-15T00:07:56.920Z,0,50,57.9,,,,
2017-11-15T00:08:06.918Z,0,49.8,57.8,,,,
2017-11-15T00:08:16.920Z,0,49.7,57.7,,,,
